期間,亞洲_原始值,亞洲_年增率(%),亞洲_原始值,亞洲_年增率(%),亞洲_原始值,亞洲_年增率(%),亞洲_原始值,亞洲_年增率(%),亞美尼亞_原始值,亞美尼亞_年增率(%),亞美尼亞_原始值,亞美尼亞_年增率(%),亞美尼亞_原始值,亞美尼亞_年增率(%),亞美尼亞_原始值,亞美尼亞_年增率(%),亞塞拜然_原始值,亞塞拜然_年增率(%),亞塞拜然_原始值,亞塞拜然_年增率(%),亞塞拜然_原始值,亞塞拜然_年增率(%),亞塞拜然_原始值,亞塞拜然_年增率(%),孟加拉_原始值,孟加拉_年增率(%),孟加拉_原始值,孟加拉_年增率(%),孟加拉_原始值,孟加拉_年增率(%),孟加拉_原始值,孟加拉_年增率(%),不丹_原始值,不丹_年增率(%),不丹_原始值,不丹_年增率(%),不丹_原始值,不丹_年增率(%),不丹_原始值,不丹_年增率(%),汶萊_原始值,汶萊_年增率(%),汶萊_原始值,汶萊_年增率(%),汶萊_原始值,汶萊_年增率(%),汶萊_原始值,汶萊_年增率(%),柬埔寨_原始值,柬埔寨_年增率(%),柬埔寨_原始值,柬埔寨_年增率(%),柬埔寨_原始值,柬埔寨_年增率(%),柬埔寨_原始值,柬埔寨_年增率(%),喬治亞_原始值,喬治亞_年增率(%),喬治亞_原始值,喬治亞_年增率(%),喬治亞_原始值,喬治亞_年增率(%),喬治亞_原始值,喬治亞_年增率(%),香港_原始值,香港_年增率(%),香港_原始值,香港_年增率(%),香港_原始值,香港_年增率(%),香港_原始值,香港_年增率(%),印度_原始值,印度_年增率(%),印度_原始值,印度_年增率(%),印度_原始值,印度_年增率(%),印度_原始值,印度_年增率(%),印尼_原始值,印尼_年增率(%),印尼_原始值,印尼_年增率(%),印尼_原始值,印尼_年增率(%),印尼_原始值,印尼_年增率(%),日本_原始值,日本_年增率(%),日本_原始值,日本_年增率(%),日本_原始值,日本_年增率(%),日本_原始值,日本_年增率(%),哈薩克_原始值,哈薩克_年增率(%),哈薩克_原始值,哈薩克_年增率(%),哈薩克_原始值,哈薩克_年增率(%),哈薩克_原始值,哈薩克_年增率(%),北韓_原始值,北韓_年增率(%),北韓_原始值,北韓_年增率(%),北韓_原始值,北韓_年增率(%),北韓_原始值,北韓_年增率(%),韓國_原始值,韓國_年增率(%),韓國_原始值,韓國_年增率(%),韓國_原始值,韓國_年增率(%),韓國_原始值,韓國_年增率(%),吉爾吉斯_原始值,吉爾吉斯_年增率(%),吉爾吉斯_原始值,吉爾吉斯_年增率(%),吉爾吉斯_原始值,吉爾吉斯_年增率(%),吉爾吉斯_原始值,吉爾吉斯_年增率(%),寮國_原始值,寮國_年增率(%),寮國_原始值,寮國_年增率(%),寮國_原始值,寮國_年增率(%),寮國_原始值,寮國_年增率(%),澳門_原始值,澳門_年增率(%),澳門_原始值,澳門_年增率(%),澳門_原始值,澳門_年增率(%),澳門_原始值,澳門_年增率(%),中國大陸_原始值,中國大陸_年增率(%),中國大陸_原始值,中國大陸_年增率(%),中國大陸_原始值,中國大陸_年增率(%),中國大陸_原始值,中國大陸_年增率(%),馬來西亞_原始值,馬來西亞_年增率(%),馬來西亞_原始值,馬來西亞_年增率(%),馬來西亞_原始值,馬來西亞_年增率(%),馬來西亞_原始值,馬來西亞_年增率(%),緬甸_原始值,緬甸_年增率(%),緬甸_原始值,緬甸_年增率(%),緬甸_原始值,緬甸_年增率(%),緬甸_原始值,緬甸_年增率(%),尼泊爾_原始值,尼泊爾_年增率(%),尼泊爾_原始值,尼泊爾_年增率(%),尼泊爾_原始值,尼泊爾_年增率(%),尼泊爾_原始值,尼泊爾_年增率(%),巴基斯坦_原始值,巴基斯坦_年增率(%),巴基斯坦_原始值,巴基斯坦_年增率(%),巴基斯坦_原始值,巴基斯坦_年增率(%),巴基斯坦_原始值,巴基斯坦_年增率(%),菲律賓_原始值,菲律賓_年增率(%),菲律賓_原始值,菲律賓_年增率(%),菲律賓_原始值,菲律賓_年增率(%),菲律賓_原始值,菲律賓_年增率(%),琉球_原始值,琉球_年增率(%),琉球_原始值,琉球_年增率(%),琉球_原始值,琉球_年增率(%),琉球_原始值,琉球_年增率(%),新加坡_原始值,新加坡_年增率(%),新加坡_原始值,新加坡_年增率(%),新加坡_原始值,新加坡_年增率(%),新加坡_原始值,新加坡_年增率(%),斯里蘭卡_原始值,斯里蘭卡_年增率(%),斯里蘭卡_原始值,斯里蘭卡_年增率(%),斯里蘭卡_原始值,斯里蘭卡_年增率(%),斯里蘭卡_原始值,斯里蘭卡_年增率(%),塔吉克_原始值,塔吉克_年增率(%),塔吉克_原始值,塔吉克_年增率(%),塔吉克_原始值,塔吉克_年增率(%),塔吉克_原始值,塔吉克_年增率(%),泰國_原始值,泰國_年增率(%),泰國_原始值,泰國_年增率(%),泰國_原始值,泰國_年增率(%),泰國_原始值,泰國_年增率(%),土庫曼_原始值,土庫曼_年增率(%),土庫曼_原始值,土庫曼_年增率(%),土庫曼_原始值,土庫曼_年增率(%),土庫曼_原始值,土庫曼_年增率(%),烏茲別克_原始值,烏茲別克_年增率(%),烏茲別克_原始值,烏茲別克_年增率(%),烏茲別克_原始值,烏茲別克_年增率(%),烏茲別克_原始值,烏茲別克_年增率(%),越南_原始值,越南_年增率(%),越南_原始值,越南_年增率(%),越南_原始值,越南_年增率(%),越南_原始值,越南_年增率(%)
2007M10,"495,034",16.57,"15,147,936",17.74,"346,046",0.44,"10,556,565",1.45,2,-33.33,55,-48.11,0,--,4,-55.56,22,175.00,679,168.38,0,--,0,-100.00,"1,278",-8.71,"39,108",-7.82,102,104.00,"3,116",104.60,0,--,0,--,0,--,2,--,43,30.30,"1,330",33.27,1,--,19,--,"1,355",29.79,"41,468",31.12,22,83.33,672,90.91,11,-31.25,346,-28.95,8,-46.67,254,-45.02,"105,980",-3.14,"3,242,958",-2.16,"5,097",-0.41,"155,492",0.59,"5,491",46.90,"168,022",48.39,"7,408",101.58,"225,990",103.60,"7,858",16.95,"240,443",18.12,"15,798",3.43,"481,940",4.47,"43,176",-7.77,"1,321,173",-6.84,"132,047",-0.53,"4,028,274",0.47,132,78.38,"4,030",78.56,120,4.35,"3,652",5.09,2,-96.92,66,-96.66,11,"1,000.00",333,825.00,"22,910",13.24,"701,034",14.38,"39,829",-19.91,"1,215,031",-19.10,12,500.00,376,401.33,12,--,362,--,1,-85.71,39,-81.34,10,-88.10,295,-88.42,"1,158",57.55,"35,431",59.05,132,32.00,"4,028",33.51,"198,531",29.78,"6,074,987",31.09,"80,870",6.57,"2,467,051",7.64,"17,070",11.96,"522,334",13.08,"18,258",5.50,"556,980",6.56,251,85.93,"7,677",88.30,108,-51.13,"3,285",-50.71,8,100.00,240,84.62,3,50.00,92,48.39,"1,299",44.33,"39,762",45.92,177,-8.76,"5,388",-7.85,"14,679",6.41,"449,180",7.49,"7,191",-3.68,"219,386",-2.71,0,--,0,--,0,--,0,--,"35,683",49.21,"1,091,902",50.72,"16,122",14.85,"491,817",16.00,670,-7.59,"20,506",-6.67,51,6.25,"1,551",7.19,0,--,5,--,0,--,0,--,"14,503",16.42,"443,790",17.59,"10,588",5.65,"322,997",6.71,0,-100.00,0,-100.00,0,--,4,100.00,22,-8.33,677,-7.77,28,--,844,--,"22,881",61.08,"700,140",62.70,"3,183",6.53,"97,101",7.59
2007M11,"475,928",11.50,"14,716,363",13.67,"325,258",-3.55,"10,026,435",-1.67,4,300.00,118,174.42,0,--,0,-100.00,11,120.00,348,143.36,0,--,0,--,"1,398",9.91,"43,217",12.00,52,-22.39,"1,608",-20.28,0,--,1,-50.00,0,--,0,--,29,-43.14,900,-41.79,14,--,436,"2,806.67","1,150",-54.99,"35,571",-54.10,11,-35.29,342,-32.14,20,100.00,606,96.75,4,-50.00,125,-46.81,"100,504",-4.24,"3,107,720",-2.37,"5,195",7.94,"160,147",10.03,"5,641",35.34,"174,424",37.97,"9,271",183.78,"285,788",189.30,"9,069",-7.71,"280,436",-5.91,"16,778",14.46,"517,214",16.69,"40,569",-11.90,"1,254,463",-10.18,"120,127",-8.48,"3,703,069",-6.70,49,-46.74,"1,514",-45.60,98,-36.36,"3,009",-35.32,40,-21.57,"1,246",-18.77,6,-80.65,176,-80.97,"23,580",17.28,"729,125",19.56,"39,872",-16.78,"1,229,102",-15.17,7,250.00,222,231.34,18,--,548,--,4,-71.43,121,-71.60,12,-93.55,364,-93.54,"1,184",78.31,"36,603",81.80,82,12.33,"2,523",14.68,"195,813",23.10,"6,054,826",25.50,"78,699",3.42,"2,425,971",5.43,"14,826",8.70,"458,451",10.81,"15,631",-9.58,"481,835",-7.82,171,-14.07,"5,290",-12.32,201,9.84,"6,185",11.48,9,50.00,273,43.68,2,0.00,53,1.92,"1,119",8.96,"34,587",11.02,580,188.56,"17,875",194.77,"14,217",6.35,"439,619",8.43,"5,204",-29.75,"160,428",-28.38,0,--,0,--,0,--,0,--,"29,483",26.17,"911,657",28.62,"12,829",-1.16,"395,459",0.75,544,-4.06,"16,818",-2.18,57,21.28,"1,771",25.96,0,--,0,--,0,--,0,--,"14,567",19.08,"450,423",21.39,"8,977",0.57,"276,733",2.53,0,--,0,--,0,-100.00,6,-96.18,8,-63.64,253,-62.63,6,200.00,175,218.18,"21,909",61.87,"677,446",65.02,"2,834",3.36,"87,365",5.36
2007M12,"514,676",23.40,"15,929,306",24.24,"358,891",17.44,"11,073,538",18.24,1,-66.67,38,-55.29,0,--,0,-100.00,4,-60.00,109,-63.67,0,--,0,--,"1,438",22.91,"44,502",23.75,62,3.33,"1,914",3.63,0,--,2,0.00,0,--,0,--,61,19.61,"1,885",20.76,1,0.00,41,156.25,"1,139",-4.45,"35,237",-3.82,64,190.91,"1,977",189.46,29,26.09,913,30.43,9,800.00,293,"1,365.00","102,827",-4.00,"3,182,500",-3.35,"4,668",-27.86,"144,025",-27.37,"6,113",16.11,"189,206",16.89,"10,679",195.57,"329,511",197.55,"10,286",38.03,"318,366",38.97,"18,993",47.13,"586,037",48.13,"49,428",5.34,"1,529,811",6.05,"136,063",13.72,"4,198,189",14.49,91,-18.75,"2,813",-18.27,169,-8.15,"5,207",-7.63,71,222.73,"2,185",230.56,36,--,"1,102",--,"25,551",23.70,"790,792",24.53,"42,395",1.85,"1,308,094",2.55,8,166.67,257,164.95,12,--,377,--,7,75.00,207,81.58,5,-96.69,166,-96.41,"1,321",70.23,"40,895",71.50,58,18.37,"1,802",18.87,"207,984",38.90,"6,437,154",39.85,"85,087",22.79,"2,625,333",23.62,"15,605",13.01,"482,968",13.78,"18,188",20.47,"561,186",21.30,215,-5.70,"6,656",-4.94,137,15.13,"4,233",15.81,6,20.00,198,18.56,3,-25.00,78,-29.73,"1,498",70.81,"46,360",71.92,"1,427",749.40,"44,035",755.38,"14,395",43.03,"445,541",44.01,"5,743",16.28,"177,183",17.05,0,--,0,--,0,--,0,--,"35,496",44.52,"1,098,593",45.50,"12,527",21.02,"386,516",21.84,492,-20.00,"15,241",-19.40,48,2.13,"1,481",3.28,0,--,0,--,0,--,4,--,"14,401",14.45,"445,707",15.23,"9,954",15.29,"307,130",16.07,0,--,5,--,0,--,0,-100.00,37,208.33,"1,135",205.93,5,--,146,--,"26,160",89.50,"809,667",90.78,"3,154",30.71,"97,328",31.59
2008M01,"485,183",13.33,"14,993,350",14.21,"364,359",12.12,"11,224,891",12.98,2,100.00,60,114.29,0,-100.00,3,-94.34,7,75.00,230,75.57,"4,507",--,"138,841",--,"1,387",1.61,"42,861",2.43,48,14.29,"1,467",14.34,0,--,3,200.00,0,--,1,--,44,-2.22,"1,349",-2.81,2,-33.33,63,-18.18,"1,018",3.67,"31,472",4.49,15,-46.43,477,-43.42,19,-13.64,595,-9.98,16,700.00,494,908.16,"94,521",-5.75,"2,920,925",-5.02,"4,606",-32.58,"141,898",-32.06,"7,399",38.84,"228,639",39.91,"8,570",200.81,"264,023",203.14,"8,147",-2.43,"251,775",-1.68,"19,092",23.92,"588,179",24.87,"44,268",-6.14,"1,367,969",-5.41,"136,776",19.17,"4,213,681",20.09,64,-1.54,"1,980",-0.40,210,26.51,"6,466",27.56,1,-97.14,37,-96.54,0,-100.00,9,-77.50,"26,074",21.30,"805,745",22.23,"42,078",-8.66,"1,296,303",-7.95,15,"1,400.00",455,"2,576.47",24,-67.57,755,-66.65,4,0.00,134,8.94,84,25.37,"2,578",26.06,"1,398",76.52,"43,207",77.92,73,35.19,"2,242",35.47,"195,187",26.40,"6,031,735",27.37,"89,684",16.42,"2,762,899",17.31,"14,793",4.77,"457,127",5.57,"15,953",6.97,"491,462",7.80,236,29.67,"7,280",30.12,158,17.91,"4,869",19.28,9,-10.00,284,-8.97,3,0.00,97,6.59,"1,215",22.98,"37,561",23.98,157,-37.94,"4,832",-37.64,"13,664",2.28,"422,235",3.07,"6,115",0.11,"188,391",0.89,0,--,0,--,0,--,0,--,"37,088",24.62,"1,146,119",25.58,"13,994",-1.27,"431,123",-0.51,555,10.34,"17,166",11.27,65,38.30,"1,988",39.22,0,--,0,--,0,--,0,--,"14,306",10.65,"442,084",11.50,"9,209",-6.73,"283,715",-6.00,0,--,0,--,0,--,1,-93.33,8,-66.67,261,-64.87,6,200.00,176,225.93,"23,746",49.66,"733,804",50.81,"3,106",5.83,"95,691",6.64
2008M02,"372,644",24.66,"11,659,505",27.94,"265,591",10.14,"8,284,200",13.02,3,200.00,81,189.29,0,--,1,0.00,18,260.00,565,262.18,0,--,0,--,"1,159",1.93,"36,257",4.63,40,73.91,"1,260",81.82,0,--,0,-100.00,0,--,0,--,51,45.71,"1,584",48.18,2,--,67,"1,575.00",768,5.64,"24,017",8.39,15,50.00,466,47.00,21,40.00,652,39.91,15,--,454,--,"65,541",-4.72,"2,050,708",-2.22,"2,345",-29.58,"73,157",-27.72,"6,298",26.11,"197,055",29.43,"5,375",31.16,"167,649",34.59,"6,404",17.98,"200,370",21.07,"13,335",12.19,"415,933",15.13,"37,706",-2.44,"1,179,790",0.12,"109,486",15.31,"3,415,036",18.34,59,-35.87,"1,833",-34.54,99,83.33,"3,073",86.70,51,218.75,"1,601",231.47,36,--,"1,135","12,511.11","21,547",28.92,"674,174",32.30,"31,947",1.78,"996,489",4.45,4,0.00,113,1.80,35,--,"1,103",--,1,-80.00,26,-82.55,6,-96.63,192,-96.45,"1,045",126.68,"32,697",132.39,34,-45.16,"1,057",-43.96,"149,070",49.97,"4,664,263",53.91,"56,976",6.90,"1,777,160",9.70,"13,375",29.08,"418,476",32.46,"13,444",35.47,"419,335",39.02,220,124.49,"6,885",129.88,162,42.11,"5,063",45.99,11,22.22,333,21.98,1,0.00,39,62.50,997,21.14,"31,187",24.36,164,38.98,"5,108",41.93,"13,536",33.11,"423,514",36.60,"5,214",22.45,"162,628",25.66,0,--,0,--,0,--,0,--,"26,140",36.93,"817,884",40.52,"9,785",4.94,"305,202",7.69,384,-15.23,"12,011",-13.08,58,114.81,"1,797",117.82,0,--,0,-100.00,0,--,0,-100.00,"11,636",5.96,"364,076",8.74,"8,050",-6.94,"251,099",-4.49,0,--,6,--,0,-100.00,4,-82.61,14,250.00,428,219.40,5,400.00,166,654.55,"16,578",58.66,"518,703",62.82,"2,179",15.60,"67,965",18.62
2008M03,"519,332",17.16,"16,796,014",24.73,"378,133",15.68,"12,190,057",23.14,20,"1,900.00",663,"1,691.89",0,--,3,50.00,14,-50.00,466,-44.39,"3,235",--,"104,283","2,606,975.00","1,538",17.76,"49,745",25.42,66,26.92,"2,132",36.06,0,--,5,--,0,--,1,--,163,328.95,"5,262",354.80,1,-80.00,26,-81.43,"1,334",18.16,"43,132",25.77,25,-13.79,814,-8.74,29,61.11,939,75.51,15,-59.46,477,-56.87,"98,569",-11.34,"3,187,878",-5.61,"5,249",-0.70,"169,227",5.72,"9,579",70.66,"309,809",81.70,"5,663",17.78,"182,557",25.38,"10,843",61.55,"350,674",71.99,"19,214",41.87,"619,424",51.02,"48,966",-3.07,"1,583,628",3.20,"150,887",14.03,"4,864,184",21.39,72,-5.26,"2,332",1.13,181,34.07,"5,832",42.77,72,-23.40,"2,330",-18.27,1,--,37,640.00,"25,742",17.17,"832,524",24.75,"40,367",-2.24,"1,301,324",4.07,16,--,505,"12,525.00",30,"2,900.00",977,"3,808.00",3,-62.50,92,-61.51,11,175.00,343,155.97,"1,643",87.99,"53,131",100.20,56,47.37,"1,793",54.70,"214,918",34.64,"6,950,788",43.35,"90,192",31.11,"2,907,545",39.56,"16,254",11.75,"525,682",18.98,"17,754",-3.30,"572,356",2.94,245,75.00,"7,911",85.92,136,-21.39,"4,391",-16.35,8,-65.22,270,-60.93,1,-66.67,47,-54.81,"1,334",31.69,"43,148",40.25,"1,027",62.50,"33,106",72.86,"15,975",11.53,"516,663",18.75,"7,255",13.15,"233,887",20.45,0,--,0,--,0,--,0,--,"32,070",52.27,"1,037,189",62.12,"11,895",0.38,"383,456",6.85,493,-11.81,"15,956",-6.01,99,110.64,"3,192",124.95,0,--,5,--,0,--,1,--,"13,904",-10.14,"449,674",-4.33,"11,065",10.67,"356,712",17.81,0,--,0,--,0,--,2,-85.71,16,77.78,502,90.15,3,-57.14,107,-52.65,"25,504",54.31,"824,852",64.29,"3,483",42.80,"112,291",52.04
2008M04,"459,912",5.49,"15,223,865",15.34,"344,320",0.36,"11,360,031",9.70,2,0.00,76,18.75,0,--,0,--,2,-50.00,67,-50.37,0,--,0,--,"1,488",28.72,"49,245",40.73,61,22.00,"2,001",31.30,0,--,3,--,0,--,0,--,54,8.00,"1,773",17.42,1,--,31,138.46,"1,175",-8.35,"38,882",0.17,20,17.65,668,27.48,26,62.50,873,82.25,13,18.18,445,40.38,"94,415",-10.34,"3,125,276",-1.97,"4,728",-1.93,"156,002",7.21,"6,828",18.03,"226,028",29.06,"8,949",104.41,"295,261",123.44,"9,286",24.66,"307,389",36.29,"17,098",33.71,"564,117",46.16,"45,321",2.16,"1,500,214",11.70,"131,496",-2.95,"4,338,371",6.08,54,-46.00,"1,804",-40.36,170,120.78,"5,615",141.51,42,-22.22,"1,382",-14.80,3,--,103,--,"22,662",7.51,"750,146",17.55,"34,378",-21.76,"1,134,220",-14.48,15,275.00,501,307.32,26,-10.34,848,-3.09,4,-42.86,135,-34.78,8,-93.70,250,-93.47,"1,353",25.86,"44,795",37.68,86,2.38,"2,846",12.58,"187,392",16.37,"6,202,980",27.23,"86,453",9.31,"2,852,287",19.48,"14,090",-3.15,"466,407",5.89,"18,874",1.52,"622,695",10.97,275,129.17,"9,118",150.22,117,-27.33,"3,863",-20.53,19,35.71,640,55.34,2,0.00,78,39.29,"1,026",-11.32,"33,977",-3.02,417,160.63,"13,752",184.72,"12,514",12.11,"414,220",22.58,"5,487",-12.22,"181,017",-4.06,0,--,0,--,0,--,0,--,"26,339",6.36,"871,851",16.29,"14,750",6.15,"486,653",16.03,553,-25.27,"18,300",-18.29,76,65.22,"2,510",79.54,0,--,0,--,7,--,241,--,"12,723",-15.66,"421,152",-7.79,"8,380",-20.66,"276,477",-13.28,0,--,0,-100.00,14,133.33,455,148.63,5,-84.85,173,-82.92,3,-40.00,112,-23.81,"22,235",13.59,"736,005",24.19,"3,061",0.92,"100,995",10.33
2008M05,"488,718",15.35,"16,013,058",25.59,"327,493",-1.08,"10,695,390",7.67,1,-50.00,32,-36.00,4,--,116,--,18,157.14,597,175.12,0,--,0,--,"1,446",17.75,"47,370",28.17,54,-73.66,"1,766",-71.36,0,--,0,-100.00,0,--,0,--,59,0.00,"1,938",8.94,0,-100.00,2,-93.75,"1,401",9.71,"45,895",19.38,14,0.00,444,4.47,20,66.67,654,83.19,22,"2,100.00",722,"1,705.00","92,316",-7.91,"3,024,776",0.27,"4,932",-2.05,"161,064",6.61,"11,148",34.01,"365,263",45.91,"4,980",-4.71,"162,647",3.73,"10,931",44.82,"358,161",57.69,"15,968",-3.77,"521,482",4.75,"45,997",13.58,"1,507,104",23.66,"115,305",-8.12,"3,765,691",0.02,63,-42.73,"2,081",-37.11,217,95.50,"7,077",113.10,37,-46.38,"1,218",-41.72,16,--,512,"51,100.00","24,413",25.28,"799,912",36.41,"36,291",-10.71,"1,185,207",-2.81,3,--,111,"1,287.50",0,-100.00,0,-100.00,6,50.00,187,52.03,3,-97.78,111,-97.26,"1,251",37.32,"40,995",49.49,53,-34.57,"1,743",-28.45,"201,981",26.87,"6,617,979",38.13,"89,173",13.11,"2,912,234",23.12,"15,775",11.01,"516,869",20.87,"21,088",27.23,"688,686",38.48,87,-62.17,"2,855",-58.68,127,25.74,"4,158",36.73,5,-54.55,179,-46.41,1,-50.00,30,-41.18,"1,096",2.91,"35,927",12.07,640,307.64,"20,911",343.78,"12,823",7.00,"420,160",16.50,"5,693",-19.51,"185,936",-12.38,0,--,0,--,0,--,0,--,"30,941",31.77,"1,013,796",43.47,"12,018",0.29,"392,480",9.17,654,-11.02,"21,427",-3.14,55,37.50,"1,796",48.06,0,--,0,--,0,--,1,-50.00,"13,374",-9.19,"438,194",-1.13,"8,337",-25.22,"272,275",-18.61,0,--,0,--,14,75.00,461,98.71,5,25.00,151,29.06,5,-28.57,157,-21.11,"22,861",25.25,"749,044",36.37,"3,196",13.98,"104,380",24.06
2008M06,"499,952",13.53,"16,467,391",23.70,"358,694",9.21,"11,775,920",18.96,11,266.67,353,320.24,5,--,172,"17,100.00",6,0.00,213,12.11,0,--,0,-100.00,"1,212",-19.41,"39,908",-12.25,64,60.00,"2,105",75.27,0,--,14,--,0,--,0,--,53,89.29,"1,754",105.63,2,100.00,56,166.67,"1,106",-26.56,"36,424",-19.97,28,64.71,921,83.83,35,337.50,"1,141",345.70,53,231.25,"1,724",251.84,"87,807",-17.97,"2,892,182",-10.62,"4,172",-18.52,"136,980",-11.23,"11,912",97.12,"392,358",114.76,"6,426",-11.45,"210,970",-3.55,"10,296",31.75,"339,125",43.55,"20,578",41.78,"675,581",54.44,"45,318",9.79,"1,492,671",19.62,"133,312",7.26,"4,376,636",16.84,53,-48.04,"1,738",-43.48,265,0.00,"8,702",8.86,42,-26.32,"1,378",-19.98,69,--,"2,254",--,"23,333",16.81,"768,553",27.27,"39,002",-4.42,"1,280,420",4.11,7,-30.00,243,-16.78,0,-100.00,0,-100.00,3,-40.00,89,-41.06,88,-6.38,"2,876",0.98,"1,025",6.77,"33,772",16.38,82,46.43,"2,703",61.57,"219,425",37.35,"7,227,427",49.66,"90,414",16.98,"2,968,275",27.43,"16,140",14.44,"531,608",24.69,"18,858",2.11,"619,108",11.22,355,44.31,"11,679",57.17,114,-51.07,"3,750",-46.65,26,36.84,859,53.67,8,300.00,267,352.54,"1,004",2.24,"33,067",11.42,194,10.86,"6,378",20.73,"11,525",-20.84,"379,599",-13.75,"6,986",30.36,"229,351",41.99,0,--,0,--,0,--,0,--,"29,790",1.45,"981,214",10.54,"14,001",11.71,"459,654",21.69,634,2.59,"20,891",11.91,60,87.50,"1,962",100.41,11,--,352,--,0,--,0,--,"15,275",0.63,"503,138",9.65,"8,999",-11.72,"295,444",-3.83,1,--,36,--,0,--,1,--,13,-23.53,441,-16.48,6,200.00,196,243.86,"23,524",22.67,"774,847",33.66,"3,195",7.50,"104,886",17.10
2008M07,"463,435",2.85,"15,269,654",10.95,"359,631",-4.46,"11,810,503",3.04,6,500.00,182,405.56,0,--,0,-100.00,7,40.00,224,53.42,134,--,"4,403",--,"2,138",77.28,"70,435",91.18,39,-30.36,"1,287",-23.94,0,--,0,-100.00,0,--,0,--,89,71.15,"2,941",85.08,6,20.00,199,45.26,951,-26.56,"31,344",-20.74,38,-7.32,"1,248",1.13,16,33.33,529,46.54,27,125.00,883,145.28,"87,920",-21.11,"2,896,870",-14.90,"4,361",-12.01,"143,214",-5.11,"7,799",29.55,"256,966",39.76,"8,067",-24.12,"264,933",-18.16,"7,807",5.84,"257,243",14.18,"23,425",7.94,"769,287",16.42,"45,920",8.63,"1,513,001",17.18,"128,410",-8.23,"4,217,086",-1.03,62,-59.48,"2,057",-55.88,285,66.67,"9,365",79.65,44,-76.47,"1,442",-74.72,37,15.63,"1,203",23.01,"25,982",28.20,"856,064",38.30,"38,337",-20.94,"1,259,025",-14.74,6,200.00,200,257.14,0,-100.00,0,-100.00,7,0.00,218,4.31,26,-23.53,839,-18.39,915,-19.74,"30,149",-13.42,71,1.43,"2,343",10.68,"183,289",7.88,"6,039,172",16.38,"89,892",5.44,"2,952,131",13.72,"15,826",3.12,"521,455",11.24,"19,955",2.62,"655,325",10.67,310,26.02,"10,209",35.83,323,4.19,"10,614",12.38,20,11.11,671,20.25,2,-33.33,53,-45.36,"1,252",4.95,"41,251",13.18,157,-80.42,"5,141",-78.94,"12,961",1.01,"427,051",8.96,"6,612",-6.52,"217,142",0.82,0,--,0,--,0,--,0,--,"34,516",29.47,"1,137,258",39.66,"15,276",9.73,"501,686",18.35,615,-21.05,"20,275",-14.81,78,77.27,"2,547",90.22,0,--,0,--,0,-100.00,0,-100.00,"13,080",-9.49,"430,981",-2.36,"8,969",-13.74,"294,546",-6.98,0,--,8,14.29,0,--,2,0.00,7,40.00,229,54.73,20,300.00,646,345.52,"21,883",23.58,"721,009",33.31,"3,750",15.88,"123,154",24.99
