期間,中東_原始值,中東_年增率(%),中東_原始值,中東_年增率(%),中東_原始值,中東_年增率(%),中東_原始值,中東_年增率(%),阿富汗_原始值,阿富汗_年增率(%),阿富汗_原始值,阿富汗_年增率(%),阿富汗_原始值,阿富汗_年增率(%),阿富汗_原始值,阿富汗_年增率(%),巴林_原始值,巴林_年增率(%),巴林_原始值,巴林_年增率(%),巴林_原始值,巴林_年增率(%),巴林_原始值,巴林_年增率(%),塞普勒斯_原始值,塞普勒斯_年增率(%),塞普勒斯_原始值,塞普勒斯_年增率(%),塞普勒斯_原始值,塞普勒斯_年增率(%),塞普勒斯_原始值,塞普勒斯_年增率(%),伊朗_原始值,伊朗_年增率(%),伊朗_原始值,伊朗_年增率(%),伊朗_原始值,伊朗_年增率(%),伊朗_原始值,伊朗_年增率(%),伊拉克_原始值,伊拉克_年增率(%),伊拉克_原始值,伊拉克_年增率(%),伊拉克_原始值,伊拉克_年增率(%),伊拉克_原始值,伊拉克_年增率(%),以色列_原始值,以色列_年增率(%),以色列_原始值,以色列_年增率(%),以色列_原始值,以色列_年增率(%),以色列_原始值,以色列_年增率(%),約旦_原始值,約旦_年增率(%),約旦_原始值,約旦_年增率(%),約旦_原始值,約旦_年增率(%),約旦_原始值,約旦_年增率(%),科威特_原始值,科威特_年增率(%),科威特_原始值,科威特_年增率(%),科威特_原始值,科威特_年增率(%),科威特_原始值,科威特_年增率(%),黎巴嫩_原始值,黎巴嫩_年增率(%),黎巴嫩_原始值,黎巴嫩_年增率(%),黎巴嫩_原始值,黎巴嫩_年增率(%),黎巴嫩_原始值,黎巴嫩_年增率(%),阿曼_原始值,阿曼_年增率(%),阿曼_原始值,阿曼_年增率(%),阿曼_原始值,阿曼_年增率(%),阿曼_原始值,阿曼_年增率(%),卡達_原始值,卡達_年增率(%),卡達_原始值,卡達_年增率(%),卡達_原始值,卡達_年增率(%),卡達_原始值,卡達_年增率(%),沙烏地阿拉伯_原始值,沙烏地阿拉伯_年增率(%),沙烏地阿拉伯_原始值,沙烏地阿拉伯_年增率(%),沙烏地阿拉伯_原始值,沙烏地阿拉伯_年增率(%),沙烏地阿拉伯_原始值,沙烏地阿拉伯_年增率(%),敘利亞_原始值,敘利亞_年增率(%),敘利亞_原始值,敘利亞_年增率(%),敘利亞_原始值,敘利亞_年增率(%),敘利亞_原始值,敘利亞_年增率(%),土耳其_原始值,土耳其_年增率(%),土耳其_原始值,土耳其_年增率(%),土耳其_原始值,土耳其_年增率(%),土耳其_原始值,土耳其_年增率(%),阿拉伯聯合大公國_原始值,阿拉伯聯合大公國_年增率(%),阿拉伯聯合大公國_原始值,阿拉伯聯合大公國_年增率(%),阿拉伯聯合大公國_原始值,阿拉伯聯合大公國_年增率(%),阿拉伯聯合大公國_原始值,阿拉伯聯合大公國_年增率(%),葉門_原始值,葉門_年增率(%),葉門_原始值,葉門_年增率(%),葉門_原始值,葉門_年增率(%),葉門_原始值,葉門_年增率(%)
2010M10,"15,205",12.24,"489,414",16.51,"68,263",10.00,"2,190,072",14.16,1,-50.00,46,-14.81,0,--,0,--,121,92.06,"3,892",100.41,255,-48.59,"8,188",-46.64,83,-38.97,"2,678",-36.33,7,-22.22,221,-19.05,"1,965",7.03,"63,237",11.09,"4,768",48.86,"152,971",54.48,37,68.18,"1,187",70.79,44,-98.87,"1,418",-98.82,"1,223",7.19,"39,355",11.19,"1,702",18.61,"54,608",23.10,475,-15.63,"15,284",-12.52,98,88.46,"3,134",94.66,342,-6.81,"11,012",-3.11,"9,984",-7.05,"320,314",-3.52,189,0.00,"6,095",4.17,9,350.00,295,360.94,262,79.45,"8,447",86.26,"3,354",-2.61,"107,589",1.06,107,-11.57,"3,457",-8.20,"8,326",206.33,"267,126",217.97,"2,608",62.90,"83,948",69.11,"30,110",4.84,"966,006",8.82,527,17.37,"16,961",21.86,228,--,"7,330",--,"3,864",2.74,"124,357",6.64,399,-61.07,"12,795",-59.60,"3,333",7.59,"107,259",11.65,"8,968",41.63,"287,723",46.99,68,30.77,"2,199",35.24,11,57.14,354,69.38
2010M11,"16,918",20.75,"558,183",28.93,"74,887",14.85,"2,462,577",22.59,1,-50.00,45,-21.05,2,--,72,--,116,68.12,"3,833",80.21,229,-84.21,"7,545",-83.11,130,60.49,"4,275",71.82,5,-28.57,155,-24.02,"2,327",7.73,"76,781",15.05,"3,011",-45.19,"99,009",-41.50,32,-11.11,"1,070",-3.95,0,-100.00,13,-100.00,"1,543",25.14,"50,899",33.62,"2,147",32.69,"70,615",41.65,601,-4.45,"19,833",1.97,222,101.82,"7,297",115.51,412,18.39,"13,609",26.60,"19,652",73.30,"646,242",84.98,239,14.90,"7,872",22.43,6,--,186,"1,966.67",189,13.17,"6,228",20.63,"1,388",-62.61,"45,657",-60.08,169,22.46,"5,566",30.57,"8,863",184.53,"291,439",203.70,"2,856",56.32,"94,230",66.88,"32,523",65.39,"1,069,484",76.54,635,10.24,"20,941",17.73,576,"57,500.00","18,931","111,258.82","3,618",5.51,"119,372",12.66,342,-28.90,"11,233",-24.24,"3,964",31.08,"130,787",39.94,"5,905",-33.50,"194,180",-29.02,86,2.38,"2,842",9.48,16,14.29,519,23.57
2010M12,"16,991",22.76,"563,519",30.96,"76,014",-15.23,"2,512,819",-9.57,1,--,41,173.33,0,--,1,0.00,54,-33.33,"1,790",-28.88,250,-54.38,"8,269",-51.32,93,-6.06,"3,083",-0.26,5,-80.00,150,-80.65,"1,945",-7.73,"64,500",-1.56,"10,457",12.87,"345,701",20.40,31,-11.43,"1,040",-4.94,0,-100.00,0,-100.00,"1,151",1.23,"38,190",8.02,"1,429",-17.59,"47,224",-12.13,478,-7.18,"15,845",-1.05,286,91.95,"9,443",104.84,303,18.36,"10,056",26.30,"16,605",-1.91,"548,912",4.63,240,14.29,"7,962",21.93,4,100.00,131,72.37,223,18.62,"7,387",26.58,376,-62.55,"12,442",-60.02,128,-7.91,"4,259",-1.11,"6,178",89.80,"204,241",102.49,"2,307",24.64,"76,507",32.96,"33,147",-14.70,"1,095,766",-9.00,369,-22.64,"12,228",-17.61,7,-99.13,218,-99.12,"3,540",11.46,"117,398",18.89,277,-18.77,"9,167",-13.34,"6,046",73.19,"200,517",84.77,"6,976",-28.08,"230,604",-23.27,81,3.85,"2,677",10.67,17,54.55,550,62.72
2011M01,"18,168",29.35,"620,842",41.08,"86,926",-6.88,"2,960,699",1.56,1,-87.50,43,-82.23,0,--,0,--,87,11.54,"2,963",21.09,216,-87.14,"7,342",-86.00,81,-21.36,"2,762",-14.01,1,-92.31,47,-88.04,"2,192",6.56,"74,924",16.26,"7,390",261.02,"251,708",293.74,45,45.16,"1,524",56.63,0,-100.00,0,-100.00,"1,539",20.14,"52,597",31.01,"2,151",34.52,"73,259",46.72,543,8.60,"18,543",18.33,26,-83.44,881,-81.98,316,-11.98,"10,790",-4.15,"21,931",4.54,"746,970",14.01,203,-11.35,"6,931",-3.51,3,-40.00,90,-43.04,295,57.75,"10,086",72.32,"2,571",-71.60,"87,579",-69.02,160,33.33,"5,467",45.28,"8,369",387.14,"285,060",431.16,"4,399",129.59,"150,327",150.44,"31,933",-19.99,"1,087,629",-12.74,492,18.84,"16,820",29.61,"1,398",76.07,"47,629",92.05,"3,825",5.81,"130,714",15.41,358,-15.96,"12,198",-8.36,"3,890",25.40,"132,948",36.80,"10,560",73.77,"359,664",89.51,100,117.39,"3,403",136.16,19,216.67,643,251.37
2011M02,"12,520",-0.69,"430,006",9.19,"82,440",26.45,"2,822,305",39.00,1,0.00,18,-41.94,0,--,0,--,58,-17.14,"1,979",-9.92,"1,569",525.10,"53,701",587.86,79,-24.76,"2,703",-17.26,2,0.00,83,13.70,"1,456",-21.13,"50,008",-13.30,"2,535",-32.60,"86,769",-25.92,35,118.75,"1,204",138.89,"7,948",81.17,"272,082",99.15,"1,073",9.71,"36,875",20.71,"1,608",1.71,"55,056",11.85,402,-2.43,"13,817",7.37,10,-83.05,353,-80.71,272,-6.21,"9,335",3.13,"16,625",53.57,"569,162",68.81,122,-17.01,"4,175",-8.80,11,450.00,378,551.72,368,47.20,"12,630",61.70,"4,030",-39.43,"137,967",-33.42,102,-17.07,"3,516",-8.29,"7,709",37.34,"263,913",50.98,"1,919",33.08,"65,907",46.32,"32,066",60.24,"1,097,790",76.15,495,24.06,"17,006",36.57,1,-99.60,25,-99.68,"3,319",-0.93,"114,023",8.94,372,-17.15,"12,723",-9.09,"2,770",-11.22,"95,142",-2.39,"7,936",-30.07,"271,677",-23.13,49,-15.52,"1,668",-7.64,18,350.00,626,385.27
2011M03,"20,352",22.58,"689,621",32.56,"83,540",-18.71,"2,821,333",-12.12,2,100.00,81,189.29,0,--,0,-100.00,144,75.61,"4,867",90.04,"1,693",-66.38,"57,177",-63.66,114,-12.31,"3,846",-5.67,7,40.00,235,50.64,"2,245",13.27,"76,072",22.47,"10,055",-25.70,"339,588",-19.68,58,45.00,"1,958",56.51,0,--,0,--,"1,615",0.44,"54,737",8.65,"2,044",-1.40,"69,017",6.56,732,32.85,"24,810",43.78,257,176.34,"8,696",200.48,514,31.79,"17,429",42.67,"19,594",15.26,"661,724",24.60,309,29.83,"10,459",40.45,9,800.00,313,745.95,881,261.07,"29,855",290.87,"5,032",-16.36,"169,946",-9.57,221,-5.96,"7,498",2.00,"6,677",36.82,"225,487",47.92,"4,656",123.52,"157,763",141.68,"27,992",-24.58,"945,361",-18.47,493,-2.76,"16,694",5.05,"1,472",--,"49,706","414,116.67","4,293",-16.43,"145,488",-9.63,359,-59.84,"12,118",-56.61,"4,013",22.24,"135,971",32.15,"8,330",-48.31,"281,330",-44.11,62,-32.61,"2,089",-27.26,19,111.11,635,128.42
2011M04,"18,077",19.37,"618,880",29.14,"89,096",4.16,"3,039,751",12.66,0,-100.00,2,-90.48,0,--,0,--,113,52.70,"3,885",65.46,"2,847",206.79,"97,125",231.67,83,-51.18,"2,857",-46.99,9,50.00,322,84.00,"1,920",3.39,"65,741",11.89,"9,795",27.31,"334,203",37.70,43,59.26,"1,480",75.98,0,-100.00,0,-100.00,"1,482",-0.27,"50,719",7.84,"2,021",16.48,"68,959",26.03,607,13.67,"20,779",22.97,61,-18.67,"2,069",-12.14,365,9.61,"12,497",18.53,"15,604",-24.64,"532,381",-18.49,183,-22.46,"6,256",-16.21,10,900.00,336,"1,144.44",420,159.26,"14,387",180.28,"1,613",-72.52,"55,023",-70.29,146,-30.81,"4,989",-25.29,"12,589",338.64,"429,496",374.40,"4,475",92.89,"153,199",108.65,"34,340",56.75,"1,171,604",69.53,374,-29.83,"12,790",-24.16,1,-50.00,24,-51.02,"4,279",5.71,"146,482",14.36,352,-6.63,"12,010",1.11,"3,533",14.63,"120,960",24.04,"9,826",4.29,"335,249",12.80,54,-22.86,"1,855",-16.55,28,600.00,950,608.96
2011M05,"18,534",-5.18,"646,366",4.17,"102,019",-0.24,"3,546,038",9.58,2,-33.33,57,-43.56,0,--,0,--,116,26.09,"4,037",38.73,"1,449",26.99,"50,382",39.55,104,-37.72,"3,643",-31.21,9,0.00,318,13.17,"2,634",25.13,"91,861",37.44,"7,414",-2.83,"257,693",6.72,48,2.13,"1,658",10.53,"6,752",-26.97,"234,684",-19.78,"1,922",27.88,"67,050",40.56,"2,459",51.23,"85,485",66.15,720,31.39,"25,102",44.36,69,-82.49,"2,395",-80.80,426,12.40,"14,859",23.58,"18,248",-2.26,"634,273",7.36,226,-14.07,"7,880",-5.49,11,10.00,371,19.68,447,76.68,"15,581",94.25,"1,640",-73.34,"57,010",-70.71,165,18.71,"5,747",29.88,"7,780",136.83,"270,436",160.14,"2,885",8.95,"100,621",19.72,"47,255",7.58,"1,642,510",18.16,334,-26.75,"11,652",-19.55,994,"99,300.00","34,535","76,644.44","4,796",7.87,"167,278",18.52,457,-12.28,"15,873",-3.70,"3,641",-16.74,"126,984",-8.52,"7,448",-22.75,"258,881",-15.15,68,-96.80,"2,356",-96.51,34,183.33,"1,192",201.77
2011M06,"20,594",24.57,"716,088",39.64,"82,568",-6.21,"2,861,044",5.10,1,-75.00,43,-65.60,0,--,4,33.33,109,5.83,"3,783",18.40,"1,293",-25.39,"44,810",-16.39,75,-39.52,"2,619",-32.15,15,275.00,524,296.97,"2,731",-2.46,"94,973",9.37,"4,194",-18.50,"145,308",-8.69,43,-43.42,"1,509",-36.19,"6,906",-19.41,"239,298",-9.69,"1,394",-13.52,"48,452",-3.11,"1,985",1.90,"68,786",14.20,562,9.77,"19,546",23.17,462,83.33,"16,020",105.28,410,19.19,"14,253",33.68,"19,101",2.68,"661,860",15.07,261,-0.38,"9,072",11.53,20,-16.67,695,-5.18,369,105.00,"12,814",129.07,885,-37.59,"30,682",-30.04,182,-2.15,"6,322",9.47,"7,245",13.06,"251,050",26.70,"6,655",187.85,"231,405",222.69,"27,903",-15.50,"966,848",-5.31,361,-23.52,"12,550",-14.31,4,100.00,146,147.46,"3,499",-1.19,"121,655",10.77,"1,249",163.50,"43,284",195.43,"3,896",-0.28,"135,480",11.79,"11,280",8.16,"390,840",21.20,46,-52.58,"1,612",-46.50,26,333.33,889,399.44
2011M07,"21,520",22.06,"747,218",36.01,"109,061",3.14,"3,773,752",14.88,2,100.00,60,57.89,0,--,0,--,136,40.21,"4,711",56.25,"1,076",-42.80,"37,232",-36.27,129,16.22,"4,493",29.59,2,--,65,"1,525.00","2,991",33.53,"103,850",48.76,"8,617",-26.17,"298,182",-17.76,56,55.56,"1,953",74.69,"5,957",-52.43,"206,126",-47.01,"1,646",16.74,"57,141",30.06,"1,994",24.39,"69,006",38.61,689,19.83,"23,908",33.53,142,84.42,"4,899",104.13,440,-6.38,"15,280",4.39,"22,646",119.78,"783,598",144.79,186,-8.82,"6,475",1.81,23,155.56,792,168.47,427,-18.67,"14,810",-9.39,"4,547",-59.81,"157,347",-55.24,229,68.38,"7,959",87.80,"10,286",49.48,"355,914",66.50,"5,436",39.89,"188,760",55.88,"36,875",-5.23,"1,275,954",5.57,949,65.04,"32,952",83.96,1,0.00,34,112.50,"3,688",10.29,"128,065",22.91,903,92.95,"31,258",114.88,"4,476",14.56,"155,413",27.63,"14,687",45.65,"508,193",62.23,40,-64.91,"1,388",-60.89,"1,305","8,600.00","45,152","9,445.88"
2011M08,"18,322",-11.43,"635,082",-2.04,"75,407",17.51,"2,604,727",29.93,4,100.00,122,71.83,0,--,0,--,114,25.27,"3,962",38.19,464,42.33,"16,036",57.37,101,-22.31,"3,510",-13.74,6,0.00,193,7.22,"2,324",-6.63,"80,546",3.28,"3,898",-45.68,"134,644",-39.94,45,12.50,"1,554",23.92,0,-100.00,0,-100.00,"1,645",8.51,"57,007",19.97,"1,625",-40.28,"56,134",-33.96,532,10.37,"18,443",22.00,70,29.63,"2,423",43.88,389,-14.69,"13,479",-5.77,"14,077",-2.64,"486,235",7.65,231,-8.33,"7,996",1.32,14,250.00,495,258.70,360,22.45,"12,480",35.33,975,-24.71,"33,695",-16.71,153,-0.65,"5,308",9.67,"11,530",150.27,"398,274",176.75,"3,233",-36.51,"112,066",-29.77,"34,344",76.03,"1,186,324",94.64,754,27.80,"26,148",41.37,1,-50.00,28,-54.84,"4,240",17.06,"146,981",29.48,400,-15.97,"13,799",-7.23,"4,159",-22.95,"144,167",-14.78,"7,995",-15.23,"276,168",-6.26,38,-51.28,"1,311",-46.12,8,-79.49,279,-76.90
2011M09,"16,100",12.23,"551,960",22.61,"80,248",18.32,"2,741,651",29.23,0,-100.00,9,-83.64,0,--,0,-100.00,121,16.35,"4,142",26.43,278,-58.51,"9,483",-54.75,92,-11.54,"3,152",-3.58,2,-66.67,66,-66.83,"1,925",-0.62,"65,988",8.55,"6,976",-22.84,"238,341",-15.72,27,-18.18,942,-8.63,0,--,0,--,"1,457",1.25,"49,941",10.59,"1,085",-42.35,"37,085",-36.99,605,36.57,"20,724",48.98,73,-69.71,"2,506",-66.73,414,2.22,"14,197",11.75,"13,880",-12.29,"474,217",-4.20,248,24.00,"8,516",35.61,15,650.00,517,934.00,397,56.30,"13,606",70.87,"1,666",-12.41,"56,925",-4.34,220,69.23,"7,536",84.43,"11,312",117.12,"386,481",137.15,"2,953",38.12,"101,233",50.89,"30,403",22.18,"1,038,703",33.45,264,-35.45,"9,053",-29.42,1,-99.76,20,-99.85,"3,787",14.00,"129,828",24.55,426,-39.23,"14,545",-33.63,"3,558",6.53,"121,984",16.38,"14,109",100.78,"482,025",119.31,32,-62.35,"1,109",-58.51,22,57.14,737,73.41
2011M10,"21,550",41.73,"709,047",44.88,"92,140",34.98,"3,021,986",37.99,3,200.00,84,82.61,0,--,1,--,156,28.93,"5,133",31.89,791,210.20,"25,937",216.77,104,25.30,"3,431",28.12,6,-14.29,183,-17.19,"2,540",29.26,"83,573",32.16,"5,031",5.52,"165,000",7.86,74,100.00,"2,422",104.04,0,-100.00,2,-99.86,"1,460",19.38,"48,037",22.06,"1,502",-11.75,"49,277",-9.76,721,51.79,"23,721",55.20,150,53.06,"4,920",56.99,538,57.31,"17,689",60.63,"17,616",76.44,"577,776",80.38,269,42.33,"8,852",45.23,12,33.33,379,28.47,417,59.16,"13,713",62.34,"10,831",222.93,"355,245",230.19,225,110.28,"7,407",114.26,"6,889",-17.26,"225,944",-15.42,"6,387",144.90,"210,164",150.35,"34,727",15.33,"1,138,961",17.90,530,0.57,"17,456",2.92,6,-97.37,197,-97.31,"3,718",-3.78,"122,335",-1.63,377,-5.51,"12,367",-3.35,"4,363",30.90,"143,562",33.85,"12,630",40.83,"414,224",43.97,45,-33.82,"1,468",-33.24,"1,572","14,190.91","51,573","14,468.64"
