期間,大洋洲_原始值,大洋洲_年增率(%),大洋洲_原始值,大洋洲_年增率(%),大洋洲_原始值,大洋洲_年增率(%),大洋洲_原始值,大洋洲_年增率(%),澳大利亞_原始值,澳大利亞_年增率(%),澳大利亞_原始值,澳大利亞_年增率(%),澳大利亞_原始值,澳大利亞_年增率(%),澳大利亞_原始值,澳大利亞_年增率(%),斐濟_原始值,斐濟_年增率(%),斐濟_原始值,斐濟_年增率(%),斐濟_原始值,斐濟_年增率(%),斐濟_原始值,斐濟_年增率(%),吉里巴斯_原始值,吉里巴斯_年增率(%),吉里巴斯_原始值,吉里巴斯_年增率(%),吉里巴斯_原始值,吉里巴斯_年增率(%),吉里巴斯_原始值,吉里巴斯_年增率(%),馬爾地夫_原始值,馬爾地夫_年增率(%),馬爾地夫_原始值,馬爾地夫_年增率(%),馬爾地夫_原始值,馬爾地夫_年增率(%),馬爾地夫_原始值,馬爾地夫_年增率(%),諾魯_原始值,諾魯_年增率(%),諾魯_原始值,諾魯_年增率(%),諾魯_原始值,諾魯_年增率(%),諾魯_原始值,諾魯_年增率(%),紐克里多尼亞_原始值,紐克里多尼亞_年增率(%),紐克里多尼亞_原始值,紐克里多尼亞_年增率(%),紐克里多尼亞_原始值,紐克里多尼亞_年增率(%),紐克里多尼亞_原始值,紐克里多尼亞_年增率(%),紐西蘭_原始值,紐西蘭_年增率(%),紐西蘭_原始值,紐西蘭_年增率(%),紐西蘭_原始值,紐西蘭_年增率(%),紐西蘭_原始值,紐西蘭_年增率(%),巴布亞新幾內亞_原始值,巴布亞新幾內亞_年增率(%),巴布亞新幾內亞_原始值,巴布亞新幾內亞_年增率(%),巴布亞新幾內亞_原始值,巴布亞新幾內亞_年增率(%),巴布亞新幾內亞_原始值,巴布亞新幾內亞_年增率(%),薩摩亞_原始值,薩摩亞_年增率(%),薩摩亞_原始值,薩摩亞_年增率(%),薩摩亞_原始值,薩摩亞_年增率(%),薩摩亞_原始值,薩摩亞_年增率(%),薩摩亞（美屬）_原始值,薩摩亞（美屬）_年增率(%),薩摩亞（美屬）_原始值,薩摩亞（美屬）_年增率(%),薩摩亞（美屬）_原始值,薩摩亞（美屬）_年增率(%),薩摩亞（美屬）_原始值,薩摩亞（美屬）_年增率(%),所羅門島_原始值,所羅門島_年增率(%),所羅門島_原始值,所羅門島_年增率(%),所羅門島_原始值,所羅門島_年增率(%),所羅門島_原始值,所羅門島_年增率(%),大溪地_原始值,大溪地_年增率(%),大溪地_原始值,大溪地_年增率(%),大溪地_原始值,大溪地_年增率(%),大溪地_原始值,大溪地_年增率(%),東加_原始值,東加_年增率(%),東加_原始值,東加_年增率(%),東加_原始值,東加_年增率(%),東加_原始值,東加_年增率(%),吐瓦魯_原始值,吐瓦魯_年增率(%),吐瓦魯_原始值,吐瓦魯_年增率(%),吐瓦魯_原始值,吐瓦魯_年增率(%),吐瓦魯_原始值,吐瓦魯_年增率(%),萬那杜_原始值,萬那杜_年增率(%),萬那杜_原始值,萬那杜_年增率(%),萬那杜_原始值,萬那杜_年增率(%),萬那杜_原始值,萬那杜_年增率(%)
2010M10,"10,884",7.56,"350,371",11.67,"27,815",78.99,"892,325",85.76,"9,323",12.30,"300,060",16.57,"26,008",86.85,"834,396",93.93,136,74.36,"4,368",81.40,6,500.00,202,596.55,0,--,2,--,9,28.57,282,38.24,20,100.00,654,105.02,3,-50.00,86,-49.71,3,--,111,--,0,--,0,-100.00,53,165.00,"1,700",174.19,522,56.29,"16,748",62.18,951,13.48,"30,623",17.86,"1,192",-0.25,"38,244",3.52,215,-61.26,"6,930",-59.73,14,-63.16,436,-63.30,6,200.00,180,153.52,15,-40.00,470,-37.99,18,-80.00,594,-78.77,6,--,198,--,0,-100.00,0,-100.00,1,--,29,--,7,133.33,234,165.91,0,--,6,--,5,150.00,171,189.83,1,--,22,266.67,0,--,8,--,0,--,0,--,0,-100.00,5,-76.19,9,--,279,--
2010M11,"10,450",18.32,"344,871",26.37,"28,215",45.41,"927,779",55.22,"8,490",16.03,"280,119",23.89,"25,718",47.21,"845,711",57.14,105,98.11,"3,464",110.58,6,200.00,193,302.08,4,100.00,147,188.24,0,-100.00,0,-100.00,14,100.00,450,102.70,2,-60.00,67,-58.39,0,--,8,--,0,--,0,--,12,-33.33,411,-25.14,866,57.45,"28,484",68.21,912,1.90,"30,100",8.79,"1,522",15.48,"50,042",23.24,570,198.43,"18,806",218.10,5,-76.19,151,-76.66,8,60.00,268,90.07,22,100.00,720,122.22,49,6.52,"1,627",14.74,19,850.00,617,895.16,9,12.50,304,22.09,0,--,0,-100.00,2,-33.33,57,-46.73,4,--,125,--,0,-100.00,9,-94.92,0,--,0,-100.00,32,--,"1,062",--,0,--,0,--,1,-50.00,46,-4.17,16,"1,500.00",526,"2,668.42"
2010M12,"8,896",15.68,"295,029",23.41,"22,357",31.14,"739,030",39.89,"7,095",9.07,"235,313",16.37,"20,018",30.04,"661,738",38.72,203,21.56,"6,738",29.60,14,600.00,455,775.00,6,--,188,"1,242.86",9,--,286,--,5,66.67,171,116.46,2,0.00,65,18.18,0,--,0,--,0,--,0,--,12,50.00,414,61.09,714,88.39,"23,597",101.07,860,18.78,"28,527",26.78,"1,474",19.84,"48,714",27.80,270,800.00,"8,941",845.14,64,"1,500.00","2,102","1,727.83",24,200.00,791,232.35,22,29.41,711,38.33,44,340.00,"1,472",364.35,4,--,123,"1,950.00",13,--,417,"6,850.00",0,-100.00,12,-72.09,2,-77.78,54,-81.31,0,-100.00,6,-92.41,1,-50.00,50,-18.03,1,--,33,--,0,--,0,--,0,-100.00,0,-100.00,1,0.00,26,-39.53,0,--,12,--
2011M01,"11,980",-0.22,"409,440",8.84,"24,397",2.96,"830,994",12.29,"10,494",6.41,"358,657",16.09,"21,676",1.29,"738,286",10.47,145,93.33,"4,972",111.04,5,-50.00,179,-43.35,2,-33.33,59,-33.71,11,57.14,385,78.24,9,50.00,316,57.21,5,25.00,177,32.09,0,--,0,-100.00,0,--,0,--,11,-26.67,365,-23.80,779,66.10,"26,548",81.44,837,-46.59,"28,605",-41.72,"1,801",2.86,"61,353",12.20,245,-4.30,"8,369",4.20,42,200.00,"1,429",232.33,57,850.00,"1,948",878.89,30,25.00,"1,017",34.35,14,-44.00,473,-39.90,6,50.00,190,71.17,5,66.67,163,91.76,0,--,0,--,0,-100.00,5,-97.19,0,--,15,--,0,-100.00,15,-21.05,1,--,26,188.89,0,--,0,--,0,--,0,--,2,0.00,61,-19.74,7,40.00,228,38.18
2011M02,"6,221",-20.14,"213,693",-12.19,"21,240",42.87,"727,072",57.05,"5,015",-26.56,"172,291",-19.24,"19,026",47.83,"651,338",62.51,198,235.59,"6,796",268.75,11,-92.76,392,-91.71,2,100.00,80,207.69,1,-66.67,25,-69.14,5,-54.55,164,-53.28,4,-20.00,121,-14.79,9,--,298,"14,800.00",0,--,0,--,11,-21.43,381,-12.61,805,54.51,"27,568",69.95,572,1.06,"19,636",11.08,"1,302",4.49,"44,560",14.87,53,3.92,"1,830",13.88,33,--,"1,120","7,900.00",54,800.00,"1,840",883.96,4,-84.00,142,-81.49,34,30.77,"1,164",41.09,8,0.00,278,12.10,0,-100.00,1,-99.17,0,--,0,--,0,-100.00,0,-100.00,4,--,123,778.57,3,200.00,88,131.58,1,--,27,--,0,--,0,--,0,--,0,--,1,-50.00,25,-56.14,17,466.67,566,419.27
2011M03,"10,442",-18.47,"353,770",-11.86,"31,565",58.25,"1,066,061",71.08,"8,114",-13.52,"274,949",-6.49,"28,882",65.53,"975,424",78.95,130,-34.34,"4,397",-29.00,6,500.00,188,317.78,1,--,23,155.56,11,450.00,367,543.86,7,-30.00,227,-27.94,6,0.00,202,2.54,1,--,25,--,0,--,0,-100.00,15,50.00,502,57.37,730,0.97,"24,667",9.19,"1,797",-23.27,"60,882",-17.05,"1,864",8.50,"62,961",17.28,45,-93.00,"1,514",-92.48,1,-75.00,27,-80.58,73,421.43,"2,472",483.02,27,50.00,911,62.97,23,283.33,782,313.76,1,0.00,36,16.13,14,250.00,470,327.27,3,--,98,--,4,33.33,129,26.47,4,33.33,151,58.95,3,200.00,93,132.50,0,--,0,-100.00,0,--,8,300.00,0,--,0,--,1,--,43,760.00,0,-100.00,0,-100.00
2011M04,"12,040",26.19,"412,161",36.48,"35,816",51.24,"1,221,996",63.57,"10,860",54.70,"371,805",67.36,"32,547",49.63,"1,110,430",61.83,97,22.78,"3,318",32.03,13,85.71,451,101.34,1,-50.00,30,-41.18,15,--,509,--,5,-50.00,176,-45.51,4,-33.33,150,-15.73,0,--,0,--,0,--,0,--,15,36.36,514,42.38,725,55.25,"24,752",67.84,757,-54.26,"25,916",-50.52,"2,316",63.33,"79,032",76.67,45,-89.98,"1,537",-89.17,113,"5,550.00","3,839","5,463.77",30,50.00,"1,015",57.85,13,8.33,441,18.23,3,-82.35,110,-79.85,2,--,80,--,15,"1,400.00",499,"1,213.16",6,--,194,--,2,-60.00,64,-57.89,0,--,3,--,2,0.00,57,-21.92,1,--,45,--,0,--,3,-62.50,0,--,0,--,1,--,30,400.00,1,--,46,--
2011M05,"9,102",-1.04,"317,355",8.70,"30,617",15.04,"1,064,205",26.35,"7,552",9.69,"263,400",20.51,"27,336",14.64,"950,163",25.92,158,54.90,"5,511",70.25,21,600.00,728,593.33,2,-33.33,57,-45.19,17,--,604,--,5,-44.44,174,-37.18,3,-40.00,119,-27.88,0,-100.00,13,-63.89,0,--,2,--,10,-41.18,332,-37.24,506,-23.68,"17,593",-16.14,863,-48.01,"30,083",-42.91,"2,609",30.71,"90,699",43.61,327,23.86,"11,394",36.06,59,28.26,"2,034",40.28,5,-50.00,168,-44.74,13,44.44,448,54.48,7,-82.50,229,-81.77,9,-10.00,296,-6.03,12,140.00,428,156.29,0,--,0,--,2,-80.00,54,-82.91,0,-100.00,2,-99.14,4,300.00,122,165.22,0,--,0,-100.00,0,--,0,--,0,--,0,--,4,300.00,127,535.00,4,33.33,149,53.61
2011M06,"9,305",-8.42,"323,578",2.67,"31,160",-3.54,"1,079,796",8.10,"7,578",-6.67,"263,496",4.62,"28,965",-1.22,"1,003,644",10.70,143,6.72,"4,978",20.13,2,-33.33,83,-17.82,1,--,51,920.00,0,--,0,--,10,66.67,354,86.32,6,50.00,219,80.99,0,-100.00,0,-100.00,0,--,0,-100.00,16,23.08,565,35.17,293,-57.54,"10,156",-52.41,942,3.18,"32,754",15.69,"1,758",-21.41,"60,908",-11.93,159,-26.39,"5,524",-17.59,62,"1,450.00","2,146","1,868.81",9,-73.53,303,-70.87,37,146.67,"1,299",187.39,43,"1,333.33","1,494","1,336.54",3,-40.00,108,-32.50,8,-55.56,275,-50.27,1,--,24,--,5,66.67,175,66.67,0,--,0,-100.00,1,--,37,428.57,0,-100.00,13,-23.53,72,105.71,"2,504",134.02,0,--,0,--,2,-33.33,79,-19.39,6,--,223,--
2011M07,"12,365",30.08,"429,412",44.96,"30,098",11.69,"1,041,520",24.40,"9,407",14.58,"326,643",27.67,"27,508",13.39,"951,838",26.30,206,347.83,"7,158",396.39,9,--,321,"2,040.00",0,-100.00,16,-76.47,24,118.18,828,139.31,16,45.45,543,60.18,5,0.00,182,15.92,0,--,0,--,0,--,0,--,15,66.67,520,84.40,478,-33.89,"16,555",-26.30,"2,003",104.18,"69,563",127.50,"1,987",13.48,"68,754",26.43,472,"1,585.71","16,395","1,756.74",24,-85.09,821,-83.56,16,33.33,556,44.04,21,110.00,737,138.51,22,83.33,751,104.63,9,350.00,315,363.24,0,-100.00,1,-98.80,8,--,293,--,2,-75.00,64,-72.65,0,--,1,--,1,-80.00,38,-76.83,2,--,67,"2,133.33",0,--,0,--,0,--,0,--,6,50.00,217,60.74,1,-66.67,24,-77.98
