期間,出口-合計_原始值,出口-合計_年增率(%),出口-合計_原始值,出口-合計_年增率(%),出口-動物及動物產品_原始值,出口-動物及動物產品_年增率(%),出口-動物及動物產品_原始值,出口-動物及動物產品_年增率(%),出口-動物及動物產品-(1)水產品_原始值,出口-動物及動物產品-(1)水產品_年增率(%),出口-動物及動物產品-(1)水產品_原始值,出口-動物及動物產品-(1)水產品_年增率(%),出口-植物產品_原始值,出口-植物產品_年增率(%),出口-植物產品_原始值,出口-植物產品_年增率(%),出口-調製食品、飲料及菸業_原始值,出口-調製食品、飲料及菸業_年增率(%),出口-調製食品、飲料及菸業_原始值,出口-調製食品、飲料及菸業_年增率(%),出口-礦產品_原始值,出口-礦產品_年增率(%),出口-礦產品_原始值,出口-礦產品_年增率(%),出口-化學品_原始值,出口-化學品_年增率(%),出口-化學品_原始值,出口-化學品_年增率(%),出口-塑膠、橡膠及其製品_原始值,出口-塑膠、橡膠及其製品_年增率(%),出口-塑膠、橡膠及其製品_原始值,出口-塑膠、橡膠及其製品_年增率(%),出口-塑膠、橡膠及其製品-(1)塑膠及其製品_原始值,出口-塑膠、橡膠及其製品-(1)塑膠及其製品_年增率(%),出口-塑膠、橡膠及其製品-(1)塑膠及其製品_原始值,出口-塑膠、橡膠及其製品-(1)塑膠及其製品_年增率(%),出口-塑膠、橡膠及其製品-(2)橡膠及其製品_原始值,出口-塑膠、橡膠及其製品-(2)橡膠及其製品_年增率(%),出口-塑膠、橡膠及其製品-(2)橡膠及其製品_原始值,出口-塑膠、橡膠及其製品-(2)橡膠及其製品_年增率(%),出口-皮革、毛皮製品_原始值,出口-皮革、毛皮製品_年增率(%),出口-皮革、毛皮製品_原始值,出口-皮革、毛皮製品_年增率(%),出口-木材、木製品及編結品、合板_原始值,出口-木材、木製品及編結品、合板_年增率(%),出口-木材、木製品及編結品、合板_原始值,出口-木材、木製品及編結品、合板_年增率(%),出口-紡織品_原始值,出口-紡織品_年增率(%),出口-紡織品_原始值,出口-紡織品_年增率(%),出口-紡織品-(1)紗布_原始值,出口-紡織品-(1)紗布_年增率(%),出口-紡織品-(1)紗布_原始值,出口-紡織品-(1)紗布_年增率(%),出口-紡織品-(2)成衣_原始值,出口-紡織品-(2)成衣_年增率(%),出口-紡織品-(2)成衣_原始值,出口-紡織品-(2)成衣_年增率(%),出口-鞋、帽、雨傘、羽毛製品、人造花、人髮製品_原始值,出口-鞋、帽、雨傘、羽毛製品、人造花、人髮製品_年增率(%),出口-鞋、帽、雨傘、羽毛製品、人造花、人髮製品_原始值,出口-鞋、帽、雨傘、羽毛製品、人造花、人髮製品_年增率(%),出口-石料、水泥、陶瓷、玻璃及其製品_原始值,出口-石料、水泥、陶瓷、玻璃及其製品_年增率(%),出口-石料、水泥、陶瓷、玻璃及其製品_原始值,出口-石料、水泥、陶瓷、玻璃及其製品_年增率(%),出口-基本金屬及其製品_原始值,出口-基本金屬及其製品_年增率(%),出口-基本金屬及其製品_原始值,出口-基本金屬及其製品_年增率(%),出口-基本金屬及其製品-(1)鋼鐵及其製品_原始值,出口-基本金屬及其製品-(1)鋼鐵及其製品_年增率(%),出口-基本金屬及其製品-(1)鋼鐵及其製品_原始值,出口-基本金屬及其製品-(1)鋼鐵及其製品_年增率(%),出口-基本金屬及其製品-(2)其他金屬製品_原始值,出口-基本金屬及其製品-(2)其他金屬製品_年增率(%),出口-基本金屬及其製品-(2)其他金屬製品_原始值,出口-基本金屬及其製品-(2)其他金屬製品_年增率(%),出口-機械及電機設備_原始值,出口-機械及電機設備_年增率(%),出口-機械及電機設備_原始值,出口-機械及電機設備_年增率(%),出口-機械及電機設備-(1)電子產品_原始值,出口-機械及電機設備-(1)電子產品_年增率(%),出口-機械及電機設備-(1)電子產品_原始值,出口-機械及電機設備-(1)電子產品_年增率(%),出口-機械及電機設備-(2)機械_原始值,出口-機械及電機設備-(2)機械_年增率(%),出口-機械及電機設備-(2)機械_原始值,出口-機械及電機設備-(2)機械_年增率(%),出口-機械及電機設備-(3)電機產品_原始值,出口-機械及電機設備-(3)電機產品_年增率(%),出口-機械及電機設備-(3)電機產品_原始值,出口-機械及電機設備-(3)電機產品_年增率(%),出口-機械及電機設備-(4)資訊與通信產品_原始值,出口-機械及電機設備-(4)資訊與通信產品_年增率(%),出口-機械及電機設備-(4)資訊與通信產品_原始值,出口-機械及電機設備-(4)資訊與通信產品_年增率(%),出口-機械及電機設備-(5)家用電器_原始值,出口-機械及電機設備-(5)家用電器_年增率(%),出口-機械及電機設備-(5)家用電器_原始值,出口-機械及電機設備-(5)家用電器_年增率(%),出口-車輛、航空器、船舶及有關運輸設備_原始值,出口-車輛、航空器、船舶及有關運輸設備_年增率(%),出口-車輛、航空器、船舶及有關運輸設備_原始值,出口-車輛、航空器、船舶及有關運輸設備_年增率(%),出口-精密儀器、鐘錶、樂器_原始值,出口-精密儀器、鐘錶、樂器_年增率(%),出口-精密儀器、鐘錶、樂器_原始值,出口-精密儀器、鐘錶、樂器_年增率(%),出口-精密儀器、鐘錶、樂器-(1)光學照相、計量、醫療等器材_原始值,出口-精密儀器、鐘錶、樂器-(1)光學照相、計量、醫療等器材_年增率(%),出口-精密儀器、鐘錶、樂器-(1)光學照相、計量、醫療等器材_原始值,出口-精密儀器、鐘錶、樂器-(1)光學照相、計量、醫療等器材_年增率(%),出口-精密儀器、鐘錶、樂器-(2)鐘錶_原始值,出口-精密儀器、鐘錶、樂器-(2)鐘錶_年增率(%),出口-精密儀器、鐘錶、樂器-(2)鐘錶_原始值,出口-精密儀器、鐘錶、樂器-(2)鐘錶_年增率(%),出口-玩具遊戲品與運動用品及其零、附件_原始值,出口-玩具遊戲品與運動用品及其零、附件_年增率(%),出口-玩具遊戲品與運動用品及其零、附件_原始值,出口-玩具遊戲品與運動用品及其零、附件_年增率(%),出口-其他_原始值,出口-其他_年增率(%),出口-其他_原始值,出口-其他_年增率(%),出口-其他-家具_原始值,出口-其他-家具_年增率(%),出口-其他-家具_原始值,出口-其他-家具_年增率(%)
2010M10,"751,583",17.44,"24,190.0",21.91,"4,878",42.26,157.0,47.70,"4,219",46.29,135.8,51.90,"1,075",34.21,34.6,39.52,"2,996",39.74,96.4,44.96,"32,919",9.75,"1,059.5",13.91,"46,554",18.15,"1,498.4",22.64,"60,807",24.24,"1,957.1",28.96,"53,690",24.09,"1,728.0",28.80,"7,118",25.43,229.1,30.17,"2,418",8.58,77.8,12.59,491,-3.73,15.8,0.00,"31,555",13.35,"1,015.6",17.66,"24,232",17.62,779.9,22.09,"1,105",4.84,35.6,8.87,"1,225",13.11,39.4,17.26,"5,640",30.40,181.5,35.35,"69,815",17.70,"2,247.0",22.17,"45,127",18.67,"1,452.4",23.18,"24,689",15.97,794.6,20.38,"380,739",22.86,"12,254.2",27.52,"225,295",20.10,"7,251.2",24.66,"48,135",44.87,"1,549.2",50.36,"29,831",3.15,960.1,7.07,"45,746",53.13,"1,472.3",58.94,"1,187",-21.75,38.2,-18.72,"28,368",8.89,913.0,13.02,"51,359",-8.39,"1,653.0",-4.91,"47,295",-10.71,"1,522.2",-7.32,305,3.74,9.8,7.69,"5,618",15.69,180.8,20.05,"25,127",8.98,808.7,13.12,"3,761",11.73,121.1,16.00
2010M11,"738,690",14.06,"24,371.2",21.78,"4,005",11.87,132.1,19.44,"3,484",15.48,114.9,23.28,957,10.13,31.6,17.91,"3,097",33.61,102.2,42.74,"40,955",28.50,"1,351.2",37.19,"51,150",13.59,"1,687.6",21.27,"60,548",23.68,"1,997.6",32.05,"53,432",23.57,"1,762.8",31.92,"7,116",24.56,234.8,33.03,"2,329",4.86,76.8,11.95,525,-1.13,17.3,5.49,"31,127",15.32,"1,027.0",23.13,"23,461",16.54,774.0,24.42,"1,053",4.99,34.8,12.26,"1,134",12.72,37.4,20.26,"5,367",38.47,177.1,47.83,"68,944",17.94,"2,274.6",25.91,"44,447",19.51,"1,466.4",27.59,"24,497",15.19,808.2,22.98,"361,255",14.36,"11,918.7",22.09,"204,595",8.99,"6,750.1",16.36,"47,652",46.19,"1,572.2",56.08,"26,537",-11.62,875.5,-5.65,"50,910",48.00,"1,679.6",58.01,"1,225",-15.81,40.4,-10.22,"23,246",18.12,767.0,26.11,"56,457",-5.49,"1,862.6",0.90,"52,791",-6.52,"1,741.7",-0.20,283,0.71,9.3,6.90,"5,251",12.88,173.2,20.53,"22,344",1.89,737.2,8.78,"3,544",4.64,116.9,11.65
2010M12,"717,951",11.49,"23,812.6",18.96,"4,136",30.35,137.2,39.15,"3,583",30.15,118.8,38.79,"1,040",12.92,34.5,20.63,"3,062",16.25,101.6,24.05,"37,666",3.21,"1,249.3",10.12,"47,914",2.45,"1,589.2",9.31,"59,427",17.79,"1,971.1",25.68,"52,084",17.29,"1,727.5",25.14,"7,343",21.47,243.5,29.59,"1,995",9.08,66.2,16.55,484,-3.78,16.1,3.21,"29,289",7.81,971.5,15.05,"21,745",8.87,721.2,16.15,"1,213",12.63,40.2,20.00,"1,174",6.82,38.9,13.74,"5,276",23.36,175.0,31.58,"67,865",14.81,"2,250.9",22.50,"42,759",15.67,"1,418.2",23.42,"25,106",13.36,832.7,20.96,"351,452",14.05,"11,656.8",21.69,"202,166",12.69,"6,705.4",20.24,"47,412",27.59,"1,572.6",36.14,"24,145",-21.20,800.8,-15.92,"46,250",52.16,"1,534.0",62.36,"1,197",-12.88,39.7,-7.03,"24,124",20.37,800.1,28.43,"53,420",7.12,"1,771.8",14.30,"49,984",6.82,"1,657.8",13.97,262,10.55,8.7,17.57,"4,823",-2.19,160.0,4.37,"24,807",-6.56,822.8,-0.30,"3,485",5.35,115.6,12.45
2011M01,"741,211",6.84,"25,331.9",16.55,"4,015",10.76,137.2,20.77,"3,400",8.49,116.2,18.33,"1,191",10.89,40.7,21.13,"3,213",13.37,109.8,23.65,"43,208",-9.75,"1,476.7",-1.55,"55,291",11.29,"1,889.6",21.40,"59,927",7.40,"2,048.1",17.17,"53,134",6.88,"1,815.9",16.60,"6,792",11.64,232.1,21.77,"1,865",-4.11,63.7,4.60,439,-12.55,15.0,-4.46,"30,051",13.59,"1,027.0",23.91,"22,133",16.23,756.4,26.79,"1,276",-2.00,43.6,6.86,"1,196",7.07,40.9,16.86,"5,727",23.29,195.7,34.50,"73,197",13.05,"2,501.6",23.32,"46,698",15.60,"1,596.0",26.12,"26,498",8.80,905.6,18.69,"351,248",9.08,"12,004.4",18.99,"210,845",8.19,"7,205.9",18.02,"47,318",28.12,"1,617.1",39.75,"23,304",-23.16,796.4,-16.18,"41,897",37.53,"1,431.9",50.03,"1,348",-7.92,46.1,0.44,"26,328",5.48,899.8,15.06,"57,896",-1.86,"1,978.7",7.06,"54,055",-3.06,"1,847.4",5.76,291,13.23,10.0,25.00,"4,959",2.61,169.5,11.96,"21,461",-5.34,733.4,3.25,"3,747",7.18,128.1,16.99
2011M02,"617,877",15.65,"21,225.6",27.17,"5,811",81.31,199.6,99.40,"5,349",85.73,183.8,104.22,897,6.41,30.8,17.11,"1,886",16.06,64.8,27.56,"38,338",21.65,"1,317.0",33.77,"56,152",45.87,"1,928.9",60.39,"53,764",32.71,"1,846.9",45.93,"47,831",34.13,"1,643.1",47.50,"5,933",22.25,203.8,34.43,"1,520",12.84,52.2,23.99,354,-2.75,12.2,7.02,"25,288",32.54,868.7,45.73,"18,884",39.65,648.7,53.57,856,-24.18,29.4,-16.71,804,5.79,27.6,16.46,"4,707",32.37,161.7,45.54,"56,859",14.18,"1,953.2",25.55,"36,548",15.13,"1,255.5",26.59,"20,311",12.52,697.7,23.73,"283,481",11.50,"9,738.3",22.61,"170,504",9.66,"5,857.2",20.58,"37,120",18.21,"1,275.2",29.99,"18,170",-17.41,624.2,-9.18,"36,360",84.17,"1,249.1",102.51,932,-7.36,32.0,1.91,"17,897",-3.22,614.8,6.42,"50,387",-3.55,"1,730.9",6.06,"47,682",-3.30,"1,638.0",6.34,144,-41.22,4.9,-36.36,"3,239",-17.39,111.3,-9.14,"16,493",15.46,566.6,26.95,"2,617",2.63,89.9,12.94
2011M03,"803,248",7.78,"27,219.5",16.54,"5,435",27.37,184.2,37.77,"4,660",24.30,157.9,34.38,"1,382",18.52,46.8,28.22,"3,252",22.95,110.2,32.93,"48,691",29.58,"1,650.0",40.12,"65,958",5.97,"2,235.1",14.59,"68,799",7.96,"2,331.4",16.73,"60,071",6.27,"2,035.6",14.91,"8,728",21.15,295.8,31.00,"2,532",-3.40,85.8,4.38,489,-7.74,16.6,0.00,"36,554",12.03,"1,238.7",21.14,"27,407",11.97,928.7,21.08,"1,150",-10.16,39.0,-2.74,"1,262",-0.86,42.8,7.27,"5,949",14.71,201.6,24.06,"80,170",11.15,"2,716.7",20.19,"49,934",8.94,"1,692.1",17.80,"30,236",15.01,"1,024.6",24.37,"357,023",4.77,"12,098.4",13.30,"207,158",2.97,"7,019.9",11.34,"52,817",26.07,"1,789.8",36.31,"23,696",-28.96,803.0,-23.18,"44,048",44.06,"1,492.6",55.77,"1,341",-0.89,45.4,7.08,"26,757",8.27,906.7,17.07,"64,792",-5.52,"2,195.6",2.16,"60,838",-5.84,"2,061.6",1.82,300,36.99,10.2,47.83,"4,691",-3.18,159.0,4.74,"29,511",44.53,"1,000.0",56.27,"3,799",9.39,128.7,18.29
2011M04,"797,567",15.13,"27,304.6",24.55,"3,962",8.37,135.7,17.29,"3,094",-1.18,105.9,6.86,"1,367",31.57,46.8,42.25,"3,347",18.65,114.6,28.33,"48,837",55.17,"1,671.9",67.86,"63,891",27.64,"2,187.3",38.09,"66,543",12.49,"2,278.1",21.70,"58,537",11.28,"2,004.0",20.39,"8,006",22.21,274.1,32.22,"2,722",2.87,93.2,11.35,521,-2.80,17.8,4.71,"34,976",12.52,"1,197.4",21.72,"26,772",13.05,916.5,22.30,"1,076",8.91,36.8,17.57,"1,286",11.92,44.0,20.88,"6,890",50.80,235.9,63.14,"77,594",19.01,"2,656.4",28.75,"49,189",21.33,"1,684.0",31.25,"28,406",15.21,972.5,24.63,"368,995",12.99,"12,632.5",22.24,"214,056",10.53,"7,328.2",19.58,"52,667",31.67,"1,803.0",42.44,"23,558",-23.61,806.5,-17.36,"52,295",58.36,"1,790.3",71.32,"1,242",4.37,42.5,12.73,"24,926",4.07,853.3,12.57,"58,848",-9.66,"2,014.7",-2.27,"54,700",-11.44,"1,872.6",-4.20,271,10.16,9.3,19.23,"4,538",0.78,155.3,8.98,"28,324",47.61,969.7,59.67,"3,539",3.69,121.2,12.22
2011M05,"798,633",-0.44,"27,856.0",9.39,"3,931",-9.28,137.1,-0.36,"3,157",-14.19,110.1,-5.74,"1,381",8.91,48.2,19.60,"3,529",9.02,123.1,19.86,"45,826",-8.21,"1,598.4",0.85,"60,823",4.18,"2,121.5",14.46,"65,248",-0.12,"2,275.8",9.74,"56,343",-2.82,"1,965.2",6.78,"8,904",21.19,310.6,33.19,"2,681",-13.77,93.5,-5.27,565,-7.22,19.7,2.07,"33,221",-5.67,"1,158.7",3.64,"25,624",-4.85,893.8,4.55,986,-16.79,34.4,-8.51,"1,219",-0.57,42.5,9.25,"6,609",23.19,230.5,35.35,"78,591",0.52,"2,741.2",10.44,"50,137",1.06,"1,748.8",11.04,"28,454",-0.42,992.5,9.40,"368,942",2.79,"12,868.5",12.93,"207,004",-0.67,"7,220.2",9.13,"55,007",19.03,"1,918.6",30.78,"23,749",-31.78,828.4,-25.04,"56,933",59.13,"1,985.8",74.84,"1,252",-11.58,43.7,-2.67,"25,668",-11.09,895.3,-2.31,"61,976",-17.80,"2,161.7",-9.68,"57,861",-19.19,"2,018.2",-11.21,310,8.39,10.8,18.68,"4,873",-9.10,170.0,-0.12,"33,551",22.48,"1,170.3",34.58,"3,825",5.20,133.4,15.60
2011M06,"723,612",-1.19,"25,160.3",10.77,"5,000",38.47,173.9,55.27,"4,332",44.88,150.6,62.28,"1,341",-6.29,46.6,4.95,"2,876",3.68,100.0,16.28,"44,901",12.13,"1,561.2",25.69,"48,502",-4.64,"1,686.5",6.90,"57,617",1.95,"2,003.4",14.29,"49,566",0.52,"1,723.4",12.68,"8,051",11.80,279.9,25.29,"2,278",-9.67,79.2,1.28,464,-12.45,16.1,-2.42,"29,281",-4.66,"1,018.1",6.88,"22,004",-5.04,765.1,6.44,"1,101",-13.10,38.3,-2.54,"1,240",4.55,43.1,17.12,"6,145",15.18,213.6,29.06,"70,207",0.09,"2,441.1",12.19,"45,000",1.28,"1,564.7",13.54,"25,207",-1.98,876.5,9.89,"344,797",0.17,"11,988.8",12.29,"193,436",-3.24,"6,725.9",8.47,"49,451",10.30,"1,719.4",23.64,"22,827",-23.18,793.7,-13.89,"53,552",39.68,"1,862.0",56.58,"1,166",-8.19,40.5,2.79,"22,161",1.25,770.5,13.49,"57,450",-14.34,"1,997.6",-3.98,"53,697",-14.52,"1,867.1",-4.17,307,6.60,10.7,20.22,"4,646",-4.05,161.6,7.59,"24,705",-13.77,859.0,-3.33,"3,492",-8.73,121.4,2.27
2011M07,"809,941",5.61,"28,123.0",17.67,"4,981",4.27,172.9,16.12,"4,242",2.54,147.3,14.27,"1,449",18.00,50.3,31.33,"2,769",0.58,96.1,12.00,"51,607",-0.26,"1,791.9",11.14,"51,824",-2.79,"1,799.4",8.31,"69,268",16.02,"2,405.1",29.27,"60,525",14.75,"2,101.6",27.86,"8,742",25.62,303.6,40.04,"2,151",-19.32,74.7,-10.11,505,-4.36,17.5,6.71,"31,228",3.10,"1,084.3",14.87,"23,449",3.03,814.2,14.79,"1,245",-19.26,43.2,-10.00,"1,294",5.98,44.9,17.85,"7,193",39.86,249.8,55.83,"79,566",14.24,"2,762.7",27.29,"50,553",17.53,"1,755.3",30.95,"29,013",8.93,"1,007.4",21.37,"384,994",5.52,"13,367.8",17.58,"221,605",2.95,"7,694.6",14.71,"51,991",7.49,"1,805.3",19.77,"25,310",-21.41,878.8,-12.44,"58,854",58.19,"2,043.5",76.25,"1,250",-7.48,43.4,3.09,"24,834",8.85,862.3,21.30,"65,086",-9.93,"2,259.9",0.36,"61,093",-10.06,"2,121.3",0.22,357,2.00,12.4,13.76,"5,106",1.11,177.3,12.64,"26,086",37.56,905.8,53.29,"3,596",-4.74,124.8,6.12
