期間,進口-合計_原始值,進口-合計_年增率(%),進口-合計_原始值,進口-合計_年增率(%),進口-植物產品_原始值,進口-植物產品_年增率(%),進口-植物產品_原始值,進口-植物產品_年增率(%),進口-植物產品-(1)麥類_原始值,進口-植物產品-(1)麥類_年增率(%),進口-植物產品-(1)麥類_原始值,進口-植物產品-(1)麥類_年增率(%),進口-植物產品-(2)玉米_原始值,進口-植物產品-(2)玉米_年增率(%),進口-植物產品-(2)玉米_原始值,進口-植物產品-(2)玉米_年增率(%),進口-植物產品-(3)黃豆_原始值,進口-植物產品-(3)黃豆_年增率(%),進口-植物產品-(3)黃豆_原始值,進口-植物產品-(3)黃豆_年增率(%),進口-調製食品、飲料及菸類_原始值,進口-調製食品、飲料及菸類_年增率(%),進口-調製食品、飲料及菸類_原始值,進口-調製食品、飲料及菸類_年增率(%),進口-調製食品、飲料及菸類-調製食品_原始值,進口-調製食品、飲料及菸類-調製食品_年增率(%),進口-調製食品、飲料及菸類-調製食品_原始值,進口-調製食品、飲料及菸類-調製食品_年增率(%),進口-礦產品_原始值,進口-礦產品_年增率(%),進口-礦產品_原始值,進口-礦產品_年增率(%),進口-礦產品-原油_原始值,進口-礦產品-原油_年增率(%),進口-礦產品-原油_原始值,進口-礦產品-原油_年增率(%),進口-化學品_原始值,進口-化學品_年增率(%),進口-化學品_原始值,進口-化學品_年增率(%),進口-化學品-有機化學品_原始值,進口-化學品-有機化學品_年增率(%),進口-化學品-有機化學品_原始值,進口-化學品-有機化學品_年增率(%),進口-塑膠及其成品_原始值,進口-塑膠及其成品_年增率(%),進口-塑膠及其成品_原始值,進口-塑膠及其成品_年增率(%),進口-塑膠及其成品-塑膠原料_原始值,進口-塑膠及其成品-塑膠原料_年增率(%),進口-塑膠及其成品-塑膠原料_原始值,進口-塑膠及其成品-塑膠原料_年增率(%),進口-木材、木製品及編結品_原始值,進口-木材、木製品及編結品_年增率(%),進口-木材、木製品及編結品_原始值,進口-木材、木製品及編結品_年增率(%),進口-木材、木製品及編結品-木材_原始值,進口-木材、木製品及編結品-木材_年增率(%),進口-木材、木製品及編結品-木材_原始值,進口-木材、木製品及編結品-木材_年增率(%),進口-紙漿、紙及印刷品_原始值,進口-紙漿、紙及印刷品_年增率(%),進口-紙漿、紙及印刷品_原始值,進口-紙漿、紙及印刷品_年增率(%),進口-紡織品_原始值,進口-紡織品_年增率(%),進口-紡織品_原始值,進口-紡織品_年增率(%),進口-紡織品-棉花_原始值,進口-紡織品-棉花_年增率(%),進口-紡織品-棉花_原始值,進口-紡織品-棉花_年增率(%),進口-珍珠、寶石、貴金屬、仿首飾及鑄幣_原始值,進口-珍珠、寶石、貴金屬、仿首飾及鑄幣_年增率(%),進口-珍珠、寶石、貴金屬、仿首飾及鑄幣_原始值,進口-珍珠、寶石、貴金屬、仿首飾及鑄幣_年增率(%),進口-珍珠、寶石、貴金屬、仿首飾及鑄幣-黃金_原始值,進口-珍珠、寶石、貴金屬、仿首飾及鑄幣-黃金_年增率(%),進口-珍珠、寶石、貴金屬、仿首飾及鑄幣-黃金_原始值,進口-珍珠、寶石、貴金屬、仿首飾及鑄幣-黃金_年增率(%),進口-基本金屬及其製品_原始值,進口-基本金屬及其製品_年增率(%),進口-基本金屬及其製品_原始值,進口-基本金屬及其製品_年增率(%),進口-基本金屬及其製品-(1)鋼鐵及其製品_原始值,進口-基本金屬及其製品-(1)鋼鐵及其製品_年增率(%),進口-基本金屬及其製品-(1)鋼鐵及其製品_原始值,進口-基本金屬及其製品-(1)鋼鐵及其製品_年增率(%),進口-基本金屬及其製品-(2)金屬製品(鋼鐵及其製品除外)_原始值,進口-基本金屬及其製品-(2)金屬製品(鋼鐵及其製品除外)_年增率(%),進口-基本金屬及其製品-(2)金屬製品(鋼鐵及其製品除外)_原始值,進口-基本金屬及其製品-(2)金屬製品(鋼鐵及其製品除外)_年增率(%),進口-機械及電機設備_原始值,進口-機械及電機設備_年增率(%),進口-機械及電機設備_原始值,進口-機械及電機設備_年增率(%),進口-機械及電機設備-(1)電子產品_原始值,進口-機械及電機設備-(1)電子產品_年增率(%),進口-機械及電機設備-(1)電子產品_原始值,進口-機械及電機設備-(1)電子產品_年增率(%),進口-機械及電機設備-(2)機械_原始值,進口-機械及電機設備-(2)機械_年增率(%),進口-機械及電機設備-(2)機械_原始值,進口-機械及電機設備-(2)機械_年增率(%),進口-機械及電機設備-(3)電機產品_原始值,進口-機械及電機設備-(3)電機產品_年增率(%),進口-機械及電機設備-(3)電機產品_原始值,進口-機械及電機設備-(3)電機產品_年增率(%),進口-機械及電機設備-(4)資訊與通信產品_原始值,進口-機械及電機設備-(4)資訊與通信產品_年增率(%),進口-機械及電機設備-(4)資訊與通信產品_原始值,進口-機械及電機設備-(4)資訊與通信產品_年增率(%),進口-機械及電機設備-(5)家用電器_原始值,進口-機械及電機設備-(5)家用電器_年增率(%),進口-機械及電機設備-(5)家用電器_原始值,進口-機械及電機設備-(5)家用電器_年增率(%),進口-車輛、航空器、船舶及有關運輸設備_原始值,進口-車輛、航空器、船舶及有關運輸設備_年增率(%),進口-車輛、航空器、船舶及有關運輸設備_原始值,進口-車輛、航空器、船舶及有關運輸設備_年增率(%),進口-精密儀器、鐘錶、樂器_原始值,進口-精密儀器、鐘錶、樂器_年增率(%),進口-精密儀器、鐘錶、樂器_原始值,進口-精密儀器、鐘錶、樂器_年增率(%),進口-精密儀器、鐘錶、樂器-(1)光學照相、計量、醫學等產品_原始值,進口-精密儀器、鐘錶、樂器-(1)光學照相、計量、醫學等產品_年增率(%),進口-精密儀器、鐘錶、樂器-(1)光學照相、計量、醫學等產品_原始值,進口-精密儀器、鐘錶、樂器-(1)光學照相、計量、醫學等產品_年增率(%),進口-精密儀器、鐘錶、樂器-(2)鐘錶_原始值,進口-精密儀器、鐘錶、樂器-(2)鐘錶_年增率(%),進口-精密儀器、鐘錶、樂器-(2)鐘錶_原始值,進口-精密儀器、鐘錶、樂器-(2)鐘錶_年增率(%),進口其他_原始值,進口其他_年增率(%),進口其他_原始值,進口其他_年增率(%)
2000M01,"342,385",14.30,"11,019.8",18.68,"5,502",-17.78,177.1,-14.65,650,-0.76,20.9,2.96,"1,332",-13.39,42.9,-10.06,"1,072",-51.32,34.5,-49.49,"6,788",-10.44,218.5,-6.98,"2,923",12.12,94.1,16.46,"35,088",41.55,"1,129.3",46.97,"21,771",87.91,700.7,95.07,"34,283",26.09,"1,103.4",30.92,"15,613",30.01,502.5,34.97,"9,780",20.95,314.8,25.62,"5,627",22.22,181.1,26.91,"3,445",13.29,110.9,17.60,"1,314",-5.54,42.3,-1.86,"5,603",3.64,180.3,7.58,"8,521",3.35,274.3,7.32,908,-19.36,29.2,-16.33,"4,039",60.92,130.0,67.10,"2,581",59.81,83.1,66.20,"28,488",12.58,916.9,16.91,"15,170",10.54,488.2,14.76,"13,319",15.02,428.7,19.45,"149,174",11.51,"4,801.2",15.78,"54,861",-0.88,"1,765.7",2.91,"41,203",16.94,"1,326.1",21.42,"12,185",20.01,392.2,24.63,"25,887",31.42,833.2,36.46,"1,426",4.70,45.9,8.77,"14,214",19.75,457.5,24.35,"19,031",59.91,612.5,66.03,"10,288",23.58,331.1,28.28,795,25.00,25.6,29.95,"18,428",-20.44,593.1,-17.40
2000M02,"280,342",32.94,"9,102.0",39.59,"4,469",19.72,145.1,25.74,523,15.20,17.0,21.43,"1,454",81.07,47.2,90.32,"1,270",37.74,41.2,44.56,"4,329",7.93,140.6,13.39,"1,678",4.94,54.5,10.10,"27,931",79.61,906.9,88.58,"16,980",141.64,551.3,153.70,"26,091",36.29,847.1,43.09,"11,757",45.15,381.7,52.38,"7,194",34.69,233.6,41.40,"4,132",42.78,134.2,49.94,"2,516",34.55,81.7,41.35,898,11.14,29.2,16.80,"4,002",6.41,129.9,11.69,"6,292",18.99,204.3,24.95,808,11.91,26.2,17.49,"2,720",37.24,88.3,44.05,"1,546",8.49,50.2,13.83,"22,131",30.28,718.5,36.81,"10,826",25.88,351.5,32.19,"11,305",34.81,367.0,41.53,"135,394",30.47,"4,395.9",37.00,"51,215",25.37,"1,662.8",31.63,"37,425",31.63,"1,215.1",38.22,"10,397",17.49,337.6,23.39,"24,337",44.48,790.2,51.73,"1,033",48.63,33.5,55.81,"6,735",-8.37,218.7,-3.78,"16,520",70.34,536.4,78.86,"9,008",24.63,292.5,30.87,483,48.16,15.7,55.45,"14,018",13.17,455.1,18.83
2000M03,"356,549",15.39,"11,580.1",24.27,"4,915",-18.17,159.6,-11.87,623,-16.71,20.2,-10.62,"1,315",-5.26,42.7,1.91,"1,236",-20.82,40.1,-14.86,"5,219",-13.31,169.5,-6.66,"2,274",-19.87,73.9,-13.67,"36,572",84.23,"1,187.8",98.43,"23,567",147.63,765.4,166.69,"34,603",16.31,"1,123.8",25.26,"15,629",33.29,507.6,43.55,"9,011",9.40,292.7,17.83,"5,099",12.61,165.6,21.23,"3,120",0.22,101.3,7.88,"1,223",7.37,39.7,15.74,"5,665",6.63,184.0,14.86,"8,742",-1.86,283.9,5.70,"1,016",26.53,33.0,36.36,"4,435",23.78,144.0,33.21,"2,745",11.09,89.1,19.60,"28,684",13.64,931.6,22.39,"14,486",15.89,470.5,24.80,"14,197",11.43,461.1,20.02,"165,328",14.76,"5,369.6",23.60,"69,159",24.17,"2,246.1",33.73,"40,051",4.64,"1,300.8",12.69,"12,821",-1.61,416.4,5.95,"30,364",25.66,986.2,35.34,"1,276",14.85,41.4,23.58,"8,940",-6.88,290.3,0.28,"23,551",34.99,764.9,45.39,"11,860",-7.03,385.2,0.13,498,-29.76,16.2,-24.30,"17,763",-18.82,576.9,-12.56
2000M04,"373,106",37.79,"12,201.0",49.01,"5,763",16.05,188.5,25.50,968,352.34,31.6,386.15,"1,643",6.00,53.7,14.50,"1,381",13.38,45.2,22.83,"6,503",30.90,212.6,41.54,"2,462",12.42,80.5,21.60,"26,254",40.92,858.5,52.38,"10,746",34.83,351.4,45.81,"37,412",41.64,"1,223.4",53.17,"17,641",63.78,576.9,77.13,"9,779",22.61,319.8,32.59,"5,247",17.72,171.6,27.30,"3,618",24.12,118.3,34.13,"1,453",21.29,47.5,31.22,"6,167",25.09,201.7,35.28,"9,461",27.85,309.4,38.25,"1,234",23.15,40.4,33.33,"3,989",3.07,130.4,11.45,"2,195",-21.30,71.8,-14.83,"33,063",35.40,"1,081.2",46.44,"17,708",33.09,579.1,43.95,"15,355",38.17,502.1,49.43,"177,777",48.31,"5,813.5",60.39,"72,907",58.17,"2,384.2",71.05,"43,785",35.29,"1,431.8",46.30,"14,429",44.71,471.8,56.48,"30,098",47.08,984.2,59.05,"1,387",42.70,45.3,54.08,"10,323",21.59,337.6,31.52,"25,356",75.05,829.2,89.32,"11,935",14.57,390.3,23.90,726,54.80,23.8,67.61,"17,640",-17.77,576.9,-11.07
2000M05,"392,928",35.93,"12,790.7",45.09,"6,569",11.95,213.8,19.44,624,-25.09,20.3,-20.08,"2,151",111.09,70.0,125.08,"1,868",-1.16,60.8,5.56,"4,985",-1.25,162.3,5.46,"2,309",15.22,75.2,23.08,"43,151",95.01,"1,404.7",108.17,"26,122",149.97,850.3,166.80,"35,985",26.57,"1,171.4",35.11,"16,007",38.79,521.1,48.17,"9,771",19.57,318.1,27.65,"5,324",15.49,173.3,23.26,"3,620",2.38,117.9,9.37,"1,622",7.92,52.8,15.28,"7,026",32.84,228.7,41.79,"8,328",-1.00,271.1,5.69,"1,312",9.88,42.7,17.31,"5,480",76.66,178.4,88.58,"3,930",84.85,127.9,97.07,"33,253",30.59,"1,082.5",39.41,"17,474",35.38,568.8,44.51,"15,779",25.66,513.7,34.16,"184,672",40.52,"6,011.5",50.00,"72,527",40.15,"2,360.9",49.59,"50,739",52.02,"1,651.7",62.27,"14,705",29.35,478.7,38.07,"30,130",37.35,980.8,46.61,"1,499",27.68,48.8,36.31,"10,147",-6.38,330.3,-0.09,"23,059",59.56,750.6,70.32,"11,443",10.43,372.5,17.88,536,-20.24,17.4,-15.12,"16,881",-0.18,549.5,6.53
2000M06,"359,273",21.44,"11,638.3",28.48,"5,612",-2.82,181.8,2.83,415,-24.13,13.4,-19.76,"1,600",13.72,51.8,20.19,"1,379",-20.24,44.7,-15.50,"5,217",-9.91,169.0,-4.68,"2,102",-14.52,68.1,-9.56,"34,685",46.93,"1,123.6",55.45,"19,825",59.85,642.2,69.13,"32,251",9.99,"1,044.7",16.36,"13,633",7.52,441.6,13.76,"9,493",10.44,307.5,16.83,"5,057",1.85,163.8,7.76,"2,852",-18.35,92.4,-13.56,"1,205",-25.94,39.0,-21.69,"6,571",23.01,212.9,30.13,"7,213",-12.43,233.6,-7.38,"1,049",-20.95,34.0,-16.26,"2,979",-0.07,96.5,5.70,"1,456",-25.33,47.2,-20.94,"30,244",7.25,979.7,13.46,"16,061",5.42,520.3,11.53,"14,183",9.39,459.5,15.74,"172,723",31.42,"5,595.2",39.05,"73,424",54.00,"2,378.5",62.93,"39,131",7.44,"1,267.6",13.68,"14,033",31.52,454.6,39.15,"30,594",25.97,991.1,33.28,"1,666",22.95,54.0,30.12,"10,834",16.85,351.0,23.64,"22,523",26.04,729.6,33.33,"11,327",-7.73,366.9,-2.39,585,-8.59,18.9,-3.57,"16,078",0.91,520.8,6.74
2000M07,"417,599",35.95,"13,527.7",42.47,"6,031",5.58,195.4,10.65,688,12.23,22.3,17.99,"1,561",4.21,50.6,9.29,"1,597",14.73,51.7,20.23,"5,614",-1.51,181.8,3.18,"2,463",4.85,79.8,9.92,"36,658",41.38,"1,187.5",48.16,"20,045",68.98,649.3,77.07,"37,374",27.16,"1,210.7",33.25,"15,898",25.93,515.0,31.98,"10,216",18.83,330.9,24.49,"5,504",14.74,178.3,20.23,"3,022",-15.18,97.9,-11.08,"1,267",-17.14,41.0,-13.14,"6,532",11.35,211.6,16.71,"7,388",-8.25,239.3,-3.86,899,-12.46,29.1,-8.49,"2,944",-24.63,95.4,-20.96,"1,116",-58.64,36.2,-56.59,"30,756",13.69,996.3,19.13,"15,682",12.61,508.0,18.00,"15,074",14.84,488.3,20.33,"199,311",54.23,"6,456.5",61.62,"86,278",73.65,"2,794.9",81.97,"49,881",51.65,"1,615.8",58.91,"15,721",42.35,509.3,49.18,"32,166",32.33,"1,042.0",38.67,"1,439",24.48,46.6,30.53,"24,817",19.36,803.9,25.08,"27,991",68.01,906.7,76.06,"12,494",11.16,404.7,16.46,697,4.50,22.6,9.71,"18,945",13.34,613.7,18.77
2000M08,"378,666",18.94,"12,164.0",23.03,"5,006",-14.16,160.8,-11.21,253,-59.65,8.1,-58.46,"1,548",-6.30,49.7,-3.12,"1,175",-5.92,37.7,-2.84,"5,300",-7.18,170.2,-4.00,"2,122",-6.97,68.2,-3.67,"41,528",44.66,"1,334.0",49.62,"25,035",65.85,804.2,71.54,"34,728",17.08,"1,115.6",21.10,"13,752",10.45,441.8,14.25,"9,030",1.18,290.1,4.65,"4,842",0.62,155.5,4.01,"3,122",-16.05,100.3,-13.16,"1,393",-13.80,44.7,-10.96,"5,402",0.78,173.5,4.20,"6,985",-14.05,224.4,-11.09,824,-27.66,26.5,-25.14,"3,419",-1.21,109.8,2.14,"1,874",-25.19,60.2,-22.62,"27,702",-0.14,889.9,3.28,"13,963",1.20,448.5,4.67,"13,739",-1.48,441.3,1.89,"180,406",29.96,"5,795.2",34.43,"78,208",39.78,"2,512.3",44.58,"47,842",35.84,"1,536.8",40.50,"13,727",19.30,440.9,23.40,"28,553",23.41,917.2,27.64,"1,059",-1.58,34.0,1.80,"12,312",-32.38,395.5,-30.05,"24,856",43.34,798.4,48.26,"13,340",6.68,428.5,10.35,512,-17.02,16.5,-14.06,"18,870",12.62,606.2,16.49
2000M09,"368,741",37.92,"11,837.6",41.07,"4,835",8.36,155.2,10.86,618,88.99,19.9,93.20,"1,165",-27.50,37.4,-25.79,928,116.82,29.8,122.39,"4,935",8.03,158.4,10.46,"2,222",12.05,71.3,14.63,"36,457",36.56,"1,170.4",39.68,"19,261",49.04,618.3,52.44,"31,759",25.84,"1,019.6",28.72,"12,432",18.96,399.1,21.68,"9,077",23.33,291.4,26.15,"4,803",18.77,154.2,21.51,"2,751",-14.91,88.3,-13.00,"1,193",-0.67,38.3,1.59,"5,756",24.99,184.8,27.89,"7,529",9.40,241.7,11.90,619,-23.96,19.9,-21.96,"3,650",37.94,117.2,41.20,"1,866",0.86,59.9,3.10,"26,718",3.79,857.7,6.15,"13,150",-1.75,422.2,0.50,"13,568",9.80,435.6,12.30,"186,275",55.55,"5,979.9",59.09,"79,225",59.95,"2,543.3",63.60,"45,338",56.00,"1,455.5",59.56,"14,724",45.45,472.7,48.79,"35,575",71.06,"1,142.0",74.94,"1,157",21.66,37.1,24.50,"7,793",-1.78,250.2,0.48,"25,810",80.46,828.6,84.58,"12,737",20.97,408.9,23.72,466,-2.92,15.0,-0.66,"15,396",10.50,494.3,13.03
2000M10,"388,717",7.86,"12,395.3",9.47,"4,015",-31.47,128.0,-30.47,324,-33.88,10.3,-33.12,983,-35.58,31.3,-34.66,678,-62.33,21.6,-61.84,"5,186",-9.48,165.4,-8.11,"2,267",-12.30,72.3,-10.96,"38,640",21.74,"1,232.1",23.56,"21,703",9.30,692.0,10.93,"33,267",-0.45,"1,060.8",1.04,"13,832",-0.78,441.1,0.71,"9,260",2.99,295.3,4.53,"4,868",-1.16,155.2,0.32,"2,760",-13.40,88.0,-12.09,"1,074",-20.21,34.2,-19.15,"4,748",-17.07,151.4,-15.84,"7,468",-14.85,238.1,-13.58,406,-62.44,12.9,-61.95,"3,612",19.29,115.2,21.14,"2,013",35.10,64.2,37.18,"29,036",8.11,925.9,9.73,"14,250",2.51,454.4,4.05,"14,786",14.12,471.5,15.82,"191,054",8.30,"6,092.3",9.92,"80,788",17.58,"2,576.1",19.34,"49,783",-0.37,"1,587.5",1.12,"15,301",13.67,487.9,15.37,"32,735",12.99,"1,043.8",14.68,"1,189",-2.06,37.9,-0.52,"14,563",57.40,464.4,59.75,"28,427",19.36,906.5,21.16,"12,895",-14.91,411.2,-13.63,480,-20.66,15.3,-19.47,"16,681",-5.27,531.9,-3.85
