期間,總計_原始值,總計_年增率(%),總計_原始值,總計_年增率(%),水污染_原始值,水污染_年增率(%),水污染_原始值,水污染_年增率(%),廢棄物_原始值,廢棄物_年增率(%),廢棄物_原始值,廢棄物_年增率(%),空氣污染_原始值,空氣污染_年增率(%),空氣污染_原始值,空氣污染_年增率(%),噪音_原始值,噪音_年增率(%),噪音_原始值,噪音_年增率(%),毒性化學物質_原始值,毒性化學物質_年增率(%),毒性化學物質_原始值,毒性化學物質_年增率(%),環境用藥_原始值,環境用藥_年增率(%),環境用藥_原始值,環境用藥_年增率(%),飲用水_原始值,飲用水_年增率(%),飲用水_原始值,飲用水_年增率(%),環境影響評估_原始值,環境影響評估_年增率(%),環境影響評估_原始值,環境影響評估_年增率(%),土壤及地下水污染_原始值,土壤及地下水污染_年增率(%),土壤及地下水污染_原始值,土壤及地下水污染_年增率(%),海洋污染_原始值,海洋污染_年增率(%),海洋污染_原始值,海洋污染_年增率(%),其他_原始值,其他_年增率(%),其他_原始值,其他_年增率(%)
2004M05,"6,298",2.26,403,115.51,799,-21.28,73,40.38,"3,566",-2.14,247,126.61,"1,269",45.53,79,259.09,7,-46.15,2,--,511,7.58,2,-50.00,0,--,0,--,81,30.65,0,--,0,--,0,--,46,48.39,0,--,0,--,0,--,19,-57.78,0,--
2004M06,"6,222",19.72,353,106.43,817,9.08,73,69.77,"3,522",18.67,204,112.50,"1,170",41.30,75,150.00,16,14.29,1,-50.00,493,32.88,0,--,0,--,0,--,100,-49.49,0,--,1,--,0,--,74,7.25,0,--,0,--,0,--,29,--,0,--
2004M07,"8,387",97.62,340,85.79,708,17.02,52,-10.34,"5,516",130.89,232,123.08,"1,442",139.14,53,194.44,8,-77.78,2,-33.33,414,18.29,1,--,0,--,0,--,208,6.67,0,--,3,--,0,--,71,20.34,0,--,0,--,0,--,17,142.86,0,--
2004M08,"9,016",72.89,417,159.01,668,-2.91,47,-17.54,"6,305",100.73,239,187.95,"1,346",67.62,130,550.00,19,26.67,1,0.00,499,17.69,0,--,0,--,0,--,133,47.78,0,--,1,--,0,--,38,-19.15,0,--,0,--,0,--,7,0.00,0,--
2004M09,"11,591",110.40,593,140.08,559,-16.07,49,58.06,"8,987",181.90,427,138.55,"1,480",57.95,113,232.35,18,0.00,2,0.00,372,-13.69,2,100.00,0,--,0,--,51,-69.82,0,--,0,--,0,--,121,348.15,0,--,0,--,0,--,3,-95.77,0,--
2004M10,"11,944",112.26,502,146.08,765,0.79,51,131.82,"8,890",164.74,307,116.20,"1,670",82.51,142,273.68,14,-17.65,0,--,447,-0.67,2,--,2,--,0,--,83,9.21,0,--,0,--,0,--,65,38.30,0,--,0,--,0,--,8,60.00,0,--
2004M11,"10,677",97.17,386,24.52,814,19.71,47,9.30,"7,177",132.87,226,28.41,"1,856",79.84,105,20.69,33,26.92,3,0.00,557,24.05,3,200.00,0,--,0,--,50,-42.53,2,--,0,--,0,--,37,-22.92,0,--,0,--,0,--,153,"1,430.00",0,--
2004M12,"8,918",94.84,331,112.18,701,2.94,25,-54.55,"5,339",118.72,181,135.06,"2,063",148.55,122,430.43,21,50.00,3,200.00,524,14.41,0,--,0,--,0,--,104,2.97,0,--,0,--,0,--,28,-22.22,0,--,0,--,0,--,138,"1,280.00",0,--
2005M01,"7,854",209.09,414,218.46,758,122.94,67,570.00,"5,043",227.68,208,82.46,"1,342",255.03,139,"2,680.00",15,66.67,0,--,509,141.23,0,--,0,--,0,--,22,-35.29,0,--,0,--,0,--,39,290.00,0,--,0,--,0,--,126,530.00,0,--
2005M02,"3,752",-19.57,218,17.20,308,-50.72,31,-16.22,"2,710",-2.38,113,-10.32,427,-40.86,74,252.38,16,-20.00,0,--,190,-52.38,0,--,0,--,0,--,0,--,0,--,0,--,0,--,8,-86.89,0,--,0,--,0,--,93,"1,760.00",0,--
