期間,自來水水質_檢驗件數,自來水水質_檢驗不合格件數,自來水水質_檢驗項次數,自來水水質_檢驗不合格項次數,簡易自來水水質_檢驗件數,簡易自來水水質_檢驗不合格件數,簡易自來水水質_檢驗項次數,簡易自來水水質_檢驗不合格項次數
2007M09,755,4,"8,121",4,15,2,178,3
2007M10,850,1,"7,600",1,21,1,160,2
2007M11,761,3,"7,144",4,33,0,264,0
2007M12,752,0,"7,682",0,15,1,173,1
2008M01,854,2,"8,097",2,25,3,200,3
2008M02,700,0,"6,435",0,17,2,155,2
2008M03,808,4,"8,747",4,20,3,215,3
2008M04,841,11,"8,637",19,17,2,161,2
2008M05,842,4,"8,819",5,26,1,363,1
2008M06,854,6,"9,333",10,25,0,282,0
2008M07,895,6,"8,752",12,28,1,307,1
2008M08,775,4,"7,692",4,19,2,177,2
2008M09,874,10,"8,867",10,15,0,179,0
2008M10,825,7,"7,714",7,28,0,221,0
2008M11,843,3,"7,825",3,17,0,154,0
2008M12,832,8,"8,524",8,16,0,184,0
2009M01,742,0,"6,902",0,16,0,157,0
2009M02,899,2,"8,446",2,22,0,190,0
2009M03,895,8,"9,073",8,30,1,302,1
2009M04,861,8,"8,172",8,19,0,155,0
2009M05,859,1,"9,181",2,53,6,598,12
2009M06,890,0,"10,566",0,35,0,412,0
2009M07,924,6,"8,757",6,17,0,163,0
2009M08,"1,207",4,"9,565",4,24,0,224,0
2009M09,"1,096",6,"9,684",10,33,0,300,0
2009M10,"1,009",3,"8,439",5,17,0,144,0
2009M11,895,2,"7,731",2,22,0,190,0
2009M12,850,1,"9,136",1,26,0,257,0
2010M01,877,2,"7,827",2,23,0,193,0
2010M02,828,3,"7,670",3,19,0,165,0
2010M03,886,1,"9,306",1,30,0,318,0
2010M04,938,0,"9,489",0,33,4,372,5
2010M05,988,1,"10,740",1,45,3,441,5
2010M06,978,2,"11,222",2,30,2,479,3
2010M07,921,5,"8,516",6,39,0,504,0
2010M08,924,6,"8,661",11,20,0,188,0
2010M09,981,3,"9,421",3,25,2,277,2
2010M10,980,3,"9,291",3,28,3,270,5
2010M11,901,4,"8,326",4,23,2,211,3
2010M12,884,1,"8,713",1,13,0,189,0
