期間,垃圾產生量(公噸)-總計_原始值,垃圾產生量(公噸)-總計_年增率(%),垃圾產生量(公噸)-焚化_原始值,垃圾產生量(公噸)-焚化_年增率(%),垃圾產生量(公噸)-衛生掩埋_原始值,垃圾產生量(公噸)-衛生掩埋_年增率(%),垃圾產生量(公噸)-巨大垃圾回收再利用_原始值,垃圾產生量(公噸)-巨大垃圾回收再利用_年增率(%),垃圾產生量(公噸)-廚餘回收_原始值,垃圾產生量(公噸)-廚餘回收_年增率(%),垃圾產生量(公噸)-資源回收_原始值,垃圾產生量(公噸)-資源回收_年增率(%),垃圾產生量(公噸)-其他_原始值,垃圾產生量(公噸)-其他_年增率(%),平均每人每日垃圾產生量(公斤)_原始值,平均每人每日垃圾產生量(公斤)_年增率(%),平均每人每日垃圾清運量(公斤)_原始值,平均每人每日垃圾清運量(公斤)_年增率(%),垃圾妥善處理率(%)_原始值,垃圾妥善處理率(%)_年增率(%),垃圾回收率(%)-總計_原始值,垃圾回收率(%)-總計_年增率(%),垃圾回收率(%)-巨大垃圾回收再利用率_原始值,垃圾回收率(%)-巨大垃圾回收再利用率_年增率(%),垃圾回收率(%)-廚餘回收率_原始值,垃圾回收率(%)-廚餘回收率_年增率(%),垃圾回收率(%)-資源回收率_原始值,垃圾回收率(%)-資源回收率_年增率(%)
2011M01,"669,102",0.89,"322,138",-4.95,"17,760",28.36,"9,852",33.77,"66,990",11.44,"252,355",3.86,7,0.00,0.932,0.757,0.473,--,100.00,-,49.20,-,1.47,-,10.01,-,37.72,-
2011M02,"594,435",-13.40,"282,685",-21.32,"14,229",-6.17,"4,601",-34.21,"63,782",7.08,"229,131",-6.62,6,0.00,0.916,-13.585,0.458,--,100.00,-,50.05,-,0.77,-,10.73,-,38.55,-
2011M03,"608,935",-6.56,"284,573",-13.74,"18,352",24.32,"6,012",6.67,"65,822",5.47,"234,171",-2.00,6,-14.29,0.848,-6.711,0.422,--,100.00,-,50.25,-,0.99,-,10.81,-,38.46,-
2011M04,"607,491",-3.70,"276,972",-11.92,"12,358",-10.30,"5,094",-11.08,"66,971",10.10,"246,090",4.85,6,-99.54,0.874,-3.850,0.416,--,100.00,-,52.37,-,0.84,-,11.02,-,40.51,-
2011M05,"630,341",-5.13,"294,537",-11.88,"11,292",-34.11,"5,501",-10.33,"70,548",9.84,"248,457",2.39,6,-14.29,0.877,-5.292,0.426,--,100.00,-,51.48,-,0.87,-,11.19,-,39.42,-
2011M06,"634,227",-6.57,"296,265",-13.96,"11,173",-22.25,"6,317",-4.65,"70,774",10.68,"249,693",0.08,6,-14.29,0.912,-6.748,0.442,--,100.00,-,51.52,-,1.00,-,11.16,-,39.37,-
2011M07,"641,663",-4.38,"299,283",-9.75,"10,312",-28.91,"7,062",-2.69,"70,499",7.10,"254,501",1.07,6,-14.29,0.893,-4.492,0.431,--,100.00,-,51.75,-,1.10,-,10.99,-,39.66,-
2011M08,"635,190",-4.16,"296,319",-8.49,"9,600",-32.16,"6,981",4.87,"70,300",6.29,"251,984",0.00,6,-14.29,0.884,-4.329,0.426,--,100.00,-,51.84,-,1.10,-,11.07,-,39.67,-
2011M09,"621,413",-8.63,"289,489",-13.78,"8,694",-49.52,"7,061",-17.40,"66,350",0.33,"249,813",-0.74,6,-99.26,0.893,-8.878,0.429,--,100.00,-,52.01,-,1.14,-,10.68,-,40.20,-
2011M10,"616,268",-2.96,"279,523",-6.99,"8,765",-43.98,"7,167",-3.76,"67,568",2.88,"253,239",3.03,6,-14.29,0.857,-3.164,0.401,--,100.00,-,53.22,-,1.16,-,10.96,-,41.09,-
