期間,總計_原始值,總計_年增率(%),空氣污染(不含異味污染物)_原始值,空氣污染(不含異味污染物)_年增率(%),異味污染物_原始值,異味污染物_年增率(%),噪音_原始值,噪音_年增率(%),水污染_原始值,水污染_年增率(%),環境衛生_原始值,環境衛生_年增率(%),廢棄物_原始值,廢棄物_年增率(%),振動_原始值,振動_年增率(%),其他_原始值,其他_年增率(%)
2007M09,"12,186",8.52,698,10.97,"3,686",28.03,"3,216",9.46,637,0.63,"2,351",-2.25,"1,479",-10.69,7,-12.50,112,38.27
2007M10,"15,344",30.22,"1,078",14.19,"4,545",49.80,"4,687",36.45,764,29.27,"2,592",14.69,"1,565",8.76,4,-63.64,109,57.97
2007M11,"13,741",12.02,991,20.12,"3,879",35.72,"4,773",13.40,598,-21.73,"2,073",-6.75,"1,317",-0.08,8,33.33,102,59.38
2007M12,"13,618",24.88,"1,075",36.94,"3,804",56.03,"4,678",13.13,674,17.83,"1,937",10.12,"1,356",18.32,4,-55.56,90,47.54
2008M01,"12,046",3.27,"1,032",43.13,"2,752",3.34,"4,200",0.24,633,8.21,"2,004",-3.47,"1,334",0.53,7,-46.15,84,-6.67
2008M02,"7,592",-5.27,578,-16.95,"1,624",-10.82,"2,719",9.37,401,-6.09,"1,310",-14.82,901,-7.40,10,900.00,49,-31.94
2008M03,"11,802",-4.88,"1,000",30.21,"2,677",-6.10,"4,212",-4.14,664,12.93,"1,938",-16.43,"1,244",-9.00,1,-85.71,66,-41.59
2008M04,"12,568",6.02,997,40.03,"2,935",6.19,"4,223",0.09,682,7.74,"2,205",4.65,"1,448",10.37,6,-50.00,72,-24.21
2008M05,"13,996",2.32,"1,171",34.29,"3,610",4.27,"4,257",4.24,765,2.41,"2,403",-4.94,"1,693",-7.33,8,0.00,89,-40.67
2008M06,"14,413",28.44,"1,334",115.86,"3,764",29.79,"3,990",46.53,715,-6.41,"2,532",9.42,"1,915",6.98,8,100.00,155,42.20
2008M07,"14,260",9.55,"1,301",23.55,"3,941",11.93,"3,491",26.67,769,2.53,"2,657",2.47,"1,987",-11.77,3,50.00,111,23.33
2008M08,"15,110",27.96,"1,606",135.83,"4,071",24.04,"3,663",37.04,726,4.76,"2,693",9.74,"2,211",15.88,11,266.67,129,13.16
2008M09,"14,875",22.07,"1,334",91.12,"3,834",4.02,"4,172",29.73,644,1.10,"2,767",17.69,"2,007",35.70,7,0.00,110,-1.79
2008M10,"17,004",10.82,"1,703",57.98,"4,018",-11.60,"5,759",22.87,699,-8.51,"2,902",11.96,"1,811",15.72,3,-25.00,109,0.00
2008M11,"14,495",5.49,"1,551",56.51,"3,110",-19.82,"5,593",17.18,518,-13.38,"2,201",6.17,"1,448",9.95,0,--,74,-27.45
2008M12,"16,359",20.13,"1,923",78.88,"3,372",-11.36,"6,307",34.82,638,-5.34,"2,542",31.23,"1,461",7.74,1,-75.00,115,27.78
2009M01,"11,389",-5.45,"1,181",14.44,"2,396",-12.94,"4,226",0.62,419,-33.81,"2,019",0.75,"1,086",-18.59,3,-57.14,59,-29.76
2009M02,"13,821",82.05,"1,253",116.78,"2,793",71.98,"5,143",89.15,596,48.63,"2,808",114.35,"1,172",30.08,1,-90.00,55,12.24
2009M03,"15,422",30.67,"1,309",30.90,"3,382",26.34,"5,911",40.34,615,-7.38,"2,823",45.67,"1,288",3.54,0,--,94,42.42
2009M04,"15,057",19.80,"1,189",19.26,"3,235",10.22,"5,547",31.35,669,-1.91,"2,895",31.29,"1,431",-1.17,6,0.00,85,18.06
2009M05,"16,400",17.18,"1,570",34.07,"3,693",2.30,"5,368",26.10,797,4.18,"3,183",32.46,"1,706",0.77,4,-50.00,79,-11.24
2009M06,"16,329",13.29,"1,427",6.97,"4,070",8.13,"4,481",12.31,759,6.15,"3,390",33.89,"2,106",9.97,6,-25.00,90,-41.94
2009M07,"17,992",26.17,"2,037",56.57,"4,469",13.40,"4,170",19.45,812,5.59,"3,518",32.40,"2,870",44.44,5,66.67,111,0.00
2009M08,"15,251",0.93,"1,503",-6.41,"3,930",-3.46,"3,492",-4.67,659,-9.23,"3,132",16.30,"2,458",11.17,4,-63.64,73,-43.41
2009M09,"16,219",9.04,"1,693",26.91,"4,416",15.18,"4,089",-1.99,690,7.14,"3,226",16.59,"1,986",-1.05,3,-57.14,116,5.45
2009M10,"16,929",-0.44,"1,750",2.76,"4,205",4.65,"5,793",0.59,646,-7.58,"3,073",5.89,"1,379",-23.85,7,133.33,76,-30.28
2009M11,"18,319",26.38,"2,177",40.36,"4,598",47.85,"6,573",17.52,593,14.48,"2,918",32.58,"1,346",-7.04,4,--,110,48.65
2009M12,"16,667",1.88,"2,012",4.63,"4,016",19.10,"5,975",-5.26,625,-2.04,"2,640",3.86,"1,308",-10.47,5,400.00,86,-25.22
2010M01,"14,799",29.94,"1,097",-7.11,"3,560",48.58,"5,575",31.92,606,44.63,"2,933",45.27,959,-11.69,3,0.00,66,11.86
2010M02,"11,849",-14.27,871,-30.49,"2,977",6.59,"4,176",-18.80,413,-30.70,"2,552",-9.12,804,-31.40,4,300.00,52,-5.45
