期間,大專校院-人文_原始值,大專校院-人文_年增率(%),大專校院-人文_原始值,大專校院-人文_年增率(%),大專校院-社會_原始值,大專校院-社會_年增率(%),大專校院-社會_原始值,大專校院-社會_年增率(%),大專校院-科技_原始值,大專校院-科技_年增率(%),大專校院-科技_原始值,大專校院-科技_年增率(%),研究所-合計_原始值,研究所-合計_年增率(%),研究所-合計_原始值,研究所-合計_年增率(%),碩士班_原始值,碩士班_年增率(%),碩士班_原始值,碩士班_年增率(%),博士班_原始值,博士班_年增率(%),博士班_原始值,博士班_年增率(%),工業技術-合計_原始值,工業技術-合計_年增率(%),工業技術-合計_原始值,工業技術-合計_年增率(%),高職工科_原始值,高職工科_年增率(%),高職工科_原始值,高職工科_年增率(%),工程類專科生_原始值,工程類專科生_年增率(%),工程類專科生_原始值,工程類專科生_年增率(%),工程類學士班_原始值,工程類學士班_年增率(%),工程類學士班_原始值,工程類學士班_年增率(%),工程類碩士班_原始值,工程類碩士班_年增率(%),工程類碩士班_原始值,工程類碩士班_年增率(%),工程類博士班_原始值,工程類博士班_年增率(%),工程類博士班_原始值,工程類博士班_年增率(%),醫藥衛生-合計_原始值,醫藥衛生-合計_年增率(%),醫藥衛生-合計_原始值,醫藥衛生-合計_年增率(%),高職醫事護理_原始值,高職醫事護理_年增率(%),高職醫事護理_原始值,高職醫事護理_年增率(%),醫事類專科生_原始值,醫事類專科生_年增率(%),醫事類專科生_原始值,醫事類專科生_年增率(%),醫事類學士班_原始值,醫事類學士班_年增率(%),醫事類學士班_原始值,醫事類學士班_年增率(%),醫事類碩士班_原始值,醫事類碩士班_年增率(%),醫事類碩士班_原始值,醫事類碩士班_年增率(%),醫事類博士班_原始值,醫事類博士班_年增率(%),醫事類博士班_原始值,醫事類博士班_年增率(%),法律-合計_原始值,法律-合計_年增率(%),法律-合計_原始值,法律-合計_年增率(%),法律類專科生_原始值,法律類專科生_年增率(%),法律類專科生_原始值,法律類專科生_年增率(%),法律類學士班_原始值,法律類學士班_年增率(%),法律類學士班_原始值,法律類學士班_年增率(%),法律類碩士班_原始值,法律類碩士班_年增率(%),法律類碩士班_原始值,法律類碩士班_年增率(%),法律類博士班_原始值,法律類博士班_年增率(%),法律類博士班_原始值,法律類博士班_年增率(%),藝術-合計_原始值,藝術-合計_年增率(%),藝術-合計_原始值,藝術-合計_年增率(%),藝術職校_原始值,藝術職校_年增率(%),藝術職校_原始值,藝術職校_年增率(%),藝術專校_原始值,藝術專校_年增率(%),藝術專校_原始值,藝術專校_年增率(%),藝術類學士班_原始值,藝術類學士班_年增率(%),藝術類學士班_原始值,藝術類學士班_年增率(%),藝術類碩士班_原始值,藝術類碩士班_年增率(%),藝術類碩士班_原始值,藝術類碩士班_年增率(%),藝術類博士班_原始值,藝術類博士班_年增率(%),藝術類博士班_原始值,藝術類博士班_年增率(%),農業-合計_原始值,農業-合計_年增率(%),農業-合計_原始值,農業-合計_年增率(%),高職農業科_原始值,高職農業科_年增率(%),高職農業科_原始值,高職農業科_年增率(%),農業專科生_原始值,農業專科生_年增率(%),農業專科生_原始值,農業專科生_年增率(%),農業類學士班_原始值,農業類學士班_年增率(%),農業類學士班_原始值,農業類學士班_年增率(%),農業類碩士班_原始值,農業類碩士班_年增率(%),農業類碩士班_原始值,農業類碩士班_年增率(%),農業類博士班_原始值,農業類博士班_年增率(%),農業類博士班_原始值,農業類博士班_年增率(%),資訊-合計_原始值,資訊-合計_年增率(%),資訊-合計_原始值,資訊-合計_年增率(%),資訊類專科_原始值,資訊類專科_年增率(%),資訊類專科_原始值,資訊類專科_年增率(%),資訊類學士班_原始值,資訊類學士班_年增率(%),資訊類學士班_原始值,資訊類學士班_年增率(%),資訊類碩士班_原始值,資訊類碩士班_年增率(%),資訊類碩士班_原始值,資訊類碩士班_年增率(%),資訊類博士班_原始值,資訊類博士班_年增率(%),資訊類博士班_原始值,資訊類博士班_年增率(%)
2003,"200,489",5.85,"44,498",5.72,"437,432",2.82,"112,261",1.72,"632,273",1.09,"165,049",-0.82,"143,567",17.55,"37,945",16.34,"121,909",17.87,"35,981",16.61,"21,658",15.79,"1,964",11.65,"460,453",-1.81,"130,670",-7.78,"140,347",-3.30,"41,579",-14.27,"81,077",-23.56,"28,477",-22.95,"197,308",8.55,"47,914",6.03,"32,776",16.14,"11,875",15.29,"8,945",15.70,825,10.89,"127,681",-2.07,"31,457",-4.54,"6,576",-32.71,"2,922",-30.13,"53,073",-2.71,"12,441",-3.92,"61,116",1.49,"14,277",0.13,"5,147",17.94,"1,659",15.21,"1,769",20.59,158,26.40,"15,075",11.92,"2,817",26.38,123,25.51,-,--,"12,103",9.42,"2,366",24.72,"2,671",23.77,445,39.06,178,16.34,6,-50.00,"35,446",9.34,"7,858",3.56,"2,977",-0.43,851,-10.70,"5,292",-6.15,"1,559",-5.74,"22,377",12.16,"4,546",8.60,"4,631",24.42,921,15.85,169,44.44,1,--,"42,672",-1.47,"12,483",3.01,"15,157",-9.36,"4,938",-11.17,"3,233",-25.33,"1,431",-3.70,"20,372",10.80,"4,986",24.25,"3,094",1.44,"1,018",5.06,816,-0.49,110,20.88,"236,083",2.65,"63,851",2.43,"72,290",-16.20,"22,981",-15.63,"141,546",13.25,"34,179",16.32,"18,125",19.88,"6,322",17.40,"4,122",14.12,369,11.48
2004,"207,217",3.36,"47,393",6.51,"446,788",2.14,"120,195",7.07,"631,862",-0.07,"169,277",2.56,"160,401",11.73,"44,499",17.27,"135,992",11.55,"42,334",17.66,"24,409",12.70,"2,165",10.23,"459,356",-0.24,"131,384",0.55,"140,029",-0.23,"41,348",-0.56,"59,157",-27.04,"23,345",-18.02,"213,490",8.20,"51,943",8.41,"36,578",11.60,"13,840",16.55,"10,102",12.93,862,4.48,"124,095",-2.81,"31,752",0.94,"4,982",-24.24,"1,875",-35.83,"48,685",-8.27,"12,458",0.14,"62,633",2.48,"15,311",7.24,"5,747",11.66,"1,929",16.27,"2,048",15.77,179,13.29,"16,568",9.90,"2,967",5.32,175,42.28,-,--,"12,973",7.19,"2,437",3.00,"3,224",20.70,509,14.38,196,10.11,21,250.00,"38,904",9.76,"8,859",12.74,"3,358",12.80,844,-0.82,"4,696",-11.26,"1,473",-5.52,"25,512",14.01,"5,319",17.00,"5,100",10.13,"1,216",32.03,238,40.83,7,600.00,"40,599",-4.86,"11,223",-10.09,"14,222",-6.17,"4,222",-14.50,"2,011",-37.80,913,-36.20,"20,381",0.04,"4,880",-2.13,"3,176",2.65,"1,129",10.90,809,-0.86,79,-28.18,"241,587",2.33,"67,173",5.20,"57,866",-19.95,"21,184",-7.82,"158,399",11.91,"37,917",10.94,"20,630",13.82,"7,663",21.21,"4,692",13.83,409,10.84
2005,"211,911",2.27,"47,284",-0.23,"450,392",0.81,"116,924",-2.72,"634,255",0.38,"160,898",-4.95,"177,024",10.36,"48,350",8.65,"149,493",9.93,"45,736",8.04,"27,531",12.79,"2,614",20.74,"461,188",0.40,"126,782",-3.50,"141,690",1.19,"42,087",1.79,"40,790",-31.05,"14,529",-37.76,"226,564",6.12,"54,330",4.60,"40,608",11.02,"14,752",6.59,"11,400",12.85,"1,084",25.75,"122,161",-1.56,"29,163",-8.15,"2,600",-47.81,"1,185",-36.80,"45,723",-6.08,"10,496",-15.75,"65,220",4.13,"15,277",-0.22,"6,244",8.65,"2,011",4.25,"2,374",15.92,194,8.38,"17,978",8.51,"3,270",10.21,164,-6.29,27,--,"13,891",7.08,"2,668",9.48,"3,725",15.54,562,10.41,198,1.02,13,-38.10,"43,436",11.65,"9,489",7.11,"3,992",18.88,915,8.41,"3,942",-16.06,"1,212",-17.72,"29,298",14.84,"5,991",12.63,"5,896",15.61,"1,362",12.01,308,29.41,9,28.57,"39,308",-3.18,"10,756",-4.16,"13,729",-3.47,"4,088",-3.17,"1,353",-32.72,571,-37.46,"20,027",-1.74,"4,838",-0.86,"3,333",4.94,"1,179",4.43,866,7.05,80,1.27,"243,528",0.80,"64,208",-4.41,"43,353",-25.08,"14,408",-31.99,"171,907",8.53,"41,159",8.55,"22,899",11.00,"8,164",6.54,"5,369",14.43,477,16.63
2006,"215,986",1.92,"48,203",1.94,"459,218",1.96,"116,642",-0.24,"638,789",0.71,"160,429",-0.29,"193,424",9.26,"52,826",9.26,"163,585",9.43,"49,976",9.27,"29,839",8.38,"2,850",9.03,"461,354",0.04,"126,004",-0.61,"140,698",-0.70,"42,273",0.44,"30,664",-24.82,"10,145",-30.17,"233,209",2.93,"56,075",3.21,"44,549",9.70,"16,292",10.44,"12,234",7.32,"1,219",12.45,"121,171",-0.81,"29,495",1.14,"1,380",-46.92,"1,356",14.43,"43,933",-3.91,"9,221",-12.15,"66,572",2.07,"16,456",7.72,"6,650",6.50,"2,214",10.09,"2,636",11.04,248,27.84,"19,160",6.57,"3,598",10.03,119,-27.44,21,-22.22,"14,520",4.53,"2,922",9.52,"4,306",15.60,640,13.88,215,8.59,15,15.38,"49,483",13.92,"10,486",10.51,"4,819",20.72,"1,121",22.51,"3,518",-10.76,838,-30.86,"33,805",15.38,"6,871",14.69,"6,966",18.15,"1,647",20.93,375,21.75,9,0.00,"38,901",-1.04,"10,111",-6.00,"13,423",-2.23,"3,959",-3.16,926,-31.56,380,-33.45,"20,089",0.31,"4,472",-7.57,"3,529",5.88,"1,218",3.31,934,7.85,82,2.50,"243,562",0.01,"63,698",-0.79,"34,159",-21.21,"10,818",-24.92,"178,690",3.95,"43,268",5.12,"24,874",8.62,"9,059",10.96,"5,839",8.75,553,15.93
2007,"221,731",2.66,"49,058",1.77,"464,907",1.24,"116,502",-0.12,"639,391",0.09,"157,980",-1.53,"204,225",5.58,"57,527",8.90,"172,518",5.46,"54,387",8.83,"31,707",6.26,"3,140",10.18,"459,608",-0.38,"124,577",-1.13,"139,940",-0.54,"42,878",1.43,"22,744",-25.83,"7,377",-27.28,"236,742",1.51,"55,790",-0.51,"47,454",6.52,"17,290",6.13,"12,728",4.04,"1,242",1.89,"121,074",-0.08,"27,577",-6.50,-,--,-,--,"43,215",-1.63,"7,811",-15.29,"68,041",2.21,"17,273",4.96,"6,926",4.15,"2,227",0.59,"2,892",9.71,266,7.26,"19,903",3.88,"3,898",8.34,88,-26.05,27,28.57,"14,924",2.78,"3,115",6.61,"4,654",8.08,734,14.69,237,10.23,22,46.67,"54,056",9.24,"11,753",12.08,"5,326",10.52,"1,423",26.94,"3,417",-2.87,793,-5.37,"37,306",10.36,"7,763",12.98,"7,561",8.54,"1,759",6.80,446,18.93,15,66.67,"39,757",2.20,"10,286",1.73,"13,229",-1.45,"4,075",2.93,653,-29.48,236,-37.89,"21,125",5.16,"4,676",4.56,"3,747",6.18,"1,210",-0.66,"1,003",7.39,89,8.54,"241,491",-0.85,"61,783",-3.01,"26,438",-22.60,"8,224",-23.98,"181,903",1.80,"43,542",0.63,"26,948",8.34,"9,428",4.07,"6,202",6.22,589,6.51
2008,"227,933",2.80,"48,873",-0.38,"473,813",1.92,"116,277",-0.19,"635,709",-0.58,"152,012",-3.78,"213,700",4.64,"61,263",6.49,"180,809",4.81,"57,674",6.04,"32,891",3.73,"3,589",14.30,"456,706",-0.63,"119,816",-3.82,"139,893",-0.03,"42,500",-0.88,"16,341",-28.15,"5,328",-27.78,"238,225",0.63,"52,680",-5.57,"49,266",3.82,"17,873",3.37,"12,981",1.99,"1,435",15.54,"121,305",0.19,"27,713",0.49,-,--,-,--,"43,673",1.06,"7,493",-4.07,"67,735",-0.45,"17,511",1.38,"6,964",0.55,"2,402",7.86,"2,933",1.42,307,15.41,"20,487",2.93,"4,133",6.03,51,-42.05,40,48.15,"15,118",1.30,"3,233",3.79,"5,067",8.87,839,14.31,251,5.91,21,-4.55,"59,458",9.99,"12,274",4.43,"5,668",6.42,"1,527",7.31,"3,576",4.65,666,-16.02,"41,371",10.90,"8,037",3.53,"8,322",10.06,"2,019",14.78,521,16.82,25,66.67,"39,948",0.48,"10,264",-0.21,"13,146",-0.63,"3,964",-2.72,462,-29.25,198,-16.10,"21,279",0.73,"4,631",-0.96,"4,005",6.89,"1,350",11.57,"1,056",5.28,121,35.96,"235,665",-2.41,"57,353",-7.17,"19,259",-27.15,"5,549",-32.53,"181,968",0.04,"40,989",-5.86,"28,165",4.52,"10,162",7.79,"6,273",1.14,653,10.87
2009,"232,443",1.98,"49,601",1.49,"476,729",0.62,"115,060",-1.05,"627,487",-1.29,"150,420",-1.05,"217,152",1.62,"63,197",3.16,"183,401",1.43,"59,492",3.15,"33,751",2.61,"3,705",3.23,"447,129",-2.10,"119,062",-0.63,"138,703",-0.85,"42,805",0.72,"11,837",-27.56,"3,513",-34.07,"233,682",-1.91,"52,465",-0.41,"49,828",1.14,"18,671",4.46,"13,079",0.75,"1,608",12.06,"122,347",0.86,"28,088",1.35,-,--,-,--,"44,654",2.25,"8,533",13.88,"67,463",-0.40,"16,952",-3.19,"7,090",1.81,"2,294",-4.50,"3,140",7.06,309,0.65,"20,389",-0.48,"4,174",0.99,8,-84.31,3,-92.50,"14,927",-1.26,"3,256",0.71,"5,215",2.92,901,7.39,239,-4.78,14,-33.33,"64,776",8.94,"12,897",5.08,"5,949",4.96,"1,525",-0.13,"3,416",-4.47,450,-32.43,"45,897",10.94,"8,841",10.00,"8,918",7.16,"2,048",1.44,596,14.40,33,32.00,"41,013",2.67,"10,084",-1.75,"13,500",2.69,"4,064",2.52,332,-28.14,123,-37.88,"21,977",3.28,"4,414",-4.69,"4,160",3.87,"1,375",1.85,"1,044",-1.14,108,-10.74,"229,390",-2.66,"55,847",-2.63,"15,049",-21.86,"4,081",-26.46,"178,875",-1.70,"40,536",-1.11,"29,037",3.10,"10,506",3.39,"6,429",2.49,724,10.87
2010,"235,906",1.49,"50,171",1.15,"485,704",1.88,"115,114",0.05,"621,993",-0.88,"147,926",-1.66,"219,178",0.93,"63,870",1.06,"185,000",0.87,"60,024",0.89,"34,178",1.27,"3,846",3.81,"441,434",-1.27,"115,613",-2.90,"138,354",-0.25,"41,153",-3.86,"9,416",-20.45,"2,176",-38.06,"230,496",-1.36,"52,079",-0.74,"50,237",0.82,"18,604",-0.36,"12,931",-1.13,"1,601",-0.44,"122,859",0.42,"28,058",-0.11,-,--,-,--,"44,437",-0.49,"8,087",-5.23,"67,627",0.24,"17,243",1.72,"7,361",3.82,"2,329",1.53,"3,434",9.36,399,29.13,"20,520",0.64,"4,243",1.65,1,-87.50,0,-100.00,"14,715",-1.42,"3,337",2.49,"5,544",6.31,890,-1.22,260,8.79,16,14.29,"68,539",5.81,"13,640",5.76,"6,335",6.49,"1,733",13.64,"3,585",4.95,282,-37.33,"49,576",8.02,"9,502",7.48,"8,450",-5.25,"2,076",1.37,593,-0.50,47,42.42,"41,238",0.55,"10,377",2.91,"13,510",0.07,"4,017",-1.16,299,-9.94,103,-16.26,"22,169",0.87,"4,679",6.00,"4,192",0.77,"1,485",8.00,"1,068",2.30,93,-13.89,"224,641",-2.07,"53,978",-3.35,"12,171",-19.12,"2,583",-36.71,"177,049",-1.02,"40,151",-0.95,"29,030",-0.02,"10,509",0.03,"6,391",-0.59,735,1.52
2011,"241,155",2.23,"50,743",1.14,"496,127",2.15,"116,034",0.80,"614,802",-1.16,"148,796",0.59,"217,799",-0.63,"63,911",0.06,"184,113",-0.48,"60,050",0.04,"33,686",-1.44,"3,861",0.39,"424,435",-3.85,"112,784",-2.45,"129,116",-6.68,"38,841",-5.62,"7,897",-16.13,"1,719",-21.00,"224,624",-2.55,"51,889",-0.36,"50,400",0.32,"18,792",1.01,"12,398",-4.12,"1,543",-3.62,"122,639",-0.18,"28,357",1.07,-,--,-,--,"44,551",0.26,"8,183",1.19,"67,277",-0.52,"17,486",1.41,"7,285",-1.03,"2,324",-0.21,"3,526",2.68,364,-8.77,"20,358",-0.79,"4,166",-1.81,0,-100.00,0,--,"14,481",-1.59,"3,212",-3.75,"5,607",1.14,933,4.83,270,3.85,21,31.25,"74,572",8.80,"14,742",8.08,"7,202",13.69,"1,852",6.87,"4,015",11.99,283,0.35,"54,186",9.30,"10,577",11.31,"8,544",1.11,"1,995",-3.90,625,5.40,35,-25.53,"41,404",0.40,"10,596",2.11,"13,066",-3.29,"4,128",2.76,321,7.36,75,-27.18,"22,848",3.06,"4,779",2.14,"4,148",-1.05,"1,494",0.61,"1,021",-4.40,120,29.03,"219,915",-2.10,"53,196",-1.45,"10,838",-10.95,"1,918",-25.75,"173,549",-1.98,"39,906",-0.61,"29,431",1.38,"10,609",0.95,"6,097",-4.60,763,3.81
2012,"245,146",1.65,"51,158",0.82,"508,142",2.42,"114,886",-0.99,"602,002",-2.08,"143,289",-3.70,"215,825",-0.91,"64,459",0.86,"183,094",-0.55,"60,218",0.28,"32,731",-2.84,"4,241",9.84,"413,893",-2.48,"110,073",-2.40,"128,263",-0.66,"39,512",1.73,"7,048",-10.75,"1,450",-15.65,"216,181",-3.76,"48,515",-6.50,"50,753",0.70,"18,959",0.89,"11,648",-6.05,"1,637",6.09,"122,848",0.17,"27,609",-2.64,-,--,-,--,"44,361",-0.43,"7,907",-3.37,"67,705",0.64,"16,902",-3.34,"7,217",-0.93,"2,362",1.64,"3,565",1.11,438,20.33,"20,174",-0.90,"4,267",2.42,0,--,0,--,"14,238",-1.68,"3,211",-0.03,"5,651",0.78,"1,026",9.97,285,5.56,30,42.86,"80,214",7.57,"15,915",7.96,"8,239",14.40,"2,033",9.77,"4,593",14.40,320,13.07,"58,065",7.16,"11,481",8.55,"8,638",1.10,"2,023",1.40,679,8.64,58,65.71,"41,500",0.23,"10,568",-0.26,"13,175",0.83,"3,915",-5.16,340,5.92,82,9.33,"22,812",-0.16,"5,002",4.67,"4,167",0.46,"1,453",-2.74,"1,006",-1.47,116,-3.33,"211,870",-3.66,"50,846",-4.42,"9,786",-9.71,"1,768",-7.82,"166,972",-3.79,"37,378",-6.33,"29,476",0.15,"10,912",2.86,"5,636",-7.56,788,3.28
