期間,景氣領先指標綜合指數(點)_原始值,景氣領先指標綜合指數(點)_年增率(%),外銷訂單指數(Index 2011=100)_原始值,外銷訂單指數(Index 2011=100)_年增率(%),貨幣總計數 M1B(十億元)_原始值,貨幣總計數 M1B(十億元)_年增率(%),股價指數(Index 1966=100)_原始值,股價指數(Index 1966=100)_年增率(%),工業及服務業受僱員工淨進入率(%)_原始值,工業及服務業受僱員工淨進入率(%)_年增率(%),核發建照面積(住宅類住宅、商業辦公、工業倉儲)(千平方公尺)_原始值,核發建照面積(住宅類住宅、商業辦公、工業倉儲)(千平方公尺)_年增率(%),SEMI半導體接單出貨比(比率)_原始值,SEMI半導體接單出貨比(比率)_年增率(%)
2002M07,62.92,17.73,39.13,18.90,"5,202",20.03,"5,146",15.59,0.84,-,"1,681",75.47,1.22,-
2002M08,62.50,16.46,40.53,16.23,"5,192",19.08,"4,842",7.72,0.28,-,"1,153",17.41,1.02,-
2002M09,62.08,14.50,39.95,24.57,"5,190",18.17,"4,462",12.99,-0.09,-,"1,269",73.84,0.80,-
2002M10,61.78,12.02,42.05,13.89,"5,155",16.79,"4,272",12.96,0.11,-,"1,845",73.57,0.78,-
2002M11,61.63,9.27,42.00,14.19,"5,196",15.21,"4,676",8.29,0.28,-,"1,367",34.95,0.80,-
2002M12,61.60,6.47,40.87,13.43,"5,301",11.06,"4,621",-12.22,0.32,-,"1,563",26.25,0.94,-
2003M01,61.65,3.85,41.21,14.76,"5,515",9.58,"4,890",-14.76,0.00,-,"1,530",29.01,0.94,-
2003M02,61.75,1.63,35.13,9.20,"5,603",6.89,"4,586",-20.22,-0.14,-,726,-6.44,0.98,-
2003M03,61.96,0.07,42.06,5.44,"5,506",5.78,"4,449",-26.56,0.19,-,"1,551",46.32,0.91,-
2003M04,62.36,-0.58,42.67,5.49,"5,530",6.04,"4,450",-28.90,0.02,-,"1,453",16.71,0.90,-
2003M05,63.07,-0.11,43.51,5.81,"5,554",7.10,"4,319",-24.35,-0.08,-,"1,588",6.94,0.90,-
2003M06,64.10,1.48,44.01,14.10,"5,642",9.15,"4,870",-10.30,0.18,-,"1,695",53.26,0.93,-
