期間,景氣對策信號(分數)(分)_原始值,景氣對策信號(分數)(分)_年增率(%),貨幣總計數 M1B(十億元)_原始值,貨幣總計數 M1B(十億元)_年增率(%),股價指數(Index 1966=100)_原始值,股價指數(Index 1966=100)_年增率(%),工業生產指數(Index 2011=100)_原始值,工業生產指數(Index 2011=100)_年增率(%),製造業銷售量指數(Index 2011=100)_原始值,製造業銷售量指數(Index 2011=100)_年增率(%),非農業部門就業人數(千人)_原始值,非農業部門就業人數(千人)_年增率(%),海關出口值(十億元)_原始值,海關出口值(十億元)_年增率(%),機械及電機設備進口值(十億元)_原始值,機械及電機設備進口值(十億元)_年增率(%),商業營業額(十億元)_原始值,商業營業額(十億元)_年增率(%)
2000M10,23,-,"4,272",2.92,"5,837",-24.17,64.41,6.64,66.49,5.42,"8,803",1.46,436.3,17.85,191.1,8.30,785.2,11.61
2000M11,17,-,"4,295",3.22,"5,525",-27.97,63.17,2.82,64.01,2.07,"8,828",1.11,417.1,11.93,176.1,14.75,777.7,9.83
2000M12,16,-,"4,311",0.37,"5,072",-35.95,62.31,-0.21,62.60,-3.01,"8,835",1.08,408.8,15.09,154.1,1.05,778.6,5.17
2001M01,10,-,"4,536",0.07,"5,440",-41.06,53.21,-12.14,54.92,-13.73,"8,781",0.49,330.6,-12.48,140.3,-5.93,733.5,-1.70
2001M02,10,-,"4,525",-4.15,"5,876",-40.59,55.51,12.69,57.60,11.43,"8,700",0.53,335.9,18.96,139.5,3.03,704.2,-2.43
2001M03,10,-,"4,427",-5.51,"5,703",-38.93,61.87,-3.21,65.03,-5.08,"8,684",0.14,388.2,3.46,144.5,-12.59,737.2,-2.86
2001M04,9,-,"4,372",-6.84,"5,491",-41.39,56.10,-7.27,58.97,-6.32,"8,650",-0.52,365.2,-4.59,156.9,-11.75,711.7,-5.76
2001M05,9,-,"4,294",-5.15,"5,157",-40.53,58.71,-7.70,60.12,-9.59,"8,642",-0.92,341.2,-17.11,126.9,-31.31,705.2,-9.56
2001M06,9,-,"4,294",-4.22,"5,049",-42.32,55.46,-13.15,56.75,-14.80,"8,662",-0.92,359.2,-8.14,127.3,-26.32,710.4,-8.94
2001M07,9,-,"4,334",-2.72,"4,452",-45.79,54.96,-12.57,56.36,-13.35,"8,663",-1.23,346.1,-19.22,131.7,-33.92,719.8,-10.42
2001M08,11,-,"4,360",-1.45,"4,495",-43.41,58.35,-9.34,60.06,-8.46,"8,674",-1.41,337.6,-16.68,118.6,-34.27,736.6,-8.49
2001M09,9,-,"4,392",0.30,"3,949",-44.14,53.31,-16.03,55.12,-17.76,"8,640",-1.62,314.6,-23.76,118.2,-36.54,691.3,-13.97
2001M10,9,-,"4,414",3.32,"3,782",-35.21,59.01,-8.38,60.50,-9.01,"8,649",-1.75,408.5,-6.38,159.0,-16.77,727.5,-7.34
