期間,總指數_原始值,總指數_年增率(%),總指數(不含土石採取業)_原始值,總指數(不含土石採取業)_年增率(%),總指數(不含建築工程業)_原始值,總指數(不含建築工程業)_年增率(%),總指數(不含土石採取及建築工程業)_原始值,總指數(不含土石採取及建築工程業)_年增率(%),礦業及土石採取業_原始值,礦業及土石採取業_年增率(%),製造業_原始值,製造業_年增率(%),金屬機電工業_原始值,金屬機電工業_年增率(%),資訊電子工業_原始值,資訊電子工業_年增率(%),化學工業_原始值,化學工業_年增率(%),民生工業_原始值,民生工業_年增率(%),電力及燃氣供應業_原始值,電力及燃氣供應業_年增率(%),用水供應業_原始值,用水供應業_年增率(%),建築工程業_原始值,建築工程業_年增率(%)
2003M07,68.27,8.68,68.16,8.69,67.51,8.05,67.39,8.07,135.88,-4.48,65.20,8.18,75.78,2.92,37.19,11.82,92.53,13.23,111.39,0.34,107.00,7.37,103.52,6.07,124.84,34.27
2003M08,67.82,7.06,67.71,7.10,67.26,7.34,67.15,7.39,137.65,-9.14,65.06,7.70,72.63,-0.15,38.25,18.53,92.75,9.47,109.06,-4.83,104.61,4.44,103.05,3.69,111.60,-2.74
2003M09,67.45,10.90,67.35,10.97,66.68,9.83,66.58,9.89,131.85,-12.36,64.88,10.15,73.60,4.12,40.35,22.87,86.45,7.55,104.53,-3.11,95.49,7.64,100.78,3.57,124.36,64.32
2003M10,72.03,12.62,71.92,12.69,71.50,12.23,71.39,12.30,133.72,-21.51,70.13,13.13,80.04,7.45,43.98,26.05,93.20,9.33,110.08,0.38,91.27,2.98,101.15,0.52,114.77,29.87
2003M11,69.98,11.74,69.87,11.83,69.33,11.55,69.23,11.66,138.21,-26.49,68.12,12.17,76.40,3.90,43.28,24.76,90.99,11.78,105.05,-2.12,85.73,6.60,97.69,0.80,119.63,18.65
2003M12,75.15,18.72,75.05,18.84,74.45,19.08,74.36,19.22,148.09,-20.88,73.46,20.29,86.10,11.99,44.27,31.05,99.57,22.73,118.09,6.82,86.38,6.62,98.76,-1.72,127.90,6.65
2004M01,64.07,-0.94,63.99,-0.85,63.78,0.20,63.69,0.27,144.44,-18.04,62.39,0.27,78.59,5.12,31.93,-7.05,90.97,6.72,99.26,-14.04,83.68,2.22,98.32,-2.67,91.23,-33.30
2004M02,68.04,28.04,67.93,28.10,67.97,27.64,67.86,27.70,153.28,12.24,66.73,28.65,86.25,45.94,35.17,14.19,93.31,28.85,102.75,20.05,81.77,13.35,90.29,-0.76,78.19,50.19
2004M03,75.44,15.90,75.37,16.04,75.06,16.14,74.98,16.25,131.19,-25.34,73.88,16.82,97.03,26.90,38.51,4.56,102.32,23.60,113.31,1.37,88.41,7.40,97.72,-1.15,110.39,7.83
2004M04,72.77,13.56,72.68,13.67,72.76,13.79,72.67,13.88,132.45,-11.61,71.57,14.49,95.41,25.67,37.41,2.27,96.76,17.80,109.87,1.97,86.45,2.82,95.77,-1.27,79.06,-2.50
2004M05,74.65,14.28,74.54,14.34,74.09,14.46,73.98,14.52,138.77,-4.49,72.58,15.10,96.04,29.09,38.13,4.75,99.12,13.67,110.60,2.94,99.65,10.92,101.23,0.36,118.79,7.73
2004M06,73.30,14.51,73.15,14.49,72.83,15.00,72.68,15.00,146.66,2.82,71.28,15.88,94.72,31.54,38.09,6.93,95.18,9.26,108.61,7.81,99.47,8.17,99.28,2.30,111.17,-3.50
2004M07,73.49,7.65,73.38,7.66,72.91,8.00,72.80,8.03,137.46,1.16,71.27,9.31,95.76,26.37,37.34,0.40,95.38,3.08,108.80,-2.33,104.53,-2.31,100.61,-2.81,118.49,-5.09
2004M08,72.47,6.86,72.36,6.87,72.16,7.29,72.06,7.31,132.99,-3.39,70.52,8.39,91.25,25.64,37.25,-2.61,98.93,6.66,107.21,-1.70,104.63,0.02,101.74,-1.27,99.41,-10.92
2004M09,72.85,8.01,72.74,8.00,72.21,8.29,72.10,8.29,132.19,0.26,70.78,9.09,93.63,27.21,38.22,-5.28,95.64,10.63,104.81,0.27,96.18,0.72,99.14,-1.63,122.93,-1.15
2004M10,74.42,3.32,74.31,3.32,73.75,3.15,73.63,3.14,135.97,1.68,72.47,3.34,94.55,18.13,39.87,-9.35,99.53,6.79,104.33,-5.22,89.36,-2.09,102.89,1.72,124.14,8.16
2004M11,74.46,6.40,74.33,6.38,73.25,5.65,73.11,5.60,142.30,2.96,72.01,5.71,93.77,22.74,40.59,-6.22,96.07,5.58,104.96,-0.09,86.79,1.24,99.16,1.50,163.96,37.06
2004M12,75.17,0.03,75.02,-0.04,73.98,-0.63,73.82,-0.73,156.17,5.46,72.69,-1.05,97.18,12.87,39.35,-11.11,95.02,-4.57,110.50,-6.43,87.60,1.41,101.20,2.47,166.23,29.97
2005M01,74.13,15.70,73.99,15.63,73.36,15.02,73.21,14.95,158.27,9.57,71.97,15.36,94.61,20.38,38.96,22.02,96.03,5.56,110.19,11.01,90.79,8.50,101.89,3.63,133.31,46.13
2005M02,60.32,-11.35,60.23,-11.34,59.84,-11.96,59.75,-11.95,115.78,-24.47,58.59,-12.20,74.12,-14.06,33.32,-5.26,83.53,-10.48,79.72,-22.41,78.89,-3.52,92.02,1.92,96.70,23.67
2005M03,76.56,1.48,76.44,1.42,76.38,1.76,76.25,1.69,146.01,11.30,75.09,1.64,100.12,3.18,41.25,7.12,99.86,-2.40,108.74,-4.03,91.62,3.63,100.46,2.80,96.37,-12.70
2005M04,74.33,2.14,74.22,2.12,73.93,1.61,73.82,1.58,131.10,-1.02,72.65,1.51,94.64,-0.81,41.01,9.62,96.19,-0.59,106.87,-2.73,91.50,5.84,97.69,2.00,107.49,35.96
2005M05,74.95,0.40,74.84,0.40,74.50,0.55,74.39,0.55,121.45,-12.48,73.06,0.66,96.09,0.05,41.70,9.36,96.21,-2.94,103.73,-6.21,101.02,1.37,95.36,-5.80,112.01,-5.71
2005M06,75.12,2.48,75.03,2.57,74.44,2.21,74.34,2.28,119.18,-18.74,72.94,2.33,94.12,-0.63,43.67,14.65,94.21,-1.02,102.31,-5.80,102.96,3.51,99.02,-0.26,128.87,15.92
2005M07,73.50,0.01,73.42,0.05,72.99,0.11,72.91,0.15,111.38,-18.97,71.35,0.11,88.31,-7.78,43.38,16.18,94.44,-0.99,102.97,-5.36,108.69,3.98,101.35,0.74,115.23,-2.75
2005M08,77.42,6.83,77.31,6.84,76.55,6.08,76.44,6.08,125.23,-5.84,74.94,6.27,89.42,-2.01,47.39,27.22,99.26,0.33,108.50,1.20,108.97,4.15,101.98,0.24,144.54,45.40
2005M09,76.75,5.35,76.63,5.35,76.04,5.30,75.91,5.28,125.27,-5.23,74.63,5.44,89.32,-4.60,48.37,26.56,97.24,1.67,104.67,-0.13,99.82,3.78,99.66,0.52,131.87,7.27
2005M10,78.69,5.74,78.61,5.79,77.73,5.40,77.64,5.45,115.60,-14.98,76.41,5.44,90.75,-4.02,50.06,25.56,101.17,1.65,103.50,-0.80,98.36,10.07,102.35,-0.52,152.41,22.77
2005M11,78.35,5.22,78.26,5.29,77.37,5.62,77.28,5.70,119.91,-15.73,76.22,5.85,90.55,-3.43,50.62,24.71,98.35,2.37,104.72,-0.23,90.91,4.75,99.74,0.58,150.84,-8.00
2005M12,79.92,6.32,79.81,6.38,78.64,6.30,78.53,6.38,135.95,-12.95,77.42,6.51,94.33,-2.93,50.79,29.07,97.20,2.29,108.07,-2.20,91.98,5.00,102.23,1.02,171.87,3.39
2006M01,76.37,3.02,76.23,3.03,75.00,2.24,74.85,2.24,138.27,-12.64,73.69,2.39,89.07,-5.86,47.49,21.89,94.90,-1.18,104.40,-5.25,91.50,0.78,103.23,1.32,164.04,23.05
2006M02,68.32,13.26,68.22,13.27,68.28,14.10,68.18,14.11,116.97,1.03,67.16,14.63,80.60,8.74,45.97,37.97,86.32,3.34,84.07,5.46,81.67,3.52,91.93,-0.10,71.38,-26.18
2006M03,82.43,7.67,82.31,7.68,81.36,6.52,81.24,6.54,136.63,-6.42,80.21,6.82,101.35,1.23,52.55,27.39,98.39,-1.47,106.58,-1.99,91.67,0.05,102.32,1.85,150.64,56.31
2006M04,78.33,5.38,78.21,5.38,77.69,5.09,77.56,5.07,127.85,-2.48,76.45,5.23,93.94,-0.74,50.54,23.24,97.33,1.19,99.92,-6.50,93.58,2.27,99.67,2.03,119.57,11.24
2006M05,81.06,8.15,80.94,8.15,80.05,7.45,79.93,7.45,125.24,3.12,78.67,7.68,96.27,0.19,51.22,22.83,101.90,5.91,104.51,0.75,101.65,0.62,103.42,8.45,145.79,30.16
2006M06,78.99,5.15,78.88,5.13,78.15,4.98,78.03,4.96,121.44,1.90,76.69,5.14,94.35,0.24,50.06,14.63,98.02,4.04,102.34,0.03,104.31,1.31,101.34,2.34,133.17,3.34
2006M07,78.70,7.07,78.60,7.06,78.03,6.91,77.92,6.87,115.48,3.68,76.35,7.01,93.61,6.00,50.67,16.80,95.39,1.01,102.94,-0.03,113.86,4.76,105.78,4.37,121.73,5.64
2006M08,81.44,5.19,81.34,5.21,80.44,5.08,80.34,5.10,115.58,-7.71,78.80,5.15,94.40,5.57,53.97,13.88,97.66,-1.61,105.92,-2.38,114.13,4.74,106.01,3.95,145.53,0.68
2006M09,79.31,3.34,79.22,3.38,78.36,3.05,78.27,3.11,113.47,-9.42,76.97,3.14,91.47,2.41,54.60,12.88,93.08,-4.28,100.82,-3.68,102.38,2.56,102.62,2.97,139.99,6.16
2006M10,79.57,1.12,79.49,1.12,78.48,0.96,78.40,0.98,112.41,-2.76,77.15,0.97,91.32,0.63,55.13,10.13,92.45,-8.62,101.77,-1.67,99.21,0.86,105.86,3.43,148.99,-2.24
2006M11,79.76,1.80,79.69,1.83,78.33,1.24,78.26,1.27,111.69,-6.86,77.14,1.21,90.55,0.00,54.14,6.95,96.02,-2.37,101.75,-2.84,93.98,3.38,101.59,1.85,170.91,13.31
2006M12,78.95,-1.21,78.88,-1.17,77.55,-1.39,77.47,-1.35,113.95,-16.18,76.27,-1.49,93.64,-0.73,49.99,-1.58,96.03,-1.20,104.09,-3.68,96.30,4.70,103.90,1.63,168.83,-1.77
2007M01,80.50,5.41,80.44,5.52,79.69,6.25,79.62,6.37,111.16,-19.61,78.45,6.46,95.92,7.69,52.22,9.96,97.30,2.53,107.11,2.60,97.17,6.20,104.40,1.13,132.48,-19.24
2007M02,65.86,-3.60,65.83,-3.50,64.72,-5.21,64.69,-5.12,86.90,-25.71,63.58,-5.33,74.31,-7.80,43.57,-5.22,83.76,-2.97,80.97,-3.69,82.66,1.21,94.42,2.71,138.61,94.19
2007M03,82.36,-0.08,82.32,0.01,81.94,0.71,81.90,0.81,106.19,-22.28,80.78,0.71,98.49,-2.82,54.79,4.26,100.52,2.16,105.54,-0.98,96.72,5.51,103.34,1.00,109.93,-27.02
2007M04,81.25,3.73,81.22,3.85,80.80,4.00,80.77,4.14,100.44,-21.44,79.70,4.25,95.74,1.92,55.45,9.72,100.50,3.26,98.78,-1.14,95.07,1.59,99.46,-0.21,110.52,-7.57
2007M05,86.94,7.25,86.89,7.35,85.96,7.38,85.91,7.48,105.49,-15.77,84.69,7.65,99.62,3.48,60.71,18.53,105.01,3.05,105.74,1.18,105.82,4.10,103.98,0.54,149.52,2.56
2007M06,84.97,7.57,84.92,7.66,83.90,7.36,83.85,7.46,101.93,-16.07,82.53,7.62,93.32,-1.09,62.07,23.99,102.29,4.36,99.50,-2.78,109.04,4.53,101.46,0.12,153.58,15.33
2007M07,88.70,12.71,88.66,12.80,87.58,12.24,87.53,12.33,103.78,-10.13,86.05,12.70,97.25,3.89,64.77,27.83,106.91,12.08,103.14,0.19,118.51,4.08,106.46,0.64,160.94,32.21
2007M08,89.05,9.34,89.02,9.44,88.08,9.50,88.05,9.60,98.87,-14.46,86.71,10.04,94.40,0.00,66.72,23.62,108.06,10.65,106.35,0.41,113.25,-0.77,104.92,-1.03,151.20,3.90
2007M09,85.21,7.44,85.15,7.49,84.51,7.85,84.46,7.91,103.83,-8.50,83.26,8.17,88.83,-2.89,67.39,23.42,101.30,8.83,95.75,-5.03,104.30,1.88,102.30,-0.31,129.91,-7.20
2007M10,92.23,15.91,92.24,16.04,91.58,16.69,91.59,16.82,91.16,-18.90,90.56,17.38,98.44,7.80,73.18,32.74,107.76,16.56,104.25,2.44,102.81,3.63,104.91,-0.90,134.32,-9.85
2007M11,89.93,12.75,89.93,12.85,88.82,13.39,88.81,13.48,93.21,-16.55,87.92,13.97,95.61,5.59,70.78,30.74,105.35,9.72,101.00,-0.74,94.72,0.79,101.43,-0.16,161.60,-5.45
2007M12,89.45,13.30,89.44,13.39,88.67,14.34,88.65,14.43,99.98,-12.26,87.64,14.91,97.32,3.93,68.89,37.81,105.76,10.13,101.70,-2.30,98.98,2.78,103.94,0.04,139.86,-17.16
2008M01,90.89,12.91,90.85,12.94,89.82,12.71,89.77,12.75,109.06,-1.89,88.76,13.14,98.31,2.49,68.42,31.02,107.66,10.65,109.26,2.01,99.79,2.70,103.96,-0.42,159.70,20.55
2008M02,76.63,16.35,76.62,16.39,76.03,17.48,76.02,17.51,87.03,0.15,74.97,17.91,80.50,8.33,60.38,38.58,94.30,12.58,80.25,-0.89,90.93,10.00,95.54,1.19,115.49,-16.68
2008M03,90.71,10.14,90.65,10.12,90.32,10.23,90.27,10.22,110.83,4.37,89.32,10.57,98.51,0.02,72.23,31.83,105.70,5.15,99.71,-5.52,98.21,1.54,102.56,-0.75,115.86,5.39
2008M04,90.71,11.64,90.64,11.60,90.23,11.67,90.16,11.63,112.75,12.26,89.27,12.01,99.63,4.06,71.44,28.84,105.40,4.88,100.48,1.72,96.79,1.81,99.71,0.25,121.73,10.14
2008M05,92.06,5.89,92.00,5.88,91.37,6.29,91.31,6.29,108.78,3.12,90.27,6.59,99.99,0.37,71.73,18.15,109.66,4.43,100.25,-5.19,103.77,-1.94,102.98,-0.96,136.75,-8.54
2008M06,89.37,5.18,89.33,5.19,88.66,5.67,88.61,5.68,99.68,-2.21,87.48,6.00,95.69,2.54,71.03,14.44,105.79,3.42,94.08,-5.45,106.60,-2.24,99.37,-2.06,135.58,-11.72
2008M07,90.60,2.14,90.58,2.17,90.24,3.04,90.22,3.07,91.52,-11.81,88.97,3.39,93.53,-3.83,74.35,14.79,105.23,-1.57,100.72,-2.35,112.44,-5.12,103.00,-3.25,114.39,-28.92
2008M08,90.46,1.58,90.46,1.62,89.95,2.12,89.94,2.15,87.41,-11.59,88.65,2.24,91.69,-2.87,78.24,17.27,98.22,-9.11,97.12,-8.68,114.04,0.70,103.09,-1.74,124.21,-17.85
2008M09,85.09,-0.14,85.09,-0.07,84.60,0.11,84.60,0.17,79.18,-23.74,83.46,0.24,84.86,-4.47,77.35,14.78,85.30,-15.79,91.46,-4.48,103.61,-0.66,99.16,-3.07,117.06,-9.89
2008M10,81.02,-12.15,81.02,-12.16,80.02,-12.62,80.01,-12.64,83.43,-8.48,78.79,-13.00,82.55,-16.14,69.07,-5.62,83.13,-22.86,93.70,-10.12,101.44,-1.33,101.92,-2.85,145.49,8.32
2008M11,65.38,-27.30,65.34,-27.34,64.62,-27.25,64.58,-27.28,85.27,-8.52,63.40,-27.89,68.17,-28.70,50.24,-29.02,72.75,-30.94,85.16,-15.68,85.51,-9.72,98.45,-2.94,114.13,-29.38
2008M12,61.86,-30.84,61.79,-30.91,60.99,-31.22,60.93,-31.27,93.25,-6.73,59.72,-31.86,67.57,-30.57,40.21,-41.63,75.35,-28.75,92.28,-9.26,82.57,-16.58,99.39,-4.38,117.14,-16.24
2009M01,54.21,-40.36,54.18,-40.36,53.11,-40.87,53.08,-40.87,70.80,-35.08,50.77,-42.80,50.26,-48.88,33.71,-50.73,73.14,-32.06,74.91,-31.44,92.94,-6.86,97.51,-6.20,125.92,-21.15
2009M02,58.45,-23.72,58.36,-23.83,58.12,-23.56,58.02,-23.68,83.15,-4.46,56.31,-24.89,58.95,-26.77,38.07,-36.95,79.07,-16.15,75.81,-5.53,87.69,-3.56,89.79,-6.02,80.07,-30.67
2009M03,69.83,-23.02,69.74,-23.07,69.48,-23.07,69.40,-23.12,93.69,-15.47,68.15,-23.70,66.97,-32.02,50.23,-30.46,94.52,-10.58,89.16,-10.58,89.88,-8.48,99.14,-3.33,92.29,-20.34
2009M04,73.76,-18.69,73.72,-18.67,73.40,-18.65,73.36,-18.63,90.07,-20.12,72.25,-19.07,67.23,-32.52,58.46,-18.17,98.06,-6.96,88.12,-12.30,91.79,-5.17,96.06,-3.66,97.37,-20.01
2009M05,75.41,-18.09,75.34,-18.11,75.07,-17.84,75.00,-17.86,93.51,-14.04,73.81,-18.23,67.56,-32.43,62.46,-12.92,97.79,-10.82,86.84,-13.38,95.02,-8.43,101.25,-1.68,97.95,-28.37
2009M06,80.45,-9.98,80.42,-9.97,79.94,-9.84,79.90,-9.83,91.66,-8.05,78.53,-10.23,73.66,-23.02,67.74,-4.63,100.47,-5.03,89.81,-4.54,104.57,-1.90,98.17,-1.21,114.14,-15.81
2009M07,84.00,-7.28,83.99,-7.28,83.80,-7.14,83.79,-7.13,90.12,-1.53,82.48,-7.29,77.24,-17.42,72.89,-1.96,102.64,-2.46,93.57,-7.10,107.34,-4.54,102.76,-0.23,97.03,-15.18
2009M08,81.25,-10.18,81.29,-10.14,81.14,-9.79,81.18,-9.74,79.36,-9.21,79.60,-10.21,70.24,-23.39,72.70,-7.08,100.00,1.81,90.52,-6.80,110.11,-3.45,100.17,-2.83,88.64,-28.64
2009M09,85.89,0.94,85.92,0.98,85.39,0.93,85.41,0.96,85.75,8.30,84.35,1.07,79.66,-6.13,77.81,0.59,99.22,16.32,92.60,1.25,104.70,1.05,98.75,-0.41,118.68,1.38
2009M10,86.37,6.60,86.36,6.59,86.15,7.66,86.14,7.66,88.22,5.74,85.45,8.45,81.71,-1.02,78.15,13.15,101.00,21.50,92.79,-0.97,98.21,-3.18,101.20,-0.71,100.90,-30.65
2009M11,84.60,29.40,84.61,29.49,84.59,30.90,84.59,30.98,87.60,2.73,84.50,33.28,80.98,18.79,76.66,52.59,100.37,37.97,92.77,8.94,84.66,-0.99,96.99,-1.48,85.69,-24.92
2009M12,91.13,47.32,91.13,47.48,90.55,48.47,90.54,48.60,97.61,4.68,90.14,50.94,90.58,34.05,77.78,93.43,106.59,41.46,104.84,13.61,96.81,17.25,99.90,0.51,129.29,10.37
2010M01,88.22,62.74,88.18,62.75,88.24,66.15,88.20,66.16,100.50,41.95,87.59,72.52,87.09,73.28,76.39,126.61,105.63,44.42,96.82,29.25,98.32,5.79,99.92,2.47,87.09,-30.84
2010M02,76.16,30.30,76.12,30.43,75.57,30.02,75.53,30.18,86.24,3.72,74.60,32.48,69.05,17.13,70.42,84.98,89.33,12.98,75.84,0.04,92.16,5.10,89.33,-0.51,114.51,43.01
2010M03,94.97,36.00,94.95,36.15,95.26,37.10,95.25,37.25,100.15,6.90,94.99,39.38,93.52,39.64,87.78,74.76,108.49,14.78,100.07,12.24,99.60,10.81,100.05,0.92,76.04,-17.61
2010M04,95.05,28.86,95.01,28.88,95.24,29.75,95.20,29.77,105.04,16.62,95.43,32.08,93.62,39.25,89.44,52.99,107.40,9.52,99.68,13.12,90.12,-1.82,96.66,0.62,82.33,-15.45
2010M05,96.88,28.47,96.83,28.52,97.29,29.60,97.23,29.64,107.16,14.60,97.09,31.54,93.97,39.09,92.24,47.68,109.97,12.46,98.31,13.21,99.51,4.73,101.44,0.19,70.32,-28.21
2010M06,97.42,21.09,97.37,21.08,97.42,21.87,97.36,21.85,108.68,18.57,97.14,23.70,94.17,27.84,94.45,39.43,106.26,5.76,97.00,8.01,101.55,-2.89,98.29,0.12,97.81,-14.31
2010M07,100.57,19.73,100.51,19.67,100.95,20.47,100.89,20.41,111.11,23.29,100.35,21.67,97.56,26.31,97.84,34.23,107.72,4.95,102.72,9.78,111.41,3.79,103.31,0.54,75.57,-22.12
2010M08,99.45,22.40,99.37,22.24,99.69,22.86,99.61,22.70,114.03,43.69,99.05,24.43,96.49,37.37,96.43,32.64,105.87,5.87,102.40,13.12,110.18,0.06,103.47,3.29,84.07,-5.16
2010M09,96.17,11.97,96.09,11.84,96.08,12.52,96.00,12.40,110.00,28.28,95.56,13.29,95.82,20.29,92.49,18.87,99.17,-0.05,99.80,7.78,104.23,-0.45,100.28,1.55,102.41,-13.71
2010M10,98.15,13.64,98.07,13.56,98.24,14.03,98.17,13.97,111.86,26.80,98.21,14.93,99.76,22.09,93.90,20.15,103.03,2.01,101.46,9.34,96.58,-1.66,103.37,2.14,92.03,-8.79
2010M11,100.15,18.38,100.07,18.27,100.28,18.55,100.19,18.44,116.28,32.74,100.54,18.98,99.71,23.13,99.26,29.48,103.06,2.68,102.76,10.77,93.04,9.90,99.24,2.32,92.20,7.60
2010M12,105.83,16.13,105.75,16.04,105.30,16.29,105.21,16.20,121.04,24.00,105.69,17.25,109.44,20.82,100.08,28.67,108.58,1.87,112.26,7.08,95.81,-1.03,102.25,2.35,140.99,9.05
2011M01,103.68,17.52,103.60,17.49,103.35,17.12,103.27,17.09,118.80,18.21,103.32,17.96,100.81,15.75,100.85,32.02,108.85,3.05,108.68,12.25,102.13,3.88,102.19,2.27,124.90,43.41
2011M02,85.43,12.17,85.41,12.20,86.04,13.85,86.03,13.90,88.16,2.23,85.70,14.88,81.83,18.51,87.47,24.21,92.23,3.25,75.24,-0.79,91.99,-0.18,91.28,2.18,45.53,-60.24
2011M03,107.42,13.11,107.44,13.15,107.86,13.23,107.88,13.26,104.48,4.32,108.34,14.05,110.16,17.79,106.83,21.70,110.12,1.50,105.77,5.70,99.49,-0.11,100.70,0.65,78.56,3.31
2011M04,102.95,8.31,102.93,8.34,103.24,8.40,103.22,8.42,104.74,-0.29,103.81,8.78,102.17,9.13,105.37,17.81,104.57,-2.64,100.28,0.60,92.26,2.37,97.89,1.27,83.93,1.94
2011M05,104.78,8.15,104.80,8.23,104.84,7.76,104.85,7.84,102.45,-4.40,105.39,8.55,102.99,9.60,109.08,18.26,103.02,-6.32,101.92,3.67,94.53,-5.00,99.94,-1.48,101.08,43.74
2011M06,102.28,4.99,102.30,5.06,102.12,4.82,102.13,4.90,99.95,-8.03,101.97,4.97,101.81,8.11,105.05,11.22,97.76,-8.00,98.62,1.67,105.82,4.20,99.36,1.09,112.91,15.44
2011M07,103.72,3.13,103.75,3.22,103.75,2.77,103.78,2.86,97.96,-11.84,103.45,3.09,102.60,5.17,106.35,8.70,99.94,-7.22,101.28,-1.40,110.55,-0.77,103.17,-0.14,102.00,34.97
2011M08,102.84,3.41,102.88,3.53,102.89,3.21,102.93,3.33,92.04,-19.28,102.79,3.78,103.74,7.51,104.84,8.72,97.38,-8.02,103.19,0.77,106.30,-3.52,103.06,-0.40,99.61,18.48
2011M09,96.76,0.61,96.75,0.69,96.89,0.84,96.88,0.92,97.48,-11.38,96.57,1.06,98.70,3.01,95.86,3.64,94.41,-4.80,98.17,-1.63,103.02,-1.16,99.83,-0.45,88.22,-13.86
2011M10,98.56,0.42,98.59,0.53,98.57,0.34,98.60,0.44,91.27,-18.41,98.57,0.37,99.23,-0.53,97.76,4.11,98.50,-4.40,100.19,-1.25,99.05,2.56,102.39,-0.95,98.15,6.65
2011M11,95.12,-5.02,95.12,-4.95,94.76,-5.50,94.76,-5.42,96.93,-16.64,94.58,-5.93,95.24,-4.48,92.17,-7.14,95.45,-7.38,100.83,-1.88,97.64,4.94,98.59,-0.65,118.41,28.43
2011M12,96.46,-8.85,96.43,-8.81,95.69,-9.13,95.66,-9.08,105.75,-12.63,95.52,-9.62,100.72,-7.97,88.37,-11.70,97.77,-9.96,105.83,-5.73,97.23,1.48,101.60,-0.64,146.69,4.04
2012M01,86.29,-16.77,86.28,-16.72,85.93,-16.86,85.92,-16.80,88.03,-25.90,85.06,-17.67,79.77,-20.87,83.22,-17.48,93.68,-13.94,88.91,-18.19,101.49,-0.63,100.76,-1.40,109.35,-12.45
2012M02,92.63,8.43,92.62,8.44,93.13,8.24,93.12,8.24,93.98,6.60,92.89,8.39,92.36,12.87,89.05,1.81,101.08,9.60,92.79,23.33,97.83,6.35,92.80,1.67,59.95,31.67
2012M03,104.19,-3.01,104.15,-3.06,104.26,-3.34,104.22,-3.39,108.99,4.32,104.47,-3.57,104.29,-5.33,101.44,-5.05,109.61,-0.46,106.51,0.70,99.85,0.36,101.33,0.63,99.59,26.77
2012M04,100.49,-2.39,100.43,-2.43,100.65,-2.51,100.59,-2.55,110.84,5.82,101.21,-2.50,98.98,-3.12,101.31,-3.85,104.37,-0.19,100.27,-0.01,88.48,-4.10,97.47,-0.43,90.04,7.28
2012M05,104.60,-0.17,104.61,-0.18,104.59,-0.24,104.60,-0.24,100.71,-1.70,105.46,0.07,102.87,-0.12,107.24,-1.69,106.29,3.17,103.52,1.57,87.97,-6.94,101.17,1.23,105.54,4.41
2012M06,99.88,-2.35,99.90,-2.35,99.84,-2.23,99.86,-2.22,93.49,-6.46,99.98,-1.95,97.37,-4.36,105.53,0.46,95.17,-2.65,94.53,-4.15,97.98,-7.41,98.46,-0.91,102.31,-9.39
2012M07,103.68,-0.04,103.71,-0.04,103.49,-0.25,103.52,-0.25,98.21,0.26,103.12,-0.32,97.51,-4.96,107.95,1.50,101.50,1.56,102.14,0.85,111.75,1.09,102.22,-0.92,116.11,13.83
2012M08,104.40,1.52,104.45,1.53,104.31,1.38,104.36,1.39,91.14,-0.98,104.01,1.19,97.04,-6.46,108.51,3.50,104.39,7.20,103.94,0.73,112.32,5.66,101.14,-1.86,109.85,10.28
2012M09,99.12,2.44,99.18,2.51,99.21,2.39,99.28,2.48,89.46,-8.23,98.96,2.47,91.13,-7.67,104.89,9.42,98.14,3.95,97.84,-0.34,105.67,2.57,98.66,-1.17,93.08,5.51
