期間,新台幣計價(億元)_原始值,新台幣計價(億元)_年增率(%),新台幣計價(億元)_原始值,新台幣計價(億元)_年增率(%),新台幣計價(億元)_原始值,新台幣計價(億元)_年增率(%),新台幣計價(億元)_原始值,新台幣計價(億元)_年增率(%),新台幣計價(億元)_原始值,新台幣計價(億元)_年增率(%),新台幣計價(億元)_原始值,新台幣計價(億元)_年增率(%),美金計價(百萬美元)_原始值,美金計價(百萬美元)_年增率(%),美金計價(百萬美元)_原始值,美金計價(百萬美元)_年增率(%),美金計價(百萬美元)_原始值,美金計價(百萬美元)_年增率(%),美金計價(百萬美元)_原始值,美金計價(百萬美元)_年增率(%),美金計價(百萬美元)_原始值,美金計價(百萬美元)_年增率(%),美金計價(百萬美元)_原始值,美金計價(百萬美元)_年增率(%)
1999M03,"3,488",5.66,"1,147",5.81,614,5.86,633,4.46,329,3.13,134,30.10,"10,553",3.60,"3,469",3.74,"1,857",3.80,"1,914",2.13,994,1.02,404,27.04
1999M04,"3,429",3.94,"1,082",1.98,660,5.60,606,4.30,347,6.77,132,26.92,"10,558",5.46,"3,329",3.32,"2,032",7.12,"1,866",5.84,"1,068",8.21,406,28.48
1999M05,"3,388",1.04,"1,136",5.67,618,2.32,568,-11.25,334,1.21,125,6.84,"10,355",3.12,"3,473",7.96,"1,889",4.42,"1,739",-9.24,"1,020",3.13,382,9.14
1999M06,"3,408",-2.21,"1,159",0.43,596,-1.16,568,-10.13,353,-0.84,119,0.00,"10,502",3.80,"3,573",6.59,"1,837",4.97,"1,748",-4.74,"1,087",5.13,367,6.38
1999M07,"3,512",3.05,"1,202",1.95,626,11.59,577,-6.79,365,7.99,110,17.02,"10,895",9.79,"3,730",8.62,"1,942",18.92,"1,793",-0.44,"1,131",14.82,340,24.54
1999M08,"3,498",1.19,"1,149",0.00,625,10.82,625,-7.95,320,8.47,123,14.95,"10,951",9.75,"3,596",8.38,"1,955",19.94,"1,954",-0.41,"1,000",17.51,384,23.87
1999M09,"3,408",-4.91,"1,123",-10.80,590,-1.67,650,-8.58,322,12.98,110,-8.33,"10,739",3.50,"3,537",-2.94,"1,859",6.96,"2,046",-0.78,"1,015",22.88,346,-0.29
1999M10,"3,726",8.76,"1,220",1.33,660,20.88,691,1.47,364,19.34,104,8.33,"11,747",13.17,"3,846",5.37,"2,082",25.88,"2,181",5.72,"1,147",24.00,327,12.37
1999M11,"3,667",15.71,"1,195",9.23,643,21.09,732,18.64,348,23.40,114,28.09,"11,564",18.61,"3,772",11.96,"2,028",24.11,"2,309",21.72,"1,100",26.87,360,31.39
1999M12,"3,517",9.26,"1,126",4.07,606,12.43,726,13.79,346,19.31,106,6.00,"11,140",11.49,"3,565",6.20,"1,921",14.96,"2,297",16.07,"1,096",21.78,335,7.72
