期間,現有登記家數(家)_原始值,現有登記家數(家)_年增率(%),現有登記家數(家)_原始值,現有登記家數(家)_年增率(%),現有登記家數(家)_原始值,現有登記家數(家)_年增率(%),現有登記家數(家)_原始值,現有登記家數(家)_年增率(%),現有登記家數(家)_原始值,現有登記家數(家)_年增率(%),現有登記家數(家)_原始值,現有登記家數(家)_年增率(%),現有登記家數(家)_原始值,現有登記家數(家)_年增率(%),現有登記家數(家)_原始值,現有登記家數(家)_年增率(%),現有登記家數(家)_原始值,現有登記家數(家)_年增率(%),現有登記家數(家)_原始值,現有登記家數(家)_年增率(%),現有登記家數(家)_原始值,現有登記家數(家)_年增率(%),現有登記家數(家)_原始值,現有登記家數(家)_年增率(%),現有登記家數(家)_原始值,現有登記家數(家)_年增率(%),現有登記家數(家)_原始值,現有登記家數(家)_年增率(%),現有登記家數(家)_原始值,現有登記家數(家)_年增率(%),現有登記家數(家)_原始值,現有登記家數(家)_年增率(%),現有登記家數(家)_原始值,現有登記家數(家)_年增率(%),現有登記家數(家)_原始值,現有登記家數(家)_年增率(%),現有登記家數(家)_原始值,現有登記家數(家)_年增率(%),現有登記家數(家)_原始值,現有登記家數(家)_年增率(%),現有登記家數(家)_原始值,現有登記家數(家)_年增率(%),現有登記資本額(百萬台幣)_原始值,現有登記資本額(百萬台幣)_年增率(%),現有登記資本額(百萬台幣)_原始值,現有登記資本額(百萬台幣)_年增率(%),現有登記資本額(百萬台幣)_原始值,現有登記資本額(百萬台幣)_年增率(%),現有登記資本額(百萬台幣)_原始值,現有登記資本額(百萬台幣)_年增率(%),現有登記資本額(百萬台幣)_原始值,現有登記資本額(百萬台幣)_年增率(%),現有登記資本額(百萬台幣)_原始值,現有登記資本額(百萬台幣)_年增率(%),現有登記資本額(百萬台幣)_原始值,現有登記資本額(百萬台幣)_年增率(%),現有登記資本額(百萬台幣)_原始值,現有登記資本額(百萬台幣)_年增率(%),現有登記資本額(百萬台幣)_原始值,現有登記資本額(百萬台幣)_年增率(%),現有登記資本額(百萬台幣)_原始值,現有登記資本額(百萬台幣)_年增率(%),現有登記資本額(百萬台幣)_原始值,現有登記資本額(百萬台幣)_年增率(%),現有登記資本額(百萬台幣)_原始值,現有登記資本額(百萬台幣)_年增率(%),現有登記資本額(百萬台幣)_原始值,現有登記資本額(百萬台幣)_年增率(%),現有登記資本額(百萬台幣)_原始值,現有登記資本額(百萬台幣)_年增率(%),現有登記資本額(百萬台幣)_原始值,現有登記資本額(百萬台幣)_年增率(%),現有登記資本額(百萬台幣)_原始值,現有登記資本額(百萬台幣)_年增率(%),現有登記資本額(百萬台幣)_原始值,現有登記資本額(百萬台幣)_年增率(%),現有登記資本額(百萬台幣)_原始值,現有登記資本額(百萬台幣)_年增率(%),現有登記資本額(百萬台幣)_原始值,現有登記資本額(百萬台幣)_年增率(%),現有登記資本額(百萬台幣)_原始值,現有登記資本額(百萬台幣)_年增率(%),現有登記資本額(百萬台幣)_原始值,現有登記資本額(百萬台幣)_年增率(%),新設立家數(家)_原始值,新設立家數(家)_年增率(%),新設立家數(家)_原始值,新設立家數(家)_年增率(%),新設立家數(家)_原始值,新設立家數(家)_年增率(%),新設立家數(家)_原始值,新設立家數(家)_年增率(%),新設立家數(家)_原始值,新設立家數(家)_年增率(%),新設立家數(家)_原始值,新設立家數(家)_年增率(%),新設立家數(家)_原始值,新設立家數(家)_年增率(%),新設立家數(家)_原始值,新設立家數(家)_年增率(%),新設立家數(家)_原始值,新設立家數(家)_年增率(%),新設立家數(家)_原始值,新設立家數(家)_年增率(%),新設立家數(家)_原始值,新設立家數(家)_年增率(%),新設立家數(家)_原始值,新設立家數(家)_年增率(%),新設立家數(家)_原始值,新設立家數(家)_年增率(%),新設立家數(家)_原始值,新設立家數(家)_年增率(%),新設立家數(家)_原始值,新設立家數(家)_年增率(%),新設立家數(家)_原始值,新設立家數(家)_年增率(%),新設立家數(家)_原始值,新設立家數(家)_年增率(%),新設立家數(家)_原始值,新設立家數(家)_年增率(%),新設立家數(家)_原始值,新設立家數(家)_年增率(%),新設立家數(家)_原始值,新設立家數(家)_年增率(%),新設立家數(家)_原始值,新設立家數(家)_年增率(%),新設立資本額(百萬台幣)_原始值,新設立資本額(百萬台幣)_年增率(%),新設立資本額(百萬台幣)_原始值,新設立資本額(百萬台幣)_年增率(%),新設立資本額(百萬台幣)_原始值,新設立資本額(百萬台幣)_年增率(%),新設立資本額(百萬台幣)_原始值,新設立資本額(百萬台幣)_年增率(%),新設立資本額(百萬台幣)_原始值,新設立資本額(百萬台幣)_年增率(%),新設立資本額(百萬台幣)_原始值,新設立資本額(百萬台幣)_年增率(%),新設立資本額(百萬台幣)_原始值,新設立資本額(百萬台幣)_年增率(%),新設立資本額(百萬台幣)_原始值,新設立資本額(百萬台幣)_年增率(%),新設立資本額(百萬台幣)_原始值,新設立資本額(百萬台幣)_年增率(%),新設立資本額(百萬台幣)_原始值,新設立資本額(百萬台幣)_年增率(%),新設立資本額(百萬台幣)_原始值,新設立資本額(百萬台幣)_年增率(%),新設立資本額(百萬台幣)_原始值,新設立資本額(百萬台幣)_年增率(%),新設立資本額(百萬台幣)_原始值,新設立資本額(百萬台幣)_年增率(%),新設立資本額(百萬台幣)_原始值,新設立資本額(百萬台幣)_年增率(%),新設立資本額(百萬台幣)_原始值,新設立資本額(百萬台幣)_年增率(%),新設立資本額(百萬台幣)_原始值,新設立資本額(百萬台幣)_年增率(%),新設立資本額(百萬台幣)_原始值,新設立資本額(百萬台幣)_年增率(%),新設立資本額(百萬台幣)_原始值,新設立資本額(百萬台幣)_年增率(%),新設立資本額(百萬台幣)_原始值,新設立資本額(百萬台幣)_年增率(%),新設立資本額(百萬台幣)_原始值,新設立資本額(百萬台幣)_年增率(%),新設立資本額(百萬台幣)_原始值,新設立資本額(百萬台幣)_年增率(%),歇業家數(家)_原始值,歇業家數(家)_年增率(%),歇業家數(家)_原始值,歇業家數(家)_年增率(%),歇業家數(家)_原始值,歇業家數(家)_年增率(%),歇業家數(家)_原始值,歇業家數(家)_年增率(%),歇業家數(家)_原始值,歇業家數(家)_年增率(%),歇業家數(家)_原始值,歇業家數(家)_年增率(%),歇業家數(家)_原始值,歇業家數(家)_年增率(%),歇業家數(家)_原始值,歇業家數(家)_年增率(%),歇業家數(家)_原始值,歇業家數(家)_年增率(%),歇業家數(家)_原始值,歇業家數(家)_年增率(%),歇業家數(家)_原始值,歇業家數(家)_年增率(%),歇業家數(家)_原始值,歇業家數(家)_年增率(%),歇業家數(家)_原始值,歇業家數(家)_年增率(%),歇業家數(家)_原始值,歇業家數(家)_年增率(%),歇業家數(家)_原始值,歇業家數(家)_年增率(%),歇業家數(家)_原始值,歇業家數(家)_年增率(%),歇業家數(家)_原始值,歇業家數(家)_年增率(%),歇業家數(家)_原始值,歇業家數(家)_年增率(%),歇業家數(家)_原始值,歇業家數(家)_年增率(%),歇業家數(家)_原始值,歇業家數(家)_年增率(%),歇業家數(家)_原始值,歇業家數(家)_年增率(%),歇業資本額(百萬台幣)_原始值,歇業資本額(百萬台幣)_年增率(%),歇業資本額(百萬台幣)_原始值,歇業資本額(百萬台幣)_年增率(%),歇業資本額(百萬台幣)_原始值,歇業資本額(百萬台幣)_年增率(%),歇業資本額(百萬台幣)_原始值,歇業資本額(百萬台幣)_年增率(%),歇業資本額(百萬台幣)_原始值,歇業資本額(百萬台幣)_年增率(%),歇業資本額(百萬台幣)_原始值,歇業資本額(百萬台幣)_年增率(%),歇業資本額(百萬台幣)_原始值,歇業資本額(百萬台幣)_年增率(%),歇業資本額(百萬台幣)_原始值,歇業資本額(百萬台幣)_年增率(%),歇業資本額(百萬台幣)_原始值,歇業資本額(百萬台幣)_年增率(%),歇業資本額(百萬台幣)_原始值,歇業資本額(百萬台幣)_年增率(%),歇業資本額(百萬台幣)_原始值,歇業資本額(百萬台幣)_年增率(%),歇業資本額(百萬台幣)_原始值,歇業資本額(百萬台幣)_年增率(%),歇業資本額(百萬台幣)_原始值,歇業資本額(百萬台幣)_年增率(%),歇業資本額(百萬台幣)_原始值,歇業資本額(百萬台幣)_年增率(%),歇業資本額(百萬台幣)_原始值,歇業資本額(百萬台幣)_年增率(%),歇業資本額(百萬台幣)_原始值,歇業資本額(百萬台幣)_年增率(%),歇業資本額(百萬台幣)_原始值,歇業資本額(百萬台幣)_年增率(%),歇業資本額(百萬台幣)_原始值,歇業資本額(百萬台幣)_年增率(%),歇業資本額(百萬台幣)_原始值,歇業資本額(百萬台幣)_年增率(%),歇業資本額(百萬台幣)_原始值,歇業資本額(百萬台幣)_年增率(%),歇業資本額(百萬台幣)_原始值,歇業資本額(百萬台幣)_年增率(%)
2012M07,"600,835",1.22,"9,170",11.58,"3,536",5.05,"173,877",1.21,"1,678",16.53,"3,478",2.78,"89,277",2.46,"121,016",-1.12,"15,371",0.27,"6,041",1.41,"19,967",1.86,"25,907",4.58,"25,305",5.91,"41,043",6.10,"12,740",6.03,7,0.00,247,9.78,58,5.45,"1,808",6.48,"11,198",3.92,"39,111",-8.66,"19,894,969",4.68,"428,546",5.37,"220,795",6.49,"7,877,738",3.72,"731,441",5.23,"164,081",2.58,"981,340",3.08,"949,756",0.80,"680,152",6.02,"61,174",0.84,"497,445",-5.23,"5,230,395",7.76,"991,518",4.23,"314,272",3.56,"245,418",43.73,22,-81.89,"2,458",15.20,236,4.92,"59,961",-15.74,"121,223",1.95,"336,998",-3.11,"3,273",-2.79,86,21.13,9,-62.50,744,744.00,19,35.71,15,-37.50,506,2.85,533,-10.42,48,33.33,34,-19.05,150,3.45,215,4.37,241,-7.66,456,8.31,92,10.84,1,--,2,0.00,1,0.00,22,4.76,95,-3.06,4,-85.19,"14,216",-2.55,218,-3.10,27,-57.64,"2,758",-44.31,73,-51.24,21,-65.97,"1,494",17.81,"1,284",-11.06,"1,260",409.25,281,107.97,268,38.11,"3,545",59.75,"1,513",-27.87,811,-7.68,293,20.75,1,-,2,-41.18,1,-83.33,122,394.82,235,-36.69,9,232.31,"2,684",3.19,40,8.11,13,-7.14,652,16.64,6,0.00,12,-14.29,378,-6.67,615,2.84,36,33.33,33,-19.51,118,8.26,121,6.14,118,-5.60,210,-11.76,59,47.50,0,--,1,0.00,0,--,6,-64.71,57,23.91,209,-0.48,"18,088",-37.42,"1,157",287.42,82,1.81,"5,976",11.13,124,966.81,33,-47.47,"2,091",6.25,"2,317",-9.74,422,-79.25,162,-54.76,667,-35.39,"1,820",24.05,"1,170",-19.36,642,-14.07,363,-96.53,-,-,1,"3,233.33",-,-,45,-0.04,220,63.62,795,-2.97
2012M08,"601,824",1.14,"9,257",11.46,"3,550",4.94,"174,198",1.14,"1,692",15.97,"3,483",2.41,"89,458",2.26,"120,971",-1.23,"15,378",0.25,"6,047",1.29,"20,003",1.69,"26,036",4.75,"25,436",5.59,"41,264",5.96,"12,834",5.98,19,171.43,246,8.85,58,5.45,"1,798",4.90,"11,225",3.71,"38,871",-8.56,"19,910,859",3.90,"430,269",5.40,"221,184",6.44,"7,844,600",2.30,"760,746",8.94,"165,897",3.63,"978,384",2.11,"954,294",0.14,"680,180",5.93,"61,503",1.92,"496,841",-5.09,"5,249,265",6.78,"996,932",4.78,"316,157",3.11,"246,956",43.74,48,-60.89,"2,467",15.52,236,4.92,"59,256",-16.34,"121,623",5.01,"324,022",-7.04,"3,132",-8.23,106,39.47,22,29.41,684,684.00,15,15.38,16,-36.00,453,-15.49,543,-13.12,43,4.88,40,-6.98,132,-20.48,224,17.28,217,-18.73,428,7.00,105,-2.78,2,--,1,-50.00,0,--,11,-52.17,84,-14.29,6,50.00,"12,787",-50.84,361,16.58,166,231.87,"2,702",-83.89,54,-40.78,"1,328","2,435.27","1,119",-11.87,"1,310",-0.43,277,-39.57,95,61.83,172,-72.65,"2,300",83.23,"1,416",-28.10,902,-4.78,341,-4.10,1,-,1,42.86,-,-,14,-41.04,223,-49.96,5,61.00,"2,120",10.24,43,186.67,13,0.00,482,2.34,6,50.00,12,20.00,289,26.75,469,7.57,34,3.03,27,17.39,85,10.39,98,-5.77,107,18.89,206,36.42,28,-22.22,1,--,3,200.00,0,--,18,80.00,52,20.93,147,-17.42,"14,976",-52.36,272,-7.16,287,520.22,"4,923",-72.76,214,"1,430.71",53,-38.95,"1,230",-57.43,"2,241",7.24,289,22.48,133,0.61,275,-53.43,"1,737",-41.98,"1,222",-56.83,910,113.57,120,33.92,1,-,2,200.00,-,-,82,223.17,202,42.11,783,64.66
2012M09,"602,765",1.20,"9,335",11.38,"3,560",5.05,"174,504",1.27,"1,715",16.98,"3,491",2.14,"89,696",2.28,"120,864",-1.28,"15,405",0.50,"6,061",1.52,"20,050",1.81,"26,171",4.80,"25,517",5.47,"41,438",5.77,"12,900",6.00,22,214.29,248,10.22,57,1.79,"1,802",4.77,"11,257",3.61,"38,672",-8.31,"20,030,387",3.85,"436,580",5.60,"221,490",5.79,"7,919,395",3.00,"762,774",8.73,"166,142",3.76,"986,005",3.03,"955,226",0.02,"680,425",6.68,"61,621",2.03,"497,288",-4.96,"5,269,110",5.43,"1,000,749",4.97,"317,329",2.89,"247,863",42.60,55,-54.72,"2,469",15.38,235,2.20,"59,497",-18.15,"122,247",5.39,"323,888",-9.07,"2,813",-8.19,75,-21.05,22,69.23,608,608.00,12,33.33,20,17.65,482,-3.98,423,-19.58,42,90.91,43,10.26,126,0.00,212,5.47,184,-16.74,371,-9.07,82,-2.38,3,--,2,--,0,-100.00,23,15.00,73,-17.98,10,66.67,"11,091",-53.77,331,-12.60,120,130.04,"1,917",-42.37,37,-39.49,67,328.53,"1,817",43.36,819,-14.05,197,43.55,130,-42.59,226,-44.17,"2,614",-79.10,"1,183",-16.29,719,8.08,382,-12.53,4,-,2,-,-,-,408,-78.69,120,-48.54,-,-,"1,871",-24.34,26,-38.10,19,-17.39,415,-39.77,2,-71.43,12,9.09,257,-22.36,432,-10.93,16,-50.00,25,-21.88,70,-33.33,79,-1.25,105,-16.00,179,-10.05,39,-9.30,0,--,0,-100.00,1,--,18,20.00,45,-4.26,131,-36.10,"10,842",-71.15,96,-82.07,131,-56.83,"3,320",-79.05,1,-98.75,48,-62.94,"1,142",-78.83,"1,363",-26.23,93,-98.71,94,24.54,736,7.95,"1,379",11.40,"1,160",-53.77,504,-29.81,172,72.32,-,-,-,-,1,-,22,-51.19,121,-48.85,461,-30.82
2012M10,"604,145",1.30,"9,463",11.84,"3,569",4.91,"174,839",1.31,"1,729",17.06,"3,498",1.98,"90,001",2.42,"120,863",-1.25,"15,406",0.57,"6,074",1.54,"20,114",1.93,"26,308",5.07,"25,676",5.51,"41,717",6.02,"12,985",6.08,27,285.71,254,11.89,56,-1.75,"1,815",4.73,"11,313",3.63,"38,438",-8.19,"20,138,506",3.94,"421,007",5.03,"222,323",6.10,"7,941,514",3.02,"770,604",9.39,"165,987",3.56,"988,508",2.96,"954,044",-1.72,"681,603",5.47,"61,256",1.11,"499,215",-4.12,"5,340,173",5.92,"1,006,009",4.91,"317,938",3.04,"248,361",42.14,59,-51.47,"2,487",14.75,234,-2.48,"60,112",-17.86,"133,475",14.08,"323,596",-9.04,"3,274",9.24,109,32.93,14,55.56,663,663.00,18,260.00,21,0.00,528,8.87,517,5.73,29,-3.33,53,15.22,144,4.35,260,52.05,249,6.87,437,22.75,103,-6.36,3,--,4,100.00,0,--,19,35.71,102,6.25,1,-88.89,"23,373",65.47,298,13.56,56,50.27,"2,189",-52.40,65,910.33,47,8.47,"1,211",1.56,980,5.34,133,12.34,156,-0.94,408,19.94,"14,741",289.54,"1,665",45.87,751,-9.89,380,20.62,1,-,15,175.82,-,-,93,477.38,182,-44.98,2,-80.74,"1,892",-14.89,23,-30.30,14,-12.50,445,-20.54,9,125.00,13,30.00,238,-28.96,408,-3.09,25,-13.79,32,18.52,72,-18.18,111,13.27,95,-5.00,179,-11.39,41,-10.87,0,--,0,-100.00,1,--,6,0.00,46,-4.17,134,-32.66,"14,344",-31.58,155,-46.46,108,-35.67,"5,839",-47.89,15,36.82,255,554.58,"1,114",-45.23,"2,063",30.86,272,75.06,418,500.51,276,-75.11,"1,311",-13.83,876,-11.03,893,54.02,144,-42.29,-,-,-,-,1,-,63,101.39,145,-31.51,396,-45.64
2012M11,"605,180",1.41,"9,518",11.53,"3,576",4.68,"175,118",1.42,"1,752",17.51,"3,505",1.68,"90,247",2.49,"120,798",-1.13,"15,425",0.81,"6,096",1.87,"20,140",2.06,"26,513",5.42,"25,774",5.45,"41,913",5.91,"13,093",6.64,30,400.00,259,14.10,56,-3.45,"1,824",4.71,"11,333",3.48,"38,210",-7.94,"20,196,116",3.89,"430,517",6.75,"222,417",5.68,"7,966,188",3.21,"769,067",8.63,"166,030",3.62,"991,075",2.76,"954,254",-2.06,"683,381",2.54,"59,647",-1.71,"498,313",-4.24,"5,353,947",5.88,"1,010,081",4.82,"319,580",3.24,"249,963",43.39,63,-38.30,"2,505",15.67,234,-2.50,"61,343",-17.18,"133,918",13.96,"323,592",-8.75,"3,105",3.92,67,-16.25,8,-57.89,654,654.00,15,0.00,16,-15.79,518,2.57,492,1.23,47,62.07,49,32.43,120,-2.44,282,29.36,214,-4.89,393,-2.00,122,62.67,2,--,4,100.00,0,-100.00,23,15.00,76,-9.52,3,200.00,"15,186",50.39,269,-8.27,23,-57.60,"2,394",27.37,45,-65.39,40,-38.37,"1,188",-3.32,866,1.07,636,288.15,137,26.65,250,17.77,"4,875",100.76,"2,638",81.49,"1,133",52.98,376,28.15,1,-,6,360.71,-,-,168,272.44,129,-6.34,8,176.67,"2,046",-22.62,43,19.44,13,-38.10,462,-30.21,3,-57.14,14,133.33,292,-21.72,448,-23.29,20,-44.44,18,-45.45,92,-14.02,89,-11.88,113,-18.71,194,4.86,47,-25.40,0,--,1,-50.00,0,--,14,27.27,56,-1.75,127,-42.53,"14,311",-5.25,213,-3.14,128,28.80,"6,216",32.08,7,-96.17,80,390.80,"1,360",-19.99,"1,571",-21.06,133,-49.70,52,-44.54,345,-47.89,855,1.49,"1,748",-7.64,830,40.40,152,-81.07,-,-,1,-50.00,-,-,25,48.19,170,-20.39,425,-47.26
2012M12,"605,365",1.47,"9,590",11.77,"3,576",4.20,"175,129",1.49,"1,773",17.65,"3,501",1.39,"90,297",2.46,"120,497",-1.17,"15,417",0.74,"6,097",1.70,"20,148",1.90,"26,773",6.10,"25,857",5.53,"42,113",6.09,"13,148",6.57,34,466.67,262,15.42,56,-3.45,"1,828",4.16,"11,376",3.78,"37,893",-7.89,"20,232,268",2.94,"433,179",7.10,"222,696",5.36,"7,978,030",1.76,"771,259",8.81,"165,924",1.45,"995,228",2.90,"953,653",-2.01,"684,253",2.61,"59,830",-0.44,"497,953",-4.29,"5,365,410",4.39,"1,012,320",4.71,"320,546",3.55,"251,757",43.56,65,-35.94,"2,508",15.76,234,-2.50,"61,856",-17.15,"134,589",14.43,"320,979",-9.03,"3,085",7.04,91,26.39,11,-38.89,605,605.00,21,50.00,18,5.88,427,-7.38,458,-7.47,36,56.52,40,-6.98,147,-9.82,389,85.24,226,19.58,425,22.83,92,3.37,4,--,3,200.00,0,--,13,-23.53,79,1.28,0,--,"15,423",-80.83,336,8.44,93,167.83,"3,011",62.94,122,146.16,67,5.01,"2,304",137.26,830,6.36,193,76.01,99,-39.90,449,45.78,"4,931",-93.23,"1,693",10.33,741,24.43,380,12.20,1,-,1,35.00,-,-,27,-92.44,145,12.91,-,-,"2,892",-5.34,40,-13.04,20,0.00,701,-22.02,11,450.00,18,50.00,405,-7.32,664,6.41,37,54.17,35,20.69,123,-0.81,140,9.38,147,0.68,231,9.48,58,13.73,0,--,0,-100.00,0,--,12,100.00,48,-18.64,202,-14.41,"16,773",-23.29,299,10.52,121,-5.56,"4,522",-40.98,59,489.33,118,23.10,"1,623",-30.24,"2,458",-9.22,234,68.33,104,-17.24,997,123.86,"2,288",-25.07,"1,870",-3.28,992,17.61,153,-20.65,-,-,-,-,-,-,25,184.73,133,-51.51,778,-52.78
2013M01,"606,179",1.66,"9,695",12.35,"3,577",3.98,"175,345",1.66,"1,798",18.13,"3,495",1.30,"90,502",2.68,"120,352",-1.10,"15,444",1.03,"6,092",1.63,"20,183",2.08,"26,926",6.61,"25,978",5.66,"42,351",6.41,"13,230",7.17,34,466.67,272,16.24,56,-3.45,"1,837",4.32,"11,385",3.77,"37,627",-7.88,"20,327,385",3.11,"434,109",7.09,"222,704",4.93,"8,045,381",2.42,"772,784",8.63,"167,802",2.59,"999,768",3.44,"953,398",-2.10,"687,404",2.83,"60,122",-0.12,"498,739",-2.19,"5,375,064",3.60,"1,015,981",5.11,"322,346",4.33,"255,184",45.12,66,-34.85,"2,526",15.16,234,-2.50,"62,529",-15.51,"134,803",14.47,"316,440",-10.42,"3,351",46.65,104,57.58,11,-15.38,742,742.00,23,76.92,16,23.08,505,38.36,516,34.73,54,92.86,33,43.48,146,40.38,274,88.97,253,33.16,457,56.51,109,67.69,1,--,11,266.67,0,--,19,72.73,76,49.02,1,--,"16,144",34.47,338,127.63,57,-20.89,"2,425",-33.28,44,-97.65,37,32.62,"1,392",42.56,954,-46.56,522,112.13,115,82.20,237,27.31,"6,055",403.04,"1,828",87.92,"1,134",178.50,592,117.69,0,-,20,700.00,-,-,100,802.26,292,159.09,1,-,"2,523",-2.32,30,0.00,18,-14.29,638,-5.90,5,25.00,17,41.67,346,-4.16,547,1.11,27,-32.50,31,55.00,103,-3.74,126,11.50,133,4.72,215,5.39,50,-20.63,1,--,0,--,0,--,10,100.00,71,36.54,155,-24.39,"18,001",-9.38,173,-34.11,366,272.88,"5,190",-28.94,44,"1,750.79",66,-63.33,"1,360",-31.16,"1,896",-11.24,196,-0.33,85,32.26,431,-58.68,"1,836",3.53,"1,484",-31.20,726,-21.64,199,-22.51,1,-,-,-,-,-,20,8.33,209,-29.90,"3,718",217.41
2013M02,"606,820",1.69,"9,759",12.25,"3,589",3.73,"175,550",1.69,"1,821",18.32,"3,489",1.19,"90,657",2.68,"120,276",-1.10,"15,434",0.84,"6,093",1.58,"20,171",1.85,"27,045",6.74,"26,069",5.86,"42,498",6.36,"13,273",7.07,34,"1,600.00",272,16.24,56,-1.75,"1,842",4.01,"11,398",3.82,"37,494",-7.62,"20,369,951",3.16,"436,103",7.37,"222,925",4.79,"8,063,835",2.43,"773,368",8.54,"167,738",2.50,"1,002,625",3.68,"952,836",-2.03,"689,450",2.16,"60,154",-0.06,"501,773",-1.51,"5,382,023",3.66,"1,021,064",5.40,"323,230",3.96,"255,444",44.93,66,300.61,"2,520",14.86,234,-0.43,"63,821",-13.72,"134,633",13.77,"316,107",-10.36,"1,966",-20.92,57,-20.83,10,-28.57,424,424.00,20,100.00,9,-25.00,298,-25.87,277,-35.13,27,-20.59,21,-36.36,67,-43.70,179,11.88,162,5.88,282,-15.32,65,-22.62,0,--,2,100.00,0,--,14,-17.65,52,-22.39,0,-100.00,"9,048",-18.92,293,16.92,44,-45.57,"1,731",13.75,98,546.05,10,-27.29,709,-34.42,589,-29.20,263,25.76,52,-51.74,88,-69.07,"2,554",-39.73,"1,515",36.71,636,-30.24,377,25.26,-,-,2,300.00,-,-,16,-68.63,73,-53.30,-,-,"1,307",-35.46,19,-29.63,9,0.00,270,-43.40,1,0.00,11,10.00,180,-38.14,304,-31.84,24,60.00,14,-46.15,68,-13.92,65,-15.58,71,-41.32,130,-29.35,24,-33.33,0,--,1,--,0,-100.00,5,-28.57,33,-44.07,78,-50.94,"7,918",-50.48,89,-36.79,41,8.47,"3,621",-42.71,4,-64.00,32,10.88,744,-44.28,"1,077",-33.19,96,-67.29,45,-54.56,163,-59.70,429,-74.63,654,-73.09,396,-39.73,86,4.77,-,-,3,-,-,-,6,-93.07,190,3.18,242,-57.51
2013M03,"608,108",1.76,"9,869",12.26,"3,595",3.54,"175,885",1.70,"1,839",16.32,"3,497",1.04,"90,935",2.74,"120,231",-1.05,"15,467",1.05,"6,102",1.68,"20,214",1.97,"27,233",7.03,"26,247",6.00,"42,759",6.43,"13,344",6.76,40,"1,900.00",274,15.61,56,-1.75,"1,837",3.14,"11,425",3.68,"37,259",-7.40,"20,397,774",2.78,"437,532",7.38,"223,274",5.02,"8,073,973",2.31,"773,370",8.30,"167,641",2.41,"1,006,346",3.83,"949,475",-2.23,"690,545",1.96,"60,608",-0.30,"503,993",-1.06,"5,391,442",3.77,"1,022,118",5.09,"325,079",4.02,"255,823",5.08,84,408.48,"2,521",14.74,234,-0.43,"63,717",-13.99,"134,633",13.59,"315,366",-9.70,"3,594",-3.18,94,-8.74,15,-37.50,776,776.00,22,-35.29,22,-8.33,598,-4.78,553,-15.70,46,4.55,35,16.67,167,17.61,278,33.01,295,13.90,472,2.83,121,-5.47,2,--,2,-33.33,0,--,14,-41.67,80,-11.11,2,100.00,"17,393",-78.14,503,62.71,47,-20.92,"4,745",14.90,152,-4.68,44,-68.20,"1,538",-1.55,"1,144",-19.41,276,-23.96,107,7.75,433,68.09,"4,270",59.26,"2,318",20.32,"1,105",42.37,527,-99.20,5,-,0,-65.69,-,-,15,-72.48,158,-5.14,4,"85,900.00","2,272",-19.52,23,-42.50,16,-42.86,533,-19.85,9,200.00,14,16.67,360,-18.55,459,-26.68,20,-52.38,22,15.79,111,-9.02,107,15.05,126,-9.35,207,-8.81,51,-10.53,0,--,0,-100.00,0,--,17,21.43,53,0.00,144,-40.00,"14,395",-28.41,180,-32.91,78,-71.22,"3,279",-63.80,435,"6,473.37",60,9.21,"1,687",-24.77,"4,583",93.33,72,-78.38,45,-45.88,508,-11.78,894,-9.59,"1,109",-29.39,450,-28.55,226,-17.71,-,-,-,-,-,-,22,-85.42,138,-33.06,630,-38.34
2013M04,"609,835",1.84,"9,977",12.06,"3,603",3.24,"176,354",1.77,"1,878",17.67,"3,502",1.04,"91,301",2.91,"120,265",-1.00,"15,497",1.10,"6,116",1.56,"20,286",2.10,"27,417",7.09,"26,462",6.15,"43,043",6.52,"13,444",6.94,41,"1,950.00",277,16.39,56,-1.75,"1,835",2.92,"11,450",3.31,"37,031",-7.41,"20,458,916",2.90,"439,315",7.33,"223,748",5.46,"8,085,125",2.34,"773,842",8.21,"167,690",2.35,"1,008,693",3.94,"951,470",-2.07,"695,035",2.76,"60,634",-0.71,"504,103",-1.15,"5,421,494",4.00,"1,026,720",4.95,"328,348",5.15,"256,424",4.12,84,409.09,"2,507",20.19,234,-0.43,"63,871",-12.06,"134,800",13.08,"314,781",-9.63,"3,606",9.60,122,22.00,14,-26.32,808,808.00,31,72.22,21,0.00,601,16.25,560,2.75,47,0.00,37,-5.13,140,-9.09,277,23.66,307,23.29,442,13.33,111,18.09,1,--,2,100.00,0,--,14,7.69,70,-37.50,1,--,"16,905",53.10,418,-26.84,91,21.39,"3,448",19.61,103,-21.67,39,-35.88,"1,483",43.47,"1,237",1.63,435,-7.16,165,-0.09,275,-15.09,"3,880",276.99,"3,820",147.09,747,-7.12,493,-4.58,0,-,1,550.00,-,-,100,264.38,169,-10.20,1,-,"1,852",-10.01,41,141.18,16,14.29,449,-14.64,5,0.00,11,-38.89,255,-22.73,400,-11.50,16,-27.27,16,-5.88,69,-23.33,95,20.25,89,-1.11,160,3.23,29,-45.28,0,--,1,--,0,--,15,36.36,50,25.00,135,-2.88,"10,986",-12.62,414,341.30,131,4.35,"3,999",-9.15,19,120.00,76,108.04,"1,019",-48.99,"1,423",-15.46,864,62.23,63,96.04,257,-0.65,546,-29.99,743,-43.30,353,-7.07,228,45.89,-,-,27,-,-,-,19,-63.62,200,19.85,604,8.61
