期間,現有登記家數(家)_原始值,現有登記家數(家)_年增率(%),現有登記家數(家)_原始值,現有登記家數(家)_年增率(%),現有登記家數(家)_原始值,現有登記家數(家)_年增率(%),現有登記家數(家)_原始值,現有登記家數(家)_年增率(%),現有登記家數(家)_原始值,現有登記家數(家)_年增率(%),現有登記家數(家)_原始值,現有登記家數(家)_年增率(%),現有登記家數(家)_原始值,現有登記家數(家)_年增率(%),現有登記家數(家)_原始值,現有登記家數(家)_年增率(%),現有登記家數(家)_原始值,現有登記家數(家)_年增率(%),現有登記家數(家)_原始值,現有登記家數(家)_年增率(%),現有登記家數(家)_原始值,現有登記家數(家)_年增率(%),現有登記資本額(百萬台幣)_原始值,現有登記資本額(百萬台幣)_年增率(%),現有登記資本額(百萬台幣)_原始值,現有登記資本額(百萬台幣)_年增率(%),現有登記資本額(百萬台幣)_原始值,現有登記資本額(百萬台幣)_年增率(%),現有登記資本額(百萬台幣)_原始值,現有登記資本額(百萬台幣)_年增率(%),現有登記資本額(百萬台幣)_原始值,現有登記資本額(百萬台幣)_年增率(%),現有登記資本額(百萬台幣)_原始值,現有登記資本額(百萬台幣)_年增率(%),現有登記資本額(百萬台幣)_原始值,現有登記資本額(百萬台幣)_年增率(%),現有登記資本額(百萬台幣)_原始值,現有登記資本額(百萬台幣)_年增率(%),現有登記資本額(百萬台幣)_原始值,現有登記資本額(百萬台幣)_年增率(%),現有登記資本額(百萬台幣)_原始值,現有登記資本額(百萬台幣)_年增率(%),現有登記資本額(百萬台幣)_原始值,現有登記資本額(百萬台幣)_年增率(%),新設立家數(家)_原始值,新設立家數(家)_年增率(%),新設立家數(家)_原始值,新設立家數(家)_年增率(%),新設立家數(家)_原始值,新設立家數(家)_年增率(%),新設立家數(家)_原始值,新設立家數(家)_年增率(%),新設立家數(家)_原始值,新設立家數(家)_年增率(%),新設立家數(家)_原始值,新設立家數(家)_年增率(%),新設立家數(家)_原始值,新設立家數(家)_年增率(%),新設立家數(家)_原始值,新設立家數(家)_年增率(%),新設立家數(家)_原始值,新設立家數(家)_年增率(%),新設立家數(家)_原始值,新設立家數(家)_年增率(%),新設立家數(家)_原始值,新設立家數(家)_年增率(%),新設立資本額(百萬台幣)_原始值,新設立資本額(百萬台幣)_年增率(%),新設立資本額(百萬台幣)_原始值,新設立資本額(百萬台幣)_年增率(%),新設立資本額(百萬台幣)_原始值,新設立資本額(百萬台幣)_年增率(%),新設立資本額(百萬台幣)_原始值,新設立資本額(百萬台幣)_年增率(%),新設立資本額(百萬台幣)_原始值,新設立資本額(百萬台幣)_年增率(%),新設立資本額(百萬台幣)_原始值,新設立資本額(百萬台幣)_年增率(%),新設立資本額(百萬台幣)_原始值,新設立資本額(百萬台幣)_年增率(%),新設立資本額(百萬台幣)_原始值,新設立資本額(百萬台幣)_年增率(%),新設立資本額(百萬台幣)_原始值,新設立資本額(百萬台幣)_年增率(%),新設立資本額(百萬台幣)_原始值,新設立資本額(百萬台幣)_年增率(%),新設立資本額(百萬台幣)_原始值,新設立資本額(百萬台幣)_年增率(%),歇業家數(家)_原始值,歇業家數(家)_年增率(%),歇業家數(家)_原始值,歇業家數(家)_年增率(%),歇業家數(家)_原始值,歇業家數(家)_年增率(%),歇業家數(家)_原始值,歇業家數(家)_年增率(%),歇業家數(家)_原始值,歇業家數(家)_年增率(%),歇業家數(家)_原始值,歇業家數(家)_年增率(%),歇業家數(家)_原始值,歇業家數(家)_年增率(%),歇業家數(家)_原始值,歇業家數(家)_年增率(%),歇業家數(家)_原始值,歇業家數(家)_年增率(%),歇業家數(家)_原始值,歇業家數(家)_年增率(%),歇業家數(家)_原始值,歇業家數(家)_年增率(%),歇業資本額(百萬台幣)_原始值,歇業資本額(百萬台幣)_年增率(%),歇業資本額(百萬台幣)_原始值,歇業資本額(百萬台幣)_年增率(%),歇業資本額(百萬台幣)_原始值,歇業資本額(百萬台幣)_年增率(%),歇業資本額(百萬台幣)_原始值,歇業資本額(百萬台幣)_年增率(%),歇業資本額(百萬台幣)_原始值,歇業資本額(百萬台幣)_年增率(%),歇業資本額(百萬台幣)_原始值,歇業資本額(百萬台幣)_年增率(%),歇業資本額(百萬台幣)_原始值,歇業資本額(百萬台幣)_年增率(%),歇業資本額(百萬台幣)_原始值,歇業資本額(百萬台幣)_年增率(%),歇業資本額(百萬台幣)_原始值,歇業資本額(百萬台幣)_年增率(%),歇業資本額(百萬台幣)_原始值,歇業資本額(百萬台幣)_年增率(%),歇業資本額(百萬台幣)_原始值,歇業資本額(百萬台幣)_年增率(%)
1994M07,"478,920",...,"3,150",...,"2,000",...,"175,491",...,361,...,"35,698",...,"189,949",...,"16,553",...,"21,609",...,"21,548",...,"12,561",...,"5,840,644",...,"57,847",...,"84,905",...,"2,377,311",...,"250,920",...,"341,259",...,"977,985",...,"240,440",...,"1,221,897",...,"132,277",...,"155,803",...,"4,996",-1.03,13,62.50,15,-50.00,"1,050",-2.96,11,-15.38,562,6.64,"2,342",-1.35,76,-31.53,341,-55.94,411,...,175,35.66,"46,135",-7.96,102,-14.29,80,-70.70,"4,964",-53.35,48,-46.67,"2,737",-50.25,"9,575",-33.33,"11,337",423.89,"12,349",-22.73,"1,871",...,"3,072",208.43,"1,170",-22.10,16,-5.88,-,--,369,43.02,1,--,96,18.52,461,-48.61,26,271.43,105,-46.43,61,...,35,-20.45,"10,426",-6.88,297,106.25,-,--,"2,844",36.99,10,--,"1,011",106.33,"2,384",-40.09,216,137.36,"3,060",-26.92,333,--,271,25.46
1994M08,"481,439",...,"3,144",...,"2,008",...,"175,786",...,372,...,"36,056",...,"191,293",...,"16,585",...,"21,693",...,"21,800",...,"12,702",...,"5,911,164",...,"58,167",...,"85,030",...,"2,404,895",...,"251,158",...,"349,097",...,"990,442",...,"246,562",...,"1,233,663",...,"134,684",...,"157,466",...,"5,434",16.26,9,-18.18,21,61.54,"1,196",16.91,4,-60.00,607,36.71,"2,517",13.69,66,-17.50,366,-51.59,474,...,174,41.46,"39,051",-16.81,81,-55.49,163,53.77,"7,132",-47.30,19,-70.77,"3,101",-30.97,"12,915",-6.40,"1,580",-5.05,"10,130",-16.30,"2,673",...,"1,257",25.83,"1,092",11.77,7,-30.00,9,350.00,362,52.10,-,--,74,17.46,425,-21.30,16,166.67,84,-14.29,69,...,46,142.11,"11,312",100.18,48,-60.00,37,428.57,"4,447",164.23,-,--,921,95.13,"2,277",-1.17,175,264.58,"2,960",211.25,218,--,229,281.67
1994M09,"486,025",...,"3,147",...,"2,021",...,"176,357",...,377,...,"36,727",...,"193,765",...,"16,515",...,"21,961",...,"22,316",...,"12,839",...,"5,992,081",...,"58,779",...,"85,210",...,"2,436,628",...,"251,263",...,"355,807",...,"1,005,952",...,"250,054",...,"1,250,702",...,"138,571",...,"159,115",...,"4,255",19.83,11,-35.29,4,-66.67,936,33.52,4,-55.56,451,12.47,"1,986",17.24,68,17.24,284,-49.91,379,...,132,43.48,"32,715",-31.69,549,142.92,22,-86.08,"6,692",-67.38,21,-73.08,"2,171",-35.79,"8,887",-20.75,"1,333",-8.76,"8,872",-8.41,"3,148",...,"1,020",-12.75,"1,383",38.30,10,25.00,5,400.00,549,157.75,1,0.00,83,62.75,522,2.55,28,86.67,72,-58.14,61,...,52,73.33,"7,809",-34.88,57,-54.03,32,"3,100.00","2,643",8.94,1,-83.33,596,125.76,"2,174",-29.35,174,-80.49,"1,423",-68.45,204,--,505,-27.02
1994M10,"489,797",...,"3,151",...,"2,021",...,"176,959",...,377,...,"37,270",...,"195,644",...,"16,558",...,"22,150",...,"22,665",...,"13,002",...,"6,067,447",...,"60,127",...,"85,362",...,"2,463,843",...,"251,372",...,"362,737",...,"1,018,714",...,"251,976",...,"1,267,213",...,"140,948",...,"165,155",...,"4,256",-1.89,4,-63.64,4,-69.23,890,4.71,8,-20.00,472,-5.98,"2,037",-3.82,61,-7.58,235,-63.62,360,...,185,51.64,"40,724",-16.91,29,-78.36,24,-87.76,"4,481",-70.84,52,-36.59,"4,411",-10.20,"9,298",-30.66,"1,208",-67.28,"13,154",32.59,"2,631",...,"5,436",318.80,"1,109",20.81,7,40.00,8,100.00,301,28.63,-,--,59,59.46,523,16.22,24,71.43,90,-39.60,65,...,32,28.00,"9,884",4.42,31,-31.11,111,753.85,"2,660",3.38,-,--,429,-7.54,"2,769",8.21,236,180.95,"3,068",-14.37,183,--,397,173.79
1994M11,"490,124",...,"3,140",...,"2,364",...,"175,983",...,384,...,"38,334",...,"199,706",...,"11,962",...,"22,737",...,"24,035",...,"11,479",...,"6,127,178",...,"60,968",...,"91,957",...,"2,465,863",...,"251,467",...,"371,780",...,"1,044,107",...,"239,395",...,"1,298,844",...,"155,269",...,"147,528",...,"4,475",12.72,16,23.08,7,-41.67,891,16.78,9,-43.75,459,15.62,"2,077",3.80,55,-3.51,308,-48.32,467,...,186,61.74,"48,524",-23.79,77,-45.00,34,-80.68,"4,466",-71.78,60,-1.64,"2,322",-42.25,"9,002",-64.75,888,-51.02,"8,097",-45.07,"20,923",...,"2,655",95.36,"1,105",34.92,6,-62.50,6,500.00,329,77.84,1,--,104,116.67,468,12.77,20,42.86,82,-33.33,49,...,40,135.29,"8,481",-1.38,57,-63.46,55,"1,000.00","2,684",41.41,100,--,719,70.38,"1,965",-18.19,174,-51.12,"2,278",-29.84,157,--,292,156.14
1994M12,"493,399",...,"3,135",...,"2,367",...,"176,527",...,391,...,"38,765",...,"201,354",...,"12,000",...,"22,865",...,"24,391",...,"11,604",...,"6,232,366",...,"63,566",...,"92,216",...,"2,509,858",...,"251,620",...,"378,780",...,"1,056,551",...,"252,965",...,"1,316,746",...,"160,174",...,"149,890",...,"4,721",1.83,12,71.43,7,-68.18,949,-2.27,4,-50.00,481,2.12,"2,353",0.90,60,-17.81,267,-58.80,434,...,154,48.08,"70,489",37.72,272,140.71,26,-91.28,"28,441",76.14,42,-35.38,"2,421",-45.52,"10,521",-39.98,"12,711",886.88,"10,452",1.21,"3,329",...,"2,274",134.19,"1,432",-70.57,13,-40.91,3,-50.00,430,31.50,2,--,95,-59.05,615,-82.68,22,-60.71,120,-76.92,97,...,35,-76.97,"10,109",-63.53,114,-16.18,17,-10.53,"2,488",-23.96,16,--,721,-34.28,"2,931",-79.71,275,-36.64,"3,049",-59.49,349,--,149,-81.14
1995M01,"494,204",6.14,"3,129",2.89,"2,364",5.82,"176,352",10.32,394,28.76,"38,904",18.60,"201,922",-0.05,"12,006",-9.55,"22,883",-46.65,"24,569",...,"11,681",27.30,"6,263,134",11.62,"63,703",9.96,"92,230",33.65,"2,517,044",17.15,"251,660",-0.41,"381,427",38.62,"1,065,430",-1.93,"253,757",10.85,"1,321,762",-6.10,"163,348",...,"152,773",79.93,"2,647",-30.45,4,-73.33,3,-81.25,396,-62.21,3,50.00,244,-33.88,"1,372",-14.20,38,-70.08,167,-27.39,301,4.51,119,6.25,"20,235",-16.20,18,-88.39,17,-83.00,"2,344",-52.96,23,-20.69,"1,352",-45.94,"6,049",-11.20,613,-46.60,"5,393",-12.07,"2,808",96.64,"1,616",88.34,"1,110",-27.21,14,-39.13,3,0.00,425,-7.41,-,--,57,-10.94,409,-1.45,19,-92.96,95,17.28,72,35.85,16,-89.81,"9,208",-8.80,124,-33.69,17,750.00,"2,501",36.52,-,--,434,111.71,"2,169",22.47,413,-72.81,"3,082",41.44,215,-4.44,249,-88.56
1995M02,"495,454",5.66,"3,122",2.36,"2,359",4.94,"176,176",9.87,406,30.13,"39,081",17.91,"202,713",-0.59,"12,042",-9.55,"22,937",-47.04,"24,842",...,"11,776",26.96,"6,309,169",11.66,"63,559",9.34,"92,243",33.00,"2,534,252",17.30,"251,728",-0.40,"385,849",38.41,"1,074,167",-2.21,"254,790",9.60,"1,328,242",-6.07,"169,625",...,"154,714",80.35,"2,298",-26.89,3,-62.50,5,-44.44,375,-77.42,3,-25.00,228,-19.15,"1,137",37.65,35,-33.96,142,47.92,261,85.11,109,73.02,"18,016",-20.80,13,-64.86,63,12.50,"2,605",-69.90,34,-84.11,"2,234",-48.73,"5,320",27.21,465,-47.69,"3,672",14.68,"2,820",449.71,789,22.52,"1,657",8.58,11,-31.25,5,25.00,535,-7.60,-,--,99,-18.85,693,19.07,22,15.79,159,93.90,89,5.95,44,25.71,"10,665",5.37,61,-54.14,39,-4.88,"3,004",-26.80,-,--,404,-6.26,"2,880",23.55,113,-37.22,"3,668",52.96,330,6.80,161,-11.54
1995M03,"496,429",6.20,"3,122",2.66,"2,348",4.59,"175,931",9.88,425,35.78,"39,109",17.89,"203,522",0.35,"12,094",-9.25,"22,952",-46.90,"25,061",...,"11,865",28.76,"6,350,893",12.14,"63,518",9.43,"92,225",32.93,"2,545,567",17.71,"251,885",-0.39,"388,926",38.30,"1,082,191",-1.54,"260,983",11.32,"1,335,233",-5.97,"173,621",...,"156,744",82.98,"3,410",-21.23,13,30.00,8,-33.33,624,-69.78,3,200.00,360,-19.10,"1,664",39.83,45,-48.86,205,1.99,340,51.11,148,60.87,"28,842",-15.75,93,-8.82,37,-9.76,"6,447",-29.66,11,57.14,"1,485",-73.90,"7,259",18.22,876,-53.28,"7,008",-24.72,"3,972",328.94,"1,650",68.71,"1,989",44.87,17,112.50,12,71.43,633,45.18,-,--,151,45.19,815,46.06,28,3.70,164,72.63,115,40.24,54,-3.57,"11,694",8.33,245,620.59,56,12.00,"3,346",-23.71,-,--,924,129.28,"3,423",30.10,255,15.91,"2,847",28.65,379,8.91,213,-58.24
1995M04,"500,362",6.63,"3,131",2.76,"2,347",4.36,"176,424",10.14,458,44.03,"39,364",17.80,"205,647",0.83,"12,277",-8.20,"23,202",-46.62,"25,470",...,"12,042",30.06,"6,402,099",12.42,"63,613",9.59,"92,511",33.20,"2,557,836",17.53,"252,120",-0.30,"390,660",37.47,"1,096,092",-1.20,"263,607",11.63,"1,349,009",-5.04,"177,403",...,"159,248",81.85,"5,789",11.22,12,-14.29,13,44.44,"1,289",-24.35,23,283.33,525,7.80,"2,816",42.37,83,-42.36,331,14.14,512,21.04,185,23.33,"37,637",10.05,87,-30.95,84,5.00,"7,156",-8.99,188,596.30,"2,523",-24.71,"11,234",38.13,"1,769",1.20,"9,860",-3.44,"3,360",133.82,"1,373",12.08,"1,862",6.22,5,-64.29,4,-42.86,552,-9.06,1,0.00,116,7.41,859,16.87,28,16.67,112,0.90,126,41.57,59,3.51,"9,795",9.14,25,-92.19,20,-28.57,"2,124",-13.02,12,-93.68,631,43.74,"3,527",35.50,214,56.20,"2,604",15.48,392,53.12,242,-20.66
