期間,現有登記家數(家)_原始值,現有登記家數(家)_年增率(%),現有登記家數(家)_原始值,現有登記家數(家)_年增率(%),現有登記家數(家)_原始值,現有登記家數(家)_年增率(%),現有登記家數(家)_原始值,現有登記家數(家)_年增率(%),現有登記家數(家)_原始值,現有登記家數(家)_年增率(%),現有登記家數(家)_原始值,現有登記家數(家)_年增率(%),現有登記家數(家)_原始值,現有登記家數(家)_年增率(%),現有登記家數(家)_原始值,現有登記家數(家)_年增率(%),現有登記家數(家)_原始值,現有登記家數(家)_年增率(%),現有登記家數(家)_原始值,現有登記家數(家)_年增率(%),現有登記家數(家)_原始值,現有登記家數(家)_年增率(%),現有登記家數(家)_原始值,現有登記家數(家)_年增率(%),現有登記家數(家)_原始值,現有登記家數(家)_年增率(%),現有登記家數(家)_原始值,現有登記家數(家)_年增率(%),現有登記家數(家)_原始值,現有登記家數(家)_年增率(%),現有登記家數(家)_原始值,現有登記家數(家)_年增率(%),現有登記家數(家)_原始值,現有登記家數(家)_年增率(%),現有登記資本額(百萬台幣)_原始值,現有登記資本額(百萬台幣)_年增率(%),現有登記資本額(百萬台幣)_原始值,現有登記資本額(百萬台幣)_年增率(%),現有登記資本額(百萬台幣)_原始值,現有登記資本額(百萬台幣)_年增率(%),現有登記資本額(百萬台幣)_原始值,現有登記資本額(百萬台幣)_年增率(%),現有登記資本額(百萬台幣)_原始值,現有登記資本額(百萬台幣)_年增率(%),現有登記資本額(百萬台幣)_原始值,現有登記資本額(百萬台幣)_年增率(%),現有登記資本額(百萬台幣)_原始值,現有登記資本額(百萬台幣)_年增率(%),現有登記資本額(百萬台幣)_原始值,現有登記資本額(百萬台幣)_年增率(%),現有登記資本額(百萬台幣)_原始值,現有登記資本額(百萬台幣)_年增率(%),現有登記資本額(百萬台幣)_原始值,現有登記資本額(百萬台幣)_年增率(%),現有登記資本額(百萬台幣)_原始值,現有登記資本額(百萬台幣)_年增率(%),現有登記資本額(百萬台幣)_原始值,現有登記資本額(百萬台幣)_年增率(%),現有登記資本額(百萬台幣)_原始值,現有登記資本額(百萬台幣)_年增率(%),現有登記資本額(百萬台幣)_原始值,現有登記資本額(百萬台幣)_年增率(%),現有登記資本額(百萬台幣)_原始值,現有登記資本額(百萬台幣)_年增率(%),現有登記資本額(百萬台幣)_原始值,現有登記資本額(百萬台幣)_年增率(%),現有登記資本額(百萬台幣)_原始值,現有登記資本額(百萬台幣)_年增率(%),新設立家數(家)_原始值,新設立家數(家)_年增率(%),新設立家數(家)_原始值,新設立家數(家)_年增率(%),新設立家數(家)_原始值,新設立家數(家)_年增率(%),新設立家數(家)_原始值,新設立家數(家)_年增率(%),新設立家數(家)_原始值,新設立家數(家)_年增率(%),新設立家數(家)_原始值,新設立家數(家)_年增率(%),新設立家數(家)_原始值,新設立家數(家)_年增率(%),新設立家數(家)_原始值,新設立家數(家)_年增率(%),新設立家數(家)_原始值,新設立家數(家)_年增率(%),新設立家數(家)_原始值,新設立家數(家)_年增率(%),新設立家數(家)_原始值,新設立家數(家)_年增率(%),新設立家數(家)_原始值,新設立家數(家)_年增率(%),新設立家數(家)_原始值,新設立家數(家)_年增率(%),新設立家數(家)_原始值,新設立家數(家)_年增率(%),新設立家數(家)_原始值,新設立家數(家)_年增率(%),新設立家數(家)_原始值,新設立家數(家)_年增率(%),新設立家數(家)_原始值,新設立家數(家)_年增率(%),新設立資本額(百萬台幣)_原始值,新設立資本額(百萬台幣)_年增率(%),新設立資本額(百萬台幣)_原始值,新設立資本額(百萬台幣)_年增率(%),新設立資本額(百萬台幣)_原始值,新設立資本額(百萬台幣)_年增率(%),新設立資本額(百萬台幣)_原始值,新設立資本額(百萬台幣)_年增率(%),新設立資本額(百萬台幣)_原始值,新設立資本額(百萬台幣)_年增率(%),新設立資本額(百萬台幣)_原始值,新設立資本額(百萬台幣)_年增率(%),新設立資本額(百萬台幣)_原始值,新設立資本額(百萬台幣)_年增率(%),新設立資本額(百萬台幣)_原始值,新設立資本額(百萬台幣)_年增率(%),新設立資本額(百萬台幣)_原始值,新設立資本額(百萬台幣)_年增率(%),新設立資本額(百萬台幣)_原始值,新設立資本額(百萬台幣)_年增率(%),新設立資本額(百萬台幣)_原始值,新設立資本額(百萬台幣)_年增率(%),新設立資本額(百萬台幣)_原始值,新設立資本額(百萬台幣)_年增率(%),新設立資本額(百萬台幣)_原始值,新設立資本額(百萬台幣)_年增率(%),新設立資本額(百萬台幣)_原始值,新設立資本額(百萬台幣)_年增率(%),新設立資本額(百萬台幣)_原始值,新設立資本額(百萬台幣)_年增率(%),新設立資本額(百萬台幣)_原始值,新設立資本額(百萬台幣)_年增率(%),新設立資本額(百萬台幣)_原始值,新設立資本額(百萬台幣)_年增率(%),歇業家數(家)_原始值,歇業家數(家)_年增率(%),歇業家數(家)_原始值,歇業家數(家)_年增率(%),歇業家數(家)_原始值,歇業家數(家)_年增率(%),歇業家數(家)_原始值,歇業家數(家)_年增率(%),歇業家數(家)_原始值,歇業家數(家)_年增率(%),歇業家數(家)_原始值,歇業家數(家)_年增率(%),歇業家數(家)_原始值,歇業家數(家)_年增率(%),歇業家數(家)_原始值,歇業家數(家)_年增率(%),歇業家數(家)_原始值,歇業家數(家)_年增率(%),歇業家數(家)_原始值,歇業家數(家)_年增率(%),歇業家數(家)_原始值,歇業家數(家)_年增率(%),歇業家數(家)_原始值,歇業家數(家)_年增率(%),歇業家數(家)_原始值,歇業家數(家)_年增率(%),歇業家數(家)_原始值,歇業家數(家)_年增率(%),歇業家數(家)_原始值,歇業家數(家)_年增率(%),歇業家數(家)_原始值,歇業家數(家)_年增率(%),歇業家數(家)_原始值,歇業家數(家)_年增率(%),歇業資本額(百萬台幣)_原始值,歇業資本額(百萬台幣)_年增率(%),歇業資本額(百萬台幣)_原始值,歇業資本額(百萬台幣)_年增率(%),歇業資本額(百萬台幣)_原始值,歇業資本額(百萬台幣)_年增率(%),歇業資本額(百萬台幣)_原始值,歇業資本額(百萬台幣)_年增率(%),歇業資本額(百萬台幣)_原始值,歇業資本額(百萬台幣)_年增率(%),歇業資本額(百萬台幣)_原始值,歇業資本額(百萬台幣)_年增率(%),歇業資本額(百萬台幣)_原始值,歇業資本額(百萬台幣)_年增率(%),歇業資本額(百萬台幣)_原始值,歇業資本額(百萬台幣)_年增率(%),歇業資本額(百萬台幣)_原始值,歇業資本額(百萬台幣)_年增率(%),歇業資本額(百萬台幣)_原始值,歇業資本額(百萬台幣)_年增率(%),歇業資本額(百萬台幣)_原始值,歇業資本額(百萬台幣)_年增率(%),歇業資本額(百萬台幣)_原始值,歇業資本額(百萬台幣)_年增率(%),歇業資本額(百萬台幣)_原始值,歇業資本額(百萬台幣)_年增率(%),歇業資本額(百萬台幣)_原始值,歇業資本額(百萬台幣)_年增率(%),歇業資本額(百萬台幣)_原始值,歇業資本額(百萬台幣)_年增率(%),歇業資本額(百萬台幣)_原始值,歇業資本額(百萬台幣)_年增率(%),歇業資本額(百萬台幣)_原始值,歇業資本額(百萬台幣)_年增率(%)
2003M04,"591,614",1.17,"5,916",7.47,"3,722",1.86,"179,115",-0.16,"2,626",27.66,"90,770",5.53,"165,942",0.39,"10,446",-9.88,"26,454",-13.49,"9,298",18.82,"17,290",3.20,"47,157",12.95,52,30.00,5,-95.93,"8,743",-24.11,"16,855",2.72,"7,223",14.81,"15,622,064",4.79,"510,832",-12.12,"196,901",1.44,"6,375,515",5.04,"645,555",4.10,"1,214,279",-12.80,"1,115,795",5.86,"71,279",-7.96,"699,611",43.70,"3,432,316",10.53,"549,561",3.56,"389,083",8.13,185,35.93,40,-93.12,"137,406",-15.50,"238,699",-0.23,"45,008",35.32,"3,973",5.16,38,5.56,25,66.67,643,22.48,2,-99.10,589,-26.65,"1,048",2.14,12,-80.65,37,-37.29,115,88.52,126,28.57,480,2.35,1,--,-,--,38,-19.15,172,48.28,647,177.68,"21,197",45.69,122,-54.75,123,56.78,"6,741",191.18,13,-97.81,"2,570",-2.45,"2,521",3.48,50,-84.68,521,-32.18,"2,789",144.35,842,8.94,"1,164",2.76,1,--,-,--,182,-17.77,546,-18.49,"3,013",155.27,"3,184",-15.36,32,-23.81,28,64.71,767,-20.85,6,-86.96,515,9.11,908,-31.11,63,-21.25,96,-55.96,38,11.76,125,30.21,355,42.57,-,--,-,--,58,-42.00,102,4.08,91,295.65,"20,303",-38.09,163,-45.61,127,-26.67,"5,641",-34.88,12,-45.73,"3,964",37.33,"3,710",6.27,418,-11.43,566,-88.76,919,-88.06,"1,883",1.16,"1,577",30.95,-,--,-,--,655,10.85,475,41.94,193,196.02
2003M05,"592,249",1.10,"5,932",7.02,"3,728",1.80,"178,743",-0.43,"2,616",40.57,"90,786",4.94,"166,008",0.84,"10,390",-7.86,"26,383",-11.19,"9,389",17.75,"17,298",2.67,"47,248",11.37,52,18.18,5,-95.65,"8,713",-20.38,"16,993",3.77,"7,965",-5.39,"15,625,917",4.28,"507,502",-11.82,"196,974",1.38,"6,368,734",3.72,"646,792",5.24,"1,216,830",-6.50,"1,114,695",5.55,"70,961",-5.53,"699,349",46.02,"3,443,714",7.64,"545,525",2.27,"390,574",5.68,185,27.76,40,-92.74,"137,340",-9.06,"235,666",-1.40,"51,038",-7.29,"3,426",-12.40,45,32.35,21,50.00,509,1.80,2,0.00,503,-20.41,870,-0.11,12,-14.29,30,-9.09,99,11.24,120,1.69,442,-28.48,-,--,-,--,37,37.04,179,47.93,557,-33.29,"19,076",-83.13,"1,193",697.86,90,11.11,"2,563",-22.82,16,3.33,"1,518",-24.59,"2,235",8.36,41,-32.49,186,-37.75,"6,270",-93.60,"1,225",61.31,"1,166",-37.23,-,--,-,--,535,908.48,401,-13.79,"1,639",-59.33,"2,791",-3.02,26,13.04,21,-12.50,807,28.10,7,75.00,498,26.40,733,-29.99,51,-45.74,70,-44.00,20,-47.37,122,43.53,305,19.61,-,--,-,--,42,-45.45,73,14.06,16,-11.11,"41,585",-52.75,"2,798",526.78,333,50.51,"17,793",-65.43,56,-71.60,"6,941",126.58,"3,961",43.01,228,-10.51,993,49.79,"1,475",-94.25,"2,925",105.59,"2,096",73.04,-,--,-,--,547,26.27,"1,392",827.88,47,-20.87
2003M06,"593,708",1.45,"5,971",4.81,"3,738",1.80,"178,774",-0.32,"2,606",26.87,"90,959",4.20,"166,253",0.68,"10,343",-9.09,"26,281",-15.29,"9,441",14.80,"17,342",2.37,"47,457",9.39,53,17.78,5,-95.37,"8,700",-16.56,"17,109",4.30,"8,676",111.35,"15,619,111",3.97,"509,350",-13.44,"127,128",-37.40,"6,398,769",3.53,"628,942",0.42,"1,236,969",-5.04,"1,125,134",6.20,"70,762",-7.81,"699,616",43.37,"3,421,031",7.50,"544,146",-0.61,"399,689",7.92,186,23.59,40,-92.20,"139,218",-3.20,"247,713",5.27,"70,418",300.10,"3,369",-12.86,42,68.00,16,-30.43,547,8.53,1,-75.00,493,1.44,888,-10.66,8,-71.43,22,-91.76,83,-4.60,117,6.36,429,-21.14,-,--,-,--,34,-57.50,153,21.43,536,-8.22,"11,095",-83.56,160,-10.34,84,-35.88,"2,063",-96.14,10,-20.00,"1,371",-15.82,"2,011",-27.79,7,-95.03,142,-87.04,"1,082",-65.46,837,20.65,992,-42.06,-,--,-,--,69,-85.39,538,-0.13,"1,731",11.52,"1,910",-57.21,17,-63.04,6,-88.00,448,-65.67,7,-12.50,304,-56.82,572,-56.13,35,-31.37,89,-51.37,34,-24.44,67,-61.71,206,-33.76,-,--,-,--,42,-68.42,57,-48.18,26,-33.33,"18,550",-43.41,158,-21.77,34,-90.40,"7,540",16.02,83,250.21,"2,171",-76.48,"2,210",-50.50,113,-51.76,537,-38.24,"2,373",-60.19,"1,473",-38.31,"1,201",2.79,-,--,-,--,214,-65.18,295,-51.91,149,-8.21
2003M07,"594,922",1.83,"5,987",6.70,"3,750",1.90,"178,671",0.00,"2,588",-17.58,"91,104",3.34,"166,488",1.50,"10,312",-9.09,"26,194",-12.82,"9,510",15.50,"17,384",3.30,"47,629",9.13,56,16.67,5,-95.00,"8,679",-12.79,"17,223",6.51,"9,342",103.97,"15,738,106",4.09,"552,603",-4.82,"127,194",-37.55,"6,314,275",0.55,"628,824",-1.80,"1,243,847",-3.39,"1,153,351",8.57,"70,972",-7.77,"657,817",40.05,"3,518,153",9.76,"545,604",-0.51,"400,660",7.81,196,22.81,40,-90.74,"137,467",0.88,"253,153",8.54,"133,948",490.64,"3,058",-25.96,33,13.79,18,0.00,373,-30.93,2,-99.27,451,-43.62,825,-27.38,18,-79.31,38,-33.33,97,12.79,81,-19.80,407,-28.97,1,0.00,-,--,30,-31.82,152,31.03,532,97.77,"97,525",355.66,132,22.38,87,15.23,"1,490",-41.98,10,-98.66,"1,270",-61.54,"2,009",-27.86,116,-61.55,998,92.26,"87,065","1,145.02",514,-27.76,"1,255",-16.50,0,0.00,-,--,79,-47.79,731,83.29,"1,768",43.75,"1,844",-64.02,22,-53.19,7,-75.86,396,-72.54,14,-12.50,310,-53.66,531,-68.84,35,-61.54,88,-54.40,33,-29.79,54,-75.23,205,-48.62,-,--,-,--,40,-67.74,72,-41.94,37,76.19,"18,958",-49.79,190,-60.63,54,-85.12,"4,494",-61.70,90,110.09,"3,308",-51.22,"2,347",-66.42,217,-30.99,968,-7.93,"4,183",-8.49,882,-66.65,"1,584",-2.19,-,--,-,--,238,-61.64,321,-34.24,83,54.82
2003M08,"596,307",1.98,"6,019",6.17,"3,761",1.27,"178,589",-0.20,"2,569",-9.54,"91,284",3.06,"166,730",1.36,"10,255",-7.78,"26,118",-10.92,"9,604",14.54,"17,478",3.25,"47,755",8.48,56,14.29,5,0.00,"8,651",-10.59,"17,317",6.18,"10,116",116.20,"15,900,399",4.88,"549,990",-4.10,"126,912",-38.20,"6,391,492",1.21,"628,521",-2.60,"1,226,614",-4.75,"1,179,050",8.75,"70,709",-4.71,"681,303",47.21,"3,545,630",10.77,"551,695",1.09,"404,392",8.79,345,113.94,40,-12.02,"135,373",-0.33,"251,957",7.81,"156,376",549.05,"3,797",26.10,42,10.53,29,31.82,603,22.06,1,0.00,534,1.52,967,-10.55,20,33.33,42,44.83,137,110.77,156,62.50,434,2.36,-,--,-,--,29,3.57,173,38.40,630,840.30,"18,132",38.01,179,-2.77,136,47.03,"3,125",18.38,1,-50.00,"1,653",-32.17,"2,217",-17.78,69,164.06,406,34.44,"4,628",118.85,"2,074",235.01,"1,218",-6.86,-,--,-,--,99,28.81,521,5.70,"1,807","1,134.55","2,412",-4.25,17,-29.17,20,53.85,639,-1.54,13,18.18,383,6.39,652,-18.40,50,-30.56,82,-18.81,46,6.98,87,8.75,261,21.40,1,--,-,--,37,-31.48,90,3.45,34,209.09,"19,090",-60.37,210,-61.83,146,95.90,"5,404",-66.73,74,-85.61,"2,886",-58.86,"2,585",-21.39,244,-42.35,420,-34.48,"3,359",-77.91,"1,504",-24.55,"1,509",51.28,1,--,-,--,192,-65.56,487,11.36,69,-68.83
2003M09,"597,517",2.02,"6,053",6.01,"3,763",1.57,"178,629",-0.35,"2,553",-6.96,"91,447",2.59,"166,812",1.22,"10,225",-7.21,"26,059",-8.80,"9,685",12.88,"17,540",3.08,"47,928",6.83,56,12.00,5,0.00,"8,628",-8.41,"17,413",6.80,"10,721",138.62,"16,000,421",5.01,"548,446",-5.31,"127,751",-37.52,"6,438,106",3.19,"628,740",-0.96,"1,232,711",-4.81,"1,183,668",8.83,"70,619",-4.59,"674,659",16.22,"3,587,756",11.16,"540,789",-0.32,"404,124",6.53,345,96.87,40,-12.02,"136,315",0.48,"264,122",11.64,"162,231",709.50,"2,989",-14.38,38,52.00,8,-33.33,446,-4.70,2,100.00,411,-27.00,717,-34.94,13,-18.75,42,-6.67,111,-11.90,133,13.68,402,-36.59,-,--,-,--,21,-62.50,131,15.93,514,141.31,"19,109",-13.67,812,282.89,54,3.67,"4,409",7.81,53,"5,200.00","1,547",-23.92,"1,758",-29.49,112,221.15,314,-22.21,"3,213",-59.03,"3,012",265.29,903,-57.33,-,--,-,--,138,-43.76,536,-10.34,"2,246",89.22,"1,779",-30.15,15,-16.67,14,-39.13,379,-27.81,9,0.00,264,-38.17,551,-27.88,36,-38.98,65,-43.48,36,-18.18,70,-24.73,205,-23.51,-,--,-,--,36,-43.75,62,-34.04,37,-15.91,"18,716",-42.84,222,101.87,122,-33.41,"5,094",-13.96,26,-51.85,"2,046",-60.60,"2,182",-35.21,178,-51.90,428,-84.55,"5,687",-30.01,"1,196",-66.17,962,-41.37,-,--,-,--,183,-58.91,246,-54.99,144,-69.80
2003M10,"596,499",1.65,"6,054",5.60,"3,765",1.73,"178,089",-0.74,"2,535",-5.30,"91,264",1.74,"166,235",0.72,"10,173",-6.45,"25,879",-7.74,"9,778",12.26,"17,508",2.39,"47,771",4.98,58,13.73,5,0.00,"8,536",-7.60,"17,399",6.23,"11,450",147.30,"16,061,803",5.33,"549,435",-0.84,"127,721",-37.54,"6,461,757",3.13,"629,035",-1.49,"1,230,840",0.11,"1,184,568",8.55,"70,366",-4.09,"671,093",4.21,"3,598,785",11.61,"549,777",1.28,"416,455",9.08,351,94.47,40,-12.02,"135,972",-3.00,"265,229",11.00,"170,379",737.09,"3,572",-6.25,36,28.57,24,9.09,503,-8.71,1,-66.67,550,-17.42,918,-22.20,27,8.00,37,-15.91,130,12.07,144,22.03,422,-37.48,2,100.00,-,--,31,-16.22,145,-10.49,602,230.77,"18,354",13.26,284,37.03,84,-8.65,"2,695",-5.78,10,-13.04,"1,678",-24.15,"5,058",75.94,98,13.19,201,-42.65,"2,875",-14.86,874,-2.41,"1,244",-27.24,2,-70.00,-,--,84,-7.32,"1,000",7.64,"2,168",331.16,"4,590",72.17,46,58.62,27,-15.62,992,55.73,12,20.00,738,80.00,"1,433",90.81,67,42.55,190,79.25,36,-21.74,184,91.67,537,79.00,-,--,-,--,109,10.10,169,96.51,50,194.12,"44,292",65.21,494,191.02,272,94.50,"8,502",-11.57,41,23.72,"5,445",51.37,"6,688",151.97,321,79.72,"1,014",54.05,"14,514",169.80,"2,421",42.62,"2,702",52.12,-,--,-,--,760,63.63,964,130.88,154,422.03
2003M11,"595,596",1.25,"6,069",5.20,"3,776",1.72,"177,798",-0.94,"2,517",-9.53,"91,193",1.25,"165,632",0.13,"10,133",-6.42,"25,680",-6.28,"9,842",12.01,"17,531",2.23,"47,746",4.08,57,7.55,5,-16.67,"8,409",-6.67,"17,379",5.79,"11,829",116.41,"16,100,133",5.23,"549,589",7.66,"128,225",-37.28,"6,478,370",2.47,"629,149",-1.47,"1,252,214",2.67,"1,183,223",9.24,"70,154",-4.33,"675,657",3.74,"3,588,385",9.91,"552,756",1.29,"415,015",8.46,349,84.17,40,-12.97,"135,215",-3.88,"266,005",12.02,"175,787",604.07,"2,307",-28.38,23,-32.35,17,41.67,299,-24.30,-,--,331,-18.07,541,-40.61,18,-37.93,28,12.00,110,61.76,123,73.24,357,2.88,-,--,-,--,13,-18.75,86,-7.53,361,-55.49,"19,122",-0.47,71,-57.27,83,100.60,"3,294",28.05,-,--,"1,385",0.09,"1,702",-18.20,123,-28.81,430,107.40,"5,908",-6.17,"3,150",157.00,"1,090",33.01,-,--,-,--,39,9.24,375,-1.68,"1,472",-58.44,"3,210",77.94,19,5.56,11,0.00,570,23.91,13,44.44,419,52.92,"1,108",98.57,53,82.76,211,257.63,44,29.41,101,80.36,371,87.37,-,--,-,--,134,252.63,116,127.45,40,344.44,"36,172",-15.94,188,-88.57,121,93.92,"7,193",-69.55,105,228.49,"4,617",65.92,"6,224",105.77,322,82.44,"1,195",231.84,"8,805",10.93,"1,167",-10.56,"4,572",234.84,-,--,-,--,875,459.36,693,31.22,94,229.64
2003M12,"596,000",1.28,"6,110",5.07,"3,772",1.97,"177,215",-1.24,"2,500",-8.12,"91,149",1.05,"165,335",-0.07,"10,075",-5.96,"25,530",-5.67,"10,030",12.42,"17,646",2.88,"47,811",3.03,56,9.80,5,-16.67,"8,324",-6.83,"17,479",5.81,"12,963",140.19,"16,155,444",3.97,"549,587",6.49,"128,098",-37.52,"6,520,837",3.02,"629,303",-1.30,"1,254,702",3.87,"1,190,587",8.35,"70,130",-3.25,"678,181",-3.07,"3,570,191",3.79,"555,302",1.88,"415,501",7.73,348,89.14,40,-12.97,"134,798",-3.67,"269,173",13.99,"188,664",668.23,"5,668",36.78,61,22.00,22,29.41,"1,012",23.26,4,300.00,850,48.34,"1,285",-2.28,24,-61.29,44,33.33,234,40.96,287,156.25,594,-8.05,-,--,-,--,35,-30.00,220,43.79,996,586.90,"46,361",-54.10,613,288.01,184,84.20,"15,800",403.46,8,700.00,"3,021",-48.46,"3,265",5.78,112,-34.13,"1,488",-96.31,"6,384",-85.60,"4,055",423.93,"1,915",11.13,-,--,-,--,132,-18.42,"2,013",188.67,"7,369","1,325.13","5,264",35.39,40,33.33,32,-21.95,"1,532",39.40,16,100.00,865,26.46,"1,466",33.88,63,16.67,155,55.00,51,-29.17,210,39.07,487,30.91,1,0.00,-,--,100,96.08,167,57.55,79,229.17,"59,473",22.18,570,10.88,267,-15.39,"13,253",32.87,124,277.27,"6,592",-4.50,"10,315",132.60,226,-15.81,"1,122",-83.91,"18,554",68.13,"4,026",52.43,"2,541",45.74,1,100.00,-,--,523,80.51,874,-74.47,486,267.10
2004M01,"596,762",1.30,"6,122",4.42,"3,776",1.83,"177,161",-1.33,"2,488",-6.11,"91,243",0.77,"165,367",-0.17,"10,023",-5.26,"25,484",-4.45,"10,109",10.48,"17,711",2.77,"47,905",2.47,54,3.85,5,0.00,"8,301",-5.62,"17,538",5.66,"13,475",154.25,"16,173,706",3.88,"550,343",7.09,"128,100",-34.85,"6,528,740",2.75,"629,542",-1.16,"1,234,803",1.46,"1,196,786",8.63,"69,857",-2.68,"678,737",-3.25,"3,585,139",4.14,"560,434",2.32,"409,780",6.06,342,85.14,40,0.00,"134,771",-3.07,"271,930",15.22,"194,360",681.16,"2,531",-13.76,26,-33.33,14,27.27,385,-15.38,2,-33.33,371,-25.35,602,-37.87,8,-50.00,22,-12.00,111,29.07,119,16.67,295,-35.31,-,--,-,--,18,-53.85,83,-35.66,475,339.81,"17,231",-8.28,79,-83.65,96,81.51,"2,522",-41.27,6,-25.00,"2,618",52.84,"1,468",-47.06,28,-84.47,238,-3.84,"3,506",-33.30,"3,021",197.54,877,-40.14,-,--,-,--,35,-57.29,501,-18.91,"2,237",273.29,"1,768",-23.89,21,90.91,9,-25.00,422,-24.51,11,120.00,282,-20.11,532,-20.48,46,-17.86,49,-57.39,36,-2.70,68,-11.69,186,-30.60,2,--,-,--,33,-43.10,38,-55.29,33,94.12,"47,188",35.19,130,-96.04,112,78.54,"5,208",-48.53,36,3.77,"24,407",542.94,"2,603",-33.34,327,19.88,290,-69.55,"3,268",-36.94,"1,687",44.82,"8,114",62.95,6,--,-,--,477,-21.54,274,-46.98,249,627.19
