期間,戶內人口(人)_原始值,戶內人口(人)_年增率(%),平均每戶就業人數(人)_原始值,平均每戶就業人數(人)_年增率(%),可支配所得平均數每戶(元)_原始值,可支配所得平均數每戶(元)_年增率(%),可支配所得平均數每人(元)_原始值,可支配所得平均數每人(元)_年增率(%),可支配所得中位數每戶(元)_原始值,可支配所得中位數每戶(元)_年增率(%),可支配所得中位數每人(元)_原始值,可支配所得中位數每人(元)_年增率(%),消費支出(元)_原始值,消費支出(元)_年增率(%),消費傾向(%)_原始值,消費傾向(%)_年增率(%),儲蓄(元)_原始值,儲蓄(元)_年增率(%),儲蓄率(%)_原始值,儲蓄率(%)_年增率(%),住宅坪數(坪)_原始值,住宅坪數(坪)_年增率(%),自有住宅率(%)_原始值,自有住宅率(%)_年增率(%)
1994,4.02,-1.95,1.75,-1.13,"769,755",5.75,"191,481",7.86,"668,450",4.46,"161,906",7.58,"545,987",8.30,70.93,2.41,"223,768",0.01,29.07,-5.43,36.8,2.14,82.52,0.78
1995,3.94,-1.99,1.71,-2.29,"811,338",5.40,"205,923",7.54,"700,873",4.85,"174,288",7.65,"591,035",8.25,72.85,2.70,"220,303",-1.55,27.15,-6.59,37.2,1.09,83.56,1.26
1996,3.92,-0.51,1.71,0.00,"826,378",1.85,"210,811",2.37,"720,970",2.87,"179,669",3.09,"614,435",3.96,74.35,2.07,"211,943",-3.79,25.65,-5.55,38.1,2.42,84.45,1.07
1997,3.84,-2.04,1.69,-1.17,"863,427",4.48,"224,851",6.66,"750,341",4.07,"190,899",6.25,"634,477",3.26,73.48,-1.17,"228,951",8.02,26.52,3.39,39.2,2.94,84.57,0.14
1998,3.77,-1.82,1.64,-2.96,"873,175",1.13,"231,611",3.01,"763,717",1.78,"195,227",2.27,"646,343",1.87,74.02,0.73,"226,831",-0.93,25.98,-2.03,39.8,1.53,84.61,0.05
1999,3.63,-3.71,1.60,-2.44,"889,053",1.82,"244,918",5.75,"776,134",1.63,"206,589",5.82,"655,282",1.38,73.71,-0.43,"233,770",3.06,26.29,1.22,39.6,-0.50,84.91,0.35
2000,3.62,-0.28,1.58,-1.25,"891,445",0.27,"246,256",0.55,"776,390",0.03,"207,552",0.47,"662,722",1.14,74.34,0.86,"228,723",-2.16,25.66,-2.42,40.4,2.10,85.35,0.52
2001,3.58,-1.10,1.56,-1.27,"868,651",-2.56,"242,640",-1.47,"737,682",-4.99,"200,685",-3.31,"657,872",-0.73,75.73,1.87,"210,779",-7.85,24.27,-5.43,41.0,1.41,85.64,0.34
2002,3.65,1.96,1.57,0.64,"875,919",0.84,"239,978",-1.10,"740,556",0.39,"198,621",-1.03,"672,619",2.24,76.79,1.39,"203,300",-3.55,23.21,-4.35,41.7,1.68,85.40,-0.28
2003,3.53,-3.29,1.54,-1.91,"881,662",0.66,"249,763",4.08,"739,648",-0.12,"208,253",4.85,"666,372",-0.93,75.58,-1.57,"215,290",5.90,24.42,5.21,41.9,0.46,85.11,-0.34
