期間,彩色電視機,電話機,冷暖氣機,洗衣機,家用汽車,機器腳踏車,報紙,家用電腦,有線電視頻道設備,行動電話
2003,99.51,97.80,84.53,96.56,57.43,81.02,35.78,58.74,76.12,84.63
2004,99.47,97.56,85.71,96.91,58.04,80.78,33.63,62.37,78.53,85.67
2005,99.46,97.55,85.69,96.70,58.38,80.85,32.31,63.15,79.02,86.15
2006,99.55,97.36,87.48,97.05,59.10,81.70,28.16,66.12,79.82,88.01
2007,99.37,96.69,87.64,97.45,58.69,82.98,26.60,67.13,79.93,88.94
2008,99.39,96.00,87.55,97.26,58.37,82.22,23.59,69.27,81.65,89.80
2009,99.56,95.88,88.35,97.43,59.18,82.87,21.64,70.51,81.97,90.58
2010,99.41,95.72,89.05,97.76,57.78,82.25,21.09,71.32,82.98,90.58
2011,99.24,96.06,88.75,97.63,59.11,82.97,19.16,71.93,82.92,91.70
2012,99.27,94.76,89.89,98.07,58.41,83.12,17.75,72.31,83.23,92.26
2013,99.33,94.69,89.96,98.10,58.39,82.79,15.80,72.21,84.37,92.57
