期間,準備貨幣增( + )  減( - ),國外資產,對政府放款及墊款,公開市場操作買入有價證券,對金融機構債權,政府存款,國庫存款轉存款,金融機構定期存款轉存款,央行發行之國庫券、定期存單及儲蓄券,其他項目
2008M09,"-163,671","6,762",-,-,"13,120","47,156",688,"-22,000","-236,100","26,703"
2008M10,"-55,568","162,614",-,"19,292","-26,603","27,753","1,165",12,"-227,530","-12,271"
2008M11,"46,640","63,521",-,"-19,292","124,909","9,515","-3,716",4,"-130,035","1,734"
2008M12,"49,062","183,766",-,-,"-19,694","32,365","2,474","-13,000","-186,095","49,246"
2009M01,"300,403","202,719",-,-,"40,826","-31,004",569,-,"89,650","-2,357"
2009M02,"-269,647","63,851",-,-,"29,238","62,687",666,72,"-398,250","-27,911"
2009M03,"120,415","136,134",-,-,"49,012","-1,632",570,"-75,200","40,060","-28,529"
2009M04,"-28,673","160,817",-,-,"23,351","-16,340",151,3,"-191,620","-5,035"
2009M05,"64,317","161,917",-,-,"154,614","-30,135",-53,-,"-191,645","-30,381"
2009M06,"-71,854","107,900",-,-,"49,216","-71,256",-378,"-6,069","-153,500","2,233"
2009M07,"46,383","118,800",-,-,"85,348","7,190",447,-,"-225,340","59,938"
2009M08,"-21,895","98,369",-,-,"-31,256","8,318",-204,"-2,653","-59,320","-35,149"
2009M09,"3,540","202,186",-,-,"-67,116","-35,955",667,-,"-56,405","-39,837"
2009M10,"1,100","221,026",-,-,"15,199","-1,786",66,-,"-226,690","-6,715"
2009M11,"-10,023","166,010",-,-,"-73,504","-18,222","4,032","5,600","-54,670","-39,269"
2009M12,"44,467","187,759",-,-,"-60,761","47,864",553,-,"-165,810","34,862"
2010M01,"78,593","177,132",-,-,"-102,906","-108,297",247,-,"93,070","19,347"
2010M02,"82,939","146,278",-,-,310,"81,717",93,4,"-100,540","-44,923"
2010M03,"-72,361","132,759",-,-,"35,839","35,793",87,"1,000","-248,230","-29,609"
2010M04,"54,121","138,315",-,-,"17,216","28,950",-273,-,"-101,030","-29,057"
2010M05,"-7,912","286,396",-,-,"-160,299","-56,495",-11,"2,900","-35,895","-44,508"
2010M06,-71,"85,803",-,-,"-80,549","30,584",-373,"-6,800","3,100","-31,836"
2010M07,"12,809","51,340",-,-,"-10,062","-46,434",840,"2,900","-67,930","82,155"
2010M08,"-28,691","149,949",-,-,"-16,701","33,032",321,-,"-146,930","-48,362"
2010M09,"29,142","52,375",-,-,"32,486","-39,739",-457,-500,"-7,090","-7,933"
2010M10,"-5,448","34,418",-,-,"17,163","46,678",967,"1,615","-113,840","7,551"
2010M11,"-7,334","25,382",-,-,"-16,009",-345,-836,"4,200","-10,570","-9,156"
2010M12,"62,042","42,402",-,-,"47,246","14,969",414,"-20,300","-48,250","25,561"
2011M01,"346,834","89,484",-,-,"75,700","-81,342",-385,"1,000","219,250","43,127"
2011M02,"-172,429","46,881",-,-,"3,950","11,553","-1,142",-,"-189,530","-44,141"
2011M03,"-16,609","-6,794",-,-,"-101,972","84,287","2,128","4,800","22,700","-21,758"
2011M04,"-15,617","51,764",-,-,"130,014","18,379",-398,-,"-223,150","7,774"
2011M05,"-36,319","64,929",-,-,"-41,044","-114,916",-323,-,"56,100","-1,065"
2011M06,"-35,659","21,088",-,-,"-127,473","39,168",-225,"-5,000","47,260","-10,477"
