期間,日平均數_原始值,日平均數_年增率(%),日平均數_原始值,日平均數_年增率(%),日平均數_原始值,日平均數_年增率(%),日平均數_原始值,日平均數_年增率(%),日平均數_原始值,日平均數_年增率(%),日平均數_原始值,日平均數_年增率(%),日平均數_原始值,日平均數_年增率(%),日平均數_原始值,日平均數_年增率(%),日平均數_原始值,日平均數_年增率(%),日平均數_原始值,日平均數_年增率(%),日平均數_原始值,日平均數_年增率(%),日平均數_原始值,日平均數_年增率(%),日平均數_原始值,日平均數_年增率(%),日平均數_原始值,日平均數_年增率(%),日平均數_原始值,日平均數_年增率(%),月底數_原始值,月底數_年增率(%),月底數_原始值,月底數_年增率(%),月底數_原始值,月底數_年增率(%),月底數_原始值,月底數_年增率(%),月底數_原始值,月底數_年增率(%),月底數_原始值,月底數_年增率(%),月底數_原始值,月底數_年增率(%),月底數_原始值,月底數_年增率(%),月底數_原始值,月底數_年增率(%),月底數_原始值,月底數_年增率(%),月底數_原始值,月底數_年增率(%),月底數_原始值,月底數_年增率(%),月底數_原始值,月底數_年增率(%),月底數_原始值,月底數_年增率(%),月底數_原始值,月底數_年增率(%)
2005M09,"726,734",10.47,"6,758,263",5.88,"304,224",6.24,"1,719,886",5.84,"4,734,153",5.87,"16,192,903",6.42,"10,629,003",4.85,"1,290,659",8.03,"3,622,680",10.15,"192,397",3.63,"457,307",11.85,857,-,"2,750,844",7.07,"7,484,997",6.31,"23,677,900",6.39,"706,940",9.56,"6,774,236",5.07,"304,834",-0.73,"1,778,037",6.19,"4,691,365",5.05,"16,211,737",6.95,"10,651,168",5.39,"1,306,990",9.29,"3,620,995",10.45,"192,703",7.36,"439,142",10.03,739,-,"2,789,811",6.21,"7,481,176",5.48,"23,692,913",6.48
2005M10,"728,313",9.73,"6,689,479",4.93,"292,043",3.23,"1,685,014",5.83,"4,712,422",4.72,"16,276,289",6.76,"10,659,260",5.46,"1,340,175",10.53,"3,639,093",10.30,"189,646",-0.90,"447,408",3.29,707,-58.09,"2,705,370",6.56,"7,417,792",5.39,"23,694,081",6.33,"712,227",9.23,"6,674,021",4.10,"302,919",-8.74,"1,710,504",6.22,"4,660,598",4.29,"16,288,341",6.55,"10,673,946",5.44,"1,338,047",11.66,"3,633,680",10.25,"186,780",-7.77,"455,157",-2.13,731,-56.38,"2,725,650",5.06,"7,386,248",4.58,"23,674,589",5.93
2005M11,"733,062",9.31,"6,698,662",5.03,"282,665",0.78,"1,682,260",5.46,"4,733,737",5.15,"16,386,641",6.55,"10,692,476",5.21,"1,391,653",15.34,"3,657,114",10.29,"187,815",-1.64,"456,619",-8.37,964,-77.37,"2,697,987",5.96,"7,431,724",5.44,"23,818,365",6.20,"715,669",9.26,"6,784,834",5.92,"304,981",2.73,"1,737,408",4.63,"4,742,445",6.61,"16,409,046",6.55,"10,706,359",5.04,"1,405,302",18.57,"3,649,214",10.31,"188,850",5.28,"458,080",-13.92,"1,241",-53.93,"2,758,058",5.57,"7,500,503",6.23,"23,909,549",6.45
2005M12,"739,056",9.11,"6,890,025",6.30,"299,963",4.62,"1,761,935",6.03,"4,828,127",6.50,"16,503,336",6.76,"10,716,102",5.04,"1,445,947",18.86,"3,671,487",10.21,"192,804",8.09,"475,637",-9.89,"1,359",-35.22,"2,800,954",6.67,"7,629,081",6.56,"24,132,417",6.70,"730,367",9.03,"7,140,781",6.61,"383,098",19.79,"1,869,647",4.55,"4,888,036",6.49,"16,538,930",6.53,"10,750,841",4.87,"1,437,043",15.45,"3,660,395",10.05,"196,511",10.76,"492,537",-5.96,"1,603",7.30,"2,983,112",7.39,"7,871,148",6.83,"24,410,078",6.63
2006M01,"829,601",18.03,"7,028,295",7.36,"331,727",10.14,"1,759,602",6.39,"4,936,966",7.53,"16,693,782",6.73,"10,806,277",5.12,"1,434,705",15.20,"3,745,105",10.33,"199,902",10.51,"505,959",-6.19,"1,834",34.65,"2,920,930",9.89,"7,857,896",8.39,"24,551,678",7.26,"1,025,884",40.72,"6,939,765",4.81,"384,148",13.77,"1,592,717",-5.72,"4,962,900",8.03,"16,800,350",7.10,"10,844,426",5.42,"1,441,596",17.80,"3,788,857",10.25,"203,080",10.28,"520,259",-6.09,"2,132",92.77,"3,002,749",8.95,"7,965,649",8.37,"24,765,999",7.51
2006M02,"873,265",-0.17,"6,966,296",6.35,"300,600",1.00,"1,713,557",10.35,"4,952,139",5.37,"16,904,804",7.01,"10,871,107",5.01,"1,502,666",21.38,"3,810,221",9.91,"212,748",14.19,"505,678",-8.48,"2,384",127.26,"2,887,422",5.95,"7,839,561",5.58,"24,744,365",6.55,"793,959",1.56,"7,007,417",5.92,"349,168",7.64,"1,824,344",14.10,"4,833,905",3.01,"16,887,240",6.95,"10,894,162",4.83,"1,470,771",24.50,"3,796,497",9.27,"223,902",18.58,"499,510",-9.37,"2,398",136.49,"2,967,471",9.70,"7,801,376",5.46,"24,688,616",6.48
2006M03,"788,044",4.24,"6,901,898",4.28,"287,289",1.42,"1,701,422",4.60,"4,913,187",4.34,"16,984,150",7.05,"10,894,843",4.34,"1,532,158",27.19,"3,819,010",9.24,"225,321",24.25,"510,213",-5.71,"2,605",172.49,"2,776,755",4.16,"7,689,942",4.27,"24,674,092",6.17,"763,260",5.34,"6,909,202",3.94,"293,688",-0.49,"1,777,686",4.36,"4,837,828",4.06,"16,989,643",7.10,"10,898,234",3.90,"1,520,209",29.20,"3,821,450",9.50,"226,650",30.00,"520,248",-2.23,"2,852",206.34,"2,834,634",4.10,"7,672,462",4.07,"24,662,105",6.14
2006M04,"778,408",5.49,"6,918,647",5.45,"287,984",3.54,"1,707,199",4.76,"4,923,464",5.80,"17,089,499",7.03,"10,902,392",3.63,"1,581,177",31.62,"3,844,388",9.50,"232,537",18.80,"526,139",-2.24,"2,866",214.25,"2,773,591",4.84,"7,697,055",5.45,"24,786,554",6.53,"759,311",5.74,"7,006,739",6.90,"341,537",3.36,"1,718,132",5.75,"4,947,070",7.56,"17,106,634",6.89,"10,905,751",3.30,"1,582,847",34.56,"3,844,752",9.61,"238,424",9.81,"532,030",-2.29,"2,830",232.16,"2,818,980",5.45,"7,766,050",6.78,"24,872,684",6.86
2006M05,"772,015",5.61,"7,009,489",7.25,"295,100",4.64,"1,753,019",7.54,"4,961,370",7.31,"17,165,255",7.01,"10,903,871",3.21,"1,613,381",34.14,"3,866,394",9.87,"239,571",13.38,"539,281",-0.33,"2,757",225.89,"2,820,134",6.70,"7,781,504",7.08,"24,946,759",7.04,"755,319",6.88,"6,970,240",7.31,"347,942",18.55,"1,740,514",7.77,"4,881,784",6.43,"17,114,815",7.00,"10,899,804",3.12,"1,566,392",33.64,"3,859,129",10.02,"240,647",16.92,"546,079",1.53,"2,764",244.64,"2,843,775",8.74,"7,725,559",7.27,"24,840,374",7.09
2006M06,"768,103",5.59,"6,878,253",5.18,"287,517",4.11,"1,736,354",7.81,"4,854,382",4.33,"17,216,671",6.96,"10,916,705",2.77,"1,628,975",31.52,"3,878,772",9.90,"244,841",27.52,"544,630",6.13,"2,748",288.68,"2,791,974",6.80,"7,646,356",5.22,"24,863,027",6.42,"747,724",5.51,"6,964,339",2.99,"309,207",-1.07,"1,848,984",3.43,"4,806,148",3.10,"17,208,019",6.75,"10,934,953",2.35,"1,604,619",28.69,"3,873,371",9.98,"249,034",39.77,"543,181",11.19,"2,861",269.16,"2,905,915",3.45,"7,712,063",3.23,"24,920,082",5.64
