期間,資產淨額=負債淨值淨額_原始值,資產淨額=負債淨值淨額_年增率(%),資產--國外資產_原始值,資產--國外資產_年增率(%),資產--放款-計_原始值,資產--放款-計_年增率(%),資產--放款-政府機關_原始值,資產--放款-政府機關_年增率(%),資產--放款-公營事業_原始值,資產--放款-公營事業_年增率(%),資產--放款-民間部門_原始值,資產--放款-民間部門_年增率(%),資產--對非金融機構證券投資-政府機關_原始值,資產--對非金融機構證券投資-政府機關_年增率(%),資產--對非金融機構證券投資-公營事業_原始值,資產--對非金融機構證券投資-公營事業_年增率(%),資產--對非金融機構證券投資-民營企業_原始值,資產--對非金融機構證券投資-民營企業_年增率(%),資產--對金融機構證券投資_原始值,資產--對金融機構證券投資_年增率(%),資產--對人壽保險公司等債權_原始值,資產--對人壽保險公司等債權_年增率(%),資產--不動產投資_原始值,資產--不動產投資_年增率(%),資產--庫存現金_原始值,資產--庫存現金_年增率(%),負債與淨值--國外負債_原始值,負債與淨值--國外負債_年增率(%),負債與淨值--通貨發行額_原始值,負債與淨值--通貨發行額_年增率(%),負債與淨值--企業及個人存款與貨幣市場-計_原始值,負債與淨值--企業及個人存款與貨幣市場-計_年增率(%),負債與淨值--企業及個人存款與貨幣市場-支票存款_原始值,負債與淨值--企業及個人存款與貨幣市場-支票存款_年增率(%),負債與淨值--企業及個人存款與貨幣市場-活期存款_原始值,負債與淨值--企業及個人存款與貨幣市場-活期存款_年增率(%),負債與淨值--企業及個人存款與貨幣市場-活期儲蓄存款_原始值,負債與淨值--企業及個人存款與貨幣市場-活期儲蓄存款_年增率(%),負債與淨值--企業及個人存款與貨幣市場-定期存款_原始值,負債與淨值--企業及個人存款與貨幣市場-定期存款_年增率(%),負債與淨值--企業及個人存款與貨幣市場-定期儲蓄存款_原始值,負債與淨值--企業及個人存款與貨幣市場-定期儲蓄存款_年增率(%),負債與淨值--企業及個人存款與貨幣市場-外匯存款_原始值,負債與淨值--企業及個人存款與貨幣市場-外匯存款_年增率(%),負債與淨值--企業及個人存款與貨幣市場-郵政儲金_原始值,負債與淨值--企業及個人存款與貨幣市場-郵政儲金_年增率(%),負債與淨值--企業及個人存款與貨幣市場-貨幣市場共同基金_原始值,負債與淨值--企業及個人存款與貨幣市場-貨幣市場共同基金_年增率(%),負債與淨值--政府存款_原始值,負債與淨值--政府存款_年增率(%),負債與淨值--對人壽保險公司等負債_原始值,負債與淨值--對人壽保險公司等負債_年增率(%),負債與淨值--金融債券_原始值,負債與淨值--金融債券_年增率(%),負債與淨值--淨值_原始值,負債與淨值--淨值_年增率(%),負債與淨值--其他項目(淨額)_原始值,負債與淨值--其他項目(淨額)_年增率(%)
1997M01,"16,856,432",7.29,"3,113,824",0.82,"11,299,965",4.71,"1,220,774",24.25,"394,436",1.28,"9,684,755",2.82,"562,351",29.17,"62,615",12.18,"1,241,000",42.83,"206,215",-25.81,"24,813",11.26,"46,185",302.24,"299,464",88.61,"481,222",-11.36,"857,587",32.06,"13,398,040",10.03,"310,056",1.83,"798,042",11.64,"1,896,223",21.09,"2,465,123",-1.89,"5,331,079",10.43,"326,811",43.68,"2,270,706",12.24,-,-,"816,832",-5.69,"315,451",19.63,"92,810",-5.87,"1,372,613",18.61,"-478,123",--
1997M02,"16,726,696",6.09,"3,131,334",1.50,"11,332,600",4.07,"1,252,833",26.11,"392,491",-1.02,"9,687,276",1.98,"546,928",34.47,"61,971",18.62,"1,207,235",41.10,"194,873",-16.33,"23,764",6.33,"46,185",302.24,"181,806",-13.56,"479,637",-9.05,"735,877",-7.77,"13,522,815",10.37,"284,865",5.07,"782,699",14.70,"1,937,057",19.88,"2,478,699",-1.04,"5,377,955",10.14,"335,882",40.02,"2,325,658",13.15,-,-,"789,956",7.45,"315,503",17.78,"83,516",-14.45,"1,382,581",15.91,"-583,189",--
1997M03,"16,916,001",8.20,"3,150,982",9.19,"11,348,521",3.72,"1,263,613",24.29,"398,231",0.84,"9,686,677",1.64,"621,524",35.93,"52,664",-0.07,"1,316,834",50.64,"178,134",-19.62,"20,964",-10.21,"46,184",302.23,"180,194",8.70,"496,333",-8.53,"699,525",-2.90,"13,552,816",10.40,"288,391",-0.58,"807,324",20.47,"1,949,003",20.57,"2,473,701",0.00,"5,386,133",9.81,"333,960",41.69,"2,314,304",11.01,-,-,"795,529",3.69,"343,595",29.66,"71,572",-29.62,"1,396,758",17.55,"-440,127",--
1997M04,"16,877,958",7.05,"3,150,542",8.37,"11,420,772",4.24,"1,269,828",21.88,"396,329",1.87,"9,754,615",2.40,"612,272",39.88,"55,509",-4.30,"1,243,157",27.41,"157,048",-31.11,"17,717",-18.58,"46,184",302.23,"174,757",2.84,"535,601",0.45,"679,932",1.45,"13,494,841",9.30,"282,690",4.27,"796,985",12.93,"1,958,624",21.10,"2,445,085",-0.60,"5,385,671",8.32,"327,576",39.09,"2,298,210",10.23,-,-,"796,291",-2.13,"327,361",18.44,"58,965",-45.25,"1,413,075",17.44,"-428,108",--
1997M05,"16,995,369",6.57,"3,204,293",7.44,"11,470,113",4.81,"1,264,997",19.27,"393,215",3.27,"9,811,901",3.25,"608,905",49.09,"55,467",-15.33,"1,263,217",13.32,"160,299",-32.68,"20,069",-2.86,"46,167",302.08,"166,839",2.81,"544,490",3.24,"667,654",1.65,"13,536,598",8.63,"271,601",1.90,"815,016",16.67,"1,936,647",21.65,"2,473,617",-1.98,"5,403,750",7.35,"343,211",33.92,"2,292,756",9.66,-,-,"836,080",-1.04,"329,330",14.07,"62,554",-42.71,"1,417,829",15.99,"-399,166",--
1997M06,"17,136,802",5.62,"3,196,940",6.93,"11,789,960",6.70,"1,344,615",19.82,"395,780",6.96,"10,049,565",5.15,"613,085",44.31,"61,554",-16.72,"1,066,008",-6.63,"167,914",-46.61,"22,302",-6.84,"46,185",-1.20,"172,854",8.41,"555,819",11.72,"681,271",1.84,"13,692,929",7.16,"324,594",-8.78,"871,267",15.52,"2,013,056",18.69,"2,444,245",-2.82,"5,397,989",6.40,"349,962",28.30,"2,291,816",8.60,-,-,"837,068",4.07,"320,525",3.64,"64,968",-40.76,"1,387,126",8.73,"-402,904",--
1997M07,"17,226,619",5.88,"3,240,908",7.27,"11,847,254",7.88,"1,368,488",20.38,"388,712",7.23,"10,090,054",6.40,"583,450",31.47,"46,370",-33.06,"1,117,954",-7.62,"146,563",-52.92,"20,951",-3.73,"46,185",-1.20,"176,984",8.73,"591,518",22.25,"668,382",2.58,"13,734,346",6.64,"293,103",-9.32,"882,429",18.77,"2,046,370",23.47,"2,434,229",-5.21,"5,386,649",4.94,"367,180",32.50,"2,324,386",6.76,-,-,"846,104",7.21,"325,433",11.89,"65,407",-40.10,"1,409,751",7.19,"-414,322",--
1997M08,"17,250,687",5.78,"3,201,902",5.11,"12,029,289",9.02,"1,355,730",18.74,"385,258",5.78,"10,288,301",7.98,"624,193",24.00,"49,391",-28.24,"934,501",-18.99,"175,646",-35.69,"23,273",6.47,"46,186",-1.20,"166,306",3.05,"556,071",12.83,"659,363",2.71,"13,789,282",7.01,"325,415",24.43,"902,949",24.08,"2,007,147",22.96,"2,476,740",-4.83,"5,378,479",3.75,"399,206",37.58,"2,299,346",5.12,-,-,"861,281",1.95,"325,671",12.92,"65,356",-36.49,"1,436,875",8.01,"-443,212",--
1997M09,"17,311,362",5.43,"3,139,960",2.68,"12,145,382",9.83,"1,370,803",18.64,"408,148",9.80,"10,366,431",8.76,"604,723",19.24,"45,088",-35.85,"959,632",-20.99,"160,583",-40.11,"29,602",14.50,"46,159",-1.25,"180,233",5.54,"529,928",9.06,"669,690",0.86,"13,765,917",6.09,"324,641",9.53,"836,089",14.42,"1,945,774",19.22,"2,561,947",-1.84,"5,376,477",3.09,"424,642",43.98,"2,296,347",4.58,-,-,"847,842",3.39,"323,306",9.67,"67,159",-35.03,"1,462,282",9.89,"-354,762",--
1997M10,"17,580,299",7.07,"3,301,310",6.93,"12,124,670",9.99,"1,364,740",17.87,"388,719",5.32,"10,371,211",9.21,"594,593",20.24,"42,431",-41.29,"1,119,521",-9.26,"161,993",-40.64,"24,995",-1.15,"46,159",-1.16,"164,627",0.68,"491,427",2.04,"663,672",2.93,"13,941,799",6.63,"306,842",-1.12,"800,020",12.58,"1,967,294",18.26,"2,758,282",5.18,"5,324,073",1.15,"505,669",72.06,"2,279,619",3.13,-,-,"790,560",-0.59,"319,863",8.82,"62,267",-39.54,"1,713,287",27.82,"-402,576",--
1997M11,"17,815,900",7.73,"3,413,925",10.61,"12,315,259",11.05,"1,365,025",15.24,"389,656",8.69,"10,560,578",10.62,"610,140",22.20,"45,058",-40.65,"1,038,926",-17.73,"159,568",-44.98,"26,862",6.98,"46,159",-1.16,"160,003",-0.68,"497,807",8.23,"662,084",3.34,"14,047,519",6.86,"304,454",14.92,"833,864",10.68,"1,984,083",15.69,"2,830,877",9.47,"5,279,064",-0.03,"552,955",70.83,"2,262,222",1.80,-,-,"808,222",2.11,"308,757",1.97,"65,588",-35.07,"1,789,827",32.51,"-363,904",--
1997M12,"18,243,191",9.02,"3,471,583",11.06,"12,510,156",11.65,"1,396,040",19.09,"395,458",8.32,"10,718,658",10.87,"648,132",22.17,"45,957",-26.71,"1,147,785",-8.43,"169,184",-46.86,"30,411",18.51,"46,036",-0.32,"173,947",5.21,"489,623",1.25,"684,311",3.08,"14,321,928",7.50,"308,031",-2.01,"892,481",8.76,"2,004,376",11.81,"3,162,938",23.99,"5,148,420",-2.99,"569,905",83.93,"2,235,777",0.36,-,-,"837,283",6.59,"309,611",4.40,"68,890",-25.81,"1,838,474",35.43,"-306,929",--
1998M01,"18,677,008",10.80,"3,631,919",16.64,"12,802,176",13.29,"1,427,123",16.90,"425,129",7.78,"10,949,924",13.06,"726,565",29.20,"45,962",-26.60,"1,024,732",-17.43,"159,051",-22.87,"30,008",20.94,"45,847",-0.73,"210,748",-29.62,"511,069",6.20,"1,025,671",19.60,"14,384,074",7.36,"311,177",0.36,"758,732",-4.93,"2,048,304",8.02,"3,267,994",32.57,"5,095,383",-4.42,"610,890",86.92,"2,291,594",0.92,-,-,"816,299",-0.07,"289,388",-8.26,"68,132",-26.59,"2,010,082",46.44,"-427,707",--
1998M02,"18,448,239",10.29,"3,430,268",9.55,"12,619,881",11.36,"1,445,317",15.36,"391,793",-0.18,"10,782,771",11.31,"681,069",24.53,"53,349",-13.91,"1,241,606",2.85,"167,921",-13.83,"31,350",31.92,"45,847",-0.73,"176,948",-2.67,"470,083",-1.99,"742,187",0.86,"14,620,318",8.12,"304,085",6.75,"806,023",2.98,"2,135,701",10.25,"3,473,780",40.15,"4,997,830",-7.07,"614,883",83.07,"2,288,016",-1.62,-,-,"870,743",10.23,"281,640",-10.73,"74,048",-11.34,"1,877,349",35.79,"-488,129",--
1998M03,"18,577,533",9.82,"3,511,814",11.45,"12,641,079",11.39,"1,482,746",17.34,"382,665",-3.91,"10,775,668",11.24,"655,020",5.39,"62,045",17.81,"1,315,829",-0.08,"133,943",-24.81,"31,167",48.67,"45,847",-0.73,"180,789",0.33,"503,709",1.49,"701,459",0.28,"14,619,726",7.87,"286,939",-0.50,"837,309",3.71,"2,080,554",6.75,"3,616,998",46.22,"4,925,246",-8.56,"621,639",86.14,"2,251,041",-2.73,-,-,"866,918",8.97,"264,002",-23.16,"77,333",8.05,"1,947,924",39.46,"-403,538",--
1998M04,"18,518,004",9.72,"3,527,012",11.95,"12,572,044",10.08,"1,443,657",13.69,"382,372",-3.52,"10,746,015",10.16,"643,123",5.04,"63,973",15.25,"1,331,693",7.12,"122,754",-21.84,"34,010",91.96,"45,848",-0.73,"177,547",1.60,"522,381",-2.47,"690,102",1.50,"14,586,091",8.09,"276,990",-2.02,"798,414",0.18,"2,017,566",3.01,"3,751,270",53.42,"4,894,209",-9.13,"617,582",88.53,"2,230,060",-2.97,-,-,"840,787",5.59,"258,469",-21.04,"74,538",26.41,"1,980,450",40.15,"-434,814",--
1998M05,"18,631,241",9.63,"3,634,606",13.43,"12,622,699",10.05,"1,454,195",14.96,"380,605",-3.21,"10,787,899",9.95,"630,853",3.60,"57,163",3.06,"1,331,978",5.44,"107,781",-32.76,"31,342",56.17,"45,848",-0.69,"168,971",1.28,"531,880",-2.32,"687,051",2.91,"14,617,891",7.99,"304,851",12.24,"810,583",-0.54,"2,013,219",3.95,"3,731,305",50.84,"4,928,948",-8.79,"620,960",80.93,"2,208,025",-3.70,-,-,"890,867",6.55,"253,700",-22.96,"76,617",22.48,"2,074,906",46.34,"-501,671",--
1998M06,"18,896,258",10.27,"3,652,163",14.24,"12,823,481",8.77,"1,469,874",9.32,"371,964",-6.02,"10,981,643",9.27,"651,332",6.24,"67,033",8.90,"1,314,953",23.35,"131,689",-21.57,"31,216",39.97,"45,844",-0.74,"178,547",3.29,"528,999",-4.83,"688,121",1.01,"14,783,576",7.97,"324,267",-0.10,"896,417",2.89,"2,026,890",0.69,"3,708,381",51.72,"4,971,677",-7.90,"663,909",89.71,"2,192,035",-4.35,-,-,"864,544",3.28,"251,352",-21.58,"76,622",17.94,"2,108,262",51.99,"-405,218",--
