期間,資產合計=負債淨值合計_原始值,資產合計=負債淨值合計_年增率(%),資產--國外資產_原始值,資產--國外資產_年增率(%),資產--放款-計_原始值,資產--放款-計_年增率(%),資產--放款-政府機關_原始值,資產--放款-政府機關_年增率(%),資產--放款-公營事業_原始值,資產--放款-公營事業_年增率(%),資產--放款-民間部門_原始值,資產--放款-民間部門_年增率(%),資產--對非金融機構證券投資-政府機關_原始值,資產--對非金融機構證券投資-政府機關_年增率(%),資產--對非金融機構證券投資-公營事業_原始值,資產--對非金融機構證券投資-公營事業_年增率(%),資產--對非金融機構證券投資-民營企業_原始值,資產--對非金融機構證券投資-民營企業_年增率(%),資產--對金融機構證券投資_原始值,資產--對金融機構證券投資_年增率(%),資產--對金融機構債權-中央銀行_原始值,資產--對金融機構債權-中央銀行_年增率(%),資產--對金融機構債權-其他貨幣機構_原始值,資產--對金融機構債權-其他貨幣機構_年增率(%),資產--對金融機構債權-人壽保險公司等_原始值,資產--對金融機構債權-人壽保險公司等_年增率(%),資產--庫存現金_原始值,資產--庫存現金_年增率(%),資產--其他資產_原始值,資產--其他資產_年增率(%),負債與淨值--國外負債_原始值,負債與淨值--國外負債_年增率(%),負債與淨值--企業及個人存款-計_原始值,負債與淨值--企業及個人存款-計_年增率(%),負債與淨值--企業及個人存款-支票存款_原始值,負債與淨值--企業及個人存款-支票存款_年增率(%),負債與淨值--企業及個人存款-活期存款_原始值,負債與淨值--企業及個人存款-活期存款_年增率(%),負債與淨值--企業及個人存款-活期儲蓄存款_原始值,負債與淨值--企業及個人存款-活期儲蓄存款_年增率(%),負債與淨值--企業及個人存款-定期存款_原始值,負債與淨值--企業及個人存款-定期存款_年增率(%),負債與淨值--企業及個人存款-可轉讓定期存單_原始值,負債與淨值--企業及個人存款-可轉讓定期存單_年增率(%),負債與淨值--企業及個人存款-定期儲蓄存款_原始值,負債與淨值--企業及個人存款-定期儲蓄存款_年增率(%),負債與淨值--企業及個人存款-外匯存款_原始值,負債與淨值--企業及個人存款-外匯存款_年增率(%),負債與淨值--政府存款_原始值,負債與淨值--政府存款_年增率(%),負債與淨值--對金融機構負債-中央銀行_原始值,負債與淨值--對金融機構負債-中央銀行_年增率(%),負債與淨值--對金融機構負債-其他貨幣機構_原始值,負債與淨值--對金融機構負債-其他貨幣機構_年增率(%),負債與淨值--對金融機構負債-其他金融機構-中華郵政公司_原始值,負債與淨值--對金融機構負債-其他金融機構-中華郵政公司_年增率(%),負債與淨值--對金融機構負債-人壽保險公司等_原始值,負債與淨值--對金融機構負債-人壽保險公司等_年增率(%),負債與淨值--金融債券_原始值,負債與淨值--金融債券_年增率(%),負債與淨值--其他負債_原始值,負債與淨值--其他負債_年增率(%),負債與淨值--淨值_原始值,負債與淨值--淨值_年增率(%)
2005M09,"2,365,114",17.66,"429,232",13.87,"486,955",10.83,-,-,144,-55.42,"486,811",10.88,"72,837",-13.97,-,-,"52,576",-18.35,"11,339",-32.99,"441,551",3.08,"135,782",42.96,-,-,"1,052",-15.57,"733,790",48.19,"988,243",11.16,"558,953",2.90,"12,363",4.23,"139,529",6.08,442,5.24,"167,886",-7.67,"9,563",-3.87,33,-93.33,"229,137",10.63,-,-,"1,124",-,"38,389",85.42,350,96.63,"13,771",-39.05,-,-,"716,993",47.58,"47,641",-2.12
2005M10,"2,403,691",21.62,"399,713",-0.53,"497,893",15.31,-,-,64,-91.21,"497,829",15.49,"68,973",-19.29,-,-,"55,778",-5.43,"14,991",53.74,"465,045",23.19,"158,856",20.51,-,-,"1,055",2.63,"741,387",57.21,"1,011,826",18.09,"561,610",3.39,"11,074",-6.37,"136,203",7.50,624,0.65,"164,829",-10.32,"9,054",-10.98,33,-91.81,"239,793",14.37,-,-,"1,137",69.96,"33,531",41.57,207,6.70,"17,055",-38.90,-,-,"730,136",53.67,"48,396",-1.09
2005M11,"2,448,680",21.45,"409,719",-1.38,"493,680",14.51,-,-,55,-91.45,"493,625",14.67,"65,839",-5.54,-,-,"58,573",7.97,"15,447",99.47,"466,137",36.44,"148,131",30.08,-,-,"1,025",-6.82,"790,129",36.61,"989,435",27.92,"558,772",1.60,"10,831",0.19,"131,610",3.53,"1,301",157.62,"170,125",-7.66,"8,151",-28.37,32,-89.30,"236,722",9.79,-,-,"2,248",99.47,"46,791",72.53,297,64.09,"18,386",-40.04,-,-,"783,484",33.93,"49,564",1.42
2005M12,"2,547,979",17.01,"443,162",10.39,"485,828",12.88,-,-,42,-69.57,"485,786",12.91,"70,885",-30.74,-,-,"48,438",-5.38,"16,061",49.59,"498,853",28.08,"104,137",-37.00,490,-94.82,968,-13.57,"879,157",43.06,"951,815",7.67,"568,665",0.82,"12,519",5.83,"138,706",3.25,"1,175",132.67,"171,472",-5.22,"7,860",-31.62,32,-89.51,"236,901",5.45,-,-,"2,662",-,"45,259",93.75,546,351.24,"23,200",-7.85,-,-,"907,531",44.04,"48,847",-3.97
2006M01,"2,427,697",11.98,"398,881",-6.81,"518,458",17.50,-,-,40,-73.86,"518,418",17.53,"64,881",-40.45,-,-,"51,484",-4.74,"16,700",52.68,"518,164",30.81,"136,372",-17.45,800,-87.29,"1,417",-14.43,"720,540",30.08,"990,590",9.54,"573,508",1.50,"13,699",28.74,"140,053",5.53,964,208.97,"176,084",-0.89,"9,673",-14.23,32,-91.67,"233,003",0.43,-,-,"2,656",138.63,"40,225",9.57,167,32.54,"16,853",-50.32,-,-,"754,687",31.06,"49,178",-3.46
2006M02,"2,432,915",9.01,"432,019",9.01,"503,282",14.25,-,-,704,-55.58,"502,578",14.50,"71,938",-32.68,-,-,"43,815",-10.88,"16,527",32.95,"528,559",13.18,"113,016",-25.95,-,-,"1,105",-7.45,"722,654",19.90,"996,859",7.36,"573,280",2.15,"12,634",9.55,"138,533",2.04,"1,193",243.80,"173,659",-1.86,"11,120",-14.32,32,-90.70,"236,109",5.74,-,-,"8,700",597.67,"45,093",89.19,130,62.50,"20,939",-29.43,-,-,"741,450",16.49,"46,594",-8.55
2006M03,"2,417,524",2.57,"400,469",1.37,"500,768",12.32,-,-,42,-89.06,"500,726",12.40,"69,639",-25.44,-,-,"37,389",-35.93,"18,775",119.08,"523,735",3.89,"106,463",-40.63,-,-,"1,132",-9.80,"759,154",13.68,"978,289",-2.97,"577,947",3.21,"10,733",-12.80,"143,234",7.77,"1,122",166.51,"177,768",-3.37,"11,124",4.32,32,-90.80,"233,934",6.65,-,-,"5,736",809.03,"34,055",46.06,115,-0.86,"17,296",-38.60,-,-,"756,835",10.57,"47,366",-8.99
2006M04,"2,164,801",-10.48,"425,731",9.41,"498,525",11.61,-,-,37,-38.33,"498,488",11.62,"59,431",-33.91,-,-,"41,953",-31.35,"18,578",55.30,"565,713",-7.07,"146,091",12.22,-,-,"1,079",-6.50,"407,700",-39.85,"986,659",-6.72,"599,433",7.66,"11,728",9.68,"142,411",11.26,"1,357",350.83,"182,625",-0.28,"11,968",5.65,32,-90.24,"249,312",11.79,-,-,"15,230","1,523.67","42,913",31.98,"2,902","3,197.73","17,205",-41.84,-,-,"455,248",-33.87,"48,113",-7.61
2006M05,"2,220,272",-0.33,"443,999",19.92,"535,185",16.40,-,-,15,-97.63,"535,170",16.56,"70,121",16.54,-,-,"44,512",-19.30,"18,530",130.04,"580,371",-3.23,"157,593",66.79,-,-,"1,055",0.48,"368,906",-36.24,"1,086,600",8.75,"605,879",13.19,"13,910",20.47,"143,550",15.95,"1,162",100.34,"194,983",8.06,"14,344",24.56,32,-90.80,"237,898",14.91,-,-,"19,648","1,987.99","32,749",4.12,112,-3.45,"24,501",41.89,-,-,"400,431",-32.23,"50,464",-4.07
2006M06,"2,229,802",2.43,"447,207",15.23,"539,186",17.44,-,-,18,-71.43,"539,168",17.45,"85,946",20.94,-,-,"39,596",-11.48,"10,099",28.68,"580,553",21.11,"133,844",18.18,-,-,"1,244",11.07,"392,127",-35.97,"1,089,355",18.49,"615,066",12.59,"11,326",-6.33,"140,624",9.40,"1,041",140.97,"210,205",20.83,"9,827",-23.69,32,-92.98,"242,011",11.05,-,-,"21,777",884.05,"33,300",28.97,"2,078","1,323.29","20,479",-4.82,-,-,"402,784",-34.93,"47,041",10.14
