期間,資產合計=負債淨值合計_原始值,資產合計=負債淨值合計_年增率(%),資產--放款_原始值,資產--放款_年增率(%),資產--對非金融機構證券投資-政府機關_原始值,資產--對非金融機構證券投資-政府機關_年增率(%),資產--對非金融機構證券投資-公營事業_原始值,資產--對非金融機構證券投資-公營事業_年增率(%),資產--對非金融機構證券投資-民營企業_原始值,資產--對非金融機構證券投資-民營企業_年增率(%),資產--對金融機構證券投資_原始值,資產--對金融機構證券投資_年增率(%),資產--對金融機構債權-中央銀行_原始值,資產--對金融機構債權-中央銀行_年增率(%),資產--對金融機構債權-其他貨幣機構_原始值,資產--對金融機構債權-其他貨幣機構_年增率(%),資產--對金融機構債權-人壽保險公司等_原始值,資產--對金融機構債權-人壽保險公司等_年增率(%),資產--庫存現金_原始值,資產--庫存現金_年增率(%),資產--其他資產_原始值,資產--其他資產_年增率(%),負債與淨值--企業及個人存款-計_原始值,負債與淨值--企業及個人存款-計_年增率(%),負債與淨值--企業及個人存款-支票存款_原始值,負債與淨值--企業及個人存款-支票存款_年增率(%),負債與淨值--企業及個人存款-活期存款_原始值,負債與淨值--企業及個人存款-活期存款_年增率(%),負債與淨值--企業及個人存款-活期儲蓄存款_原始值,負債與淨值--企業及個人存款-活期儲蓄存款_年增率(%),負債與淨值--企業及個人存款-定期存款_原始值,負債與淨值--企業及個人存款-定期存款_年增率(%),負債與淨值--企業及個人存款-定期儲蓄存款_原始值,負債與淨值--企業及個人存款-定期儲蓄存款_年增率(%),負債與淨值--政府存款_原始值,負債與淨值--政府存款_年增率(%),負債與淨值--對金融機構負債-其他貨幣機構_原始值,負債與淨值--對金融機構負債-其他貨幣機構_年增率(%),負債與淨值--對金融機構負債-人壽保險公司等_原始值,負債與淨值--對金融機構負債-人壽保險公司等_年增率(%),負債與淨值--其他負債_原始值,負債與淨值--其他負債_年增率(%),負債與淨值--淨值_原始值,負債與淨值--淨值_年增率(%)
2006M02,"656,798",-5.74,"346,650",-0.88,"10,060",-9.52,274,-28.46,"17,611",-34.27,"5,842",-16.01,"12,892",-4.37,"211,700",-7.62,-,-,"7,519",-7.63,"44,250",-13.22,"589,441",-6.55,"7,366",4.63,"37,836",0.18,"152,097",-7.07,"61,915",-5.90,"330,227",-7.36,52,-11.86,775,117.09,-,-,"25,088",4.80,"41,442",-0.50
2006M03,"649,797",-4.90,"346,853",-0.31,"9,907",-9.60,272,-28.98,"14,911",-39.76,"5,691",-1.11,"12,849",-3.25,"211,906",-6.51,-,-,"7,131",-7.59,"40,277",-12.08,"586,120",-5.58,"6,197",-1.34,"37,113",-1.88,"151,477",-5.29,"62,199",-2.45,"329,134",-6.75,50,-28.57,762,84.50,-,-,"21,797",4.04,"41,068",0.00
2006M04,"656,555",-4.27,"349,090",0.27,"9,966",-8.96,155,-59.53,"16,589",-27.74,"6,470",9.22,"12,786",-4.27,"210,808",-7.33,-,-,"7,029",-8.13,"43,662",-10.94,"588,908",-5.01,"6,871",-3.51,"37,483",0.76,"154,707",-2.92,"61,496",-3.68,"328,351",-6.83,57,-17.39,"1,034",165.13,-,-,"25,470",2.79,"41,086",1.02
2006M05,"653,617",-4.22,"348,903",-0.13,"9,626",-10.98,151,-59.08,"15,310",-33.83,"6,687",15.13,"12,796",-4.03,"210,224",-7.14,-,-,"7,297",-10.69,"42,623",-5.27,"584,608",-5.32,"6,974",4.75,"37,040",-0.55,"152,614",-3.63,"60,250",-5.70,"327,730",-6.71,56,-16.42,419,-27.63,-,-,"26,500",13.05,"42,034",2.94
2006M06,"648,267",-4.01,"349,979",0.16,"8,902",-14.30,151,-58.40,"14,427",-31.47,"6,290",7.17,"12,774",-3.07,"208,473",-6.86,-,-,"7,081",-7.86,"40,190",-7.77,"581,865",-4.96,"5,915",-6.87,"37,770",0.16,"150,804",-4.66,"60,276",-5.14,"327,100",-5.59,57,-19.72,791,-53.14,-,-,"23,118",12.39,"42,436",4.10
2006M07,"646,853",-4.90,"351,647",0.62,"8,968",-14.43,151,-58.40,"12,368",-44.77,"6,310",10.20,"12,823",-2.64,"207,454",-7.58,-,-,"7,535",1.76,"39,597",-15.20,"580,212",-5.45,"6,056",-14.46,"37,084",-1.73,"149,811",-5.79,"60,772",-4.70,"326,489",-5.65,44,-30.16,557,-11.59,-,-,"23,587",-4.99,"42,453",3.46
2006M08,"649,031",-3.92,"352,952",0.64,"8,864",-19.00,380,44.49,"13,314",-37.00,"6,418",13.25,"12,951",-2.01,"207,746",-7.22,-,-,"6,884",-7.32,"39,522",-6.38,"582,338",-4.97,"6,062",-8.77,"38,423",-0.38,"150,257",-4.69,"61,350",-3.48,"326,246",-5.81,57,-10.94,627,24.16,-,-,"23,121",11.53,"42,888",3.63
2006M09,"655,295",-2.98,"355,290",1.07,"8,785",-18.45,380,44.49,"14,387",-32.53,"6,257",11.37,"12,956",-2.31,"207,279",-7.01,-,-,"6,750",-8.86,"43,211",1.95,"585,110",-4.25,"6,693",6.41,"37,857",-0.83,"152,887",-2.83,"62,329",-1.65,"325,344",-5.94,52,-25.71,576,56.52,-,-,"26,498",18.59,"43,059",3.48
2006M10,"651,277",-3.03,"355,604",1.27,"8,574",-18.85,380,44.49,"14,416",-26.19,"6,271",8.59,"13,052",-1.36,"206,292",-7.03,-,-,"7,300",-3.64,"39,388",-5.42,"585,357",-3.91,"6,106",-7.02,"38,891",2.09,"153,121",-2.31,"62,692",-0.97,"324,547",-5.79,55,-37.50,558,-7.77,-,-,"21,831",9.38,"43,476",4.05
2006M11,"651,360",-3.34,"355,256",0.90,"8,469",-16.91,251,-3.09,"14,831",-33.13,"6,302",8.90,"13,207",0.05,"206,618",-6.47,-,-,"7,319",-4.94,"39,107",-5.91,"584,900",-4.15,"6,096",-6.10,"39,054",1.13,"152,855",-3.45,"63,567",-0.24,"323,328",-5.75,56,-34.88,192,-67.79,-,-,"22,679",7.49,"43,533",3.89
