期間,資產合計=負債淨值合計_原始值,資產合計=負債淨值合計_年增率(%),資產--放款_原始值,資產--放款_年增率(%),資產--對非金融機構證券投資-政府機關_原始值,資產--對非金融機構證券投資-政府機關_年增率(%),資產--對非金融機構證券投資-公營事業_原始值,資產--對非金融機構證券投資-公營事業_年增率(%),資產--對非金融機構證券投資-民營企業_原始值,資產--對非金融機構證券投資-民營企業_年增率(%),資產--對金融機構證券投資_原始值,資產--對金融機構證券投資_年增率(%),資產--對金融機構債權-中央銀行_原始值,資產--對金融機構債權-中央銀行_年增率(%),資產--對金融機構債權-其他貨幣機構_原始值,資產--對金融機構債權-其他貨幣機構_年增率(%),資產--對金融機構債權-人壽保險公司等_原始值,資產--對金融機構債權-人壽保險公司等_年增率(%),資產--庫存現金_原始值,資產--庫存現金_年增率(%),資產--其他資產_原始值,資產--其他資產_年增率(%),負債與淨值--企業及個人存款-計_原始值,負債與淨值--企業及個人存款-計_年增率(%),負債與淨值--企業及個人存款-支票存款_原始值,負債與淨值--企業及個人存款-支票存款_年增率(%),負債與淨值--企業及個人存款-活期存款_原始值,負債與淨值--企業及個人存款-活期存款_年增率(%),負債與淨值--企業及個人存款-活期儲蓄存款_原始值,負債與淨值--企業及個人存款-活期儲蓄存款_年增率(%),負債與淨值--企業及個人存款-定期存款_原始值,負債與淨值--企業及個人存款-定期存款_年增率(%),負債與淨值--企業及個人存款-定期儲蓄存款_原始值,負債與淨值--企業及個人存款-定期儲蓄存款_年增率(%),負債與淨值--政府存款_原始值,負債與淨值--政府存款_年增率(%),負債與淨值--對金融機構負債-其他貨幣機構_原始值,負債與淨值--對金融機構負債-其他貨幣機構_年增率(%),負債與淨值--對金融機構負債-人壽保險公司等_原始值,負債與淨值--對金融機構負債-人壽保險公司等_年增率(%),負債與淨值--其他負債_原始值,負債與淨值--其他負債_年增率(%),負債與淨值--淨值_原始值,負債與淨值--淨值_年增率(%)
2001M05,"1,561,266",-2.79,"603,837",-7.42,354,-49.06,-,-,"3,634",-41.67,"8,974",-17.53,"30,327",0.22,"652,708",-1.53,-,-,"16,055",-2.30,"245,377",8.36,"1,309,443",-2.25,"5,214",-12.58,"111,948",-4.16,"228,642",-1.88,"207,273",-9.99,"756,366",0.38,"70,384",-4.95,"14,003",-21.78,-,-,"101,764",1.87,"65,672",-11.95
2001M06,"1,570,995",-2.75,"599,430",-7.48,773,14.01,-,-,"4,629",-24.56,"8,653",-26.61,"30,160",-2.02,"665,762",-1.56,-,-,"14,227",-5.78,"247,361",9.13,"1,322,369",-1.50,"6,642",9.71,"113,613",-3.21,"238,257",0.98,"206,850",-9.63,"757,007",0.36,"72,026",-8.09,"14,733",-43.34,-,-,"96,799",3.59,"65,068",-13.21
2001M07,"1,568,934",-2.63,"591,905",-8.11,409,-32.51,-,-,"4,779",-29.18,"8,825",-23.90,"30,174",1.52,"665,641",-1.41,-,-,"16,441",0.76,"250,760",10.50,"1,318,474",-1.99,"7,647",25.26,"113,132",-3.49,"235,154",-0.94,"203,665",-10.66,"758,876",0.31,"72,854",-7.61,"13,080",-21.32,-,-,"100,231",5.77,"64,295",-15.13
2001M08,"1,564,783",-2.63,"586,736",-8.55,381,-41.29,-,-,"3,614",-41.09,"8,811",-25.75,"30,197",0.72,"670,094",-0.99,-,-,"14,396",-2.00,"250,554",11.16,"1,316,572",-2.00,"5,023",-18.97,"113,059",-3.15,"236,104",0.45,"202,574",-10.71,"759,812",0.17,"70,123",-10.23,"14,976",-14.72,-,-,"98,526",7.52,"64,586",-15.42
2001M09,"1,471,696",-8.49,"560,871",-12.32,388,-0.51,-,-,"3,266",-36.79,"8,106",-29.83,"27,632",-7.27,"642,700",-4.74,-,-,"12,755",-13.40,"215,978",-7.00,"1,230,087",-8.00,"5,503",-8.69,"105,012",-9.09,"224,354",-2.80,"183,268",-18.51,"711,950",-6.29,"66,984",-14.33,"2,077",-88.72,-,-,"87,572",-10.67,"84,976",10.90
2001M10,"1,485,734",-6.94,"555,968",-13.14,383,-3.28,-,-,"3,176",-27.72,"7,989",-30.91,"23,373",-20.90,"648,812",-2.49,-,-,"13,503",-11.02,"232,530",1.13,"1,232,513",-7.40,"4,983",-16.17,"107,168",-6.70,"228,516",-0.73,"181,324",-18.33,"710,522",-6.26,"65,841",-12.46,"1,171",-93.92,-,-,"101,027",6.36,"85,182",12.04
2001M11,"1,469,485",-7.31,"550,817",-13.48,384,-41.10,-,-,"3,426",-25.51,"7,606",-34.77,"20,994",-31.14,"654,160",-0.53,-,-,"13,889",-7.52,"218,209",-4.56,"1,231,306",-6.77,"4,906",-17.32,"108,210",-5.31,"232,457",1.30,"178,238",-18.09,"707,495",-6.10,"66,276",-10.50,"1,463",-92.68,-,-,"85,450",-9.33,"84,990",11.42
2001M12,"1,474,309",-6.72,"547,766",-13.75,379,-9.98,-,-,"3,670",-22.43,"7,671",-34.23,"20,566",-33.48,"661,060",0.82,-,-,"13,743",-6.77,"219,454",-3.44,"1,240,887",-5.85,"5,404",-24.20,"112,888",-2.09,"242,468",3.68,"176,335",-17.91,"703,792",-5.78,"64,381",-13.39,"4,542",-82.58,-,-,"84,169",-6.77,"80,330",11.79
2002M01,"1,474,550",-6.76,"537,864",-14.35,379,-15.40,-,-,"4,025",-6.94,"7,422",-36.31,"20,732",-31.93,"661,923",1.27,-,-,"20,885",8.15,"221,320",-5.29,"1,246,214",-6.01,"5,186",-9.73,"114,825",-0.90,"250,791",4.07,"174,305",-18.02,"701,107",-6.60,"62,080",-13.45,"1,985",-90.10,-,-,"83,514",-9.99,"80,757",13.62
2002M02,"1,478,948",-7.03,"529,660",-14.78,386,-8.10,-,-,"3,266",-28.66,"7,119",-39.05,"21,092",-31.40,"674,782",2.29,-,-,"15,200",-3.95,"227,443",-7.66,"1,255,128",-5.49,"6,174",-10.42,"114,677",-0.76,"257,605",8.05,"174,614",-18.47,"702,058",-6.78,"57,609",-20.27,872,-94.69,-,-,"84,699",-18.02,"80,640",14.12
