期間,資產合計=負債淨值合計_原始值,資產合計=負債淨值合計_年增率(%),資產--國外資產_原始值,資產--國外資產_年增率(%),資產--放款_原始值,資產--放款_年增率(%),資產--對非金融機構證券投資-政府機關_原始值,資產--對非金融機構證券投資-政府機關_年增率(%),資產--對非金融機構證券投資-公營事業_原始值,資產--對非金融機構證券投資-公營事業_年增率(%),資產--對非金融機構證券投資-民營企業_原始值,資產--對非金融機構證券投資-民營企業_年增率(%),資產--對金融機構證券投資_原始值,資產--對金融機構證券投資_年增率(%),資產--對金融機構債權-中央銀行_原始值,資產--對金融機構債權-中央銀行_年增率(%),資產--對金融機構債權-其他貨幣機構_原始值,資產--對金融機構債權-其他貨幣機構_年增率(%),資產--對金融機構債權-人壽保險公司等_原始值,資產--對金融機構債權-人壽保險公司等_年增率(%),資產--庫存現金_原始值,資產--庫存現金_年增率(%),資產--其他資產_原始值,資產--其他資產_年增率(%),負債與淨值--國外負債_原始值,負債與淨值--國外負債_年增率(%),負債與淨值--郵政儲金-劃撥_原始值,負債與淨值--郵政儲金-劃撥_年增率(%),負債與淨值--郵政儲金-存簿_原始值,負債與淨值--郵政儲金-存簿_年增率(%),負債與淨值--郵政儲金-定期_原始值,負債與淨值--郵政儲金-定期_年增率(%),負債與淨值--對金融機構負債-中央銀行_原始值,負債與淨值--對金融機構負債-中央銀行_年增率(%),負債與淨值--對金融機構負債-其他貨幣機構_原始值,負債與淨值--對金融機構負債-其他貨幣機構_年增率(%),負債與淨值--對金融機構負債-人壽保險公司等_原始值,負債與淨值--對金融機構負債-人壽保險公司等_年增率(%),負債與淨值--其他負債_原始值,負債與淨值--其他負債_年增率(%),負債與淨值--淨值_原始值,負債與淨值--淨值_年增率(%)
2005M09,"3,796,971",9.87,"153,500","1,028.76","13,785",269.97,"309,281",25.50,"7,454",-50.67,"125,267",-6.22,954,-60.03,"1,884,133",18.76,"1,210,558",-10.47,"2,475",-54.89,"15,569",16.16,"73,995",-11.31,285,-96.38,"20,574",1.44,"1,309,169",6.23,"2,291,252",13.11,-,-,"12,681",-33.96,"1,313",-1.35,"101,452",3.10,"60,245",18.87
2005M10,"3,812,291",9.55,"170,017",410.13,"13,389",96.49,"323,797",31.42,"7,454",-44.95,"118,593",-11.26,998,-56.09,"1,856,356",17.40,"1,229,891",-9.65,"2,426",-55.61,"13,532",-11.47,"75,838",-5.91,288,-94.66,"21,050",11.02,"1,299,479",4.71,"2,313,151",13.62,-,-,"23,650",504.70,"2,622",9.57,"90,496",-24.97,"61,555",19.09
2005M11,"3,830,786",8.83,"179,802",254.03,"8,833",38.97,"366,210",51.51,"10,376",-18.57,"115,847",-4.65,926,175.60,"1,833,601",12.82,"1,215,971",-10.74,"2,574",-52.36,"12,889",-0.66,"83,757",3.91,293,-87.73,"19,540",0.70,"1,296,232",5.19,"2,333,442",13.46,-,-,"31,535",711.92,"1,235",4.04,"86,647",-43.11,"61,862",19.25
2005M12,"3,839,176",8.01,"179,427",180.29,"20,612",117.04,"372,272",53.87,"10,372",-15.32,"113,008",-28.21,"5,158",328.41,"1,833,444",11.00,"1,208,561",-8.71,"2,249",-55.43,"16,654",1.70,"77,419",8.71,298,-89.07,"19,890",1.67,"1,294,188",4.81,"2,346,317",13.26,-,-,"12,522",373.60,"1,590",-21.56,"111,049",-34.77,"53,322",4.77
2006M01,"3,960,668",8.32,"185,739",164.42,"16,652",78.04,"380,482",48.48,"10,006",-16.25,"125,761",-20.03,"5,024",336.87,"1,878,363",7.49,"1,236,085",-5.83,"2,199",-56.09,"40,893",150.36,"79,464",15.50,429,94.12,"19,993",-15.00,"1,397,991",6.13,"2,370,873",13.13,-,-,"10,440",142.17,"1,009",-55.86,"90,226",-44.26,"69,707",36.18
2006M02,"3,974,714",7.84,"196,487",175.32,"13,448",54.68,"379,902",43.37,"8,555",-23.96,"122,813",-16.58,"5,013",478.20,"1,958,037",9.69,"1,189,761",-8.61,"2,097",-57.29,"17,109",-9.69,"81,492",15.60,"1,849",673.64,"24,269",4.31,"1,366,223",2.87,"2,406,005",13.33,-,-,"11,170",89.87,"4,278",75.11,"90,099",-40.09,"70,821",35.43
2006M03,"3,991,549",8.23,"200,004",159.31,"10,506",84.48,"380,211",39.05,"8,251",-7.84,"126,764",-10.58,"4,851",458.23,"1,955,029",6.61,"1,177,789",-7.02,"2,016",-56.95,"15,079",19.06,"111,049",77.98,"1,827",636.69,"18,730",-9.04,"1,357,949",3.56,"2,444,771",13.28,-,-,"10,287",112.59,"1,211",12.55,"82,602",-39.95,"74,172",36.47
2006M04,"4,033,205",9.04,"198,907",133.47,"12,417",62.38,"404,117",47.33,"8,099",-9.54,"141,002",-1.63,"7,730",581.06,"1,943,546",5.92,"1,193,630",-4.91,"2,000",-57.27,"17,832",-7.01,"103,925",61.26,303,16.99,"19,454",-3.76,"1,348,619",2.94,"2,476,679",13.75,-,-,"13,480",248.95,"1,085",-52.81,"98,137",-24.30,"75,448",36.34
2006M05,"4,031,172",8.29,"204,202",107.01,"12,203",26.05,"458,207",64.87,"7,899",-9.76,"149,719",7.07,"9,171",700.96,"1,915,066",3.55,"1,176,953",-5.96,"1,971",-56.08,"14,821",14.51,"80,960",18.70,301,18.50,"19,033",-2.34,"1,323,187",2.58,"2,516,909",14.50,-,-,"10,801",290.07,896,-21.61,"83,295",-46.10,"76,750",36.56
2006M06,"4,059,590",8.42,"208,405",89.58,"15,774",268.29,"490,017",75.61,"7,196",-0.65,"145,851",12.18,"10,963",514.86,"1,949,997",3.29,"1,117,590",-9.49,"2,038",-54.03,"15,888",18.04,"95,871",34.40,300,15.38,"19,429",-4.20,"1,315,846",2.26,"2,538,096",14.60,-,-,"13,614",-9.77,"1,587",16.01,"100,132",-32.16,"70,586",21.43
