期間,資產--放款_原始值,資產--放款_年增率(%),資產--證券投資-政府債券_原始值,資產--證券投資-政府債券_年增率(%),資產--證券投資-股份與債券等-公營事業_原始值,資產--證券投資-股份與債券等-公營事業_年增率(%),資產--證券投資-股份與債券等-民營企業_原始值,資產--證券投資-股份與債券等-民營企業_年增率(%),資產--證券投資-股份與債券等-金融機構_原始值,資產--證券投資-股份與債券等-金融機構_年增率(%),資產--不動產投資_原始值,資產--不動產投資_年增率(%),資產--對金融機構債權-中央銀行_原始值,資產--對金融機構債權-中央銀行_年增率(%),資產--對金融機構債權-其他貨幣機構_原始值,資產--對金融機構債權-其他貨幣機構_年增率(%),資產--對金融機構債權-其他金融機構_原始值,資產--對金融機構債權-其他金融機構_年增率(%),資產--庫存現金_原始值,資產--庫存現金_年增率(%),資產--其他資產_原始值,資產--其他資產_年增率(%),資產合計=負債淨值合計_原始值,資產合計=負債淨值合計_年增率(%),負債與淨值--信託資金_原始值,負債與淨值--信託資金_年增率(%),負債與淨值--對金融機構負債-中央銀行_原始值,負債與淨值--對金融機構負債-中央銀行_年增率(%),負債與淨值--對金融機構負債-其他貨幣機構_原始值,負債與淨值--對金融機構負債-其他貨幣機構_年增率(%),負債與淨值--對金融機構負債-其他金融機構_原始值,負債與淨值--對金融機構負債-其他金融機構_年增率(%),負債與淨值--其他負債_原始值,負債與淨值--其他負債_年增率(%),負債與淨值--淨值_原始值,負債與淨值--淨值_年增率(%)
1987M07,"60,896",37.13,"13,908",26.46,"5,868",-20.95,"23,486",-9.93,"12,030",214.51,"8,356",-8.33,30,900.00,"4,652",-65.42,704,...,181,32.12,"70,406",...,"200,517",73.71,"127,757",12.88,"2,538",-45.23,"30,722",8.29,730,...,"30,042",--,"8,728",--
1987M08,"62,847",39.42,"13,817",27.37,"5,731",-25.67,"21,461",-19.78,"11,618",38.95,"8,267",-9.66,13,333.33,"7,052",-35.94,742,...,136,-0.73,"70,989",...,"202,673",70.24,"132,855",13.05,"1,811",-59.31,"26,202",-0.45,380,...,"32,313",--,"9,112",--
1987M09,"64,810",42.65,"13,063",21.09,"5,581",-27.81,"18,402",-30.37,"12,437",46.85,"8,274",-8.58,9,50.00,"7,503",-29.52,"1,018",...,176,15.03,"67,626",...,"198,899",67.56,"132,603",11.32,556,-86.65,"22,225",-12.75,530,...,"30,677",--,"12,308",--
1987M10,"64,978",40.67,"15,274",49.94,"5,565",-25.16,"19,008",-21.51,"12,715",21.56,"8,242",-8.28,8,100.00,"7,073",-30.70,426,...,170,12.58,"67,528",...,"200,987",70.56,"132,884",11.93,584,-85.44,"21,036",-12.47,330,...,"32,462",--,"13,691",--
1987M11,"65,454",41.32,"14,137",1.41,"5,586",-25.22,"18,474",-22.21,"13,081",27.31,"8,320",-5.09,9,-40.00,"7,864",5.29,855,...,168,13.51,"67,382",...,"201,330",70.41,"135,413",17.30,589,-83.97,"18,380",-33.03,330,...,"33,406",--,"13,212",--
1987M12,"71,001",45.02,"15,112",12.94,"4,252",-38.71,"18,327",-23.93,"14,100",36.59,"8,124",-12.25,8,-27.27,"7,379",29.52,570,...,199,13.07,"64,704",...,"203,776",71.47,"136,970",16.74,803,-76.83,"21,954",-19.32,230,...,"34,845",--,"8,974",--
1988M01,"69,989",40.88,"14,707",10.60,"5,193",-24.51,"18,123",-25.37,"13,451",24.48,"7,610",-17.49,18,125.00,"6,542",58.59,910,-13.42,173,0.58,"61,531",-15.58,"198,247",67.33,"136,713",16.04,583,-84.20,"19,318",-33.26,230,-77.67,"31,397",-1.79,"10,006",--
1988M02,"70,776",38.53,"14,935",18.88,"4,949",-23.90,"18,069",-23.99,"12,495",6.48,"7,537",-16.84,13,44.44,"7,816",86.67,397,-60.73,197,38.73,"61,701",-17.13,"198,885",67.04,"136,496",13.33,575,-81.69,"19,604",-31.27,230,-75.53,"31,509",-4.64,"10,471",--
1988M03,"72,312",37.50,"17,393",41.52,"4,715",-23.11,"18,049",-23.83,"12,396",-1.71,"7,352",-17.91,8,-33.33,"7,070",56.94,803,-19.22,185,32.14,"60,494",-18.26,"200,777",66.02,"136,338",9.96,533,-82.85,"21,571",-22.45,650,-30.11,"30,669",-9.75,"11,016",--
1988M04,"74,578",38.62,"18,736",53.65,"5,118",-16.71,"18,428",-20.74,"11,042",-11.90,"7,302",-16.77,6,-40.00,"5,459",17.42,584,-42.46,165,25.95,"60,969",-15.38,"202,387",66.59,"137,634",10.49,536,-81.64,"20,252",-24.62,100,-89.36,"31,842",-3.11,"12,023",--
