期間,資產--國外資產_原始值,資產--國外資產_年增率(%),資產--放款_原始值,資產--放款_年增率(%),資產--對非金融機構證券投資-政府機關_原始值,資產--對非金融機構證券投資-政府機關_年增率(%),資產--對非金融機構證券投資-公營事業_原始值,資產--對非金融機構證券投資-公營事業_年增率(%),資產--對非金融機構證券投資-民營企業_原始值,資產--對非金融機構證券投資-民營企業_年增率(%),資產--對金融機構證券投資_原始值,資產--對金融機構證券投資_年增率(%),資產--不動產投資_原始值,資產--不動產投資_年增率(%),資產--對金融機構債權_原始值,資產--對金融機構債權_年增率(%),資產--庫存現金_原始值,資產--庫存現金_年增率(%),資產--其他資產_原始值,資產--其他資產_年增率(%),資產合計=負債淨值合計_原始值,資產合計=負債淨值合計_年增率(%),負債與淨值--人壽保險準備_原始值,負債與淨值--人壽保險準備_年增率(%),負債與淨值--其他負債_原始值,負債與淨值--其他負債_年增率(%),負債與淨值--淨值_原始值,負債與淨值--淨值_年增率(%)
2010M01,"2,930,650",22.07,"1,183,582",-4.97,"2,007,868",10.08,"132,063",90.21,"1,165,888",10.39,"656,556",52.82,"393,779",19.96,"779,916",26.08,560,-35.48,"1,622,075",27.79,"10,872,937",17.64,"9,107,500",14.30,"1,359,529",21.52,"405,908",160.66
2010M02,"2,974,027",19.89,"1,180,603",-4.42,"2,041,159",12.03,"137,580",95.27,"1,155,713",4.27,"656,746",53.30,"396,350",20.68,"801,263",20.05,570,-12.04,"1,605,584",28.10,"10,949,595",16.55,"9,195,234",13.90,"1,363,030",18.73,"391,331",124.62
2010M03,"2,997,073",23.57,"1,181,101",-3.71,"2,067,125",13.26,"139,025",94.66,"1,185,260",0.38,"673,131",60.96,"400,141",24.24,"867,945",22.90,519,-34.88,"1,639,049",26.73,"11,150,369",17.74,"9,328,456",14.21,"1,415,011",27.70,"406,902",109.97
2010M04,"3,082,687",28.77,"1,175,053",-3.70,"2,098,991",14.98,"140,321",92.39,"1,160,934",-3.47,"667,671",58.14,"406,034",20.09,"853,168",14.23,502,-23.12,"1,673,106",21.94,"11,258,467",17.33,"9,439,960",14.54,"1,400,928",24.48,"417,579",83.25
2010M05,"3,162,246",29.46,"1,178,490",-3.32,"2,131,713",16.14,"142,563",87.29,"1,156,707",-4.80,"663,402",56.87,"402,593",16.58,"881,428",14.70,524,-24.93,"1,624,474",11.55,"11,344,140",15.97,"9,554,036",15.02,"1,409,364",19.31,"380,740",29.36
2010M06,"3,180,503",24.82,"1,179,713",-2.89,"2,146,810",9.75,"146,477",97.43,"1,147,333",8.57,"678,999",53.94,"400,133",14.81,"968,477",27.98,511,-11.59,"1,587,418",8.62,"11,436,374",16.01,"9,661,812",15.16,"1,386,041",17.08,"388,521",36.68
2010M07,"3,280,096",25.29,"1,185,238",-1.67,"2,144,439",7.78,"154,880",90.67,"1,224,103",9.67,"659,780",50.12,"401,893",14.02,"945,951",28.19,488,-16.30,"1,676,079",7.88,"11,672,947",15.64,"9,762,653",15.19,"1,464,019",14.93,"446,275",29.33
2010M08,"3,393,234",25.50,"1,183,497",-1.66,"2,183,563",8.12,"169,112",101.96,"1,213,887",10.82,"678,913",54.63,"401,641",9.39,"918,822",25.15,471,-16.93,"1,699,528",8.84,"11,842,668",16.01,"9,877,954",15.49,"1,496,046",14.88,"468,668",32.64
2010M09,"3,441,098",26.11,"1,178,067",-1.93,"2,174,606",7.36,"167,680",100.02,"1,297,432",11.14,"669,773",52.02,"412,809",10.89,"868,951",20.38,469,-15.50,"1,752,692",7.59,"11,963,577",15.36,"9,975,050",15.35,"1,475,526",12.43,"513,001",24.86
2010M10,"3,429,308",20.32,"1,181,573",-1.09,"2,156,456",7.33,"179,759",95.08,"1,316,501",13.33,"679,450",47.22,"416,585",8.01,"889,115",24.50,486,-13.21,"1,798,399",10.28,"12,047,632",14.73,"10,053,182",15.00,"1,491,313",9.43,"503,137",27.05
2010M11,"3,488,461",20.36,"1,182,953",-0.73,"2,160,678",8.75,"179,986",92.64,"1,319,633",11.13,"677,650",45.50,"413,907",5.18,"878,001",24.01,519,-8.47,"1,751,624",4.37,"12,053,412",13.67,"10,136,037",14.67,"1,436,021",5.61,"481,354",19.04
2010M12,"3,474,118",20.44,"1,181,451",-0.69,"2,170,591",10.50,"185,371",70.96,"1,306,663",8.91,"705,069",43.75,"412,611",5.08,"906,655",2.12,472,-10.78,"1,806,711",7.95,"12,149,712",12.58,"10,224,292",13.95,"1,436,523",4.05,"488,897",11.59
2011M01,"3,483,863",18.88,"1,181,014",-0.22,"2,173,306",8.24,"189,178",43.25,"1,335,621",14.56,"694,303",5.75,"416,737",5.83,"921,403",18.14,486,-13.21,"1,831,230",12.89,"12,227,141",12.45,"10,296,850",13.06,"1,450,171",6.67,"480,120",18.28
2011M02,"3,639,444",22.37,"1,174,150",-0.55,"2,203,137",7.94,"186,533",35.58,"1,326,488",14.78,"696,858",6.11,"420,227",6.02,"900,185",12.35,485,-14.91,"1,808,657",12.65,"12,356,164",12.85,"10,367,754",12.75,"1,526,573",12.00,"461,837",18.02
2011M03,"3,726,438",24.34,"1,169,747",-0.96,"2,214,955",7.15,"173,939",25.11,"1,342,021",13.23,"719,957",6.96,"420,388",5.06,"831,595",-4.19,432,-16.76,"1,860,449",13.51,"12,459,921",11.74,"10,429,955",11.81,"1,580,588",11.70,"449,378",10.44
2011M04,"3,712,049",20.42,"1,170,247",-0.41,"2,240,003",6.72,"189,386",34.97,"1,345,966",15.94,"720,970",7.98,"425,551",4.81,"803,957",-5.77,568,13.15,"1,902,673",13.72,"12,511,370",11.13,"10,484,456",11.06,"1,564,356",11.67,"462,558",10.77
2011M05,"3,799,176",20.14,"1,175,293",-0.27,"2,256,663",5.86,"182,933",28.32,"1,363,093",17.84,"735,303",10.84,"426,244",5.87,"774,342",-12.15,430,-17.94,"1,857,054",14.32,"12,570,531",10.81,"10,551,546",10.44,"1,541,498",9.38,"477,487",25.41
2011M06,"3,853,663",21.17,"1,177,703",-0.17,"2,271,944",5.83,"189,052",29.07,"1,286,854",12.16,"729,963",7.51,"433,789",8.41,"845,565",-12.69,449,-12.13,"1,787,827",12.62,"12,576,809",9.97,"10,622,767",9.95,"1,499,129",8.16,"454,913",17.09
2011M07,"3,933,425",19.92,"1,174,731",-0.89,"2,271,255",5.91,"197,521",27.53,"1,413,572",15.48,"730,905",10.78,"432,720",7.67,"757,293",-19.94,438,-10.25,"1,817,607",8.44,"12,729,467",9.05,"10,703,079",9.63,"1,552,508",6.04,"473,880",6.19
2011M08,"3,915,224",15.38,"1,177,382",-0.52,"2,295,739",5.14,"193,267",14.28,"1,380,847",13.75,"725,776",6.90,"432,076",7.58,"836,612",-8.95,419,-11.04,"1,719,619",1.18,"12,676,961",7.04,"10,792,616",9.26,"1,466,925",-1.95,"417,420",-10.93
2011M09,"4,125,852",19.90,"1,181,441",0.29,"2,309,275",6.19,"202,421",20.72,"1,342,727",3.49,"701,246",4.70,"431,763",4.59,"865,187",-0.43,691,47.33,"1,702,021",-2.89,"12,862,624",7.51,"10,883,643",9.11,"1,603,813",8.69,"375,168",-26.87
2011M10,"4,164,402",21.44,"1,185,060",0.30,"2,298,978",6.61,"207,066",15.19,"1,374,007",4.37,"693,962",2.14,"433,603",4.09,"823,535",-7.38,435,-10.49,"1,734,221",-3.57,"12,915,269",7.20,"10,961,530",9.04,"1,532,735",2.78,"421,004",-16.32
2011M11,"4,185,122",19.97,"1,190,402",0.63,"2,336,766",8.15,"206,180",14.55,"1,333,642",1.06,"695,900",2.69,"464,786",12.29,"821,284",-6.46,435,-16.18,"1,700,139",-2.94,"12,934,656",7.31,"11,065,921",9.17,"1,515,566",5.54,"353,169",-26.63
2011M12,"4,247,567",22.26,"1,193,671",1.03,"2,387,637",10.00,"215,074",16.02,"1,327,600",1.60,"684,874",-2.86,"464,517",12.58,"879,640",-2.98,434,-8.05,"1,654,621",-8.42,"13,055,635",7.46,"11,182,235",9.37,"1,442,404",0.41,"430,996",-11.84
2012M01,"4,269,338",22.55,"1,189,887",0.75,"2,375,376",9.30,"213,074",12.63,"1,410,780",5.63,"690,934",-0.49,"468,436",12.41,"909,506",-1.29,427,-12.14,"1,795,689",-1.94,"13,323,447",8.97,"11,318,053",9.92,"1,528,385",5.39,"477,009",-0.65
2012M02,"4,334,143",19.09,"1,188,136",1.19,"2,383,877",8.20,"211,367",13.31,"1,489,257",12.27,"689,989",-0.99,"473,780",12.74,"883,277",-1.88,419,-13.61,"1,820,921",0.68,"13,475,166",9.06,"11,423,635",10.18,"1,529,021",0.16,"522,510",13.14
2012M03,"4,387,778",17.75,"1,187,376",1.51,"2,388,333",7.83,"212,574",22.21,"1,519,636",13.23,"694,035",-3.60,"475,334",13.07,"916,494",10.21,389,-9.95,"1,765,661",-5.09,"13,547,610",8.73,"11,540,354",10.65,"1,522,624",-3.67,"484,632",7.85
2012M04,"4,336,396",16.82,"1,189,946",1.68,"2,422,341",8.14,"216,586",14.36,"1,542,926",14.63,"702,627",-2.54,"477,424",12.19,"932,896",16.04,392,-30.99,"1,813,341",-4.70,"13,634,875",8.98,"11,636,636",10.99,"1,544,789",-1.25,"453,450",-1.97
2012M05,"4,518,737",18.94,"1,195,620",1.73,"2,434,728",7.89,"209,472",14.51,"1,533,261",12.48,"710,581",-3.36,"488,976",14.72,"911,379",17.70,376,-12.56,"1,723,492",-7.19,"13,726,622",9.20,"11,776,817",11.61,"1,514,621",-1.74,"435,184",-8.86
2012M06,"4,591,538",19.15,"1,204,399",2.27,"2,405,786",5.89,"219,192",15.94,"1,552,813",20.67,"743,100",1.80,"493,422",13.75,"952,193",12.61,400,-10.91,"1,692,733",-5.32,"13,855,576",10.17,"11,918,060",12.19,"1,488,898",-0.68,"448,618",-1.38
2012M07,"4,791,141",21.81,"1,207,304",2.77,"2,398,275",5.59,"216,344",9.53,"1,550,536",9.69,"750,532",2.69,"497,239",14.91,"965,535",27.50,405,-7.53,"1,767,027",-2.78,"14,144,338",11.11,"12,094,981",13.00,"1,553,409",0.06,"495,948",4.66
2012M08,"4,832,395",23.43,"1,208,466",2.64,"2,423,056",5.55,"225,276",16.56,"1,574,903",14.05,"754,904",4.01,"497,469",15.13,"976,060",16.67,399,-4.77,"1,763,449",2.55,"14,256,377",12.46,"12,175,110",12.81,"1,548,266",5.55,"533,001",27.69
2012M09,"4,884,512",18.39,"1,207,964",2.24,"2,399,022",3.89,"229,758",13.51,"1,556,285",15.90,"761,705",8.62,"511,983",18.58,"961,366",11.12,382,-44.72,"1,818,898",6.87,"14,331,875",11.42,"12,227,701",12.35,"1,540,687",-3.94,"563,487",50.20
2012M10,"4,956,932",19.03,"1,217,671",2.75,"2,399,802",4.39,"228,681",10.44,"1,518,369",10.51,"774,260",11.57,"514,607",18.68,"943,066",14.51,414,-4.83,"1,856,722",7.06,"14,410,524",11.58,"12,322,289",12.41,"1,570,712",2.48,"517,523",22.93
2012M11,"5,012,678",19.77,"1,226,657",3.05,"2,415,161",3.35,"228,868",11.00,"1,556,468",16.71,"782,775",12.48,"544,132",17.07,"950,610",15.75,410,-5.75,"1,864,116",9.64,"14,581,875",12.73,"12,422,331",12.26,"1,607,048",6.04,"552,496",56.44
2012M12,"5,128,799",20.75,"1,244,507",4.26,"2,428,120",1.70,"235,776",9.63,"1,503,114",13.22,"808,836",18.10,"551,654",18.76,"965,800",9.79,400,-7.83,"1,848,486",11.72,"14,715,492",12.71,"12,547,269",12.21,"1,577,228",9.35,"590,995",37.12
2013M01,"5,415,277",26.84,"1,249,404",5.00,"2,438,305",2.65,"232,118",8.94,"1,542,993",9.37,"836,306",21.04,"637,357",36.06,"868,216",-4.54,403,-5.62,"2,061,002",14.77,"15,281,381",14.70,"12,805,465",13.14,"1,862,805",21.88,"613,111",28.53
2013M02,"5,469,271",26.19,"1,252,922",5.45,"2,434,161",2.11,"231,634",9.59,"1,566,853",5.21,"838,339",21.50,"639,101",34.89,"844,944",-4.34,407,-2.86,"1,980,653",8.77,"15,258,285",13.23,"12,888,302",12.82,"1,759,299",15.06,"610,684",16.88
2013M03,"5,564,657",26.82,"1,280,737",7.86,"2,410,015",0.91,"223,097",4.95,"1,578,126",3.85,"851,569",22.70,"637,598",34.14,"819,911",-10.54,389,0.00,"1,946,508",10.24,"15,312,607",13.03,"12,995,193",12.61,"1,727,385",13.45,"590,029",21.75
2013M04,"5,601,791",29.18,"1,295,197",8.85,"2,429,924",0.31,"223,585",3.23,"1,659,279",7.54,"847,920",20.68,"642,247",34.52,"863,427",-7.45,394,0.51,"1,998,883",10.23,"15,562,647",14.14,"13,090,756",12.50,"1,736,295",12.40,"735,596",62.22
2013M05,"5,711,091",26.39,"1,314,293",9.93,"2,433,129",-0.07,"231,185",10.37,"1,727,145",12.65,"861,298",21.21,"641,588",31.21,"794,233",-12.85,377,0.27,"1,971,304",14.38,"15,685,643",14.27,"13,200,780",12.09,"1,783,596",17.76,"701,267",61.14
2013M06,"5,602,817",22.02,"1,337,986",11.09,"2,450,224",1.85,"224,677",2.50,"1,761,207",13.42,"856,878",15.31,"643,794",30.48,"801,003",-15.88,414,3.50,"1,914,724",13.11,"15,593,724",12.54,"13,307,813",11.66,"1,668,385",12.06,"617,526",37.65
2013M07,"5,778,524",20.61,"1,362,877",12.89,"2,406,998",0.36,"232,712",7.57,"1,762,601",13.68,"837,689",11.61,"645,558",29.83,"764,160",-20.86,388,-4.20,"1,944,748",10.06,"15,736,255",11.25,"13,457,844",11.27,"1,685,785",8.52,"592,626",19.49
2013M08,"5,782,670",19.66,"1,375,313",13.81,"2,404,028",-0.79,"229,043",1.67,"1,774,114",12.65,"841,832",11.52,"643,215",29.30,"765,374",-21.59,368,-7.77,"1,914,447",8.56,"15,730,404",10.34,"13,555,394",11.34,"1,623,706",4.87,"551,304",3.43
2013M09,"5,909,530",20.99,"1,390,889",15.14,"2,403,977",0.21,"226,552",-1.40,"1,751,232",12.53,"844,848",10.92,"644,181",25.82,"760,248",-20.92,387,1.31,"1,978,276",8.76,"15,910,120",11.01,"13,659,639",11.71,"1,663,034",7.94,"587,447",4.25
