期間,本國銀行-支票存款-借記總額(新台幣百萬元)_原始值,本國銀行-支票存款-借記總額(新台幣百萬元)_年增率(%),本國銀行-支票存款-按年計算之回轉次數(次)_原始值,本國銀行-支票存款-按年計算之回轉次數(次)_年增率(%),本國銀行-活期存款-借記總額(新台幣百萬元)_原始值,本國銀行-活期存款-借記總額(新台幣百萬元)_年增率(%),本國銀行-活期存款-按年計算之回轉次數(次)_原始值,本國銀行-活期存款-按年計算之回轉次數(次)_年增率(%),本國銀行-活期儲蓄存款-借記總額(新台幣百萬元)_原始值,本國銀行-活期儲蓄存款-借記總額(新台幣百萬元)_年增率(%),本國銀行-活期儲蓄存款-按年計算之回轉次數(次)_原始值,本國銀行-活期儲蓄存款-按年計算之回轉次數(次)_年增率(%),票據交換及存款不足退票數額-交換-張數(張)_原始值,票據交換及存款不足退票數額-交換-張數(張)_年增率(%),票據交換及存款不足退票數額-交換-金額(新台幣百萬元)_原始值,票據交換及存款不足退票數額-交換-金額(新台幣百萬元)_年增率(%),票據交換及存款不足退票數額-存款不足退票-張數(張)_原始值,票據交換及存款不足退票數額-存款不足退票-張數(張)_年增率(%),票據交換及存款不足退票數額-存款不足退票-金額(新台幣百萬元)_原始值,票據交換及存款不足退票數額-存款不足退票-金額(新台幣百萬元)_年增率(%),票據交換及存款不足退票數額-退票張數比率(%)_原始值,票據交換及存款不足退票數額-退票張數比率(%)_年增率(%),票據交換及存款不足退票數額-退票金額比率(%)_原始值,票據交換及存款不足退票數額-退票金額比率(%)_年增率(%)
2005M09,"8,139,384",6.63,324.7,11.67,"10,362,585",3.25,82.1,-11.13,"4,410,061",3.73,12.3,-9.86,"14,299,491",-3.31,"2,025,360",-5.21,"56,455",5.23,"13,763",2.85,0.39,8.33,0.68,7.94
2005M10,"7,356,060",4.52,320.4,23.66,"9,907,304",3.86,84.7,0.48,"4,349,922",4.15,12.9,1.13,"13,535,686",25.79,"1,956,484",8.04,"58,014",36.72,"12,520",25.83,0.43,10.26,0.64,16.36
2005M11,"7,540,614",-1.14,305.2,13.42,"10,358,817",2.74,81.6,-4.10,"4,426,169",2.00,11.9,-5.66,"13,543,592",-17.15,"2,032,066",-10.53,"58,050",-5.24,"12,458",-10.29,0.43,16.22,0.61,0.00
2005M12,"8,372,286",0.87,320.6,17.35,"12,627,774",14.76,94.0,10.26,"5,324,001",-26.42,14.1,-28.99,"10,815,954",-21.22,"2,015,639",-10.44,"52,051",0.16,"12,349",-11.66,0.48,26.32,0.61,-1.61
2006M01,"8,824,546",11.31,340.0,25.75,"12,871,998",25.52,105.9,23.73,"5,801,339",33.34,16.4,28.37,"13,137,938",-0.73,"2,103,173",-0.14,"53,925",16.80,"11,315",5.34,0.41,17.14,0.54,5.88
2006M02,"6,281,027",16.13,311.1,18.84,"8,956,622",16.17,89.6,-6.69,"4,107,272",18.90,13.6,-0.13,"11,015,828",31.32,"1,689,965",21.36,"52,644",72.99,"10,272",43.97,0.48,33.33,0.61,19.61
2006M03,"8,134,605",-0.42,330.6,23.24,"11,689,566",2.04,92.9,5.11,"5,210,287",5.24,13.5,5.51,"15,892,055",-1.99,"2,351,234",1.94,"75,265",22.24,"15,117",11.93,0.47,23.68,0.64,8.47
2006M04,"7,171,026",4.09,335.4,6.82,"10,802,828",16.71,96.2,17.19,"4,826,771",16.82,14.4,16.28,"8,934,727",-4.71,"1,680,825",-0.47,"46,184",20.79,"10,295",18.12,0.52,26.83,0.61,17.31
2006M05,"8,069,908",1.96,332.3,-0.77,"12,215,762",21.93,96.0,12.70,"5,635,811",26.13,15.0,16.75,"12,923,236",-16.20,"2,077,130",-3.67,"64,333",8.58,"12,616",-0.98,0.50,31.58,0.61,3.39
2006M06,"8,186,184",-3.76,332.9,-5.44,"11,288,951",-6.41,85.7,-12.16,"5,138,528",9.11,13.4,4.51,"14,713,538",17.10,"2,228,942",3.76,"75,873",47.99,"17,295",40.51,0.52,26.83,0.78,36.84
2006M07,"7,497,387",-3.41,309.5,-7.15,"10,467,936",-2.37,81.6,-10.41,"4,869,336",3.24,13.4,-3.99,"12,396,243",21.30,"2,020,639",10.63,"65,852",53.14,"13,470",40.50,0.53,26.19,0.67,28.85
2006M08,"8,353,720",-4.12,316.8,-4.69,"11,015,828",-3.20,77.6,-9.17,"5,296,663",4.89,13.3,-1.67,"13,011,472",-23.11,"2,057,497",-10.82,"64,880",-2.18,"13,362",-3.66,0.50,28.21,0.65,8.33
2006M09,"7,898,672",-2.96,319.9,-1.48,"10,758,631",3.82,80.9,-1.40,"4,573,392",3.70,12.2,-1.09,"9,966,591",-30.30,"1,776,926",-12.27,"48,741",-13.66,"10,241",-25.59,0.49,25.64,0.58,-14.71
2006M10,"7,704,061",4.73,327.4,2.19,"11,113,440",12.17,87.4,3.15,"5,452,202",25.34,15.1,17.78,"15,001,795",10.83,"2,095,176",7.09,"76,741",32.28,"16,189",29.31,0.51,18.60,0.77,20.31
2006M11,"7,877,546",4.47,313.6,2.77,"11,455,114",10.58,82.7,1.35,"5,118,358",15.64,12.9,8.62,"12,612,483",-6.87,"1,997,444",-1.70,"57,684",-0.63,"11,897",-4.50,0.46,6.98,0.60,-1.64
2006M12,"8,039,621",-3.97,318.9,-0.51,"12,875,698",1.96,94.2,0.26,"5,714,998",7.34,14.8,5.48,"9,594,449",-11.29,"1,800,399",-10.68,"45,087",-13.38,"10,245",-17.04,0.47,-2.08,0.57,-6.56
2007M01,"8,487,280",-3.82,315.1,-7.32,"13,448,739",4.48,91.7,-13.39,"6,415,318",10.58,15.5,-5.16,"15,401,769",17.23,"2,242,314",6.62,"69,178",28.29,"16,055",41.89,0.45,9.76,0.72,33.33
2007M02,"5,348,626",-14.84,304.9,-1.98,"8,606,918",-3.90,94.6,5.55,"3,975,675",-3.20,14.9,9.23,"8,248,355",-25.12,"1,319,021",-21.95,"34,615",-34.25,"7,624",-25.78,0.42,-12.50,0.58,-4.92
2007M03,"8,062,216",-0.89,303.4,-8.24,"13,101,910",12.08,88.4,-4.93,"5,863,880",12.54,13.4,-0.85,"12,522,430",-21.20,"1,976,118",-15.95,"57,483",-23.63,"11,941",-21.01,0.46,-2.13,0.60,-6.25
2007M04,"7,534,713",5.07,316.4,-5.67,"11,569,969",7.10,89.0,-7.48,"5,464,171",13.21,14.3,-0.58,"13,270,104",48.52,"1,889,726",12.43,"60,205",30.36,"12,562",22.02,0.45,-13.46,0.66,8.20
2007M05,"7,737,998",-4.11,296.8,-10.68,"11,972,726",-1.99,82.9,-13.58,"5,396,689",-4.24,12.8,-14.86,"12,168,948",-5.84,"1,936,824",-6.75,"50,039",-22.22,"10,805",-14.35,0.41,-18.00,0.56,-8.20
2007M06,"7,891,861",-3.60,340.9,2.39,"13,278,215",17.62,103.7,21.03,"5,898,614",14.79,15.4,15.08,"8,817,851",-40.07,"1,694,338",-23.98,"38,515",-49.24,"9,063",-47.60,0.44,-15.38,0.53,-32.05
2007M07,"8,927,657",19.08,338.2,9.28,"17,078,896",63.15,113.8,39.45,"8,049,800",65.32,18.8,40.28,"14,634,090",18.05,"2,214,248",9.58,"61,533",-6.56,"13,467",-0.02,0.42,-20.75,0.61,-8.96
2007M08,"8,581,585",2.73,312.1,-1.47,"15,970,400",44.98,98.3,26.62,"7,263,688",37.14,16.3,23.03,"12,244,293",-5.90,"1,968,862",-4.31,"50,736",-21.80,"14,040",5.07,0.41,-18.00,0.71,9.23
2007M09,"7,102,380",-10.08,326.2,1.98,"12,069,653",12.19,94.8,17.18,"5,812,522",27.09,16.9,38.49,"9,078,707",-8.91,"1,532,502",-13.76,"40,027",-17.88,"9,012",-12.00,0.44,-10.20,0.59,1.72
