期間,金融機構準備金-應提準備之存款合計(新台幣百萬元)_原始值,金融機構準備金-應提準備之存款合計(新台幣百萬元)_年增率(%),金融機構準備金-應提準備(新台幣百萬元)_原始值,金融機構準備金-應提準備(新台幣百萬元)_年增率(%),金融機構準備金-實際準備-合計(新台幣百萬元)_原始值,金融機構準備金-實際準備-合計(新台幣百萬元)_年增率(%),金融機構準備金-實際準備-存放央行(新台幣百萬元)_原始值,金融機構準備金-實際準備-存放央行(新台幣百萬元)_年增率(%),金融機構準備金-實際準備-存放其他行庫及跨行專戶(新台幣百萬元)_原始值,金融機構準備金-實際準備-存放其他行庫及跨行專戶(新台幣百萬元)_年增率(%),金融機構準備金-實際準備-庫存現金(新台幣百萬元)_原始值,金融機構準備金-實際準備-庫存現金(新台幣百萬元)_年增率(%),金融機構準備金-超額準備(新台幣百萬元)_原始值,金融機構準備金-超額準備(新台幣百萬元)_年增率(%),金融機構準備金-由央行融通(新台幣百萬元)_原始值,金融機構準備金-由央行融通(新台幣百萬元)_年增率(%),其他貨幣機構流動比率與流動準備-應提流動準備基礎(新台幣百萬元)_原始值,其他貨幣機構流動比率與流動準備-應提流動準備基礎(新台幣百萬元)_年增率(%),其他貨幣機構流動比率與流動準備-法定比率(%)_原始值,其他貨幣機構流動比率與流動準備-法定比率(%)_年增率(%),其他貨幣機構流動比率與流動準備-法定流動準備(新台幣百萬元)_原始值,其他貨幣機構流動比率與流動準備-法定流動準備(新台幣百萬元)_年增率(%),其他貨幣機構流動比率與流動準備-實際流動準備-合計(新台幣百萬元)_原始值,其他貨幣機構流動比率與流動準備-實際流動準備-合計(新台幣百萬元)_年增率(%),其他貨幣機構流動比率與流動準備-實際流動準備-超額準備(新台幣百萬元)_原始值,其他貨幣機構流動比率與流動準備-實際流動準備-超額準備(新台幣百萬元)_年增率(%),其他貨幣機構流動比率與流動準備-實際流動準備-銀行互拆借差(新台幣百萬元)_原始值,其他貨幣機構流動比率與流動準備-實際流動準備-銀行互拆借差(新台幣百萬元)_年增率(%),其他貨幣機構流動比率與流動準備-實際流動準備-國庫券(新台幣百萬元)_原始值,其他貨幣機構流動比率與流動準備-實際流動準備-國庫券(新台幣百萬元)_年增率(%),其他貨幣機構流動比率與流動準備-實際流動準備-央行定期存單(新台幣百萬元)_原始值,其他貨幣機構流動比率與流動準備-實際流動準備-央行定期存單(新台幣百萬元)_年增率(%),其他貨幣機構流動比率與流動準備-實際流動準備-可轉讓定期存單淨額(新台幣百萬元)_原始值,其他貨幣機構流動比率與流動準備-實際流動準備-可轉讓定期存單淨額(新台幣百萬元)_年增率(%),其他貨幣機構流動比率與流動準備-實際流動準備-銀行承兌匯票(新台幣百萬元)_原始值,其他貨幣機構流動比率與流動準備-實際流動準備-銀行承兌匯票(新台幣百萬元)_年增率(%),其他貨幣機構流動比率與流動準備-實際流動準備-商業本票(新台幣百萬元)_原始值,其他貨幣機構流動比率與流動準備-實際流動準備-商業本票(新台幣百萬元)_年增率(%),其他貨幣機構流動比率與流動準備-實際流動準備-公債(新台幣百萬元)_原始值,其他貨幣機構流動比率與流動準備-實際流動準備-公債(新台幣百萬元)_年增率(%),其他貨幣機構流動比率與流動準備-實際流動準備-公司債(新台幣百萬元)_原始值,其他貨幣機構流動比率與流動準備-實際流動準備-公司債(新台幣百萬元)_年增率(%),其他貨幣機構流動比率與流動準備-實際流動準備-金融債券及其他(新台幣百萬元)_原始值,其他貨幣機構流動比率與流動準備-實際流動準備-金融債券及其他(新台幣百萬元)_年增率(%),其他貨幣機構流動比率與流動準備-實際流動準備-轉存指定行庫一年期以下存款(新台幣百萬元)_原始值,其他貨幣機構流動比率與流動準備-實際流動準備-轉存指定行庫一年期以下存款(新台幣百萬元)_年增率(%)
2001M05,"16,286,880",3.52,"1,014,001",1.47,"1,024,934",1.68,"830,239",2.42,"38,113",0.79,"156,583",-1.85,"10,933",25.42,"2,100",-87.10,"15,859,280",2.63,7,0.00,"1,110,148",2.63,"3,140,418",-9.84,"13,541",9.03,"241,734",92.94,"19,875",-79.64,"636,080",-25.82,"26,672",-38.51,491,-69.10,"725,439",-22.40,"411,935",30.14,"79,040",-10.86,"34,893",23.51,"950,718",-2.69
2001M06,"16,291,900",3.63,"1,013,601",1.55,"1,019,577",0.78,"825,595",1.34,"39,045",2.66,"154,936",-2.54,"5,975",-56.04,210,-99.32,"15,927,680",2.86,7,0.00,"1,114,936",2.86,"3,114,654",-8.21,"10,543",-39.00,"309,331",160.88,"31,073",-60.54,"550,780",-34.93,"26,894",-31.05,271,-83.31,"701,660",-20.87,"414,664",28.16,"78,990",-7.68,"34,169",27.53,"956,279",-1.31
2001M07,"16,418,040",3.89,"1,022,766",1.96,"1,037,146",2.76,"841,553",4.00,"39,812",5.38,"155,781",-4.03,"14,380",134.55,0,-100.00,"16,020,260",3.34,7,0.00,"1,121,414",3.34,"3,136,497",-5.31,"17,462",55.29,"307,867",185.26,"33,122",-53.38,"509,277",-39.02,"34,013",-4.71,309,-81.07,"755,158",-11.26,"408,509",30.74,"74,669",-9.39,"33,054",20.61,"963,057",-1.39
2001M08,"16,467,600",4.21,"1,024,832",2.47,"1,027,369",2.09,"833,087",3.07,"39,519",1.09,"154,763",-2.64,"2,537",-59.11,0,-100.00,"16,002,170",2.90,7,0.00,"1,120,150",2.90,"3,239,048",-2.04,"7,601",-21.66,"225,441",57.77,"20,003",-50.54,"619,603",-17.66,"41,054",3.18,417,-76.35,"806,980",-9.64,"441,936",32.09,"73,527",-7.70,"34,317",20.09,"968,169",-1.57
2001M09,"16,539,510",4.59,"1,030,627",2.87,"1,035,369",2.55,"844,235",3.76,"38,168",0.57,"152,966",-3.21,"4,743",-38.56,0,-100.00,"15,955,490",2.56,7,0.00,"1,116,884",2.56,"3,322,647",1.73,"5,935",-43.49,"207,858",36.05,"14,724",-31.14,"761,021",2.92,"37,803",-6.37,398,-74.97,"761,523",-12.25,"438,614",29.19,"71,548",-9.58,"33,830",22.50,"989,393",0.35
2001M10,"16,533,280",4.99,"846,072",-14.71,"856,499",-14.04,"671,921",-15.94,"30,808",-22.70,"153,770",-2.20,"10,427",133.42,0,-100.00,"16,024,200",3.51,7,0.00,"1,121,695",3.51,"3,486,490",13.49,"12,100",18.98,"217,712",17.96,"29,080",82.71,"735,879",19.69,"29,733",-22.96,378,-70.28,"740,982",-4.47,"462,150",33.93,"71,184",-8.56,"32,736",19.76,"1,154,556",17.71
2001M11,"16,535,060",4.57,"826,659",-16.90,"830,926",-17.26,"649,641",-19.65,"31,973",-19.02,"149,311",-4.43,"4,267",-55.07,0,-100.00,"15,992,820",4.61,7,0.00,"1,119,497",4.61,"3,587,290",20.50,"5,860",-55.85,"203,122",12.86,"29,333",-10.73,"805,327",33.58,"28,516",-21.06,234,-73.88,"697,607",1.20,"475,844",37.15,"69,498",-8.30,"32,160",10.60,"1,239,789",27.84
2001M12,"16,682,430",4.70,"839,342",-16.31,"843,795",-16.80,"661,201",-18.60,"33,546",-13.73,"149,047",-8.61,"4,453",-60.49,0,-100.00,"16,181,581",4.55,7,0.00,"1,132,712",4.55,"3,685,288",25.73,"7,097",-52.00,"172,657",-17.16,"29,983",-8.16,"946,451",70.89,"25,251",-30.68,149,-81.92,"682,556",1.58,"470,002",33.05,"69,322",-8.24,"31,433",1.05,"1,250,387",31.30
2002M01,"16,879,530",4.15,"853,495",-16.22,"866,059",-18.59,"647,760",-19.06,"32,603",-11.14,"185,696",-18.13,"12,565",-72.10,0,-100.00,"16,363,200",4.14,7,0.00,"1,145,423",4.14,"3,718,377",30.05,"13,855",-71.14,"173,358",-13.51,"43,959",45.67,"981,821",125.78,"23,996",-33.45,451,-42.55,"669,195",1.42,"452,239",14.53,"68,743",-14.01,"30,145",-12.23,"1,260,615",34.10
2002M02,"16,910,260",3.16,"854,019",-16.77,"866,976",-15.65,"623,333",-23.54,"31,798",-16.33,"211,845",21.30,"12,957",638.71,0,-100.00,"16,292,645",2.87,7,0.00,"1,140,491",2.87,"3,640,351",22.00,"14,930",76.02,"184,659",-4.87,"43,947",80.58,"849,304",64.54,"21,999",-47.22,543,-17.10,"701,974",-3.74,"460,568",12.67,"69,178",-11.42,"33,997",-6.12,"1,259,252",33.08
2002M03,"16,913,210",3.00,"854,133",-16.77,"856,974",-17.15,"663,599",-20.40,"32,403",-15.17,"160,972",-0.93,"2,841",-64.89,0,-100.00,"16,325,531",2.63,7,0.00,"1,142,790",2.63,"3,823,680",22.75,"5,781",-46.44,"152,313",-31.24,"44,271",136.52,"1,009,276",83.60,"23,563",-41.98,355,-67.73,"732,140",-5.19,"453,410",3.88,"68,794",-14.65,"44,682",17.18,"1,289,095",36.41
2002M04,"16,901,930",3.13,"854,217",-16.38,"859,443",-16.27,"670,432",-18.95,"32,448",-15.07,"156,564",-2.75,"5,226",7.33,0,-100.00,"16,350,453",2.86,7,0.00,"1,144,529",2.86,"3,974,075",28.10,"6,427",-26.79,"153,461",-32.07,"44,273",185.17,"1,187,316",114.64,"23,188",-44.54,315,-64.84,"723,933",-6.38,"440,886",3.40,"67,569",-15.11,"30,162",-11.79,"1,296,545",37.52
