期間,合計_原始值,合計_年增率(%),企業及個人存款-計_原始值,企業及個人存款-計_年增率(%),企業及個人存款-支票存款_原始值,企業及個人存款-支票存款_年增率(%),企業及個人存款-活期存款_原始值,企業及個人存款-活期存款_年增率(%),企業及個人存款-活期儲蓄存款_原始值,企業及個人存款-活期儲蓄存款_年增率(%),企業及個人存款-定期存款_原始值,企業及個人存款-定期存款_年增率(%),企業及個人存款-定期儲蓄存款_原始值,企業及個人存款-定期儲蓄存款_年增率(%),企業及個人存款-外匯活期存款_原始值,企業及個人存款-外匯活期存款_年增率(%),企業及個人存款-外匯定期存款_原始值,企業及個人存款-外匯定期存款_年增率(%),政府存款-計_原始值,政府存款-計_年增率(%),政府存款-公庫收入總存款_原始值,政府存款-公庫收入總存款_年增率(%),政府存款-機關存款_原始值,政府存款-機關存款_年增率(%),政府存款-機關外匯存款_原始值,政府存款-機關外匯存款_年增率(%)
2001M05,"13,637,836",5.79,"12,946,240",6.37,"217,163",-15.19,"778,648",-9.42,"2,209,302",-2.84,"2,871,662",-2.51,"5,698,161",10.01,"307,077",42.21,"864,227",96.42,"691,596",-3.97,"9,166",-64.90,"679,536",-1.66,"2,894",-5.30
2001M06,"13,923,806",6.87,"13,229,148",7.43,"269,017",-0.06,"822,345",-9.24,"2,300,703",1.42,"2,862,533",-3.05,"5,733,565",10.06,"336,816",54.33,"904,169",84.40,"694,658",-2.68,"13,242",-52.64,"678,409",-0.62,"3,007",-5.29
2001M07,"13,887,956",6.76,"13,181,447",7.29,"344,583",36.98,"753,163",-11.11,"2,237,459",-0.73,"2,822,189",-3.95,"5,762,387",9.47,"340,848",52.66,"920,818",81.48,"706,509",-2.34,"9,438",-53.06,"694,315",-0.83,"2,756",-13.69
2001M08,"13,916,396",6.30,"13,216,893",6.78,"216,100",-13.36,"830,384",-6.43,"2,296,293",2.64,"2,842,278",-3.37,"5,827,591",9.84,"326,722",40.75,"877,525",67.29,"699,503",-2.10,"6,645",-58.94,"690,490",-0.70,"2,368",-20.30
2001M09,"14,135,536",7.97,"13,404,648",8.21,"254,821",9.67,"814,586",-3.72,"2,363,389",8.94,"2,835,852",-4.06,"5,992,579",12.32,"318,609",25.02,"824,812",38.97,"730,888",3.66,"13,030",38.56,"714,568",3.09,"3,290",27.97
2001M10,"14,094,440",6.94,"13,385,659",7.18,"217,332",-7.84,"817,457",-1.71,"2,400,832",11.65,"2,788,698",-5.76,"6,009,499",12.46,"332,244",24.09,"819,597",16.90,"708,781",2.57,"9,786",-8.60,"696,956",2.95,"2,039",-38.97
2001M11,"14,166,677",6.16,"13,446,393",6.31,"215,362",-9.85,"817,103",-1.48,"2,519,733",15.69,"2,760,513",-7.23,"6,015,534",12.31,"324,804",17.91,"793,344",-0.20,"720,284",3.41,"8,019",-24.00,"710,073",3.95,"2,192",-24.28
2001M12,"14,549,914",6.38,"13,785,799",6.36,"262,907",-13.90,"974,428",8.04,"2,732,491",23.19,"2,698,648",-9.27,"5,998,472",11.39,"336,408",16.93,"782,445",-12.01,"764,115",6.75,"53,125",59.74,"708,564",4.35,"2,426",-30.03
2002M01,"14,480,765",6.44,"13,787,817",6.61,"234,514",1.15,"918,812",14.89,"2,875,669",22.78,"2,624,502",-10.79,"5,990,454",9.72,"355,792",20.36,"788,074",-8.59,"692,948",3.27,"17,621",52.76,"672,797",2.46,"2,530",-11.38
2002M02,"14,496,002",5.86,"13,837,279",6.15,"259,436",-2.97,"871,077",11.34,"2,921,083",25.84,"2,601,174",-12.75,"6,010,598",8.07,"358,297",27.74,"815,614",-3.00,"658,723",0.06,"10,783",32.24,"646,227",-0.18,"1,713",-38.62
