期間,合計_原始值,合計_年增率(%),政府_原始值,政府_年增率(%),公營事業_原始值,公營事業_年增率(%),民營企業_原始值,民營企業_年增率(%),個人及其他_原始值,個人及其他_年增率(%)
2010M01,"22,216,716",6.57,"590,832",0.89,"135,457",-9.05,"5,548,651",14.83,"15,941,776",4.32
2010M02,"22,116,006",4.30,"554,530",-7.80,"134,272",-10.60,"5,461,497",8.34,"15,965,707",3.60
2010M03,"22,223,769",3.70,"577,754",-3.58,"133,884",-6.09,"5,544,298",7.52,"15,967,833",2.81
2010M04,"22,340,631",3.74,"609,978",1.72,"132,235",-5.97,"5,575,955",7.59,"16,022,463",2.62
2010M05,"22,325,420",3.24,"654,984",8.04,"136,848",-3.49,"5,644,890",10.08,"15,888,698",0.89
2010M06,"22,417,373",3.50,"638,149",4.21,"138,704",-8.26,"5,766,766",9.62,"15,873,754",1.53
2010M07,"22,542,267",3.65,"627,407",1.88,"134,204",-6.82,"5,688,954",8.89,"16,091,702",2.08
2010M08,"22,668,232",4.51,"641,901",4.44,"144,797",0.44,"5,723,693",9.69,"16,157,841",2.83
2010M09,"22,828,858",4.92,"670,987",9.12,"143,823",5.90,"5,618,247",9.04,"16,395,801",3.40
2010M10,"23,087,411",5.15,"670,152",12.20,"143,969",6.52,"5,781,988",8.31,"16,491,302",3.81
2010M11,"23,247,345",5.56,"706,813",18.45,"151,265",10.86,"5,852,545",8.06,"16,536,722",4.17
2010M12,"23,598,177",5.63,"697,030",16.92,"148,579",11.12,"6,042,860",9.53,"16,709,708",3.83
2011M01,"23,487,091",5.72,"585,302",-0.94,"152,785",12.79,"5,897,263",6.28,"16,851,741",5.71
2011M02,"23,642,028",6.90,"608,883",9.80,"146,812",9.34,"5,924,556",8.48,"16,961,777",6.24
2011M03,"23,690,765",6.60,"613,502",6.19,"149,172",11.42,"6,030,281",8.77,"16,897,810",5.82
2011M04,"23,877,555",6.88,"623,355",2.19,"144,854",9.54,"6,053,090",8.56,"17,056,256",6.45
2011M05,"23,773,878",6.49,"647,187",-1.19,"145,586",6.39,"5,964,951",5.67,"17,016,154",7.10
2011M06,"23,931,901",6.76,"634,097",-0.63,"157,111",13.27,"6,208,448",7.66,"16,932,245",6.67
2011M07,"24,121,995",7.01,"616,461",-1.74,"158,498",18.10,"6,116,803",7.52,"17,230,233",7.08
2011M08,"24,096,427",6.30,"632,564",-1.45,"147,189",1.65,"6,051,780",5.73,"17,264,894",6.85
2011M09,"24,236,821",6.17,"643,190",-4.14,"154,229",7.24,"6,093,756",8.46,"17,345,646",5.79
2011M10,"24,380,355",5.60,"641,915",-4.21,"159,237",10.61,"6,132,306",6.06,"17,446,897",5.79
