期間,定期存款--合計_原始值,定期存款--合計_年增率(%),定期存款--合計_原始值,定期存款--合計_年增率(%),定期存款--未滿3個月_原始值,定期存款--未滿3個月_年增率(%),定期存款--未滿3個月_原始值,定期存款--未滿3個月_年增率(%),定期存款--滿3個月~未滿6個月_原始值,定期存款--滿3個月~未滿6個月_年增率(%),定期存款--滿3個月~未滿6個月_原始值,定期存款--滿3個月~未滿6個月_年增率(%),定期存款--滿6個月~未滿9個月_原始值,定期存款--滿6個月~未滿9個月_年增率(%),定期存款--滿6個月~未滿9個月_原始值,定期存款--滿6個月~未滿9個月_年增率(%),定期存款--滿9個月~未滿12個月_原始值,定期存款--滿9個月~未滿12個月_年增率(%),定期存款--滿9個月~未滿12個月_原始值,定期存款--滿9個月~未滿12個月_年增率(%),定期存款--1年期以上_原始值,定期存款--1年期以上_年增率(%),定期存款--1年期以上_原始值,定期存款--1年期以上_年增率(%),定期儲蓄存款--合計_原始值,定期儲蓄存款--合計_年增率(%),定期儲蓄存款--合計_原始值,定期儲蓄存款--合計_年增率(%),定期儲存存款--未滿2年_原始值,定期儲存存款--未滿2年_年增率(%),定期儲存存款--未滿2年_原始值,定期儲存存款--未滿2年_年增率(%),定期儲蓄存款--滿2年~未滿3年_原始值,定期儲蓄存款--滿2年~未滿3年_年增率(%),定期儲蓄存款--滿2年~未滿3年_原始值,定期儲蓄存款--滿2年~未滿3年_年增率(%),定期儲蓄存款--3年以上_原始值,定期儲蓄存款--3年以上_年增率(%),定期儲蓄存款--3年以上_原始值,定期儲蓄存款--3年以上_年增率(%)
2010M01,"2,329,054",-10.90,"4,696,405",-2.57,"458,184",-8.24,"1,014,310",4.51,"602,396",-10.91,"1,405,404",15.38,"736,639",-15.77,"1,071,699",-6.57,"122,626",-23.92,"221,998",-2.77,"409,209",1.57,"982,996",-21.76,"9,785,879",-5.51,"7,214,247",-5.47,"8,298,026",-5.94,"6,013,496",-5.44,"1,102,087",-2.35,"943,463",-4.30,"385,766",-4.99,"257,287",-10.16
2010M02,"2,360,978",-8.73,"4,786,225",-0.26,"468,197",-3.44,"1,013,162",5.37,"614,225",-6.98,"1,488,387",24.09,"739,719",-14.65,"1,085,168",-8.89,"122,268",-28.97,"221,558",-13.33,"416,569",3.42,"977,951",-17.89,"9,784,376",-5.97,"7,212,246",-5.46,"8,294,778",-6.40,"6,010,968",-5.48,"1,102,305",-3.14,"943,611",-4.43,"387,293",-4.57,"257,667",-8.64
2010M03,"2,373,653",-5.98,"4,888,990",2.65,"463,298",-1.51,"966,669",0.11,"620,524",-0.76,"1,563,411",36.83,"741,234",-12.64,"1,121,891",-8.07,"123,135",-31.59,"242,098",-11.25,"425,462",6.24,"994,925",-14.32,"9,780,665",-5.65,"7,223,920",-5.00,"8,292,230",-6.05,"6,024,345",-5.00,"1,101,392",-3.10,"942,215",-4.19,"387,043",-3.95,"257,359",-7.97
2010M04,"2,369,922",-4.41,"4,915,459",3.52,"457,703",-2.29,"962,614",1.94,"620,896",0.91,"1,537,889",27.36,"737,463",-9.20,"1,143,725",-0.71,"122,766",-33.06,"247,038",-10.06,"431,094",7.76,"1,024,192",-12.47,"9,764,925",-5.36,"7,225,042",-4.54,"8,278,344",-5.77,"6,028,187",-4.53,"1,098,327",-3.00,"938,937",-4.19,"388,254",-2.93,"257,918",-6.02
2010M05,"2,344,770",-3.31,"4,983,012",6.35,"448,273",-3.86,"1,009,177",7.04,"611,207",2.23,"1,513,460",26.10,"730,775",-5.92,"1,161,667",4.07,"120,039",-35.01,"251,343",-6.93,"434,476",8.78,"1,047,366",-9.42,"9,742,139",-5.10,"7,224,297",-4.10,"8,256,420",-5.53,"6,028,578",-4.07,"1,093,070",-3.11,"933,722",-4.33,"392,649",-1.15,"261,994",-3.78
2010M06,"2,343,686",-1.86,"5,029,710",7.35,"457,283",-2.15,"1,081,689",12.89,"606,114",3.09,"1,484,574",23.61,"724,642",-3.29,"1,146,011",5.78,"117,999",-36.06,"249,396",-7.92,"437,648",9.68,"1,068,041",-8.88,"9,724,057",-4.72,"7,240,286",-3.33,"8,234,119",-5.23,"6,043,327",-3.30,"1,092,788",-2.74,"932,241",-3.88,"397,150",0.90,"264,718",-2.15
2010M07,"2,358,034",-1.28,"5,019,410",6.97,"472,550",-0.20,"1,121,316",9.38,"605,317",2.79,"1,432,173",22.19,"719,423",-3.34,"1,123,738",5.42,"116,769",-35.73,"249,480",-2.21,"443,975",10.93,"1,092,700",-6.93,"9,736,240",-4.16,"7,265,958",-2.60,"8,241,664",-4.70,"6,067,342",-2.58,"1,096,173",-2.09,"937,266",-2.59,"398,403",1.90,"261,349",-2.91
2010M08,"2,368,635",2.08,"4,941,702",7.94,"471,807",1.45,"1,035,076",1.69,"614,131",4.67,"1,456,737",29.41,"713,594",-2.52,"1,100,568",7.48,"116,626",-32.82,"230,647",-7.56,"452,477",24.64,"1,118,674",-3.66,"9,737,079",-2.94,"7,271,848",-2.02,"8,236,862",-3.43,"6,069,064",-2.12,"1,100,702",-1.25,"941,149",-1.47,"399,515",3.00,"261,634",-1.70
2010M09,"2,378,519",1.34,"4,838,976",6.13,"474,559",0.85,"996,421",3.65,"623,511",4.50,"1,424,995",17.23,"704,988",-3.74,"1,066,875",8.07,"115,851",-33.43,"203,607",-14.20,"459,610",23.11,"1,147,079",-0.96,"9,729,534",-3.51,"7,283,009",-1.62,"8,229,939",-4.10,"6,083,048",-1.76,"1,098,590",-1.41,"938,858",-1.45,"401,005",3.36,"261,102",1.31
2010M10,"2,391,164",1.62,"4,964,907",8.08,"482,587",1.62,"1,057,833",9.48,"626,302",4.06,"1,445,545",14.68,"698,249",-5.14,"1,086,254",10.13,"116,030",-12.82,"202,416",-1.71,"467,996",14.92,"1,172,861",-0.14,"9,719,676",-2.74,"7,276,035",-0.83,"8,229,166",-3.09,"6,085,688",-0.65,"1,088,631",-2.22,"932,501",-1.85,"401,879",3.55,"257,848",-1.29
2010M11,"2,381,225",1.55,"4,982,746",6.84,"485,887",3.09,"1,089,442",7.62,"611,072",1.74,"1,389,987",6.98,"691,542",-6.15,"1,093,016",9.73,"114,465",-10.99,"201,523",-3.66,"478,259",17.33,"1,208,778",5.41,"9,716,139",-2.07,"7,281,381",0.00,"8,227,668",-2.36,"6,098,846",0.39,"1,073,913",-3.09,"920,468",-2.77,"414,558",7.17,"262,065",0.97
2010M12,"2,382,776",2.07,"5,019,184",4.79,"488,501",4.99,"1,150,686",2.54,"595,606",-1.09,"1,386,208",8.17,"695,764",-5.39,"1,071,999",1.52,"111,521",-10.13,"187,998",-11.11,"491,384",20.57,"1,222,290",9.29,"9,686,896",-1.43,"7,267,527",0.41,"8,228,508",-1.29,"6,108,515",1.23,"1,032,567",-6.54,"894,913",-5.32,"425,821",10.21,"264,100",2.21
2011M01,"2,423,652",4.06,"5,095,412",8.50,"498,742",8.85,"1,132,687",11.67,"595,061",-1.22,"1,428,475",1.64,"710,606",-3.53,"1,104,302",3.04,"112,709",-8.09,"187,809",-15.40,"506,534",23.78,"1,242,136",26.36,"9,809,841",0.24,"7,317,020",1.42,"8,257,538",-0.49,"6,131,708",1.97,"1,124,513",2.03,"920,897",-2.39,"427,790",10.89,"264,414",2.77
2011M02,"2,501,760",5.96,"5,203,773",8.72,"514,378",9.86,"1,137,954",12.32,"605,137",-1.48,"1,478,087",-0.69,"749,118",1.27,"1,133,914",4.49,"116,238",-4.93,"195,243",-11.88,"516,889",24.08,"1,258,575",28.70,"9,880,029",0.98,"7,356,653",2.00,"8,319,552",0.30,"6,168,192",2.62,"1,131,291",2.63,"924,195",-2.06,"429,186",10.82,"264,268",2.56
2011M03,"2,532,235",6.68,"5,224,389",6.86,"522,537",12.79,"1,177,122",21.77,"611,203",-1.50,"1,414,160",-9.55,"755,239",1.89,"1,158,639",3.28,"119,955",-2.58,"207,613",-14.24,"523,301",23.00,"1,266,856",27.33,"9,835,247",0.56,"7,358,152",1.86,"8,365,738",0.89,"6,199,550",2.91,"1,042,995",-5.30,"896,315",-4.87,"426,514",10.20,"262,285",1.91
2011M04,"2,546,314",7.44,"5,293,205",7.68,"520,783",13.78,"1,183,301",22.93,"614,518",-1.03,"1,432,477",-6.85,"764,506",3.67,"1,199,162",4.85,"121,554",-0.99,"212,449",-14.00,"524,953",21.77,"1,265,815",23.59,"9,890,314",1.28,"7,402,185",2.45,"8,418,071",1.69,"6,245,154",3.60,"1,047,044",-4.67,"896,114",-4.56,"425,199",9.52,"260,918",1.16
