期間,定期存款--合計_原始值,定期存款--合計_年增率(%),定期存款--合計_原始值,定期存款--合計_年增率(%),定期存款--民營企業_原始值,定期存款--民營企業_年增率(%),定期存款--民營企業_原始值,定期存款--民營企業_年增率(%),定期存款--個人~未滿6個月_原始值,定期存款--個人~未滿6個月_年增率(%),定期存款--個人~未滿6個月_原始值,定期存款--個人~未滿6個月_年增率(%),定期存款--其他_原始值,定期存款--其他_年增率(%),定期存款--其他_原始值,定期存款--其他_年增率(%),定期儲蓄存款--合計_原始值,定期儲蓄存款--合計_年增率(%),定期儲蓄存款--合計_原始值,定期儲蓄存款--合計_年增率(%),定期儲存存款--國軍同袍儲蓄會(一戶)_原始值,定期儲存存款--國軍同袍儲蓄會(一戶)_年增率(%),定期儲存存款--國軍同袍儲蓄會(一戶)_原始值,定期儲存存款--國軍同袍儲蓄會(一戶)_年增率(%),定期儲蓄存款--退休及退役人員存款_原始值,定期儲蓄存款--退休及退役人員存款_年增率(%),定期儲蓄存款--退休及退役人員存款_原始值,定期儲蓄存款--退休及退役人員存款_年增率(%),定期儲蓄存款--個人_原始值,定期儲蓄存款--個人_年增率(%),定期儲蓄存款--個人_原始值,定期儲蓄存款--個人_年增率(%),定期儲蓄存款--其他_原始值,定期儲蓄存款--其他_年增率(%),定期儲蓄存款--其他_原始值,定期儲蓄存款--其他_年增率(%)
2001M05,"1,584,950",-3.72,"3,258,606",-1.92,"247,302",-1.82,"1,362,533",-0.14,"1,251,476",-4.76,"851,222",-8.98,"86,172",7.47,"1,044,850",2.14,"8,337,575",12.33,"5,966,512",9.09,-,-,"16,938",-2.92,"336,199",3.05,"317,872",8.25,"7,822,332",12.95,"3,955,330",11.81,"179,044",4.82,"1,676,370",3.42
2001M06,"1,544,667",-6.05,"3,235,634",-3.14,"245,822",-4.58,"1,348,367",-2.39,"1,212,523",-5.47,"828,187",-11.92,"86,322",-16.89,"1,059,079",3.93,"8,377,190",10.50,"6,002,800",8.95,-,-,"16,988",0.35,"335,953",2.90,"317,839",8.07,"7,861,057",13.01,"3,975,218",11.61,"180,180",-39.63,"1,692,756",3.41
2001M07,"1,491,846",-8.70,"3,201,542",-4.03,"244,003",-3.99,"1,341,577",-2.38,"1,162,017",-10.61,"816,164",-13.45,"85,826",7.39,"1,043,801",2.48,"8,423,759",10.75,"6,037,380",8.32,-,-,"17,138",1.27,"336,887",2.77,"320,261",7.96,"7,907,138",11.28,"3,997,253",10.08,"179,734",4.01,"1,702,727",4.53
2001M08,"1,479,882",-9.58,"3,198,026",-4.59,"245,879",-3.68,"1,371,613",-2.84,"1,146,445",-11.81,"800,484",-12.07,"87,558",7.54,"1,025,929",-0.38,"8,507,130",11.10,"6,101,948",8.69,-,-,"17,168",1.21,"342,135",3.01,"332,336",8.33,"7,985,514",11.67,"4,045,050",10.48,"179,481",3.33,"1,707,394",4.80
2001M09,"1,482,424",-8.70,"3,205,165",-3.92,"232,887",-8.73,"1,306,246",-7.51,"1,136,621",-11.59,"816,183",-8.55,"112,916",36.16,"1,082,734",5.00,"8,576,079",11.30,"6,232,357",10.46,-,-,"17,168",1.63,"342,172",3.00,"332,960",8.24,"7,975,061",10.78,"4,146,990",12.52,"258,846",48.50,"1,735,239",6.30
2001M10,"1,447,618",-9.85,"3,145,352",-4.71,"236,332",-7.09,"1,302,238",-7.67,"1,101,029",-13.28,"792,254",-11.51,"110,257",34.93,"1,050,861",5.61,"8,642,095",11.81,"6,264,400",10.98,-,-,"17,218",1.92,"341,714",2.99,"333,048",8.26,"8,003,838",10.83,"4,162,584",12.65,"296,543",69.15,"1,751,549",7.80
2001M11,"1,413,555",-11.49,"3,095,082",-6.94,"236,085",-6.84,"1,306,758",-7.62,"1,075,751",-14.78,"748,505",-16.93,"101,719",25.02,"1,039,820",2.91,"8,774,040",13.28,"6,265,337",10.87,-,-,"17,118",1.51,"341,331",2.93,"333,167",8.23,"8,165,319",12.81,"4,187,508",13.16,"267,390",51.92,"1,727,543",6.23
2001M12,"1,374,883",-14.82,"3,023,960",-9.37,"232,585",-9.09,"1,285,953",-8.92,"1,041,525",-18.43,"720,888",-20.70,"100,773",23.84,"1,017,120",0.15,"8,828,098",13.29,"6,252,363",10.20,-,-,"17,078",1.27,"342,424",3.29,"335,515",8.78,"8,216,296",13.70,"4,175,808",13.17,"269,378",14.71,"1,723,962",3.95
2002M01,"1,329,125",-18.81,"2,955,979",-10.90,"232,231",-7.22,"1,271,844",-6.96,"997,490",-23.70,"690,500",-26.75,"99,404",25.31,"993,635",-1.44,"8,805,637",10.79,"6,246,097",8.69,-,-,"17,028",1.22,"342,951",3.14,"337,260",8.51,"8,191,694",10.11,"4,186,539",10.69,"270,992",54.03,"1,705,270",4.18
2002M02,"1,312,900",-20.59,"2,904,364",-13.71,"229,533",-7.06,"1,248,685",-10.06,"984,263",-25.40,"672,660",-26.84,"99,104",14.20,"983,019",-7.09,"8,844,837",8.83,"6,275,451",7.35,-,-,"16,958",1.22,"345,675",3.24,"343,386",8.55,"8,225,624",8.01,"4,203,452",9.03,"273,538",55.02,"1,711,655",3.26
2002M03,"1,284,795",-20.98,"2,859,053",-14.09,"228,417",-7.56,"1,234,193",-10.44,"957,843",-25.82,"654,227",-25.64,"98,535",12.34,"970,631",-9.30,"8,832,683",7.34,"6,283,341",6.39,-,-,"16,858",0.03,"346,002",3.16,"344,367",8.45,"8,214,131",6.44,"4,209,962",7.66,"272,550",54.99,"1,712,154",3.07
2002M04,"1,269,885",-20.88,"2,838,194",-13.64,"227,867",-7.94,"1,226,710",-10.91,"944,403",-25.67,"656,023",-23.34,"97,615",12.38,"955,461",-9.34,"8,812,374",6.27,"6,274,440",5.57,-,-,"16,823",-0.38,"346,022",3.03,"344,677",8.46,"8,193,925",5.35,"4,216,688",7.21,"272,427",52.69,"1,696,251",1.23
2002M05,"1,257,131",-20.68,"2,833,058",-13.06,"228,188",-7.73,"1,237,390",-9.18,"932,741",-25.47,"654,910",-23.06,"96,202",11.64,"940,759",-9.96,"8,786,991",5.39,"6,276,526",5.20,-,-,"16,773",-0.97,"345,835",2.87,"344,600",8.41,"8,168,416",4.42,"4,215,361",6.57,"272,740",52.33,"1,699,791",1.40
