期間,定期存款--合計_原始值,定期存款--合計_年增率(%),定期存款--合計_原始值,定期存款--合計_年增率(%),"定期存款--100,000元以下_原始值","定期存款--100,000元以下_年增率(%)","定期存款--100,000元以下_原始值","定期存款--100,000元以下_年增率(%)","定期存款--100,001~500,000元_原始值","定期存款--100,001~500,000元_年增率(%)","定期存款--100,001~500,000元_原始值","定期存款--100,001~500,000元_年增率(%)","定期存款--500,001~1,000,000元_原始值","定期存款--500,001~1,000,000元_年增率(%)","定期存款--500,001~1,000,000元_原始值","定期存款--500,001~1,000,000元_年增率(%)","定期存款--1,000,000元以上_原始值","定期存款--1,000,000元以上_年增率(%)","定期存款--1,000,000元以上_原始值","定期存款--1,000,000元以上_年增率(%)",定期儲蓄存款--合計_原始值,定期儲蓄存款--合計_年增率(%),定期儲蓄存款--合計_原始值,定期儲蓄存款--合計_年增率(%),"定期儲蓄存款--100,000元以下_原始值","定期儲蓄存款--100,000元以下_年增率(%)","定期儲蓄存款--100,000元以下_原始值","定期儲蓄存款--100,000元以下_年增率(%)","定期儲蓄存款--100,001~500,000元_原始值","定期儲蓄存款--100,001~500,000元_年增率(%)","定期儲蓄存款--100,001~500,000元_原始值","定期儲蓄存款--100,001~500,000元_年增率(%)","定期儲蓄存款--500,001~1,000,000元_原始值","定期儲蓄存款--500,001~1,000,000元_年增率(%)","定期儲蓄存款--500,001~1,000,000元_原始值","定期儲蓄存款--500,001~1,000,000元_年增率(%)","定期儲蓄存款--1,000,001元以上_原始值","定期儲蓄存款--1,000,001元以上_年增率(%)","定期儲蓄存款--1,000,001元以上_原始值","定期儲蓄存款--1,000,001元以上_年增率(%)",定期儲存存款--國軍同袍儲蓄會(一戶)_原始值,定期儲存存款--國軍同袍儲蓄會(一戶)_年增率(%),定期儲存存款--國軍同袍儲蓄會(一戶)_原始值,定期儲存存款--國軍同袍儲蓄會(一戶)_年增率(%)
2005M09,"1,519,602",15.38,"2,972,752",10.33,"254,171",15.88,"16,613",15.41,"602,463",12.92,"196,923",13.17,"326,830",14.61,"282,149",15.76,"336,138",20.44,"2,477,067",9.50,"8,973,148",3.10,"7,006,532",6.13,"1,742,195",0.45,"108,176",1.31,"4,058,951",0.94,"1,304,120",1.32,"2,074,922",6.40,"1,662,453",2.48,"1,097,080",9.93,"3,917,889",9.71,-,-,"13,894",-4.45
2005M10,"1,527,721",14.24,"2,990,233",11.14,"255,987",13.76,"16,692",13.34,"605,194",11.96,"197,834",11.95,"328,734",14.38,"283,730",14.98,"337,806",18.82,"2,491,977",10.65,"8,985,924",2.91,"7,033,040",5.90,"1,739,850",0.20,"108,090",0.81,"4,057,671",0.71,"1,304,266",1.11,"2,084,096",6.25,"1,671,038",2.38,"1,104,307",9.91,"3,935,822",9.40,-,-,"13,824",-4.93
2005M11,"1,529,969",12.80,"3,010,541",9.25,"257,885",13.73,"16,724",12.65,"607,667",11.40,"202,044",13.26,"327,260",11.36,"281,051",11.10,"337,157",16.15,"2,510,722",8.72,"9,001,316",3.30,"7,043,852",5.78,"1,737,921",0.43,"107,270",0.45,"4,057,197",1.09,"1,319,971",2.71,"2,093,750",6.70,"1,671,027",2.30,"1,112,448",10.36,"3,931,760",8.63,-,-,"13,824",-2.79
2005M12,"1,523,446",11.36,"3,007,509",6.67,"260,798",14.21,"16,691",11.48,"606,819",10.60,"201,725",12.36,"323,457",9.25,"277,574",8.83,"332,372",12.71,"2,511,519",5.97,"9,031,199",3.64,"7,068,609",5.70,"1,744,399",1.05,"107,370",0.76,"4,065,976",1.47,"1,323,786",3.16,"2,102,832",6.88,"1,685,150",2.83,"1,117,992",10.34,"3,938,579",8.06,-,-,"13,724",-3.43
2006M01,"1,531,377",10.98,"3,085,796",9.33,"264,586",15.32,"16,973",12.83,"609,629",9.94,"202,497",11.26,"323,515",8.98,"277,678",8.51,"333,647",11.59,"2,588,648",9.25,"9,069,275",4.02,"7,101,818",5.86,"1,750,748",1.74,"107,683",1.32,"4,078,130",1.90,"1,328,452",3.61,"2,114,932",7.04,"1,697,209",3.05,"1,125,465",10.37,"3,954,783",8.08,-,-,"13,691",-4.33
2006M02,"1,545,287",8.36,"3,126,721",7.92,"273,373",13.56,"17,539",11.56,"614,305",7.60,"200,009",6.75,"323,332",5.94,"278,583",5.82,"334,277",8.12,"2,630,590",8.22,"9,133,582",3.94,"7,149,137",5.91,"1,774,886",1.73,"109,477",1.80,"4,098,110",1.87,"1,319,076",2.39,"2,125,962",6.82,"1,717,013",3.44,"1,134,624",10.19,"3,989,880",8.42,-,-,"13,691",-4.33
2006M03,"1,552,208",6.86,"3,073,660",4.79,"277,829",12.69,"17,767",10.20,"616,575",5.91,"200,452",4.96,"324,276",5.56,"279,456",5.68,"333,528",5.32,"2,575,985",4.64,"9,138,243",3.56,"7,163,044",5.32,"1,771,110",1.35,"109,404",1.49,"4,097,246",1.64,"1,319,305",2.15,"2,130,950",6.26,"1,721,579",7.81,"1,138,937",9.56,"3,999,065",5.49,-,-,"13,691",-3.66
2006M04,"1,546,508",5.84,"3,050,365",2.85,"278,238",12.33,"17,761",9.56,"614,277",5.67,"199,593",4.98,"322,663",4.08,"277,937",4.10,"331,330",2.84,"2,555,074",2.51,"9,116,051",2.92,"7,169,822",4.94,"1,762,397",0.80,"109,031",0.99,"4,084,456",1.08,"1,315,649",1.53,"2,129,342",5.41,"1,720,735",6.85,"1,139,856",8.76,"4,010,916",5.44,-,-,"13,491",-4.39
2006M05,"1,546,992",5.92,"3,081,046",3.47,"277,342",12.49,"17,670",9.20,"613,917",5.58,"199,579",5.14,"322,673",4.31,"277,883",4.31,"333,060",3.06,"2,585,914",3.22,"9,216,566",3.84,"7,214,260",5.30,"1,775,708",1.64,"109,963",1.79,"4,137,051",2.32,"1,333,407",2.78,"2,157,109",6.19,"1,751,980",8.18,"1,146,698",8.75,"4,005,501",5.08,-,-,"13,409",-4.97
2006M06,"1,555,294",6.26,"3,120,131",1.83,"277,933",12.92,"17,728",9.55,"614,942",5.77,"200,041",5.37,"325,407",4.62,"280,255",4.51,"337,012",3.67,"2,622,107",1.24,"9,185,829",3.16,"7,191,131",4.40,"1,767,257",1.14,"109,439",1.17,"4,119,255",1.68,"1,328,327",2.17,"2,153,418",5.39,"1,751,142",7.37,"1,145,899",7.84,"3,988,814",4.01,-,-,"13,409",-4.36
