期間,合計_原始值,合計_年增率(%),公營事業_原始值,公營事業_年增率(%),民營企業_原始值,民營企業_年增率(%),個人等_原始值,個人等_年增率(%),政府機關_原始值,政府機關_年增率(%)
2005M09,"15,693,025",9.48,"538,917",19.28,"5,824,630",7.35,"7,521,895",13.47,"1,807,584",-1.10
2005M10,"15,631,581",8.72,"540,694",20.59,"5,797,292",7.36,"7,573,373",13.03,"1,720,223",-5.97
2005M11,"15,778,699",8.02,"544,449",22.09,"5,856,957",7.38,"7,634,382",12.19,"1,742,910",-8.35
2005M12,"16,098,378",8.32,"557,852",22.30,"6,032,762",8.81,"7,725,560",11.25,"1,782,204",-7.05
2006M01,"16,173,181",8.79,"565,780",24.13,"5,972,615",9.37,"7,740,277",10.50,"1,894,509",-2.58
2006M02,"16,174,133",8.45,"570,595",22.47,"5,974,914",9.82,"7,698,709",9.70,"1,929,915",-2.97
2006M03,"16,146,052",6.71,"565,680",25.12,"5,972,747",7.82,"7,683,979",8.01,"1,923,647",-4.99
2006M04,"16,157,925",6.94,"573,143",26.17,"5,982,667",8.72,"7,680,631",6.88,"1,921,483",-2.24
2006M05,"16,258,311",6.38,"584,295",25.25,"6,111,352",9.44,"7,711,243",5.81,"1,851,421",-4.82
2006M06,"16,280,713",5.45,"599,642",27.33,"6,223,277",9.00,"7,743,501",5.00,"1,714,292",-8.97
2006M07,"16,169,536",4.74,"602,783",25.50,"6,182,378",8.96,"7,747,517",4.30,"1,636,859",-11.81
2006M08,"16,169,445",4.33,"603,703",26.66,"6,278,049",9.40,"7,724,695",3.60,"1,562,997",-14.45
2006M09,"16,257,758",3.60,"592,201",9.89,"6,424,293",10.30,"7,733,312",2.81,"1,507,952",-16.58
2006M10,"16,258,424",4.01,"604,275",11.76,"6,429,865",10.91,"7,747,612",2.30,"1,476,672",-14.16
2006M11,"16,314,402",3.40,"577,454",6.06,"6,459,665",10.29,"7,774,258",1.83,"1,503,026",-13.76
2006M12,"16,501,113",2.50,"525,392",-5.82,"6,511,663",7.94,"7,871,343",1.89,"1,592,717",-10.63
2007M01,"16,565,127",2.42,"547,334",-3.26,"6,439,863",7.82,"7,869,958",1.68,"1,707,972",-9.85
2007M02,"16,645,515",2.91,"556,399",-2.49,"6,478,054",8.42,"7,854,418",2.02,"1,756,643",-8.98
2007M03,"16,644,077",3.08,"542,534",-4.09,"6,518,456",9.14,"7,858,897",2.28,"1,724,191",-10.37
2007M04,"16,664,719",3.14,"555,557",-3.07,"6,546,179",9.42,"7,877,738",2.57,"1,685,246",-12.29
2007M05,"16,698,934",2.71,"564,683",-3.36,"6,635,278",8.57,"7,921,298",2.72,"1,577,673",-14.79
2007M06,"16,685,247",2.48,"563,742",-5.99,"6,659,693",7.01,"7,959,758",2.79,"1,502,055",-12.38
2007M07,"16,764,536",3.68,"564,389",-6.37,"6,750,555",9.19,"7,996,197",3.21,"1,453,394",-11.21
2007M08,"16,745,740",3.56,"564,313",-6.52,"6,808,996",8.46,"7,998,933",3.55,"1,373,498",-12.12
2007M09,"16,818,155",3.45,"556,405",-6.04,"6,872,037",6.97,"8,011,994",3.60,"1,377,718",-8.64
2007M10,"16,779,098",3.20,"553,039",-8.48,"6,888,847",7.14,"8,007,584",3.36,"1,329,630",-9.96
2007M11,"16,772,693",2.81,"568,448",-1.56,"6,830,442",5.74,"8,037,746",3.39,"1,336,057",-11.11
2007M12,"16,944,572",2.69,"591,936",12.67,"6,903,289",6.01,"8,088,161",2.75,"1,361,187",-14.54
2008M01,"17,018,645",2.74,"587,145",7.27,"6,901,508",7.17,"8,065,909",2.49,"1,464,085",-14.28
2008M02,"16,984,176",2.03,"597,214",7.34,"6,907,554",6.63,"8,003,585",1.90,"1,475,823",-15.99
2008M03,"17,041,086",2.39,"638,705",17.73,"6,951,038",6.64,"8,006,631",1.88,"1,444,713",-16.21
2008M04,"17,038,160",2.24,"631,995",13.76,"6,985,588",6.71,"8,022,502",1.84,"1,398,075",-17.04
2008M05,"17,140,426",2.64,"670,620",18.76,"7,033,654",6.00,"8,054,433",1.68,"1,381,719",-12.42
2008M06,"17,241,592",3.33,"693,385",23.00,"7,161,214",7.53,"8,111,158",1.90,"1,275,835",-15.06
2008M07,"17,310,048",3.25,"708,642",25.56,"7,223,637",7.01,"8,112,773",1.46,"1,264,996",-12.96
2008M08,"17,302,581",3.33,"751,258",33.13,"7,234,195",6.24,"8,091,117",1.15,"1,226,011",-10.74
2008M09,"17,399,432",3.46,"757,308",36.11,"7,345,977",6.90,"8,100,215",1.10,"1,195,932",-13.19
2008M10,"17,483,391",4.20,"778,787",40.82,"7,389,935",7.27,"8,095,993",1.10,"1,218,676",-8.34
2008M11,"17,472,797",4.17,"773,815",36.13,"7,372,949",7.94,"8,105,873",0.85,"1,220,160",-8.67
