期間,合計_原始值,合計_年增率(%),食品及飲料製造業_原始值,食品及飲料製造業_年增率(%),食品及飲料製造業-飲料製造業_原始值,食品及飲料製造業-飲料製造業_年增率(%),菸草製造業_原始值,菸草製造業_年增率(%),紡織業_原始值,紡織業_年增率(%),成衣及服飾品製造業_原始值,成衣及服飾品製造業_年增率(%),皮革、毛皮及其製品製造業_原始值,皮革、毛皮及其製品製造業_年增率(%),木竹製品製造業_原始值,木竹製品製造業_年增率(%),紙漿、紙及紙製品製造業_原始值,紙漿、紙及紙製品製造業_年增率(%),印刷及資料儲存媒體複製業_原始值,印刷及資料儲存媒體複製業_年增率(%),石油及煤製品製造業_原始值,石油及煤製品製造業_年增率(%),化學材料製造業_原始值,化學材料製造業_年增率(%),化學製品製造業_原始值,化學製品製造業_年增率(%),化學製品製造業-藥品製造業_原始值,化學製品製造業-藥品製造業_年增率(%),橡膠製品製造業_原始值,橡膠製品製造業_年增率(%),塑膠製品製造業_原始值,塑膠製品製造業_年增率(%),非金屬礦物製品製造業_原始值,非金屬礦物製品製造業_年增率(%),基本金屬製造業_原始值,基本金屬製造業_年增率(%),金屬製品製造業_原始值,金屬製品製造業_年增率(%),電子零組件製造業_原始值,電子零組件製造業_年增率(%),電腦、電子產品及光學製品製造業_原始值,電腦、電子產品及光學製品製造業_年增率(%),電力設備製造業_原始值,電力設備製造業_年增率(%),機械設備製造業_原始值,機械設備製造業_年增率(%),運輸工具製造業_原始值,運輸工具製造業_年增率(%),運輸工具製造業-汽車及其零件製造業_原始值,運輸工具製造業-汽車及其零件製造業_年增率(%),家具製造業_原始值,家具製造業_年增率(%),其他製造業_原始值,其他製造業_年增率(%),產業用機械設備維修及安裝業_原始值,產業用機械設備維修及安裝業_年增率(%)
2005M09,"2,827,176",6.16,"125,251",-8.46,-,-,208,-46.11,"175,125",-0.65,"29,576",-2.34,"18,451",3.27,"10,126",-8.81,"34,726",5.98,"30,289",-4.25,"93,330",-17.75,"156,282",9.08,"54,966",-2.90,-,-,"25,221",5.43,"135,809",0.35,"86,084",2.04,"247,630",2.30,"170,407",3.53,"708,010",29.86,"310,262",-4.25,"106,812",0.65,"137,472",10.86,"106,802",2.92,-,-,"16,400",-5.51,"47,937",14.20,-,-
2005M10,"2,837,411",6.86,"128,638",-2.75,-,-,246,-31.48,"176,476",2.49,"30,269",0.55,"22,047",22.12,"9,793",-6.45,"34,043",5.77,"34,643",6.04,"87,103",-21.30,"155,343",12.04,"54,348",-3.87,-,-,"24,812",1.63,"134,938",0.85,"81,403",-1.71,"242,104",4.28,"171,819",4.55,"716,621",27.73,"321,978",-2.72,"105,189",0.64,"136,809",9.96,"106,784",2.95,-,-,"15,667",-7.32,"46,338",10.44,-,-
2005M11,"2,843,667",5.59,"133,622",1.61,-,-,285,-26.17,"179,745",3.64,"29,963",-2.54,"22,366",24.69,"9,739",-6.40,"34,017",7.19,"33,412",3.33,"83,545",-25.28,"158,509",16.40,"56,460",-1.31,-,-,"25,438",5.89,"135,147",0.14,"81,039",-2.30,"242,361",6.13,"172,522",3.78,"717,728",21.89,"320,597",-4.29,"102,727",-1.23,"136,713",6.31,"106,481",1.59,-,-,"15,523",-10.60,"45,728",3.30,-,-
2005M12,"2,911,533",7.43,"138,271",2.34,-,-,292,-29.13,"185,827",3.59,"29,475",-4.03,"23,262",25.17,"10,287",-2.18,"34,873",5.21,"33,652",4.88,"90,466",-14.66,"165,117",21.77,"57,839",-0.71,-,-,"25,796",6.85,"138,169",1.08,"77,824",-9.06,"247,995",6.38,"179,250",6.99,"736,611",21.06,"317,169",2.19,"107,811",4.12,"140,195",8.22,"109,749",-0.13,-,-,"16,208",-8.70,"45,395",4.01,-,-
2006M01,"2,892,609",7.49,"133,831",1.40,-,-,284,10.94,"183,356",0.66,"29,439",-4.03,"22,766",30.25,"9,829",-2.05,"32,473",-0.68,"32,483",5.25,"92,384",-8.02,"160,793",17.44,"58,088",1.15,-,-,"25,616",5.23,"137,266",3.63,"74,608",-11.67,"236,350",2.88,"172,718",6.60,"740,090",20.76,"334,241",4.74,"107,563",4.22,"138,404",9.30,"109,805",4.74,-,-,"15,503",-8.91,"44,719",2.84,-,-
2006M02,"2,888,420",7.57,"130,556",0.13,-,-,361,37.26,"175,921",0.20,"28,713",-3.77,"23,080",17.88,"9,720",-0.87,"32,477",-3.65,"35,767",14.21,"100,772",-6.99,"163,665",21.40,"62,687",9.87,-,-,"25,351",11.30,"136,657",4.06,"71,622",-15.33,"232,703",4.24,"172,695",5.34,"738,482",19.68,"327,609",3.96,"106,855",2.67,"141,409",12.27,"111,080",5.17,-,-,"15,675",-6.97,"44,563",1.30,-,-
2006M03,"2,874,471",5.77,"126,208",-2.84,-,-,296,18.88,"177,417",0.84,"27,426",-8.02,"23,252",28.10,"9,614",-2.48,"34,794",5.16,"31,212",2.55,"102,069",3.89,"162,889",20.58,"63,312",12.02,-,-,"25,579",3.92,"136,573",4.57,"74,885",-9.53,"231,594",1.65,"171,038",4.26,"732,880",11.86,"326,397",3.70,"104,512",-3.20,"142,056",11.28,"111,797",6.54,-,-,"15,447",-8.51,"43,224",-0.06,-,-
2006M04,"2,869,553",6.38,"121,900",-4.55,-,-,292,24.26,"176,819",1.88,"27,986",-6.13,"24,188",32.11,"9,631",-1.59,"31,046",-5.71,"34,003",14.02,"104,451",4.64,"161,499",22.28,"62,097",11.47,-,-,"25,547",4.54,"131,249",0.71,"74,647",-8.87,"228,696",1.36,"171,820",4.50,"742,365",12.09,"329,976",7.75,"104,719",3.48,"139,758",10.02,"110,513",6.62,-,-,"14,899",-10.98,"41,452",-5.36,-,-
2006M05,"2,929,740",6.79,"117,560",-7.30,-,-,341,5.25,"176,443",-0.05,"28,756",-2.01,"24,733",31.36,"9,641",-2.07,"32,796",1.08,"34,366",16.33,"123,367",28.64,"178,470",31.98,"61,066",11.45,-,-,"25,022",1.33,"134,015",3.55,"76,234",-5.62,"227,138",-4.15,"175,747",5.13,"743,868",9.02,"342,393",9.42,"105,759",0.71,"142,198",11.07,"111,873",6.54,-,-,"15,237",-9.56,"42,717",-4.73,-,-
2006M06,"2,990,246",8.03,"120,040",-8.42,-,-,309,6.92,"178,311",-0.43,"29,825",-0.18,"26,752",41.66,"9,922",-1.26,"34,336",2.64,"33,809",16.08,"127,771",52.19,"179,033",31.79,"64,183",15.41,-,-,"25,038",1.40,"137,223",4.75,"82,649",-1.43,"238,585",-2.28,"182,258",6.84,"769,071",11.61,"324,897",4.84,"108,532",1.20,"145,582",11.30,"113,584",7.37,-,-,"15,527",-10.17,"43,009",-6.90,-,-
2006M07,"2,969,435",7.77,"118,686",-9.03,-,-,297,9.19,"175,010",-0.47,"29,664",-0.47,"26,968",44.67,"9,907",1.36,"33,990",5.74,"33,050",12.46,"118,202",45.25,"176,175",19.83,"62,551",14.74,-,-,"25,473",1.40,"133,627",1.34,"80,165",-0.41,"240,959",0.47,"181,024",6.61,"772,838",12.80,"325,294",2.86,"111,137",7.03,"142,100",9.59,"113,102",9.67,-,-,"15,930",-4.17,"43,286",-2.38,-,-
2006M08,"3,042,227",8.93,"116,605",-10.69,-,-,300,35.14,"175,126",0.84,"29,563",-2.00,"28,641",54.30,"10,029",-2.07,"34,931",7.33,"33,300",12.50,"145,440",67.15,"187,318",21.49,"66,809",23.74,-,-,"26,244",5.05,"129,418",-6.48,"74,943",-6.72,"251,038",2.78,"181,170",6.79,"795,494",14.04,"334,176",6.71,"109,032",4.56,"144,092",7.18,"112,167",9.26,-,-,"15,553",-2.78,"40,838",-11.89,-,-
2006M09,"3,124,059",10.50,"117,337",-6.32,-,-,494,137.50,"179,013",2.22,"28,992",-1.97,"30,767",66.75,"10,422",2.92,"35,940",3.50,"32,296",6.63,"152,669",63.58,"191,730",22.68,"65,741",19.60,-,-,"26,666",5.73,"141,476",4.17,"78,176",-9.19,"247,004",-0.25,"183,412",7.63,"816,845",15.37,"352,080",13.48,"116,242",8.83,"144,167",4.87,"115,299",7.96,-,-,"16,178",-1.35,"41,113",-14.24,-,-
2006M10,"3,135,498",10.51,"117,826",-8.40,-,-,409,66.26,"185,434",5.08,"29,046",-4.04,"30,286",37.37,"10,388",6.08,"35,292",3.67,"32,554",-6.03,"155,993",79.09,"182,290",17.35,"65,150",19.88,-,-,"26,589",7.16,"130,097",-3.59,"79,168",-2.75,"254,544",5.14,"183,791",6.97,"820,358",14.48,"350,073",8.73,"125,801",19.60,"146,743",7.26,"119,051",11.49,-,-,"16,289",3.97,"38,326",-17.29,-,-
2006M11,"3,120,363",9.73,"119,252",-10.75,-,-,312,9.47,"179,042",-0.39,"29,375",-1.96,"30,955",38.40,"10,447",7.27,"35,039",3.00,"33,751",1.01,"135,699",62.43,"179,732",13.39,"64,253",13.80,-,-,"26,545",4.35,"125,900",-6.84,"79,016",-2.50,"258,793",6.78,"181,206",5.03,"828,446",15.43,"359,825",12.24,"118,766",15.61,"148,538",8.65,"122,460",15.01,-,-,"16,870",8.68,"36,141",-20.97,-,-
2006M12,"3,113,906",6.95,"120,811",-12.63,-,-,311,6.51,"178,705",-3.83,"29,207",-0.91,"30,517",31.19,"10,802",5.01,"37,361",7.13,"34,566",2.72,"131,316",45.16,"181,295",9.80,"63,615",9.99,-,-,"25,439",-1.38,"132,652",-3.99,"80,708",3.71,"259,118",4.49,"189,589",5.77,"825,723",12.10,"340,048",7.21,"116,668",8.22,"148,188",5.70,"123,392",12.43,-,-,"16,953",4.60,"36,922",-18.67,-,-
2007M01,"3,080,978",6.51,"114,709",-14.29,-,-,239,-15.85,"169,875",-7.35,"29,670",0.78,"29,228",28.38,"11,101",12.94,"34,997",7.77,"33,469",3.04,"125,797",36.17,"180,625",12.33,"63,838",9.90,-,-,"25,604",-0.05,"129,556",-5.62,"77,423",3.77,"253,377",7.20,"186,092",7.74,"821,742",11.03,"351,203",5.07,"117,134",8.90,"146,455",5.82,"125,462",14.26,-,-,"16,700",7.72,"36,682",-17.97,-,-
2007M02,"3,085,795",6.83,"116,096",-11.08,-,-,215,-40.44,"171,138",-2.72,"29,563",2.96,"30,812",33.50,"10,839",11.51,"36,203",11.47,"32,048",-10.40,"112,832",11.97,"174,754",6.78,"66,252",5.69,-,-,"26,422",4.22,"127,581",-6.64,"76,883",7.35,"253,777",9.06,"188,776",9.31,"832,942",12.79,"351,726",7.36,"117,370",9.84,"147,711",4.46,"128,631",15.80,-,-,"16,796",7.15,"36,428",-18.26,-,-
2007M03,"3,067,352",6.71,"114,150",-9.55,-,-,222,-25.00,"170,623",-3.83,"28,682",4.58,"31,123",33.85,"10,887",13.24,"36,601",5.19,"32,069",2.75,"109,075",6.86,"179,945",10.47,"65,228",3.03,-,-,"25,962",1.50,"130,643",-4.34,"78,620",4.99,"251,481",8.59,"186,814",9.22,"823,889",12.42,"348,307",6.71,"120,013",14.83,"148,362",4.44,"121,013",8.24,-,-,"16,839",9.01,"36,804",-14.85,-,-
2007M04,"3,072,060",7.06,"118,710",-2.62,"7,177",-,218,-25.34,"159,939",-9.55,"25,622",-8.45,"31,763",31.32,"11,235",16.65,"34,872",12.32,"29,962",-11.88,"112,126",7.35,"200,939",24.42,"69,210",11.45,"18,477",-,"27,376",7.16,"117,543",-10.44,"75,854",1.62,"234,491",2.53,"227,037",32.14,"879,466",18.47,"264,081",-19.97,"131,141",25.23,"123,927",-11.33,"140,770",27.38,"69,332",-,"13,723",-7.89,"38,087",-8.12,"3,968",-
2007M05,"3,097,387",5.72,"118,894",1.13,"9,003",-,444,30.21,"159,311",-9.71,"26,781",-6.87,"32,202",30.20,"11,404",18.29,"34,638",5.62,"28,818",-16.14,"114,772",-6.97,"208,313",16.72,"70,670",15.73,"18,480",-,"25,078",0.22,"122,175",-8.83,"72,574",-4.80,"247,967",9.17,"233,595",32.92,"878,652",18.12,"254,439",-25.69,"134,478",27.16,"124,539",-12.42,"142,007",26.94,"71,507",-,"13,821",-9.29,"37,386",-12.48,"4,429",-
2007M06,"3,110,191",4.01,"117,145",-2.41,"8,298",-,713,130.74,"158,318",-11.21,"26,290",-11.85,"32,501",21.49,"11,505",15.95,"35,569",3.59,"26,007",-23.08,"114,620",-10.29,"201,380",12.48,"72,476",12.92,"18,717",-,"25,170",0.53,"118,700",-13.50,"74,542",-9.81,"242,779",1.76,"240,004",31.68,"901,889",17.27,"253,393",-22.01,"132,274",21.88,"128,281",-11.88,"138,878",22.27,"70,552",-,"13,956",-10.12,"39,474",-8.22,"4,327",-
