期間,合計_原始值,合計_年增率(%),"新台幣1,000,000以下_原始值","新台幣1,000,000以下_年增率(%)","1,000,001-5,000,000元_原始值","1,000,001-5,000,000元_年增率(%)","5,000,001-10,000,000元_原始值","5,000,001-10,000,000元_年增率(%)","10,000,001-50,000,000元_原始值","10,000,001-50,000,000元_年增率(%)","50,000,001-100,000,000元_原始值","50,000,001-100,000,000元_年增率(%)","100,000,001元以上_原始值","100,000,001元以上_年增率(%)"
2005M09,"15,693,025",9.48,"2,447,849",18.74,"4,070,094",6.34,"1,063,669",12.95,"1,949,802",13.74,"833,636",6.44,"5,327,976",6.42
2005M10,"15,631,581",8.72,"2,450,097",17.47,"4,083,981",6.11,"1,076,737",13.67,"1,966,587",14.64,"829,890",6.33,"5,224,289",4.48
2005M11,"15,778,699",8.02,"2,448,214",14.92,"4,093,075",5.54,"1,094,748",14.05,"2,000,364",8.56,"837,835",5.94,"5,304,463",5.98
2005M12,"16,098,378",8.32,"2,450,428",12.28,"4,114,200",4.99,"1,123,719",14.05,"2,046,040",8.52,"848,986",4.79,"5,515,005",8.55
2006M01,"16,173,181",8.79,"2,416,662",8.70,"4,108,751",4.65,"1,129,295",15.56,"2,034,129",10.23,"843,573",5.35,"5,640,771",10.76
2006M02,"16,174,133",8.45,"2,385,626",6.46,"4,095,654",4.46,"1,134,477",16.02,"1,936,224",5.00,"841,554",4.83,"5,780,598",12.75
2006M03,"16,146,052",6.71,"2,330,195",1.58,"4,099,526",3.83,"1,152,219",16.44,"1,952,495",4.66,"849,841",5.08,"5,761,777",10.29
2006M04,"16,157,925",6.94,"2,289,196",-1.54,"4,099,831",3.42,"1,165,827",17.13,"1,965,131",5.06,"854,012",6.55,"5,783,927",12.26
2006M05,"16,258,311",6.38,"2,253,743",-4.26,"4,113,189",2.85,"1,189,995",17.91,"1,994,633",4.73,"866,477",7.24,"5,840,274",12.13
2006M06,"16,280,713",5.45,"2,216,689",-7.36,"4,131,304",2.62,"1,223,865",18.53,"2,047,478",5.36,"884,262",7.52,"5,777,115",10.64
2006M07,"16,169,536",4.74,"2,186,804",-9.25,"4,130,780",2.29,"1,238,396",19.62,"2,044,441",6.74,"878,948",7.95,"5,690,167",8.90
2006M08,"16,169,445",4.33,"2,166,368",-10.61,"4,130,102",1.88,"1,253,666",19.71,"2,070,143",7.39,"901,959",9.48,"5,647,207",8.14
2006M09,"16,257,758",3.60,"2,123,389",-13.25,"4,123,637",1.32,"1,275,283",19.89,"2,097,717",7.59,"909,746",9.13,"5,727,986",7.51
2006M10,"16,258,424",4.01,"2,091,201",-14.65,"4,119,346",0.87,"1,295,481",20.32,"2,129,223",8.27,"918,131",10.63,"5,705,042",9.20
2006M11,"16,314,402",3.40,"2,061,596",-15.79,"4,119,898",0.66,"1,320,315",20.60,"2,146,161",7.29,"925,641",10.48,"5,740,791",8.23
2006M12,"16,501,113",2.50,"2,033,949",-17.00,"4,129,879",0.38,"1,358,051",20.85,"2,192,220",7.14,"940,736",10.81,"5,846,279",6.01
2007M01,"16,565,127",2.42,"2,004,523",-17.05,"4,121,921",0.32,"1,370,370",21.35,"2,182,967",7.32,"919,375",8.99,"5,965,970",5.77
2007M02,"16,645,515",2.91,"1,973,324",-17.28,"4,108,665",0.32,"1,385,275",22.11,"2,203,320",13.79,"931,685",10.71,"6,043,246",4.54
2007M03,"16,644,077",3.08,"1,933,012",-17.05,"4,091,792",-0.19,"1,403,431",21.80,"2,224,348",13.92,"934,778",9.99,"6,056,717",5.12
2007M04,"16,664,719",3.14,"1,908,993",-16.61,"4,087,949",-0.29,"1,424,978",22.23,"2,246,738",14.33,"942,927",10.41,"6,053,135",4.65
2007M05,"16,698,934",2.71,"1,888,319",-16.21,"4,088,982",-0.59,"1,452,469",22.06,"2,288,099",14.71,"965,107",11.38,"6,015,957",3.01
2007M06,"16,685,247",2.48,"1,864,991",-15.87,"4,090,807",-0.98,"1,475,543",20.56,"2,314,233",13.03,"975,471",10.31,"5,964,202",3.24
2007M07,"16,764,536",3.68,"1,846,119",-15.58,"4,097,299",-0.81,"1,496,701",20.86,"2,329,539",13.95,"983,264",11.87,"6,011,613",5.65
2007M08,"16,745,740",3.56,"1,813,220",-16.30,"4,097,245",-0.80,"1,508,188",20.30,"2,344,540",13.25,"987,214",9.45,"5,995,333",6.16
2007M09,"16,818,155",3.45,"1,789,684",-15.72,"4,085,044",-0.94,"1,521,809",19.33,"2,358,822",12.45,"990,144",8.84,"6,072,652",6.02
2007M10,"16,779,098",3.20,"1,766,246",-15.54,"4,076,461",-1.04,"1,535,629",18.54,"2,375,271",11.56,"987,453",7.55,"6,038,039",5.84
2007M11,"16,772,693",2.81,"1,754,958",-14.87,"4,074,714",-1.10,"1,554,906",17.77,"2,395,109",11.60,"984,406",6.35,"6,008,600",4.67
2007M12,"16,944,572",2.69,"1,742,751",-14.32,"4,076,985",-1.28,"1,575,887",16.04,"2,424,427",10.59,"986,384",4.85,"6,138,138",4.99
2008M01,"17,018,645",2.74,"1,718,743",-14.26,"4,067,588",-1.32,"1,584,550",15.63,"2,425,860",11.13,"995,122",8.24,"6,226,783",4.37
2008M02,"16,984,176",2.03,"1,692,821",-14.21,"4,042,915",-1.60,"1,584,863",14.41,"2,432,116",10.38,"997,661",7.08,"6,233,800",3.15
2008M03,"17,041,086",2.39,"1,668,166",-13.70,"4,041,102",-1.24,"1,599,029",13.94,"2,449,906",10.14,"1,001,851",7.18,"6,281,032",3.70
2008M04,"17,038,160",2.24,"1,654,865",-13.31,"4,039,474",-1.19,"1,615,486",13.37,"2,473,957",10.11,"1,005,004",6.58,"6,249,374",3.24
2008M05,"17,140,426",2.64,"1,647,737",-12.74,"4,044,715",-1.08,"1,635,410",12.60,"2,498,306",9.19,"1,015,785",5.25,"6,298,473",4.70
2008M06,"17,241,592",3.33,"1,633,557",-12.41,"4,055,503",-0.86,"1,665,297",12.86,"2,553,282",10.33,"1,032,061",5.80,"6,301,892",5.66
2008M07,"17,310,048",3.25,"1,616,995",-12.41,"4,048,161",-1.20,"1,672,517",11.75,"2,542,650",9.15,"1,022,864",4.03,"6,406,861",6.57
2008M08,"17,302,581",3.33,"1,601,230",-11.69,"4,031,584",-1.60,"1,671,233",10.81,"2,542,397",8.44,"1,025,534",3.88,"6,430,602",7.26
2008M09,"17,399,432",3.46,"1,570,293",-12.26,"4,020,216",-1.59,"1,678,524",10.30,"2,560,504",8.55,"1,048,560",5.90,"6,521,335",7.39
2008M10,"17,483,391",4.20,"1,571,932",-11.00,"4,005,628",-1.74,"1,671,672",8.86,"2,555,814",7.60,"1,057,148",7.06,"6,621,197",9.66
2008M11,"17,472,797",4.17,"1,566,161",-10.76,"3,998,337",-1.87,"1,659,345",6.72,"2,545,391",6.27,"1,048,759",6.54,"6,654,804",10.75
2008M12,"17,378,376",2.56,"1,562,161",-10.36,"4,001,508",-1.85,"1,655,672",5.06,"2,543,899",4.93,"1,035,088",4.94,"6,580,048",7.20
2009M01,"17,262,703",1.43,"1,544,590",-10.13,"3,979,280",-2.17,"1,625,339",2.57,"2,483,268",2.37,"1,008,937",1.39,"6,621,289",6.34
2009M02,"17,061,257",0.45,"1,518,785",-10.28,"3,954,018",-2.20,"1,602,442",1.11,"2,447,467",0.63,"986,318",-1.14,"6,552,227",5.11
2009M03,"17,010,372",-0.18,"1,500,586",-10.05,"3,957,633",-2.07,"1,591,293",-0.48,"2,429,274",-0.84,"983,675",-1.81,"6,547,912",4.25
2009M04,"16,991,459",-0.27,"1,495,727",-9.62,"3,968,179",-1.76,"1,582,624",-2.03,"2,414,870",-2.39,"972,238",-3.26,"6,557,821",4.94
2009M05,"16,968,121",-1.01,"1,495,964",-9.21,"3,990,386",-1.34,"1,581,716",-3.28,"2,416,173",-3.29,"969,887",-4.52,"6,513,995",3.42
2009M06,"17,011,706",-1.33,"1,495,089",-8.48,"4,030,686",-0.61,"1,591,246",-4.45,"2,452,527",-3.95,"980,537",-4.99,"6,461,621",2.53
2009M07,"17,043,005",-1.54,"1,475,099",-8.78,"4,062,820",0.36,"1,578,601",-5.62,"2,418,282",-4.89,"968,122",-5.35,"6,540,081",2.08
2009M08,"17,154,480",-0.86,"1,474,915",-7.89,"4,097,839",1.64,"1,583,396",-5.26,"2,442,128",-3.94,"966,565",-5.75,"6,589,637",2.47
2009M09,"17,195,367",-1.17,"1,475,340",-6.05,"4,122,696",2.55,"1,593,743",-5.05,"2,457,521",-4.02,"974,372",-7.08,"6,571,695",0.77
2009M10,"17,121,968",-2.07,"1,457,244",-7.30,"4,122,220",2.91,"1,608,183",-3.80,"2,475,901",-3.13,"980,620",-7.24,"6,477,800",-2.17
2009M11,"17,256,926",-1.24,"1,462,856",-6.60,"4,121,712",3.09,"1,623,227",-2.18,"2,505,952",-1.55,"982,868",-6.28,"6,560,311",-1.42
2009M12,"17,554,377",1.01,"1,469,595",-5.93,"4,128,720",3.18,"1,652,534",-0.19,"2,576,240",1.27,"1,007,787",-2.64,"6,719,501",2.12
