期間,證券投資--政府債券_原始值,證券投資--政府債券_年增率(%),證券投資--金融債券及定期存單_原始值,證券投資--金融債券及定期存單_年增率(%),證券投資--公司債券_原始值,證券投資--公司債券_年增率(%),存放央行--支票存款_原始值,存放央行--支票存款_年增率(%),存放央行--定期存款_原始值,存放央行--定期存款_年增率(%),庫存現金_原始值,庫存現金_年增率(%),固定資產_原始值,固定資產_年增率(%),其他資產_原始值,其他資產_年增率(%),資產合計(淨額)=負債合計(淨額)_原始值,資產合計(淨額)=負債合計(淨額)_年增率(%),賠款準備_原始值,賠款準備_年增率(%),其他負債(淨額)_原始值,其他負債(淨額)_年增率(%),淨值_原始值,淨值_年增率(%)
2005M09,"1,399",-6.36,"4,471",22.83,-,-,4,-94.94,"20,592",2.90,-,-,544,-1.09,388,25.57,"27,398",5.04,"13,241",11.41,"2,880",-1.44,"11,277",0.00
2005M10,"1,399",-6.36,"4,471",13.10,-,-,4,-33.33,"19,451",4.97,-,-,543,-1.45,853,15.27,"26,721",5.73,"13,362",12.08,"2,082",0.34,"11,277",0.00
2005M11,"1,399",-0.36,"4,471",13.10,-,-,5,-28.57,"19,539",4.51,-,-,543,-1.45,640,18.08,"26,597",5.74,"13,485",12.02,"1,835",-0.16,"11,277",0.00
2005M12,"1,398",-0.36,"4,449",13.15,-,-,6,-53.85,"19,613",5.88,-,-,544,-1.63,358,12.23,"26,368",6.56,"13,579",11.73,"1,512",15.07,"11,277",0.00
2006M01,"1,399",-0.29,"4,449",13.15,-,-,6,-95.71,"20,168",5.21,-,-,543,-1.63,"1,789",12.73,"28,354",5.87,"13,718",11.69,"3,359",4.19,"11,277",0.00
2006M02,"1,398",-0.36,"4,449",13.15,-,-,5,-28.57,"21,468",4.38,-,-,542,-1.63,438,13.18,"28,300",5.41,"13,867",11.66,"3,156",0.13,"11,277",0.00
2006M03,"1,398",-0.36,"4,447",7.68,-,-,4,-50.00,"21,611",5.87,-,-,540,-1.82,444,13.85,"28,444",5.76,"13,965",11.60,"3,202",3.16,"11,277",0.00
2006M04,"1,398",-0.36,"4,440",7.71,-,-,5,150.00,"20,303",6.04,-,-,539,-1.64,899,7.79,"27,584",5.87,"14,096",11.52,"2,211",3.41,"11,277",0.00
2006M05,"1,398",-0.36,"5,031",22.20,-,-,9,-94.38,"19,729",3.81,-,-,538,-1.65,670,9.66,"27,375",5.93,"14,224",11.52,"1,874",3.54,"11,277",0.00
2006M06,"1,396",-0.36,"5,031",9.44,-,-,8,33.33,"19,637",4.79,-,-,538,-1.47,447,11.47,"27,057",5.32,"14,355",11.48,"1,425",-7.29,"11,277",0.00
2006M07,"1,396",-0.36,"5,031",9.44,-,-,3,-97.87,"20,371",6.08,-,-,537,-1.47,"1,642",-8.57,"28,980",4.68,"14,496",11.45,"3,207",-5.68,"11,277",0.00
2006M08,"1,396",-0.36,"4,907",9.75,-,-,5,25.00,"21,889",5.35,-,-,536,-1.65,369,-1.07,"29,102",5.55,"14,628",11.24,"3,197",1.65,"11,277",0.00
2006M09,"1,394",-0.36,"4,907",9.75,-,-,5,25.00,"21,604",4.91,-,-,535,-1.65,382,-1.55,"28,827",5.22,"14,718",11.15,"2,832",-1.67,"11,277",0.00
2006M10,"1,394",-0.36,"4,907",9.75,-,-,5,25.00,"20,278",4.25,-,-,534,-1.66,834,-2.23,"27,952",4.61,"14,864",11.24,"1,811",-13.02,"11,277",0.00
2006M11,"1,394",-0.36,"4,807",7.52,-,-,7,40.00,"20,330",4.05,-,-,534,-1.66,626,-2.19,"27,698",4.14,"15,000",11.23,"1,421",-22.56,"11,277",0.00
2006M12,"1,393",-0.36,"4,504",1.24,-,-,7,16.67,"20,682",5.45,-,-,538,-1.10,414,15.64,"27,538",4.44,"15,125",11.39,"1,136",-24.87,"11,277",0.00
2007M01,"1,394",-0.36,"4,504",1.24,-,-,90,"1,400.00","21,944",8.81,-,-,537,-1.10,"1,335",-25.38,"29,804",5.11,"15,275",11.35,"3,252",-3.19,"11,277",0.00
2007M02,"1,393",-0.36,"4,504",1.24,-,-,5,0.00,"22,679",5.64,-,-,536,-1.11,490,11.87,"29,607",4.62,"15,427",11.25,"2,903",-8.02,"11,277",0.00
2007M03,"1,393",-0.36,"3,601",-19.02,-,-,6,50.00,"23,526",8.86,-,-,535,-0.93,494,11.26,"29,555",3.91,"15,535",11.24,"2,743",-14.33,"11,277",0.00
2007M04,"1,393",-0.36,"2,789",-37.18,-,-,3,-40.00,"23,011",13.34,-,-,534,-0.93,940,4.56,"28,670",3.94,"15,667",11.15,"1,726",-21.94,"11,277",0.00
2007M05,"1,293",-7.51,"2,384",-52.61,-,-,4,-55.56,"23,214",17.66,-,-,533,-0.93,722,7.76,"28,150",2.83,"15,802",11.09,"1,071",-42.85,"11,277",0.00
2007M06,"1,291",-7.52,"2,384",-52.61,-,-,6,-25.00,"22,628",15.23,-,-,532,-1.12,502,12.30,"27,343",1.06,"15,945",11.08,121,-91.51,"11,277",0.00
2007M07,"1,291",-7.52,"2,384",-52.61,-,-,3,0.00,"22,619",11.04,-,-,532,-0.93,479,-70.83,"27,308",-5.77,"15,945",10.00,86,-97.32,"11,277",0.00
