期間,證券投資--小計_原始值,證券投資--小計_年增率(%),證券投資--政府債券_原始值,證券投資--政府債券_年增率(%),證券投資--金融機構債券_原始值,證券投資--金融機構債券_年增率(%),證券投資--公司債_原始值,證券投資--公司債_年增率(%),證券投資--可轉讓定期存單_原始值,證券投資--可轉讓定期存單_年增率(%),證券投資--商業本票_原始值,證券投資--商業本票_年增率(%),證券投資--承兌匯票_原始值,證券投資--承兌匯票_年增率(%),存放銀行_原始值,存放銀行_年增率(%),庫存現金_原始值,庫存現金_年增率(%),資產合計(淨額)=負債合計(淨額)_原始值,資產合計(淨額)=負債合計(淨額)_年增率(%),借入款_原始值,借入款_年增率(%),淨值_原始值,淨值_年增率(%),其他項目(淨額)_原始值,其他項目(淨額)_年增率(%),保證_原始值,保證_年增率(%),附買回交易_原始值,附買回交易_年增率(%)
2005M09,"1,117,193",14.09,"479,609",3.49,"71,349",64.49,"69,235",156.71,"119,347",16.97,"377,231",10.03,422,-27.49,"88,467",20.97,"40,153",-14.14,"1,245,812",13.34,"95,753",47.26,"134,743",-0.84,"3,727",--,"465,677",-2.93,"1,011,589",12.29
2005M10,"1,092,279",11.74,"474,500",1.60,"69,071",42.41,"69,741",138.88,"118,763",12.42,"359,798",10.17,406,-24.39,"88,527",30.18,"42,491",-25.18,"1,223,297",10.98,"75,951",25.50,"135,814",-0.85,"4,011",--,"456,418",-2.70,"1,007,521",11.13
2005M11,"1,073,590",9.52,"448,833",-1.78,"74,555",52.80,"75,276",116.70,"120,818",7.88,"353,690",8.07,418,-19.46,"90,573",32.62,"52,424",-31.95,"1,216,586",8.08,"86,331",36.15,"136,867",-0.97,"3,625",--,"451,239",-4.98,"989,763",6.82
2005M12,"1,144,945",13.87,"473,983",2.92,"84,778",64.54,"82,679",112.70,"109,139",-9.08,"393,946",17.92,420,-7.08,"96,917",28.56,"70,243",12.50,"1,312,104",14.76,"101,498",72.30,"137,738",-1.05,-231,--,"478,461",-3.92,"1,073,099",13.18
2006M01,"1,148,833",10.50,"489,079",5.17,"84,280",54.69,"86,652",102.54,"120,522",-4.12,"367,812",4.73,488,19.61,"86,088",15.26,"72,768",-5.01,"1,307,688",9.80,"97,422",37.27,"151,519",7.75,"-4,853",--,"461,779",-2.59,"1,063,600",8.69
2006M02,"1,178,298",13.07,"489,446",5.91,"84,033",56.37,"88,596",102.56,"135,387",2.50,"380,347",8.72,489,-2.20,"81,521",5.66,"72,338",-9.65,"1,332,156",11.08,"111,490",62.35,"151,478",6.81,"-12,390",--,"462,218",-2.37,"1,081,578",9.28
2006M03,"1,138,448",7.74,"469,878",-0.78,"84,501",50.60,"94,025",104.12,"123,017",-0.73,"366,625",2.87,402,-27.57,"82,581",-0.94,"63,871",-17.72,"1,284,899",5.53,"68,330",-2.91,"149,558",7.76,"-2,837",--,"453,426",-3.31,"1,069,848",6.58
2006M04,"1,170,484",8.83,"483,326",-0.85,"86,522",48.06,"92,947",81.35,"143,769",20.39,"363,468",1.41,452,-4.64,"80,553",-12.15,"50,218",-33.55,"1,301,254",4.71,"74,900",-3.44,"141,121",2.52,"-1,689",--,"456,468",-0.23,"1,086,922",5.80
2006M05,"1,140,499",4.56,"452,808",-9.85,"87,355",48.58,"91,443",70.56,"146,017",16.13,"362,431",3.56,445,20.27,"81,471",-8.97,"49,848",-38.95,"1,271,818",0.79,"87,268",9.78,"135,546",3.16,870,-71.07,"451,920",-1.39,"1,048,134",0.01
2006M06,"1,109,186",1.51,"435,212",-15.76,"87,982",42.36,"94,313",57.31,"133,159",25.16,"358,014",3.02,506,19.62,"77,800",-17.31,"66,070",18.13,"1,253,056",0.83,"73,007",2.63,"134,867",3.01,-846,--,"449,940",-2.97,"1,046,028",0.93
2006M07,"1,110,221",-1.99,"430,692",-15.20,"93,044",49.83,"93,902",51.77,"133,083",8.11,"359,042",-4.87,458,4.81,"71,871",-23.23,"62,622",37.60,"1,244,714",-2.14,"61,661",-22.92,"136,511",3.34,"3,244",16.99,"446,238",-4.58,"1,043,298",-1.30
2006M08,"1,091,078",-0.47,"438,398",-8.73,"93,786",42.07,"97,333",52.74,"129,983",2.74,"330,947",-7.88,631,59.75,"71,770",-25.00,"28,975",-36.37,"1,191,823",-3.69,"82,571",0.76,"140,026",4.92,"-4,775",--,"442,484",-5.87,"974,001",-4.49
