期間,放款_原始值,放款_年增率(%),投資--對非金融機構證券投資--政府機關_原始值,投資--對非金融機構證券投資--政府機關_年增率(%),投資--對非金融機構證券投資--公營事業_原始值,投資--對非金融機構證券投資--公營事業_年增率(%),投資--對非金融機構證券投資--民營事業_原始值,投資--對非金融機構證券投資--民營事業_年增率(%),對金融機構證券投資_原始值,對金融機構證券投資_年增率(%),對金融機構債權_原始值,對金融機構債權_年增率(%),庫存現金_原始值,庫存現金_年增率(%),資產合計(淨額)=負債合計(淨額)_原始值,資產合計(淨額)=負債合計(淨額)_年增率(%),借入款_原始值,借入款_年增率(%),應付融券價款_原始值,應付融券價款_年增率(%),存入保證金_原始值,存入保證金_年增率(%),應付票據_原始值,應付票據_年增率(%),其他項目(淨額)_原始值,其他項目(淨額)_年增率(%)
2005M09,"43,032",-30.73,"2,665",-45.19,-,-,"8,028",-38.61,"4,690",26.72,"1,440",-74.93,3,0.00,"59,858",-33.16,"14,027",-26.19,"4,361",-31.81,"3,530",-32.30,"15,620",-50.96,"22,320",-17.62
2005M10,"41,496",-32.36,"2,467",-45.03,-,-,"9,694",-24.16,"4,569",18.92,"1,649",-71.18,3,0.00,"59,878",-32.13,"12,810",-29.14,"3,345",-25.86,"2,798",-26.29,"18,510",-46.01,"22,415",-18.66
2005M11,"40,712",-30.05,"2,362",-30.90,-,-,"10,243",-14.80,"4,769",30.30,"1,369",-75.76,3,0.00,"59,458",-28.36,"14,119",-2.18,"5,308",-9.71,"4,525",-8.99,"13,230",-56.91,"22,276",-17.52
2005M12,"46,357",-18.74,"2,670",-26.37,-,-,"9,992",-18.15,"5,334",33.05,"1,512",-74.39,3,0.00,"65,868",-20.49,"22,078",9.50,"5,451",-11.52,"4,702",-9.75,"12,060",-51.13,"21,577",-18.98
2006M01,"48,156",-10.70,"3,605",7.16,-,-,"7,873",-29.91,"4,935",15.33,"1,615",-69.16,3,0.00,"66,187",-15.24,"18,584",55.11,"3,973",-24.63,"3,365",-23.28,"19,510",-33.77,"20,755",-23.10
2006M02,"47,188",-9.86,"2,664",-15.54,-,-,"6,644",-37.80,"4,934",7.75,"1,597",-68.88,3,0.00,"63,030",-17.01,"12,922",18.14,"3,260",-39.38,"2,792",-36.15,"22,130",-21.08,"21,926",-19.44
2006M03,"48,287",-1.49,"3,354",21.92,-,-,"6,376",-45.58,"4,928",7.69,"1,498",-70.91,3,0.00,"64,446",-12.07,"12,484",-10.23,"3,145",1.09,"2,735",6.38,"24,220",-9.73,"21,862",-18.65
2006M04,"49,895",17.14,"3,175",24.56,-,-,"7,196",-27.79,"4,927",7.69,"1,492",-22.29,3,0.00,"66,688",8.06,"12,418",14.68,"3,246",17.48,"2,710",14.54,"26,000",16.70,"22,314",-4.96
2006M05,"54,930",36.74,"4,227",65.89,-,-,"8,058",-18.08,"4,825",10.31,"1,599",-12.67,3,0.00,"73,642",25.09,"17,176",92.82,"4,033",-4.77,"3,167",-10.86,"27,040",44.68,"22,226",-5.36
2006M06,"47,863",15.71,"4,321",69.65,-,-,"7,556",-26.79,"4,824",10.29,"1,697",25.15,2,-33.33,"66,263",10.30,"18,682",64.44,"3,133",-36.45,"2,695",-32.12,"19,580",20.34,"22,173",-5.83
2006M07,"46,358",4.05,"4,370",53.12,-,-,"7,281",-19.95,"4,893",9.39,"1,659",15.37,1,-66.67,"64,562",3.25,"13,619",53.52,"3,000",-21.40,"2,482",-19.18,"23,270",1.97,"22,191",-7.34
2006M08,"44,275",-0.59,"2,905",5.64,-,-,"7,590",-13.53,"4,821",5.42,"1,535",4.78,1,-66.67,"61,127",-1.58,"10,616",-12.46,"3,712",-10.14,"3,013",-10.35,"21,290",9.74,"22,496",-2.56
2006M09,"44,603",3.65,"2,948",10.62,-,-,"7,488",-6.73,"4,819",2.75,"1,505",4.51,1,-66.67,"61,364",2.52,"16,038",14.34,"5,165",18.44,"4,158",17.79,"13,270",-15.04,"22,733",1.85
2006M10,"46,278",11.52,"2,850",15.52,-,-,"7,792",-19.62,"4,818",5.45,"1,649",0.00,1,-66.67,"63,388",5.86,"15,080",17.72,"4,642",38.77,"3,895",39.21,"16,940",-8.48,"22,831",1.86
2006M11,"49,788",22.29,"2,802",18.63,-,-,"7,866",-23.21,"4,817",1.01,"1,555",13.59,1,-66.67,"66,829",12.40,"13,870",-1.76,"6,087",14.68,"5,005",10.61,"18,650",40.97,"23,217",4.22
2006M12,"53,533",15.48,"2,645",-0.94,-,-,"8,611",-13.82,"4,816",-9.71,"1,607",6.28,1,-66.67,"71,213",8.11,"18,608",-15.72,"5,124",-6.00,"4,415",-6.10,"19,400",60.86,"23,666",9.68
2007M01,"56,284",16.88,"2,746",-23.83,-,-,"7,732",-1.79,"4,815",-2.43,"1,708",5.76,1,-66.67,"73,286",10.73,"17,343",-6.68,"4,654",17.14,"3,974",18.10,"23,560",20.76,"23,755",14.45
2007M02,"53,683",13.76,"2,549",-4.32,-,-,"7,271",9.44,"4,814",-2.43,"1,934",21.10,1,-66.67,"70,252",11.46,"16,337",26.43,"4,505",38.19,"3,738",33.88,"21,960",-0.77,"23,712",8.15
2007M03,"57,264",18.59,"3,343",-0.33,-,-,"7,406",16.15,"4,813",-2.33,"1,816",21.23,1,-66.67,"74,643",15.82,"19,953",59.83,"3,177",1.02,"2,781",1.68,"25,130",3.76,"23,602",7.96
2007M04,"60,823",21.90,"3,636",14.52,-,-,"7,223",0.38,"4,812",-2.33,"1,845",23.66,1,-66.67,"78,340",17.47,"23,857",92.12,"2,430",-25.14,"2,119",-21.81,"26,470",1.81,"23,464",5.15
2007M05,"60,406",9.97,"2,590",-38.73,-,-,"7,107",-11.80,"4,811",-0.29,"1,791",12.01,1,-66.67,"76,706",4.16,"22,400",30.41,"3,370",-16.44,"2,861",-9.66,"24,540",-9.25,"23,535",5.89
2007M06,"66,385",38.70,"2,577",-40.36,-,-,"6,971",-7.74,"4,812",-0.25,"1,964",15.73,1,-50.00,"82,710",24.82,"24,952",33.56,"3,479",11.04,"3,033",12.54,"27,700",41.47,"23,546",6.19
2007M07,"129,356",179.04,"2,548",-41.69,-,-,"6,204",-14.79,"4,811",-1.68,"2,198",32.49,1,0.00,"145,118",124.77,"38,238",180.77,"5,585",86.17,"4,473",80.22,"43,610",87.41,"53,212",139.79
2007M08,"124,317",180.78,"1,224",-57.87,-,-,"5,537",-27.05,"4,810",-0.23,"2,166",41.11,1,0.00,"138,055",125.85,"35,270",232.23,"6,321",70.29,"5,019",66.58,"43,010",102.02,"48,435",115.30
2007M09,"126,698",184.06,"1,330",-54.88,-,-,"5,470",-26.95,"4,108",-14.75,"2,262",50.30,1,0.00,"139,869",127.93,"39,775",148.00,"6,960",34.75,"5,640",35.64,"43,415",227.17,"44,079",93.90
2007M10,"135,535",192.87,"1,231",-56.81,-,-,"5,482",-29.65,"4,107",-14.76,"2,400",45.54,1,0.00,"148,756",134.68,"40,924",171.38,"7,371",58.79,"5,798",48.86,"55,820",229.52,"38,843",70.13
2007M11,"120,679",142.39,"1,283",-54.21,-,-,"5,572",-29.16,"4,106",-14.76,"2,354",51.38,1,0.00,"133,995",100.50,"31,091",124.16,"5,607",-7.89,"4,560",-8.89,"52,080",179.25,"40,657",75.12
2007M12,"100,916",88.51,"1,456",-44.95,-,-,"5,601",-34.96,"3,755",-22.03,"2,524",57.06,1,0.00,"114,253",60.44,"21,131",13.56,"5,644",10.15,"4,662",5.59,"42,000",116.49,"40,816",72.47
2008M01,"93,346",65.85,"1,153",-58.01,-,-,"6,297",-18.56,"3,891",-19.19,"2,500",46.37,1,0.00,"107,188",46.26,"16,958",-2.22,"5,778",24.15,"4,835",21.67,"39,860",69.19,"39,757",67.36
