期間,合計_原始值,合計_年增率(%),合計_原始值,合計_年增率(%),銀行_原始值,銀行_年增率(%),銀行_原始值,銀行_年增率(%),票券及信託公司_原始值,票券及信託公司_年增率(%),票券及信託公司_原始值,票券及信託公司_年增率(%),保險公司_原始值,保險公司_年增率(%),保險公司_原始值,保險公司_年增率(%),公營事業_原始值,公營事業_年增率(%),公營事業_原始值,公營事業_年增率(%),民營事業_原始值,民營事業_年增率(%),民營事業_原始值,民營事業_年增率(%),個人_原始值,個人_年增率(%),個人_原始值,個人_年增率(%),其他_原始值,其他_年增率(%),其他_原始值,其他_年增率(%)
2010M10,"1,658,560",-28.75,"1,449,358",8.93,"191,778",-63.28,"230,541",-0.98,"155,501",16.32,"103,749",6.55,"125,999",16.05,"168,926",37.67,"81,177",-10.87,"54,892",20.32,"910,217",-6.76,"592,401",-14.77,"3,200","3,037.25","4,193","1,087.82","190,688",-61.55,"294,656",115.63
2010M11,"1,853,858",-11.70,"1,576,784",26.46,"263,270",-45.33,"309,282",47.13,"199,380",76.99,"125,418",44.22,"146,622",55.06,"187,136",60.11,"78,430",-20.93,"45,277",-23.44,"972,424",3.72,"619,254",-1.78,"6,921",675.90,"9,221","1,567.45","186,811",-49.92,"281,196",97.11
2010M12,"1,915,710",-20.48,"1,649,418",11.81,"202,218",-61.08,"247,138",15.66,"161,385",12.70,"103,496",-1.16,"177,820",65.82,"207,736",11.83,"62,696",-58.28,"36,743",-55.19,"1,103,748",6.82,"723,701",-0.93,"11,920","1,227.39","14,044","1,847.85","195,923",-56.90,"316,560",100.54
2011M01,"2,065,348",36.93,"1,713,480",34.30,"195,939",58.26,"329,501",63.94,"204,444",83.55,"104,464",57.18,"161,413",-0.07,"200,921",-11.62,"101,929",-18.06,"25,770",-45.96,"1,189,687",31.03,"728,073",21.50,"14,645","1,476.43","16,539","3,782.39","197,291",152.06,"308,212",130.50
2011M02,"1,375,428",13.85,"1,170,826",13.18,"134,111",16.51,"204,399",13.31,"124,577",43.18,"66,348",13.83,"109,594",-13.76,"117,340",-19.98,"53,466",-49.77,"33,835",-35.59,"793,313",11.01,"501,768",4.13,"13,715","5,863.04","14,066","2,658.04","146,652",154.93,"233,070",104.06
2011M03,"1,939,305",12.56,"1,693,216",14.54,"221,829",44.51,"286,486",47.07,"184,197",56.40,"110,874",37.33,"150,019",-15.68,"173,780",-20.29,"84,243",-36.29,"28,938",-61.78,"1,046,571",1.39,"735,191",3.89,"21,001","10,194.61","20,530","6,675.58","231,445",112.28,"337,417",67.80
2011M04,"1,731,724",4.64,"1,462,644",2.70,"162,529",19.09,"233,769",14.48,"172,701",42.06,"92,381",35.16,"115,805",-25.60,"137,582",-17.96,"56,785",-43.52,"14,972",-79.31,"996,217",-2.58,"675,887",-3.03,"14,138","1,905.39","15,544","1,221.77","213,549",82.06,"292,509",37.08
2011M05,"1,787,491",14.62,"1,519,346",10.09,"167,488",44.73,"275,191",69.13,"193,178",92.79,"96,669",58.12,"132,332",-5.48,"128,141",-22.85,"58,859",-9.68,"14,100",-61.07,"1,031,672",0.72,"682,603",-7.25,"11,782",670.07,"14,543",591.86,"192,180",70.74,"308,099",42.70
2011M06,"1,705,607",3.53,"1,501,131",5.31,"170,140",21.67,"257,143",27.06,"200,132",39.37,"115,294",45.18,"123,696",-10.74,"118,669",-27.52,"40,324",-68.02,"13,985",-70.39,"962,188",-1.60,"673,683",-1.15,"15,863","1,062.12","16,210",951.91,"193,264",60.82,"306,147",22.61
2011M07,"1,742,443",-0.54,"1,505,929",2.10,"179,982",35.63,"288,640",26.94,"202,950",28.19,"96,337",22.23,"109,793",-13.17,"122,693",-18.34,"47,986",-60.53,"39,810",-23.88,"997,140",-5.10,"675,737",-3.51,"12,501",770.54,"12,530",717.35,"192,091",19.52,"270,182",2.22
