期間,合計_原始值,合計_年增率(%),合計_原始值,合計_年增率(%),合計_原始值,合計_年增率(%),公司債_原始值,公司債_年增率(%),公司債_原始值,公司債_年增率(%),公司債_原始值,公司債_年增率(%),金融債券_原始值,金融債券_年增率(%),金融債券_原始值,金融債券_年增率(%),金融債券_原始值,金融債券_年增率(%)
2001M05,"26,200",153.14,"7,169",4.72,"845,664",18.01,"18,900",158.90,"7,125",28.96,"738,629",17.23,"7,300",139.34,44,-96.67,"107,035",23.66
2001M06,"30,550",-25.89,"18,624",31.18,"857,590",15.32,"29,050",-29.44,"15,965",39.99,"751,714",13.92,"1,500","2,900.00","2,659",-4.80,"105,876",26.33
2001M07,"32,850",59.43,"9,680",-1.48,"880,759",16.75,"29,750",44.73,"9,594",34.61,"771,870",14.65,"3,100","6,100.00",86,-96.81,"108,889",34.16
2001M08,"36,650",158.10,"3,032",-68.06,"914,377",20.45,"19,500",114.29,"2,958",144.26,"788,412",15.75,"17,150",236.27,74,-99.11,"125,965",61.53
2001M09,"23,850",491.81,"2,991",-54.27,"935,237",23.61,"2,600",-33.84,"2,933",480.79,"788,079",15.12,"21,250","21,150.00",58,-99.04,"147,158",104.26
2001M10,"24,710",71.84,"9,631",22.83,"950,316",24.52,"15,650",141.51,"8,187",189.81,"795,542",15.59,"9,060",14.68,"1,444",-71.21,"154,774",106.56
2001M11,"58,159",218.05,"5,990",61.02,"1,002,485",28.90,"27,700",183.23,"4,596",48.02,"818,646",17.81,"30,459",258.09,"1,394",126.67,"183,839",121.97
2001M12,"38,809",0.26,"30,161",72.69,"1,011,133",26.55,"19,909",-32.14,"30,033",77.27,"808,522",14.31,"18,900",101.71,128,-75.53,"202,611",121.03
2002M01,"39,220",420.85,"1,733",-73.95,"1,048,620",31.10,"29,000",626.82,"1,380",-78.39,"836,142",18.62,"10,220",188.70,353,32.21,"212,478",123.80
2002M02,"15,242",-16.02,"2,989",11.24,"1,060,873",30.12,"8,702",-43.68,"2,931",20.12,"841,913",17.27,"6,540",142.22,58,-76.52,"218,960",124.82
2002M03,"36,150","1,146.55","15,104",210.21,"1,081,920",33.02,"10,100","1,736.36","6,327",89.94,"845,686",18.26,"26,050","1,008.51","8,777",470.68,"236,234",140.55
2002M04,"33,854",102.96,"8,237",142.84,"1,107,537",33.98,"21,804",45.36,"4,523",37.77,"862,967",18.73,"12,050",617.26,"3,714","3,307.34","244,570",145.11
2002M05,"50,150",91.41,"8,426",17.53,"1,149,261",35.90,"32,500",71.96,"5,265",-26.11,"890,202",20.52,"17,650",141.78,"3,161","7,084.09","259,059",142.03
2002M06,"30,035",-1.69,"9,346",-49.82,"1,169,950",36.42,"10,785",-62.87,"8,481",-46.88,"892,506",18.73,"19,250","1,183.33",865,-67.47,"277,444",162.05
2002M07,"65,400",99.09,"13,266",37.05,"1,222,084",38.75,"32,750",10.08,"13,148",37.04,"912,108",18.17,"32,650",953.23,118,37.21,"309,976",184.67
2002M08,"31,630",-13.70,"21,140",597.23,"1,232,574",34.80,"21,130",8.36,"15,962",439.62,"917,276",16.34,"10,500",-38.78,"5,178","6,897.30","315,298",150.31
2002M09,"54,555",128.74,"5,144",71.98,"1,281,985",37.08,"26,755",929.04,"5,026",71.36,"939,005",19.15,"27,800",30.82,118,103.45,"342,980",133.07
2002M10,"41,457",67.77,"14,049",45.87,"1,309,393",37.79,"14,704",-6.04,"6,260",-23.54,"947,449",19.09,"26,753",195.29,"7,789",439.40,"361,944",133.85
2002M11,"30,080",-48.28,"15,229",154.24,"1,324,244",32.10,"17,130",-38.16,"8,303",80.66,"956,276",16.81,"12,950",-57.48,"6,926",396.84,"367,968",100.16
2002M12,"72,005",85.54,"11,709",-61.18,"1,384,540",36.93,"60,405",203.41,"9,444",-68.55,"1,007,237",24.58,"11,600",-38.62,"2,265","1,669.53","377,303",86.22
2003M01,"20,150",-48.62,"4,944",185.29,"1,399,746",33.48,"10,250",-64.66,"2,010",45.65,"1,015,477",21.45,"9,900",-3.13,"2,934",731.16,"384,269",80.85
2003M02,"15,770",3.46,"5,972",99.80,"1,409,544",32.87,"1,900",-78.17,"5,415",84.75,"1,011,962",20.20,"13,870",112.08,557,860.34,"397,582",81.58
