期間,上市股票--公司家數_原始值,上市股票--公司家數_年增率(%),上市股票--總面值_原始值,上市股票--總面值_年增率(%),上市股票--總市值_原始值,上市股票--總市值_年增率(%),上市股票--總成交值_原始值,上市股票--總成交值_年增率(%),上市股票--日平均成交值_原始值,上市股票--日平均成交值_年增率(%),加權平均股價指數_原始值,加權平均股價指數_年增率(%)
2005M09,696,1.46,"5,288,792",7.15,"14,441,797",12.24,"1,368,790",-20.92,"65,180",-20.92,"6,066.80",3.43
2005M10,693,1.02,"5,348,793",7.20,"13,685,138",7.67,"1,415,499",-13.54,"70,775",-13.54,"5,879.88",-0.09
2005M11,691,-0.58,"5,379,514",7.02,"14,763,600",11.16,"1,721,978",12.71,"78,272",12.71,"6,024.75",2.37
2005M12,691,-0.86,"5,389,951",7.13,"15,633,858",11.76,"2,425,322",74.48,"110,242",82.41,"6,377.19",6.87
2006M01,691,-1.14,"5,387,221",7.23,"15,610,372",13.67,"2,163,522",87.30,"120,196",118.51,"6,609.32",11.69
2006M02,691,-1.29,"5,379,188",6.94,"15,700,546",10.16,"1,575,563",40.78,"92,680",7.66,"6,614.03",8.42
2006M03,691,-1.29,"5,410,186",7.35,"15,916,497",15.28,"2,066,215",23.17,"89,835",23.17,"6,500.62",6.50
2006M04,693,-1.00,"5,412,265",7.14,"17,482,918",30.45,"2,333,825",95.76,"122,833",106.06,"6,941.09",18.12
2006M05,691,-1.29,"5,381,694",6.80,"16,741,868",20.69,"2,771,202",111.68,"131,962",111.68,"7,123.00",20.11
2006M06,689,-1.29,"5,372,627",6.23,"16,389,163",13.38,"1,977,930",8.55,"89,906",8.55,"6,547.77",5.25
2006M07,687,-1.15,"5,387,682",6.08,"15,789,529",7.68,"1,470,873",-21.98,"70,042",-25.70,"6,504.24",2.68
2006M08,687,-1.43,"5,409,170",4.19,"16,198,355",14.03,"1,701,625",-1.45,"73,984",-5.73,"6,551.76",4.94
2006M09,687,-1.29,"5,475,589",3.53,"16,863,262",16.77,"1,561,694",14.09,"74,366",14.09,"6,781.58",11.78
2006M10,688,-0.72,"5,486,605",2.58,"17,344,990",26.74,"1,647,726",16.41,"82,386",16.41,"7,029.40",19.55
2006M11,689,-0.29,"5,487,445",2.01,"18,722,600",26.82,"2,327,000",35.14,"105,773",35.14,"7,266.97",20.62
2006M12,688,-0.43,"5,494,930",1.95,"19,376,975",23.94,"2,303,187",-5.04,"109,676",-0.51,"7,630.30",19.65
2007M01,687,-0.58,"5,471,853",1.57,"19,038,417",21.96,"2,630,241",21.57,"119,556",-0.53,"7,814.79",18.24
2007M02,687,-0.58,"5,471,123",1.71,"19,540,690",24.46,"1,095,152",-30.49,"91,263",-1.53,"7,817.84",18.20
2007M03,684,-1.01,"5,459,942",0.92,"19,510,864",22.58,"2,575,913",24.67,"111,996",24.67,"7,689.34",18.29
2007M04,679,-2.02,"5,465,226",0.98,"19,465,941",11.34,"2,116,355",-9.32,"105,818",-13.85,"7,991.85",15.14
2007M05,680,-1.59,"5,479,576",1.82,"20,163,548",20.44,"2,105,191",-24.03,"95,690",-27.49,"8,086.96",13.53
2007M06,678,-1.60,"5,458,071",1.59,"21,986,362",34.15,"2,968,904",50.10,"148,445",65.11,"8,579.58",31.03
2007M07,678,-1.31,"5,458,352",1.31,"23,036,132",45.89,"4,950,474",236.57,"225,022",221.27,"9,358.13",43.88
2007M08,679,-1.16,"5,489,883",1.49,"22,378,102",38.15,"3,541,403",108.12,"153,974",108.12,"8,756.78",33.66
2007M09,680,-1.02,"5,554,435",1.44,"23,625,933",40.10,"2,472,719",58.34,"137,373",84.73,"9,069.11",33.73
2007M10,681,-1.02,"5,520,886",0.62,"24,224,825",39.66,"3,489,905",111.80,"158,632",92.55,"9,605.19",36.64
2007M11,688,-0.15,"5,549,002",1.12,"21,594,365",15.34,"2,904,823",24.83,"132,037",24.83,"8,799.70",21.09
2007M12,698,1.45,"5,558,644",1.16,"21,527,298",11.10,"2,192,770",-4.79,"104,418",-4.79,"8,309.00",8.89
2008M01,705,2.62,"5,544,639",1.33,"19,139,756",0.53,"3,057,471",16.24,"138,976",16.24,"7,922.65",1.38
2008M02,706,2.77,"5,541,623",1.29,"21,383,375",9.43,"1,821,327",66.31,"130,095",42.55,"7,999.48",2.32
2008M03,707,3.36,"5,519,415",1.09,"21,734,308",11.40,"3,195,747",24.06,"152,178",35.88,"8,439.59",9.76
2008M04,709,4.42,"5,526,445",1.12,"22,645,331",16.33,"3,295,620",55.72,"156,934",48.31,"8,877.98",11.09
2008M05,709,4.26,"5,530,045",0.92,"21,891,979",8.57,"2,949,928",40.13,"140,473",46.80,"8,910.21",10.18
2008M06,710,4.72,"5,534,630",1.40,"19,137,110",-12.96,"2,023,239",-31.85,"96,345",-35.10,"8,180.00",-4.66
2008M07,712,5.01,"5,538,256",1.46,"17,893,941",-22.32,"2,203,085",-55.50,"100,140",-55.50,"7,127.70",-23.83
2008M08,712,4.86,"5,573,666",1.53,"17,974,758",-19.68,"1,953,762",-44.83,"93,036",-39.58,"7,071.12",-19.25
2008M09,711,4.56,"5,625,144",1.27,"14,584,147",-38.27,"1,871,785",-24.30,"89,133",-35.12,"6,203.77",-31.59
2008M10,711,4.41,"5,663,700",2.59,"12,403,195",-48.80,"1,246,851",-64.27,"56,675",-64.27,"5,043.05",-47.50
