期間,本國銀行_存款,本國銀行_放款,外國銀行在台分行_存款,外國銀行在台分行_放款,信用合作社_存款,信用合作社_放款,農漁會信用部_存款,農漁會信用部_放款,信託投資公司_存款,信託投資公司_放款
2001Q2,4.34,7.16,3.64,9.34,4.38,7.82,3.98,7.94,5.59,7.96
2001Q3,4.03,6.93,3.25,9.22,4.02,7.64,3.65,7.76,5.28,7.55
2001Q4,3.35,6.49,2.54,8.57,3.30,7.40,2.84,7.45,4.82,6.07
2002Q1,2.89,5.97,2.10,8.08,2.87,7.02,2.52,7.18,4.27,6.95
2002Q2,2.52,5.72,1.81,7.43,2.54,6.62,2.26,6.94,3.70,6.68
2002Q3,2.15,5.40,1.53,6.75,2.14,6.21,1.95,6.62,3.26,6.58
2002Q4,1.95,5.02,1.40,6.83,1.94,5.71,1.70,6.22,2.95,5.98
2003Q1,1.70,4.50,1.12,6.44,1.64,5.25,1.41,5.65,2.75,5.57
2003Q2,1.56,4.22,1.00,5.62,1.48,4.81,1.30,5.28,2.54,5.21
2003Q3,1.37,3.95,0.80,5.46,1.31,4.41,1.13,5.01,2.35,4.68
2003Q4,1.27,3.74,0.65,5.26,1.21,4.09,1.10,4.70,2.31,4.56
2004Q1,1.13,3.80,0.59,4.57,1.14,3.83,1.08,4.30,2.07,4.23
2004Q2,1.10,3.68,0.52,3.96,1.12,3.62,1.06,4.08,2.00,4.04
2004Q3,1.07,3.61,0.55,4.46,1.11,3.48,1.05,3.89,1.96,3.79
2004Q4,1.11,3.56,0.58,4.46,1.11,3.41,1.07,3.78,1.95,3.78
2005Q1,1.14,3.59,0.62,2.73,1.13,3.35,1.08,3.61,1.95,3.67
2005Q2,1.19,3.66,0.65,2.80,1.16,3.33,1.12,3.58,1.95,3.72
