期間,隔夜_加權平均,隔夜_最高,隔夜_最低,1週_加權平均,1週_最高,1週_最低,2週_加權平均,2週_最高,2週_最低,3週_加權平均,3週_最高,3週_最低,1個月_加權平均,1個月_最高,1個月_最低,2-6個月_加權平均,2-6個月_最高,2-6個月_最低,7個月-1年_加權平均,7個月-1年_最高,7個月-1年_最低,合計_加權平均,合計_最高,合計_最低
2005M09,1.365,1.480,1.240,-,1.490,1.250,-,1.490,1.240,-,1.470,1.250,-,1.470,1.250,-,1.430,1.250,-,1.430,1.250,-,1.490,1.240
2005M10,1.388,1.450,1.310,-,1.450,1.320,-,1.430,1.320,-,1.420,1.360,-,1.410,1.310,-,1.480,1.350,-,1.480,1.350,-,1.480,1.310
2005M11,1.387,1.420,1.330,-,1.430,1.340,-,1.420,1.350,-,1.410,1.350,-,1.400,1.350,-,1.650,1.360,-,1.650,1.360,-,-,-
2005M12,1.406,1.550,1.340,-,1.530,1.340,-,1.520,1.350,-,1.520,1.350,-,1.500,1.355,-,1.450,1.350,-,1.450,1.350,-,-,-
2006M01,1.446,1.510,1.390,-,1.510,1.400,-,1.500,1.400,-,1.470,1.410,-,1.470,1.410,-,1.530,1.400,-,1.530,1.400,-,1.530,1.390
2006M02,1.449,1.560,1.400,-,1.480,1.400,-,1.490,1.400,-,1.470,1.420,-,1.465,1.410,-,1.460,1.430,-,1.460,1.430,-,1.560,1.400
2006M03,1.450,1.520,1.400,-,1.520,1.410,-,1.530,1.400,-,1.535,1.430,-,1.520,1.430,-,1.520,1.430,-,1.520,1.430,-,1.535,1.400
2006M04,1.516,1.540,1.460,-,1.540,1.470,-,1.540,1.460,-,1.530,1.490,-,1.530,1.470,-,1.670,1.460,-,1.670,1.460,-,1.690,1.460
2006M05,1.517,1.550,1.450,-,1.550,1.470,-,1.550,1.470,-,1.545,1.480,-,1.540,1.520,-,1.650,1.475,-,1.650,1.475,-,1.690,1.450
2006M06,1.533,1.610,1.480,-,1.650,1.470,-,1.600,1.480,-,1.600,1.520,-,1.590,1.500,-,1.710,1.500,-,1.710,1.500,-,1.710,1.470
2006M07,1.586,1.600,1.500,-,1.600,1.520,-,1.600,1.530,-,1.600,1.545,-,1.600,1.550,-,1.685,1.540,-,1.685,1.540,-,1.740,1.500
2006M08,1.587,1.620,1.530,-,1.620,1.500,-,1.620,1.540,-,1.600,1.585,-,1.595,1.550,-,1.660,1.590,-,1.660,1.590,-,1.740,1.500
2006M09,1.595,1.680,1.540,-,1.680,1.530,-,1.680,1.550,-,1.675,1.590,-,1.660,1.550,-,1.730,1.595,-,1.730,1.595,-,1.740,1.530
2006M10,1.658,1.680,1.610,-,1.690,1.590,-,1.680,1.615,-,1.680,1.630,-,1.665,1.660,-,1.750,1.690,-,1.750,1.690,-,1.810,1.590
2006M11,1.663,1.710,1.630,-,1.720,1.620,-,1.715,1.630,-,1.690,1.660,-,1.700,1.660,-,1.810,1.660,-,1.810,1.660,-,1.810,1.620
2006M12,1.661,1.710,1.620,-,1.730,1.630,-,1.730,1.640,-,1.700,1.640,-,1.735,1.665,-,1.770,1.690,-,1.770,1.690,-,1.810,1.620
2007M01,1.689,1.751,1.645,-,1.750,1.640,-,1.730,1.640,-,1.720,1.690,-,1.730,1.690,-,1.770,1.700,-,1.770,1.700,-,1.840,1.640
2007M02,1.691,1.750,1.650,-,1.750,1.660,-,1.750,1.660,-,1.750,1.693,-,1.740,1.675,-,1.760,1.740,-,1.760,1.740,-,1.840,1.650
2007M03,1.703,1.800,1.660,-,1.810,1.660,-,1.795,1.670,-,1.770,1.690,-,1.775,1.710,-,1.790,1.730,-,1.790,1.730,-,1.840,1.660
2007M04,1.725,1.790,1.690,-,1.780,1.690,-,1.780,1.710,-,1.780,1.725,-,1.820,1.740,-,1.820,1.720,-,1.820,1.720,-,1.870,1.690
2007M05,2.132,5.100,1.710,-,4.200,1.700,-,4.000,1.710,-,3.800,1.740,-,2.480,1.750,-,2.800,1.770,-,2.800,1.770,-,5.100,1.700
2007M06,2.496,5.000,1.700,-,4.200,1.710,-,3.600,1.800,-,3.500,2.000,-,3.000,2.500,-,2.800,1.790,-,2.800,1.790,-,5.000,1.700
2007M07,2.006,2.085,1.800,-,2.100,1.800,-,2.060,1.850,-,1.950,1.880,-,2.200,1.935,-,2.300,1.960,-,2.300,1.960,-,2.300,1.800
2007M08,2.007,2.070,1.800,-,2.062,1.830,-,2.061,1.840,-,1.935,1.840,-,-,-,-,2.300,1.990,-,2.300,1.990,-,2.300,1.800
2007M09,2.019,2.100,1.800,-,2.060,1.820,-,2.070,1.800,-,2.050,1.820,-,2.240,1.850,-,2.300,2.000,-,2.300,2.000,-,2.300,1.800
2007M10,2.038,2.060,1.860,-,2.060,1.860,-,2.060,1.880,-,2.060,1.900,-,-,-,-,2.250,2.042,-,2.250,2.042,-,2.250,1.860
2007M11,2.038,2.060,1.890,-,2.060,1.900,-,2.050,1.900,-,2.050,1.920,-,2.250,1.950,-,2.250,2.060,-,2.250,2.060,-,2.250,1.890
2007M12,2.054,2.100,1.890,-,2.110,1.890,-,2.100,1.900,-,2.080,1.920,-,2.060,2.060,-,2.230,2.050,-,2.230,2.050,-,2.230,1.890
2008M01,2.088,2.100,1.950,-,2.120,1.920,-,2.100,1.950,-,2.120,1.950,-,2.060,1.980,-,2.220,2.050,-,2.220,2.050,-,2.220,1.920
2008M02,2.082,2.100,1.900,-,2.060,1.900,-,2.100,1.930,-,2.100,1.950,-,2.010,1.960,-,2.150,2.020,-,2.150,2.020,-,2.150,1.900
2008M03,2.084,2.100,1.900,-,2.100,1.940,-,2.100,1.940,-,2.040,1.940,-,-,-,-,2.200,2.060,-,2.200,2.060,-,2.200,1.900
2008M04,2.105,2.120,1.880,-,2.100,1.870,-,2.060,1.920,-,2.060,1.945,-,-,-,-,2.220,2.070,-,2.220,2.070,-,2.220,1.870
2008M05,2.101,2.120,1.880,-,2.120,1.880,-,2.060,1.880,-,2.060,1.900,-,2.070,1.900,-,2.250,2.070,-,2.250,2.070,-,2.250,1.880
2008M06,2.105,2.180,1.800,-,2.120,1.800,-,2.080,1.890,-,2.060,1.890,-,2.060,1.900,-,2.220,1.900,-,2.220,1.900,-,2.220,1.800
2008M07,2.166,2.180,1.830,-,2.180,1.830,-,2.120,1.830,-,2.120,1.900,-,2.040,1.940,-,2.310,2.210,-,2.310,2.210,-,2.310,1.830
2008M08,2.158,2.180,1.830,-,2.120,1.850,-,2.180,1.880,-,2.080,1.900,-,2.120,1.950,-,2.230,1.950,-,2.230,1.950,-,2.230,1.830
2008M09,2.092,2.180,1.600,-,2.080,1.670,-,2.100,1.650,-,2.100,1.680,-,2.100,1.680,-,2.230,1.900,-,2.230,1.900,-,2.230,1.600
2008M10,1.926,2.130,1.600,-,2.100,1.600,-,1.970,1.600,-,1.900,1.660,-,1.900,1.750,-,2.170,1.700,-,2.170,1.700,-,2.170,1.600
2008M11,1.410,1.930,1.100,-,1.930,1.100,-,1.930,1.100,-,1.900,1.150,-,-,-,-,1.900,1.565,-,1.900,1.565,-,1.930,1.100
2008M12,0.872,1.620,0.400,-,1.620,0.400,-,1.300,0.400,-,1.620,0.450,-,-,-,-,1.660,0.960,-,1.660,0.960,-,1.660,0.400
2009M01,0.233,1.020,0.150,-,0.800,0.150,-,1.000,0.150,-,0.600,0.150,-,0.620,0.250,-,1.040,0.150,-,1.040,0.150,-,1.100,0.150
2009M02,0.143,0.620,0.100,-,0.500,0.100,-,0.400,0.100,-,0.150,0.100,-,0.200,0.100,-,0.640,0.140,-,0.640,0.140,-,0.640,0.100
2009M03,0.137,0.570,0.100,-,0.200,0.100,-,0.300,0.100,-,0.550,0.100,-,0.150,0.100,-,0.620,0.130,-,0.620,0.130,-,0.620,0.100
2009M04,0.131,0.570,0.100,-,0.240,0.090,-,0.470,0.100,-,0.110,0.100,-,0.510,0.100,-,0.610,0.120,-,0.610,0.120,-,0.610,0.090
2009M05,0.097,0.570,0.095,-,0.160,0.094,-,0.150,0.095,-,0.100,0.095,-,0.510,0.095,-,0.710,0.100,-,0.710,0.100,-,0.710,0.094
2009M06,0.097,0.160,0.095,-,0.195,0.095,-,0.190,0.090,-,0.100,0.095,-,0.510,0.095,-,0.710,0.120,-,0.710,0.120,-,0.710,0.090
2009M07,0.100,0.150,0.095,-,0.150,0.095,-,0.150,0.095,-,0.150,0.095,-,0.450,0.095,-,0.610,0.098,-,0.610,0.098,-,0.610,0.095
2009M08,0.101,0.170,0.095,-,0.300,0.095,-,0.180,0.095,-,0.170,0.095,-,0.450,0.095,-,0.610,0.095,-,0.610,0.095,-,0.610,0.095
2009M09,0.100,0.150,0.095,-,0.300,0.095,-,0.200,0.095,-,0.440,0.095,-,0.440,0.095,-,0.610,0.096,-,0.610,0.096,-,0.610,0.095
2009M10,0.101,0.150,0.095,-,0.200,0.095,-,0.200,0.095,-,0.135,0.095,-,0.450,0.095,-,0.610,0.095,-,0.610,0.095,-,0.610,0.095
2009M11,0.104,0.180,0.095,-,0.300,0.095,-,0.150,0.095,-,0.220,0.095,-,0.096,0.095,-,0.710,0.100,-,0.710,0.100,-,0.710,0.095
2009M12,0.106,0.170,0.095,-,0.300,0.095,-,0.200,0.095,-,0.190,0.095,-,0.096,0.095,-,0.610,0.100,-,0.610,0.100,-,0.610,0.095
