期間,政府公債--3年期,政府公債--5年期,政府公債--7年期,政府公債--10年期,政府公債--15年期,公司債--1年期,公司債--2年期,公司債--3年期,公司債--4年期,公司債--5年期,公司債--6年期,公司債--7年期,公司債--10年期,金融債券--2年期,金融債券--3年期,金融債券--5年期,央行單券--CDs1年期,央行單券--CDs2年期,央行單券--SB 1年期
2001M05,-,-,-,4.62,-,-,-,-,-,4.34,-,-,4.71,4.35,4.12,4.18,3.83,3.94,-
2001M06,-,-,-,-,-,-,-,3.90,-,4.36,-,-,4.44,4.20,-,3.92,3.83,3.92,-
2001M07,-,-,-,3.70,-,-,-,3.75,-,4.14,-,4.00,4.54,4.10,3.93,-,3.54,3.57,-
2001M08,-,-,-,-,3.77,-,-,3.60,-,4.15,-,-,-,3.95,4.03,4.08,3.43,3.52,-
2001M09,-,-,-,-,-,-,-,-,-,3.69,-,-,-,3.75,-,3.99,2.98,3.09,-
2001M10,-,-,-,-,3.61,-,-,3.42,-,3.54,-,-,-,3.00,2.75,-,2.50,2.65,-
2001M11,-,-,-,-,-,-,-,-,-,3.09,-,2.24,3.35,2.70,2.46,3.00,2.17,2.31,-
2001M12,-,-,-,-,-,-,-,2.69,-,3.27,-,2.88,3.35,2.45,-,3.02,2.39,2.53,-
2002M01,-,3.04,-,-,-,-,2.55,2.70,-,2.75,-,2.74,2.99,2.32,2.70,2.72,2.53,2.74,-
2002M02,-,-,-,-,-,-,-,2.78,-,3.36,-,-,-,2.62,2.54,2.90,2.55,2.78,-
2002M03,-,-,3.39,3.72,-,-,-,-,-,3.01,-,-,-,2.63,-,3.18,2.47,2.70,-
2002M04,-,-,-,-,-,-,3.20,2.69,-,3.30,-,3.20,-,2.72,3.16,3.92,2.54,2.80,-
2002M05,-,-,-,-,-,-,-,2.77,-,3.35,-,3.20,-,2.42,3.20,4.08,2.53,2.75,-
2002M06,-,-,-,-,-,-,-,3.68,3.82,4.18,-,-,-,2.42,-,5.05,2.18,2.44,-
2002M07,-,2.72,-,-,-,-,-,3.35,-,3.85,-,-,4.25,2.42,4.11,4.64,2.03,2.26,-
2002M08,-,-,-,-,-,-,-,2.67,-,3.52,-,3.05,-,-,-,3.63,2.02,2.14,-
2002M09,-,-,-,3.29,-,-,-,3.17,-,2.66,-,-,3.67,-,-,3.00,2.08,2.19,-
2002M10,-,2.51,-,-,-,-,-,2.49,-,2.79,-,-,-,3.30,2.85,3.57,2.07,2.14,-
2002M11,-,-,-,-,-,-,-,2.36,-,2.90,-,-,-,3.30,-,3.72,1.93,1.95,-
2002M12,-,-,-,2.55,-,-,-,2.18,-,2.70,-,3.46,3.00,-,-,3.68,1.63,1.68,-
2003M01,-,1.65,-,-,-,-,-,-,-,2.43,-,3.94,-,-,-,2.27,1.59,1.64,-
2003M02,-,-,-,-,-,-,-,-,-,2.26,-,-,-,-,-,2.25,1.38,1.46,-
2003M03,-,-,-,1.89,-,-,-,-,-,2.67,-,-,-,-,-,2.23,1.38,1.46,-
2003M04,-,1.50,-,-,-,-,-,-,-,1.77,1.90,2.63,1.90,-,-,-,1.38,1.46,-
2003M05,-,-,-,-,-,-,-,1.45,1.60,1.57,-,1.75,1.90,-,-,-,1.38,1.46,-
2003M06,-,-,-,1.41,-,-,-,1.90,-,1.55,-,1.78,2.50,-,-,2.50,1.38,-,-
2003M07,-,1.52,-,-,-,-,-,-,-,1.51,-,1.90,2.50,-,-,1.42,1.20,1.28,-
2003M08,-,-,-,-,-,-,-,-,-,1.50,-,1.90,-,-,-,-,1.23,1.30,-
2003M09,-,-,-,2.76,-,-,-,1.49,-,2.01,-,-,-,-,-,2.43,1.23,1.30,-
2003M10,-,2.04,-,-,-,-,-,-,-,3.08,-,2.65,-,1.65,1.90,2.88,1.23,1.30,-
2003M11,-,-,-,-,-,-,-,-,-,1.98,-,-,-,1.65,1.90,3.19,1.23,-,-
2003M12,-,-,-,2.93,-,-,-,1.83,1.91,2.28,-,3.08,-,-,-,3.09,1.23,-,-
2004M01,-,1.98,-,-,-,-,-,-,-,3.50,-,-,-,-,-,3.59,1.23,1.30,-
2004M02,-,-,-,-,-,-,4.00,-,-,3.54,-,-,-,-,-,3.07,1.23,1.30,-
2004M03,-,-,-,2.55,-,-,-,2.00,-,2.77,0.00,1.76,0.00,0.00,1.30,3.06,1.23,0.00,0.00
2004M04,-,-,-,-,-,-,-,1.70,-,1.71,-,1.76,-,-,1.30,3.00,1.23,-,-
