期間,出口外匯收入金額_原始值,出口外匯收入金額_年增率(%),出口外匯收入金額_原始值,出口外匯收入金額_年增率(%),出口外匯收入金額_原始值,出口外匯收入金額_年增率(%),進口外匯支出金額_原始值,進口外匯支出金額_年增率(%),進口外匯支出金額_原始值,進口外匯支出金額_年增率(%),進口外匯支出金額_原始值,進口外匯支出金額_年增率(%)
2001M05,"2,396",-26.66,"9,785",0.67,"12,181",-6.21,"3,848",-6.65,"7,010",-7.68,"10,858",-7.32
2001M06,"1,876",-43.73,"9,089",-15.23,"10,965",-21.99,"3,405",-20.05,"6,570",-25.20,"9,975",-23.52
2001M07,"1,836",-43.44,"8,971",-14.06,"10,807",-21.03,"2,892",-34.91,"6,929",-21.32,"9,821",-25.88
2001M08,"2,263",-28.00,"10,073",-8.83,"12,336",-13.08,"2,922",-28.87,"6,690",-23.69,"9,612",-25.34
2001M09,"1,816",-40.13,"7,779",-31.14,"9,595",-33.04,"2,542",-44.23,"5,385",-40.15,"7,927",-41.52
2001M10,"2,129",-17.58,"9,504",-14.47,"11,633",-15.06,"3,215",-23.69,"6,623",-18.02,"9,838",-19.96
2001M11,"1,956",-23.77,"8,947",-21.01,"10,903",-21.52,"2,875",-24.76,"6,312",-26.45,"9,187",-25.93
2001M12,"1,876",-19.45,"9,683",-19.00,"11,559",-19.07,"3,120",-27.12,"7,041",-26.12,"10,161",-26.43
2002M01,"1,836",-17.67,"9,511",-2.71,"11,347",-5.49,"2,870",-17.00,"6,216",-2.49,"9,086",-7.60
2002M02,"1,466",-31.75,"7,467",-13.69,"8,933",-17.28,"2,066",-32.42,"4,863",-28.00,"6,929",-29.38
2002M03,"1,891",-26.45,"9,474",-7.45,"11,365",-11.27,"3,180",-17.79,"7,125",-11.41,"10,305",-13.48
2002M04,"1,964",-13.63,"9,476",1.15,"11,440",-1.74,"2,797",-10.18,"6,980",1.59,"9,777",-2.08
2002M05,"2,314",-3.42,"9,951",1.70,"12,265",0.69,"2,928",-23.91,"6,975",-0.50,"9,903",-8.80
2002M06,"2,222",18.44,"9,367",3.06,"11,589",5.69,"2,871",-15.68,"6,560",-0.15,"9,431",-5.45
