期間,合計_原始值,合計_年增率(%),銀行對顧客市場--小計_原始值,銀行對顧客市場--小計_年增率(%),銀行對顧客市場--即期_原始值,銀行對顧客市場--即期_年增率(%),銀行對顧客市場--遠期_原始值,銀行對顧客市場--遠期_年增率(%),銀行對顧客市場--換匯_原始值,銀行對顧客市場--換匯_年增率(%),銀行對顧客市場--保證金交易_原始值,銀行對顧客市場--保證金交易_年增率(%),銀行對顧客市場--選擇權_原始值,銀行對顧客市場--選擇權_年增率(%),銀行對顧客市場--換匯換利_原始值,銀行對顧客市場--換匯換利_年增率(%),銀行間市場--小計_原始值,銀行間市場--小計_年增率(%),銀行間市場--即期_原始值,銀行間市場--即期_年增率(%),銀行間市場--遠期_原始值,銀行間市場--遠期_年增率(%),銀行間市場--換匯_原始值,銀行間市場--換匯_年增率(%),銀行間市場--選擇權_原始值,銀行間市場--選擇權_年增率(%),銀行間市場--換匯換利_原始值,銀行間市場--換匯換利_年增率(%),全體外匯銀行外匯交易淨部位(期底數)_原始值,全體外匯銀行外匯交易淨部位(期底數)_年增率(%),外匯存底(期底數)_原始值,外匯存底(期底數)_年增率(%)
2005M09,"12,581",35.24,"3,661",19.06,"1,874",13.44,481,41.47,769,51.68,110,-0.90,311,-28.34,116,274.19,"8,920",43.22,"4,849",70.62,628,-8.45,"2,708",42.38,650,-14.47,85,123.68,119,--,"253,746",8.90
2005M10,"12,464",19.77,"3,817",15.21,"1,665",-3.31,496,38.55,985,84.46,121,6.14,492,-10.38,58,61.11,"8,647",21.89,"4,331",25.75,607,-2.10,"2,781",40.17,877,-13.17,51,41.67,-94,--,"252,006",7.22
2005M11,"11,574",4.59,"3,830",2.54,"1,676",-12.84,458,-11.58,922,63.77,150,35.14,493,-7.85,131,54.12,"7,744",5.63,"3,827",3.91,521,-31.36,"2,357",19.95,946,9.62,93,52.46,77,--,"251,783",5.29
2005M12,"14,314",28.55,"5,424",38.69,"2,760",39.82,933,60.31,788,34.93,123,59.74,724,11.56,96,113.33,"8,890",23.06,"4,195",18.37,542,-15.31,"2,885",39.37,"1,166",27.15,102,92.45,-112,--,"253,290",4.78
2006M01,"14,168",26.96,"4,621",33.48,"2,578",44.43,535,36.48,806,16.47,144,65.52,461,4.06,97,53.97,"9,547",24.04,"4,817",15.16,860,30.70,"2,765",32.42,"1,035",44.15,70,40.00,-71,--,"257,298",6.00
2006M02,"14,671",24.33,"4,915",30.27,"2,585",32.29,724,41.96,919,14.88,196,141.98,299,-14.57,192,146.15,"9,756",21.54,"4,813",8.72,953,21.71,"3,078",45.46,802,25.12,110,83.33,235,--,"256,979",4.20
2006M03,"14,234",20.08,"4,934",25.67,"2,556",28.31,708,38.82,986,20.24,171,144.29,396,-12.58,117,44.44,"9,300",17.31,"4,654",7.71,610,3.39,"2,983",33.89,990,38.08,63,-12.50,130,--,"257,051",2.36
2006M04,"15,182",32.72,"4,999",51.76,"2,719",66.71,820,108.12,950,23.70,159,80.68,245,-32.13,106,103.85,"10,183",25.02,"5,411",26.43,785,20.21,"3,048",23.05,828,23.21,111,76.19,-338,--,"259,035",2.53
2006M05,"16,091",49.81,"5,094",61.20,"2,684",67.12,796,126.14,819,14.87,180,181.25,502,40.22,113,68.66,"10,997",45.06,"5,823",45.58,740,32.14,"3,117",36.23,"1,198",81.52,119,63.01,-142,--,"260,939",3.07
2006M06,"15,636",33.96,"4,963",35.86,"2,252",11.43,734,69.91,740,-3.39,156,102.60,973,242.61,108,47.95,"10,673",33.10,"5,157",22.26,662,2.00,"3,254",30.53,"1,482",167.99,118,11.32,-118,--,"260,351",2.66
2006M07,"15,301",18.28,"5,013",26.53,"2,382",25.37,966,89.04,966,1.36,111,0.91,492,26.15,96,-2.04,"10,288",14.64,"4,865",-0.59,626,-6.71,"3,829",42.50,926,35.78,42,5.00,106,--,"260,371",2.69
