期間,合計--美金(百萬美元)_原始值,合計--美金(百萬美元)_年增率(%),合計--歐元(百萬歐元)_原始值,合計--歐元(百萬歐元)_年增率(%),合計--日圓(億日圓)_原始值,合計--日圓(億日圓)_年增率(%),合計--其他(百萬美元)_原始值,合計--其他(百萬美元)_年增率(%),隔夜--美金(百萬美元)_原始值,隔夜--美金(百萬美元)_年增率(%),隔夜--歐元(百萬歐元)_原始值,隔夜--歐元(百萬歐元)_年增率(%),隔夜--日圓(億日圓)_原始值,隔夜--日圓(億日圓)_年增率(%),隔夜--其他(百萬美元)_原始值,隔夜--其他(百萬美元)_年增率(%),1~3週--美金(百萬美元)_原始值,1~3週--美金(百萬美元)_年增率(%),1~3週--歐元(百萬歐元)_原始值,1~3週--歐元(百萬歐元)_年增率(%),1~3週--日圓(億日圓)_原始值,1~3週--日圓(億日圓)_年增率(%),1~3週--其他(百萬美元)_原始值,1~3週--其他(百萬美元)_年增率(%),1~12個月--美金(百萬美元)_原始值,1~12個月--美金(百萬美元)_年增率(%),1~12個月--歐元(百萬歐元)_原始值,1~12個月--歐元(百萬歐元)_年增率(%),1~12個月--日圓(億日圓)_原始值,1~12個月--日圓(億日圓)_年增率(%),1~12個月--其他(百萬美元)_原始值,1~12個月--其他(百萬美元)_年增率(%),隔夜利率(%)--最高--美金_原始值,隔夜利率(%)--最高--美金_年增率(%),隔夜利率(%)--最高--歐元_原始值,隔夜利率(%)--最高--歐元_年增率(%),隔夜利率(%)--最高--日圓_原始值,隔夜利率(%)--最高--日圓_年增率(%),隔夜利率(%)--最低--美金_原始值,隔夜利率(%)--最低--美金_年增率(%),隔夜利率(%)--最低--歐元_原始值,隔夜利率(%)--最低--歐元_年增率(%),隔夜利率(%)--最低--日圓_原始值,隔夜利率(%)--最低--日圓_年增率(%)
2009M03,"135,259",-30.91,73,-61.78,719,61.57,49,206.25,"130,036",-31.79,...,...,...,...,...,...,917,196.76,4,...,8,...,...,...,"4,305",-10.85,68,-64.21,711,60.14,49,206.25,1.00,-,...,-,...,-,0.07,-,...,-,...,-
2009M04,"143,606",-11.26,53,-75.80,864,27.62,152,424.14,"136,228",-12.83,...,...,...,...,...,...,"1,526",70.12,7,-30.00,10,...,...,...,"5,852",25.39,46,-77.56,854,26.33,152,424.14,0.60,-,...,-,...,-,0.03,-,...,-,...,-
2009M05,"107,084",-36.23,243,1.25,630,-18.60,148,27.59,"101,447",-37.48,...,...,...,...,...,...,"1,786",114.66,...,...,14,180.00,...,...,"3,851",-20.00,243,16.83,616,-19.79,148,27.59,0.38,-,...,-,...,-,0.03,-,...,-,...,-
2009M06,"111,668",-36.62,106,-59.39,796,14.86,174,128.95,"105,281",-38.42,...,...,...,...,...,...,"1,594",188.77,4,-85.71,22,46.67,...,...,"4,793",2.57,102,-56.22,774,14.16,174,128.95,0.69,-,...,-,...,-,0.06,-,...,-,...,-
2009M07,"131,987",-28.77,89,-63.07,754,6.05,139,20.87,"126,055",-29.85,...,...,20,...,...,...,949,50.16,14,...,37,94.74,...,...,"4,983",0.36,75,-68.75,697,0.87,139,20.87,0.60,-,...,-,0.21,-,0.05,-,...,-,0.21,-
2009M08,"113,470",-43.32,129,-55.36,753,-8.51,182,12.35,"108,039",-44.50,...,...,...,...,...,...,"1,039",-3.17,8,...,38,216.67,...,...,"4,392",-1.74,121,-57.99,715,-11.73,182,13.04,0.33,-,...,-,...,-,0.05,-,...,-,...,-
2009M09,"125,532",-27.62,178,-36.20,832,8.47,331,635.56,"118,960",-28.93,...,...,15,...,...,...,"1,210",-26.17,...,...,35,-12.50,...,...,"5,362",22.14,178,-35.27,782,7.57,331,635.56,0.36,-,...,-,0.13,-,0.06,-,...,-,0.10,-
2009M10,"131,396",-7.07,68,-74.81,775,7.94,147,61.54,"125,900",-6.71,...,...,...,...,...,...,"1,031",-31.95,5,...,...,...,...,...,"4,465",-9.34,63,-76.67,775,8.09,147,61.54,0.33,-,...,-,...,-,0.03,-,...,-,...,-
2009M11,"121,317",-9.39,108,-53.04,730,-35.85,46,-55.34,"115,910",-8.97,15,200.00,...,...,...,...,747,-38.97,...,...,...,...,...,...,"4,660",-12.65,93,-58.48,730,-35.85,46,-54.90,0.33,-,0.42,-,...,-,0.01,-,0.42,-,...,-
2009M12,"127,775",-6.45,84,-70.42,882,0.00,69,68.29,"121,527",-5.35,...,...,107,...,...,...,"2,041",-19.71,...,...,...,...,...,...,"4,207",-25.55,84,-70.32,775,-11.63,69,72.50,0.46,-,...,-,0.11,-,0.01,-,...,-,0.10,-
2010M01,"118,103",34.92,66,-67.96,681,-26.30,59,37.21,"113,305",37.09,...,...,...,...,...,...,492,5.13,...,...,...,...,...,...,"4,306",-2.45,66,-67.80,681,-26.22,59,40.48,0.31,-,...,-,...,-,0.08,-,...,-,...,-
2010M02,"103,769",-15.33,31,-74.59,811,-12.42,156,64.21,"99,399",-14.98,-,-,-,-,-,-,352,-46.67,-,-,-,-,-,-,"4,018",-19.40,31,-74.59,811,-8.98,156,65.96,0.33,-,-,-,-,-,0.08,-,-,-,-,-
2010M03,"142,922",5.67,36,-50.68,700,-2.64,103,110.20,"137,368",5.64,-,-,-,-,-,-,973,6.11,-,-,-,-,-,-,"4,581",6.41,36,-47.06,700,-1.55,103,110.20,0.33,-,-,-,-,-,0.10,-,-,-,-,-
2010M04,"137,195",-4.46,41,-22.64,697,-19.33,103,-32.24,"130,121",-4.48,-,-,-,-,-,-,"2,675",75.29,-,-,-,-,-,-,"4,399",-24.83,41,-10.87,697,-18.38,103,-32.24,0.35,-,-,-,-,-,0.07,-,-,-,-,-
2010M05,"103,769",-3.10,31,-87.24,811,28.73,156,5.41,"99,399",-2.02,-,-,-,-,-,-,352,-80.29,-,-,13,-7.14,-,-,"4,018",4.34,31,-87.24,811,31.66,156,5.41,0.75,-,-,-,-,-,0.19,-,-,-,-,-
2010M06,"132,907",19.02,84,-20.75,676,-15.08,36,-79.31,"127,304",20.92,-,-,-,-,-,-,"1,729",8.47,-,-,13,-40.91,-,-,"3,874",-19.17,84,-17.65,663,-14.34,36,-79.31,0.75,-,-,-,-,-,0.19,-,-,-,-,-
2010M07,"144,029",9.12,136,52.81,865,14.72,415,198.56,"137,996",9.47,-,-,-,-,-,-,"1,113",17.28,10,-28.57,15,-59.46,-,-,"4,920",-1.26,126,68.00,850,21.95,415,198.56,0.43,-,-,-,-,-,0.19,-,-,-,-,-
2010M08,"147,838",30.29,84,-34.88,949,26.03,496,172.53,"142,595",31.98,-,-,-,-,-,-,494,-52.45,-,-,15,-60.53,-,-,"4,749",8.13,84,-30.58,934,30.63,496,172.53,0.43,-,-,-,-,-,0.17,-,-,-,-,-
2010M09,"140,724",12.10,128,-28.09,"1,054",26.68,290,-12.39,"136,016",14.34,8,...,1,-93.33,-,-,476,-60.66,80,...,14,-60.00,-,-,"4,232",-21.07,40,-77.53,"1,039",32.86,290,-12.39,0.40,-,0.37,-,0.20,-,0.17,-,0.37,-,0.20,-
2010M10,"141,835",7.94,97,42.65,795,2.58,314,113.61,"135,947",7.98,-,-,-,-,-,-,"1,378",33.66,-,-,30,...,-,-,"4,510",1.01,97,53.97,765,-1.29,314,113.61,0.34,-,-,-,-,-,0.17,-,-,-,-,-
2010M11,"143,403",18.21,66,-38.89,715,-2.05,173,276.09,"137,999",19.06,-,-,-,-,-,-,"1,047",40.16,-,-,13,...,-,-,"4,357",-6.50,66,-29.03,702,-3.84,173,276.09,0.35,-,-,-,-,-,0.17,-,-,-,-,-
2010M12,"162,265",26.99,100,19.05,790,-10.43,348,404.35,"155,972",28.34,-,-,-,-,-,-,"1,709",-16.27,-,-,15,...,-,-,"4,584",8.96,100,19.05,775,0.00,348,404.35,0.49,-,-,-,-,-,0.10,-,-,-,-,-
2011M01,"148,483",25.72,135,104.55,737,8.22,148,150.85,"141,280",24.69,20,...,-,-,-,-,"1,611",227.44,-,-,6,...,-,-,"5,592",29.87,115,74.24,731,7.34,148,150.85,0.38,-,0.99,-,-,-,0.18,-,0.99,-,-,-
2011M02,"107,573",3.67,72,132.26,696,-14.18,272,74.36,"102,409",3.03,-,-,-,-,-,-,925,162.78,25,-,-,-,-,-,"4,239",5.50,47,51.61,696,-14.18,272,74.36,0.46,-,-,-,-,-,0.18,-,-,-,-,-
2011M03,"177,868",24.45,90,150.00,824,17.71,135,31.07,"171,930",25.16,-,-,-,-,-,-,"1,359",39.67,-,-,9,-,-,-,"4,579",-0.04,90,150.00,815,16.43,135,31.07,0.65,-,-,-,-,-,0.11,-,-,-,-,-
2011M04,"147,959",7.85,83,102.44,776,11.33,472,358.25,"140,833",8.23,-,-,-,-,-,-,"2,217",-17.12,-,-,7,-,-,-,"4,909",11.59,83,102.44,769,10.33,472,358.25,0.42,-,-,-,-,-,0.07,-,-,-,-,-
2011M05,"151,224",45.73,112,261.29,774,-4.56,415,166.03,"142,624",43.49,-,-,3,-,-,-,"2,702",667.61,-,-,-,-,-,-,"5,898",46.79,112,261.29,771,-4.93,415,166.03,0.59,-,-,-,0.26,-,0.08,-,-,-,0.26,-
2011M06,"159,020",19.65,112,33.33,784,15.98,397,"1,002.78","149,412",17.37,-,-,-,-,-,-,"3,350",93.75,-,-,-,-,-,-,"6,258",61.54,112,33.33,784,18.25,397,"1,002.78",0.50,-,-,-,-,-,0.08,-,-,-,-,-
2011M07,"149,701",3.94,86,-36.76,818,-5.43,473,13.98,"141,260",2.37,-,-,-,-,-,-,"2,268",103.77,-,-,-,-,-,-,"6,173",25.47,86,-31.75,818,-3.76,473,13.98,0.45,-,-,-,-,-,0.04,-,-,-,-,-
2011M08,"157,095",6.26,70,-16.67,813,-14.33,165,-66.73,"148,374",4.05,-,-,90,-,-,-,"1,452",193.93,-,-,-,-,-,-,"7,269",53.06,70,-16.67,723,-22.59,165,-66.73,0.45,-,-,-,0.55,-,0.04,-,-,-,0.55,-
2011M09,"148,359",5.43,729,469.53,758,-28.08,230,-20.69,"138,416",1.76,665,"8,212.50",-,-,-,-,"2,228",368.07,-,-,-,-,-,-,"7,715",82.30,64,60.00,758,-27.05,230,-20.69,0.44,-,1.75,-,-,-,0.08,-,1.75,-,-,-
