期間,美元即期匯率--銀行與顧客間交易匯率--買進(新台幣元)_原始值,美元即期匯率--銀行與顧客間交易匯率--買進(新台幣元)_年增率(%),美元即期匯率--銀行與顧客間交易匯率--賣出(新台幣元)_原始值,美元即期匯率--銀行與顧客間交易匯率--賣出(新台幣元)_年增率(%),美元即期匯率--銀行間收盤匯率(新台幣元)_原始值,美元即期匯率--銀行間收盤匯率(新台幣元)_年增率(%),美元即期匯率--銀行間收盤匯率--日平均(新台幣元)_原始值,美元即期匯率--銀行間收盤匯率--日平均(新台幣元)_年增率(%),遠期信用狀美金利率(年息)(年息百分比率)_原始值,遠期信用狀美金利率(年息)(年息百分比率)_年增率(%)
2010M01,31.94,0.13,32.04,0.12,31.990,0.125,31.896,1.201,6.10,2.46
2010M02,32.04,-0.31,32.14,-0.31,32.085,-0.296,32.094,-0.617,6.10,2.46
2010M03,31.77,0.85,31.87,0.85,31.819,0.836,31.877,0.681,6.10,2.46
2010M04,31.37,1.28,31.47,1.27,31.418,1.276,31.519,1.136,6.10,0.00
2010M05,32.18,-2.52,32.28,-2.51,32.225,-2.504,31.962,-1.386,6.10,0.00
2010M06,32.22,-0.12,32.32,-0.12,32.278,-0.164,32.307,-1.068,6.20,-1.61
2010M07,32.00,0.69,32.10,0.69,32.050,0.711,32.173,0.416,6.20,-1.61
2010M08,32.05,-0.16,32.15,-0.16,32.102,-0.162,31.948,0.704,6.20,-1.61
2010M09,31.28,2.46,31.38,2.45,31.330,2.464,31.778,0.535,6.20,-1.61
2010M10,30.73,1.79,30.83,1.78,30.782,1.780,30.960,2.642,6.20,-1.61
2010M11,30.80,-0.23,30.90,-0.23,30.850,-0.220,30.706,0.827,6.20,-1.61
2010M12,30.32,1.58,30.42,1.58,30.368,1.587,30.549,0.514,6.20,-1.61
2011M01,28.99,4.59,29.09,4.57,29.300,3.645,29.613,3.161,6.20,-1.61
2011M02,29.70,-2.39,29.80,-2.38,29.754,-1.526,29.394,0.745,6.20,-1.61
2011M03,29.35,1.19,29.45,1.19,29.418,1.142,29.529,-0.457,6.20,-1.61
2011M04,28.56,2.77,28.66,2.76,28.762,2.281,29.009,1.793,6.20,-1.61
2011M05,28.61,-0.17,28.71,-0.17,28.772,-0.035,28.814,0.677,6.20,-1.61
2011M06,28.66,-0.17,28.76,-0.17,28.802,-0.104,28.873,-0.204,6.20,...
2011M07,28.77,-0.38,28.87,-0.38,28.890,-0.305,28.859,0.049,6.20,...
2011M08,28.96,-0.66,29.06,-0.65,29.020,-0.448,28.998,-0.479,6.20,...
2011M09,30.42,-4.80,30.52,-4.78,30.506,-4.871,29.745,-2.511,6.20,...
2011M10,29.86,1.88,29.96,1.87,29.930,1.924,30.279,-1.764,6.20,...
2011M11,30.27,-1.35,30.37,-1.35,30.345,-1.368,30.242,0.122,6.20,...
2011M12,30.22,0.17,30.32,0.16,30.290,0.182,30.272,-0.099,6.20,...
2012M01,29.54,2.30,29.64,2.29,29.620,2.262,30.061,0.702,6.20,...
2012M02,29.33,0.72,29.43,0.71,29.420,0.680,29.563,1.685,6.20,...
2012M03,29.45,-0.41,29.55,-0.41,29.530,-0.373,29.546,0.058,6.20,...
2012M04,29.09,1.24,29.19,1.23,29.232,1.019,29.504,0.142,6.20,...
2012M05,29.79,-2.35,29.89,-2.34,29.860,-2.103,29.523,-0.064,6.20,...
2012M06,29.82,-0.10,29.92,-0.10,29.900,-0.134,29.948,-1.419,6.20,...
2012M07,29.93,-0.37,30.03,-0.37,30.010,-0.367,30.007,-0.197,6.20,...
2012M08,29.88,0.17,29.98,0.17,29.966,0.147,29.988,0.063,6.20,...
2012M09,29.24,2.19,29.34,2.18,29.342,2.127,29.608,1.283,6.20,...
2012M10,29.16,0.27,29.26,0.27,29.260,0.280,29.335,0.931,6.20,...
2012M11,29.00,0.55,29.10,0.55,29.116,0.495,29.185,0.514,6.20,...
2012M12,28.98,0.07,29.08,0.07,29.136,-0.069,29.119,0.227,6.20,...
2013M01,29.48,-1.70,29.58,-1.69,29.582,-1.508,29.184,-0.223,6.20,...
2013M02,29.61,-0.44,29.71,-0.44,29.705,-0.414,29.665,-1.621,6.20,...
