期間,日圓_原始值,日圓_年增率(%),日圓_原始值,日圓_年增率(%),港幣_原始值,港幣_年增率(%),港幣_原始值,港幣_年增率(%),新加坡幣_原始值,新加坡幣_年增率(%),新加坡幣_原始值,新加坡幣_年增率(%),泰銖_原始值,泰銖_年增率(%),泰銖_原始值,泰銖_年增率(%),澳幣_原始值,澳幣_年增率(%),澳幣_原始值,澳幣_年增率(%),紐西蘭幣_原始值,紐西蘭幣_年增率(%),紐西蘭幣_原始值,紐西蘭幣_年增率(%),英鎊_原始值,英鎊_年增率(%),英鎊_原始值,英鎊_年增率(%),瑞典克郎_原始值,瑞典克郎_年增率(%),瑞典克郎_原始值,瑞典克郎_年增率(%),加拿大元_原始值,加拿大元_年增率(%),加拿大元_原始值,加拿大元_年增率(%),歐元_原始值,歐元_年增率(%),歐元_原始值,歐元_年增率(%),瑞士法郎_原始值,瑞士法郎_年增率(%),瑞士法郎_原始值,瑞士法郎_年增率(%),南非幣_原始值,南非幣_年增率(%),南非幣_原始值,南非幣_年增率(%)
1997M01,0.2233,13.7931,0.2273,13.5504,3.51,0.28,3.57,0.28,19.41,-0.77,19.61,-0.76,...,...,...,...,20.89,-2.63,21.09,-2.42,...,...,...,...,43.94,-6.17,44.34,-6.11,3.75,4.00,3.85,3.90,20.26,-1.97,20.46,-1.96,...,...,...,...,19.18,17.21,19.38,17.44,5.95,25.38,6.13,24.63
1997M02,0.2263,15.3336,0.2303,15.0673,3.52,0.28,3.58,0.28,19.22,0.88,19.42,0.88,...,...,...,...,21.22,-1.74,21.42,-1.49,...,...,...,...,44.64,-6.05,44.94,-5.79,3.63,11.02,3.73,10.72,20.02,-0.75,20.20,-0.64,...,...,...,...,18.58,23.04,18.76,23.35,6.09,17.24,6.27,16.75
1997M03,0.2205,15.0113,0.2245,14.7439,3.52,-0.85,3.58,-0.84,18.99,1.26,19.19,1.25,...,...,...,...,21.51,-1.30,21.71,-1.06,...,...,...,...,44.91,-8.19,45.21,-7.92,3.59,12.81,3.69,12.47,19.89,0.00,20.07,0.10,...,...,...,...,18.90,19.52,19.08,19.86,6.18,9.87,6.36,9.59
1997M04,0.2163,19.1863,0.2203,18.8379,3.54,-1.69,3.60,-1.67,19.05,0.94,19.25,0.94,...,...,...,...,21.54,-1.25,21.74,-0.97,...,...,...,...,45.02,-9.51,45.32,-9.22,3.49,13.75,3.59,13.37,19.72,0.91,19.90,1.01,...,...,...,...,18.79,16.39,18.97,16.34,6.17,0.00,6.35,0.00
1997M05,0.2379,6.9777,0.2419,6.8623,3.56,-0.28,3.62,-0.28,19.37,1.08,19.57,1.07,...,...,...,...,21.09,4.50,21.29,4.74,...,...,...,...,45.60,-7.26,45.90,-6.99,3.55,13.80,3.65,13.42,20.16,-0.15,20.34,-0.05,...,...,...,...,19.62,11.62,19.80,11.62,6.17,1.94,6.35,1.89
1997M06,0.2416,2.9801,0.2456,2.9316,3.56,-1.12,3.62,-1.10,19.35,0.21,19.55,0.20,...,...,...,...,20.64,4.36,20.84,4.61,...,...,...,...,46.19,-7.97,46.49,-7.70,3.55,15.21,3.65,14.79,20.08,0.05,20.26,0.15,...,...,...,...,19.08,14.41,19.26,14.38,6.10,3.11,6.28,3.03
1997M07,0.2399,5.5857,0.2439,5.4941,3.66,-3.55,3.72,-3.49,19.31,0.31,19.51,0.31,...,...,...,...,21.16,1.89,21.36,2.15,...,...,...,...,46.62,-8.37,46.92,-8.10,3.54,16.95,3.64,16.48,20.63,-3.15,20.81,-3.03,...,...,...,...,18.80,20.96,18.98,20.86,6.17,-0.65,6.35,-0.63
1997M08,0.2351,6.4228,0.2391,6.3153,3.67,-4.09,3.73,-4.02,18.80,3.40,19.00,3.37,...,...,...,...,20.91,3.16,21.11,3.41,...,...,...,...,46.34,-7.64,46.64,-7.38,3.58,14.53,3.68,14.13,20.58,-2.82,20.76,-2.70,...,...,...,...,19.13,19.03,19.31,18.95,6.05,0.17,6.23,0.16
1997M09,0.2345,4.7761,0.2385,4.6960,3.67,-4.09,3.73,-4.02,18.59,4.57,18.79,4.52,...,...,...,...,20.51,5.56,20.71,5.79,...,...,...,...,45.95,-6.83,46.25,-6.57,3.72,10.22,3.82,9.95,20.61,-2.52,20.79,-2.41,...,...,...,...,19.58,11.54,19.76,11.54,6.08,-1.32,6.26,-2.56
1997M10,0.2548,-5.9655,0.2604,-6.4516,3.96,-10.86,4.05,-11.36,19.41,-0.10,19.72,-0.66,...,...,...,...,21.42,1.17,21.75,0.83,...,...,...,...,51.57,-14.37,52.18,-14.60,4.09,1.71,4.22,0.95,21.93,-6.98,22.25,-7.42,...,...,...,...,21.92,-0.23,22.23,-0.72,6.34,-8.36,6.56,-8.69
1997M11,0.2493,-3.8909,0.2543,-4.2076,4.12,-14.56,4.18,-14.35,20.00,-2.45,20.28,-2.81,...,...,...,...,21.75,2.57,22.04,2.40,...,...,...,...,53.96,-14.64,54.58,-14.88,4.11,-1.70,4.21,-1.66,22.44,-9.71,22.73,-9.99,...,...,...,...,22.39,-6.25,22.68,-6.57,6.56,-10.06,6.74,-9.79
1997M12,0.2484,-5.3140,0.2534,-5.6038,4.17,-15.59,4.23,-15.37,19.32,1.24,19.52,1.23,...,...,...,...,21.13,3.27,21.43,2.75,...,...,...,...,53.85,-13.95,54.25,-13.84,4.08,-3.19,4.18,-3.11,22.65,-11.74,22.85,-11.64,...,...,...,...,22.31,-9.01,22.51,-8.93,6.64,-12.35,6.82,-12.02
1998M01,0.2676,-16.5546,0.2727,-16.6483,4.35,-19.31,4.41,-19.05,19.14,1.41,19.42,0.98,...,...,...,...,22.64,-7.73,22.93,-8.02,...,...,...,...,56.68,-22.48,57.08,-22.32,4.30,-12.79,4.40,-12.50,23.25,-12.86,23.54,-13.08,...,...,...,...,23.58,-18.66,23.88,-18.84,6.88,-13.52,7.06,-13.17
1998M02,0.2497,-9.3712,0.2537,-9.2235,4.09,-13.94,4.15,-13.73,19.60,-1.94,19.78,-1.82,...,...,...,...,21.41,-0.89,21.65,-1.06,...,...,...,...,52.31,-14.66,52.71,-14.74,3.92,-7.40,4.02,-7.21,22.38,-10.55,22.58,-10.54,...,...,...,...,21.64,-14.14,21.84,-14.10,6.39,-4.69,6.57,-4.57
