期間,對金融機構放款--居住民_原始值,對金融機構放款--居住民_年增率(%),對金融機構放款--非居住民_原始值,對金融機構放款--非居住民_年增率(%),證券投資_原始值,證券投資_年增率(%),對金融機構債權--小計_原始值,對金融機構債權--小計_年增率(%),對金融機構債權--外匯指定銀行_原始值,對金融機構債權--外匯指定銀行_年增率(%),對金融機構債權--OBU相互間_原始值,對金融機構債權--OBU相互間_年增率(%),對金融機構債權--國外金融機構_原始值,對金融機構債權--國外金融機構_年增率(%),其他資產_原始值,其他資產_年增率(%),資產合計=負債合計_原始值,資產合計=負債合計_年增率(%),非金融機構存款_原始值,非金融機構存款_年增率(%),對金融機構負債--小計_原始值,對金融機構負債--小計_年增率(%),對金融機構負債--國內金融機構_原始值,對金融機構負債--國內金融機構_年增率(%),對金融機構負債--OBU相互間_原始值,對金融機構負債--OBU相互間_年增率(%),對金融機構負債--國外金融機構_原始值,對金融機構負債--國外金融機構_年增率(%),證券發行_原始值,證券發行_年增率(%),其他負債_原始值,其他負債_年增率(%)
2005M09,"2,323",-19.67,"16,429",7.38,"8,110",13.89,"32,700",-7.02,"17,141",7.09,"2,434",17.64,"13,125",-23.22,"4,432",-26.65,"63,994",-3.80,"19,656",7.80,"39,513",-5.11,"26,487",6.02,"2,432",17.54,"10,594",-27.39,-,-,"4,825",-27.45
2005M10,"2,297",-20.02,"16,701",7.51,"8,649",23.35,"33,249",-5.77,"18,161",30.55,"1,987",-16.65,"13,101",-31.01,"4,176",-32.60,"65,072",-2.73,"19,945",8.77,"39,971",-4.41,"26,824",2.18,"1,987",-16.65,"11,160",-15.31,-,-,"5,156",-23.59
2005M11,"2,224",-19.60,"16,716",6.74,"8,722",29.18,"34,699",-6.62,"17,906",5.39,"2,114",-19.59,"14,679",-16.30,"4,339",-40.22,"66,700",-4.16,"20,680",11.44,"40,663",-5.90,"28,301",4.69,"2,117",-19.48,"10,245",-24.40,-,-,"5,357",-31.53
2005M12,"1,847",-32.05,"16,850",9.79,"8,718",29.46,"38,432",3.58,"19,138",6.46,"2,334",-1.39,"16,960",1.18,"4,311",-41.06,"70,158",1.36,"20,712",10.11,"44,305",3.79,"32,311",21.81,"2,332",-1.48,"9,662",-29.97,-,-,"5,141",-33.42
2006M01,"1,743",-33.80,"17,146",10.46,"8,896",31.85,"35,137",-7.28,"17,341",-4.34,"1,847",-31.36,"15,949",-6.60,"4,149",-43.57,"67,071",-4.39,"21,034",14.38,"41,370",-6.34,"29,867",8.15,"1,843",-31.51,"9,660",-30.32,-,-,"4,667",-38.51
2006M02,"1,661",-35.82,"16,982",10.97,"9,165",36.04,"35,533",-1.86,"18,009",-4.62,"1,702",-25.42,"15,822",5.19,"4,975",-31.43,"68,316",0.33,"21,076",11.27,"41,666",0.23,"31,297",14.94,"1,694",-27.98,"8,675",-27.64,-,-,"5,574",-26.43
2006M03,"1,503",-39.35,"17,270",11.92,"9,397",37.24,"35,535",-1.78,"17,441",-10.33,"1,844",-32.45,"16,250",16.09,"4,689",-36.86,"68,394",0.05,"21,417",17.42,"41,746",-1.34,"31,043",23.49,"1,849",-32.37,"8,854",-38.68,-,-,"5,231",-33.03
2006M04,"1,459",-41.76,"17,270",13.18,"9,572",35.22,"37,369",0.91,"17,859",-12.24,"1,863",-28.89,"17,647",25.49,"4,675",-37.89,"70,345",1.36,"21,794",16.12,"43,202",1.63,"33,128",27.18,"1,862",-28.93,"8,212",-40.67,-,-,"5,349",-34.14
2006M05,"1,381",-44.83,"17,574",12.75,"9,752",32.46,"37,760",2.77,"19,070",-4.81,"2,137",-18.68,"16,553",17.56,"4,739",-43.98,"71,206",0.78,"21,701",16.18,"44,046",2.38,"32,693",24.56,"2,138",-18.61,"9,215",-34.87,-,-,"5,459",-39.03
2006M06,"1,373",-45.90,"17,858",13.48,"9,937",44.31,"36,350",5.10,"17,707",-3.48,"1,973",-7.93,"16,670",18.24,"4,550",-9.40,"70,068",8.18,"21,903",14.61,"43,218",6.35,"33,145",22.65,"1,973",-7.93,"8,100",-29.37,-,-,"4,947",-1.51
2006M07,"1,368",-44.32,"17,837",12.61,"10,151",31.34,"34,702",3.34,"17,497",-4.80,"1,591",-17.65,"15,614",17.67,"5,361",37.15,"69,419",9.30,"22,140",16.47,"41,488",2.76,"32,551",20.58,"1,591",-17.65,"7,346",-35.81,-,-,"5,791",40.12
2006M08,"1,343",-42.58,"17,148",4.59,"10,093",26.26,"36,875",11.63,"18,749",17.40,"1,535",-28.64,"16,591",11.25,"5,677",42.28,"71,136",11.58,"22,824",17.46,"43,267",8.12,"34,730",30.13,"1,535",-28.54,"7,002",-37.38,487,-,"4,558",5.93
2006M09,"1,306",-43.78,"17,726",7.89,"10,173",25.44,"40,402",23.55,"19,000",10.85,"1,760",-27.69,"19,642",49.65,"5,354",20.80,"74,961",17.14,"23,379",18.94,"46,603",17.94,"37,827",42.81,"1,760",-27.63,"7,016",-33.77,485,-,"4,494",-6.86
2006M10,"1,254",-45.41,"18,025",7.93,"10,255",18.57,"34,888",4.93,"17,253",-5.00,"1,879",-5.44,"15,756",20.27,"5,389",29.05,"69,811",7.28,"23,589",18.27,"41,001",2.58,"33,031",23.14,"1,879",-5.44,"6,091",-45.42,482,-,"4,739",-8.09
2006M11,"1,233",-44.56,"18,389",10.01,"10,218",17.15,"35,629",2.68,"16,985",-5.14,"1,868",-11.64,"16,776",14.29,"5,829",34.34,"71,298",6.89,"24,083",16.46,"41,251",1.45,"34,286",21.15,"1,867",-11.81,"5,098",-50.24,488,-,"5,476",2.22
2006M12,"1,116",-39.58,"18,357",8.94,"10,805",23.94,"40,352",5.00,"18,642",-2.59,"2,975",27.46,"18,735",10.47,"6,056",40.48,"76,686",9.30,"24,227",16.97,"46,664",5.32,"37,885",17.25,"2,974",27.53,"5,805",-39.92,483,-,"5,312",3.33
2007M01,"1,074",-38.38,"18,670",8.89,"11,168",25.54,"37,210",5.90,"15,503",-10.60,"1,522",-17.60,"20,185",26.56,"6,160",48.47,"74,282",10.75,"23,799",13.15,"44,493",7.55,"37,938",27.02,"1,520",-17.53,"5,035",-47.88,474,-,"5,516",18.19
2007M02,"1,036",-37.63,"18,853",11.02,"11,302",23.32,"38,115",7.27,"15,727",-12.67,"1,480",-13.04,"20,908",32.15,"6,683",34.33,"75,989",11.23,"24,467",16.09,"44,684",7.24,"38,429",22.79,"1,489",-12.10,"4,766",-45.06,482,-,"6,356",14.03
2007M03,955,-36.46,"19,160",10.94,"11,467",22.03,"36,716",3.32,"13,883",-20.40,"1,356",-26.46,"21,477",32.17,"6,674",42.33,"74,972",9.62,"24,295",13.44,"44,025",5.46,"37,621",21.19,"1,356",-26.66,"5,048",-42.99,483,-,"6,169",17.93
2007M04,971,-33.45,"19,222",11.30,"12,048",25.87,"38,441",2.87,"14,070",-21.22,"1,349",-27.59,"23,022",30.46,"6,253",33.75,"76,935",9.37,"24,464",12.25,"45,683",5.74,"39,797",20.13,"1,349",-27.55,"4,537",-44.75,482,-,"6,306",17.89
2007M05,974,-29.47,"20,294",15.48,"12,406",27.21,"43,035",13.97,"15,247",-20.05,"1,327",-37.90,"26,461",59.86,"6,107",28.87,"82,816",16.30,"24,774",14.16,"51,143",16.11,"43,934",34.38,"1,327",-37.93,"5,882",-36.17,476,-,"6,423",17.66
