期間,新臺幣_原始值,新臺幣_年增率(%),日圓_原始值,日圓_年增率(%),馬克_原始值,馬克_年增率(%),英鎊_原始值,英鎊_年增率(%),法國法郎_原始值,法國法郎_年增率(%),港幣_原始值,港幣_年增率(%),韓元_原始值,韓元_年增率(%),加拿大幣_原始值,加拿大幣_年增率(%),新加坡元_原始值,新加坡元_年增率(%),人民幣_原始值,人民幣_年增率(%),澳幣_原始值,澳幣_年增率(%),印尼盾_原始值,印尼盾_年增率(%),荷蘭幣_原始值,荷蘭幣_年增率(%),泰銖_原始值,泰銖_年增率(%),馬來西亞幣_原始值,馬來西亞幣_年增率(%),菲律賓披索_原始值,菲律賓披索_年增率(%),歐元_原始值,歐元_年增率(%)
1973,38.0000,5.26,271.7020,11.58,2.6726,19.31,0.4078,-1.98,4.4528,13.29,5.1465,9.62,398.3220,-1.36,1.0001,-1.01,2.4574,14.45,1.9894,12.85,0.7035,19.22,415.0000,0.00,2.7955,14.81,20.4916,1.50,2.4433,15.40,6.7563,-1.21,-,--
1974,38.0000,0.00,292.0820,-6.98,2.5878,3.28,0.4275,-4.61,4.8096,-7.42,5.0316,2.28,404.4720,-1.52,0.9780,2.25,2.4369,0.84,1.9612,1.44,0.6947,1.26,415.0000,0.00,2.6884,3.99,20.3751,0.57,2.4071,1.51,6.7879,-0.47,-,--
1975,38.0000,0.00,296.7870,-1.59,2.4603,5.18,0.4501,-5.01,4.2878,12.17,4.9352,1.95,484.0000,-16.43,1.0172,-3.85,2.3713,2.77,1.8598,5.45,0.7632,-8.98,415.0000,0.00,2.5290,6.30,20.3793,-0.02,2.3938,0.56,7.2479,-6.35,-,--
1976,38.0000,0.00,296.5520,0.08,2.5180,-2.29,0.5536,-18.71,4.8029,-10.72,4.9047,0.62,484.0000,0.00,0.9860,3.16,2.4708,-4.03,1.9414,-4.20,0.8162,-6.49,415.0000,0.00,2.6439,-4.35,20.4001,-0.10,2.5416,-5.81,7.4403,-2.59,-,--
1977,38.0000,0.00,268.5100,10.44,2.3222,8.43,0.5729,-3.36,4.9052,-2.09,4.6620,5.21,484.0000,0.00,1.0635,-7.28,2.4394,1.29,1.8578,4.50,0.9017,-9.48,415.0000,0.00,2.4543,7.73,20.4001,0.00,2.4613,3.26,7.4028,0.51,-,--
1978,37.0417,2.59,210.4420,27.59,2.0086,15.61,0.5210,9.97,4.5131,8.69,4.6837,-0.46,484.0000,0.00,1.1407,-6.77,2.2740,7.27,1.6836,10.35,0.8736,3.22,442.0450,-6.12,2.1636,13.43,20.3361,0.31,2.3160,6.27,7.3658,0.50,-,--
1979,36.0200,2.84,219.1400,-3.97,1.8329,9.59,0.4714,10.53,4.2544,6.08,5.0027,-6.38,484.0000,0.00,1.1714,-2.62,2.1746,4.57,1.5550,8.27,0.8945,-2.34,623.0600,-29.05,2.0060,7.86,20.4188,-0.40,2.1884,5.83,7.3776,-0.16,-,--
1980,36.0000,0.06,226.7410,-3.35,1.8177,0.84,0.4299,9.65,4.2256,0.68,4.9761,0.54,607.4320,-20.32,1.1692,0.19,2.1412,1.56,1.4984,3.78,0.8776,1.93,626.9940,-0.63,1.9881,0.90,20.4764,-0.28,2.1769,0.53,7.5114,-1.78,-,--
1981,36.8400,-2.28,220.5360,2.81,2.2600,-19.57,0.4931,-12.83,5.4346,-22.25,5.5893,-10.97,681.0280,-10.81,1.1989,-2.48,2.1127,1.35,1.7045,-12.09,0.8701,0.86,631.7570,-0.75,2.4952,-20.32,21.8204,-6.16,2.3041,-5.52,7.8997,-4.91,-,--
1982,39.1100,-5.80,249.0770,-11.46,2.4266,-6.87,0.5713,-13.68,6.5721,-17.31,6.0699,-7.92,731.0840,-6.85,1.2337,-2.82,2.1400,-1.28,1.8925,-9.93,0.9829,-11.48,661.4210,-4.48,2.6702,-6.55,23.0001,-5.13,2.3354,-1.34,8.5400,-7.50,-,--
1983,40.0600,-2.37,237.5120,4.87,2.5533,-4.96,0.6592,-13.34,7.6213,-13.77,7.2652,-16.45,775.7480,-5.76,1.2324,0.11,2.1130,1.28,1.9757,-4.21,1.1082,-11.31,909.2650,-27.26,2.8541,-6.44,23.0001,0.00,2.3213,0.61,11.1127,-23.15,-,--
1984,39.6000,1.16,237.5220,0.00,2.8459,-10.28,0.7483,-11.91,8.7391,-12.79,7.8180,-7.07,805.9760,-3.75,1.2951,-4.84,2.1331,-0.94,2.3200,-14.84,1.1369,-2.52,"1,025.9400",-11.37,3.2087,-11.05,23.6394,-2.70,2.3436,-0.96,16.6987,-33.45,-,--
1985,39.8500,-0.63,238.5360,-0.43,2.9440,-3.33,0.7714,-2.99,8.9852,-2.74,7.7908,0.35,870.0200,-7.36,1.3655,-5.16,2.2001,-3.05,2.9367,-21.00,1.4269,-20.32,"1,110.5800",-7.62,3.3214,-3.39,27.1589,-12.96,2.4830,-5.61,18.6073,-10.26,-,--
