期間,新臺幣_原始值,新臺幣_年增率(%),日圓_原始值,日圓_年增率(%),馬克_原始值,馬克_年增率(%),英鎊_原始值,英鎊_年增率(%),法國法郎_原始值,法國法郎_年增率(%),港幣_原始值,港幣_年增率(%),韓元_原始值,韓元_年增率(%),加拿大幣_原始值,加拿大幣_年增率(%),新加坡元_原始值,新加坡元_年增率(%),人民幣_原始值,人民幣_年增率(%),澳幣_原始值,澳幣_年增率(%),印尼盾_原始值,印尼盾_年增率(%),荷蘭幣_原始值,荷蘭幣_年增率(%),泰銖_原始值,泰銖_年增率(%),馬來西亞幣_原始值,馬來西亞幣_年增率(%),菲律賓披索_原始值,菲律賓披索_年增率(%),歐元_原始值,歐元_年增率(%)
1987M05,32.2730,18.92,140.5400,18.71,1.7863,24.74,0.5997,9.52,5.9696,19.18,7.7805,0.37,828.2200,7.12,1.3412,2.54,2.1191,4.56,3.7221,-14.18,1.4004,-1.81,"1,641.7700",-31.43,2.0135,24.70,25.6180,2.73,2.4746,5.05,20.4732,0.13,-,--
1987M06,31.1560,22.32,144.4800,16.24,1.8184,22.99,0.6134,8.18,6.0750,17.35,7.7851,0.26,814.2700,9.10,1.3386,3.82,2.1178,4.97,3.7221,-13.93,1.3936,4.03,"1,645.1500",-31.31,2.0491,22.90,25.7640,2.37,2.5083,4.66,20.4564,0.47,-,--
1987M07,31.0670,22.54,150.2100,5.59,1.8470,16.58,0.6211,6.67,6.1514,12.61,7.7851,0.11,808.1100,9.52,1.3258,4.13,2.1191,3.13,3.7221,-2.25,1.4114,12.13,"1,645.1500",-31.29,2.0801,16.63,25.9350,0.97,2.5428,3.91,20.4500,0.02,-,--
1987M08,29.6720,25.87,147.5600,4.36,1.8581,11.06,0.6269,7.32,6.2020,8.45,7.7851,0.16,808.1400,9.19,1.3257,4.74,2.1074,2.53,3.7221,-0.50,1.4137,15.55,"1,640.9600",-31.10,2.0935,11.12,25.9010,0.73,2.5377,2.86,20.4387,-0.03,-,--
1987M09,30.0990,22.38,143.0000,8.20,1.8129,12.53,0.6081,11.66,6.0523,10.37,7.7851,0.08,806.3800,9.02,1.3153,5.46,2.0927,3.59,3.7221,-0.42,1.3757,17.06,"1,645.5400",-12.72,2.0402,12.89,25.7270,1.47,2.5183,3.91,20.6005,-0.44,-,--
1987M10,29.9840,22.07,143.5400,8.65,1.8021,11.24,0.6020,16.35,6.0199,8.79,7.7960,-0.06,804.4800,8.72,1.3095,6.02,2.0896,4.16,3.7221,-0.15,1.4006,11.87,"1,649.3000",-0.98,2.0272,11.69,25.7650,1.34,2.5317,3.65,20.7060,-1.30,-,--
1987M11,29.7450,22.27,135.2500,20.25,1.6812,20.53,0.5633,24.69,5.7066,16.09,7.8094,-0.23,798.5100,8.88,1.3161,5.32,2.0439,7.26,3.7221,0.00,1.4562,6.52,"1,648.2500",-0.02,1.8923,20.97,25.4720,3.12,2.4977,4.63,20.8171,-1.83,-,--
1987M12,28.9120,24.35,128.5900,26.21,1.6332,21.94,0.5471,27.22,5.5369,18.17,7.8094,-0.23,794.7400,8.78,1.3074,5.54,2.0123,8.81,3.7221,0.00,1.4067,7.77,"1,650.6400",0.04,1.8381,22.42,25.2250,3.96,2.4942,4.14,20.8148,-1.42,-,--
1988M01,28.5780,23.33,127.5600,21.10,1.6517,12.50,0.5546,19.71,5.5753,11.10,7.8094,-0.23,787.4600,9.05,1.2853,5.84,2.0253,6.24,3.7221,0.00,1.4038,7.94,"1,657.8800",-1.61,1.8559,12.94,25.2330,2.89,2.5398,1.44,20.8461,-1.84,-,--
1988M02,28.6160,22.31,129.1600,18.83,1.6976,7.59,0.5693,15.07,5.7369,6.06,7.8094,-0.23,773.4400,10.71,1.2679,5.21,2.0173,6.20,3.7221,0.00,1.4003,7.18,"1,661.2400",-1.31,1.9063,8.16,25.3120,2.39,2.5800,-1.40,20.9030,-1.81,-,--
