期間,利率有關契約_原始值,利率有關契約_年增率(%),利率有關契約_原始值,利率有關契約_年增率(%),匯率有關契約_原始值,匯率有關契約_年增率(%),匯率有關契約_原始值,匯率有關契約_年增率(%),權益證券有關契約_原始值,權益證券有關契約_年增率(%),權益證券有關契約_原始值,權益證券有關契約_年增率(%),商品有關契約_原始值,商品有關契約_年增率(%),商品有關契約_原始值,商品有關契約_年增率(%),信用有關契約_原始值,信用有關契約_年增率(%),信用有關契約_原始值,信用有關契約_年增率(%),其他有關契約_原始值,其他有關契約_年增率(%),其他有關契約_原始值,其他有關契約_年增率(%),契約合計_原始值,契約合計_年增率(%),契約合計_原始值,契約合計_年增率(%)
2006M03,"1,239,755",18.19,"201,415",98.88,"4,892,798",30.11,0,--,"3,573",-31.70,"4,640",-57.72,156,-99.59,0,--,"8,298","2,437.61",0,--,0,--,0,--,"6,144,580",26.62,"206,055",83.57
2006M04,"992,653",66.94,"204,093",145.04,"4,035,141",25.01,0,--,"5,012","1,033.94","3,604",-49.35,517,-96.83,0,--,"14,742","3,719.17",0,--,0,--,0,--,"5,048,065",31.47,"207,697",129.74
2006M05,"1,280,647",69.42,"272,152",330.71,"4,794,263",52.59,0,--,"10,841","2,475.06","6,172",-26.93,"4,422",-88.29,422,--,"7,788",453.12,0,--,0,--,0,--,"6,097,961",54.87,"278,746",289.13
2006M06,"1,226,280",17.50,"211,584",24.69,"5,576,623",57.34,0,--,"2,835",210.86,"7,534",-8.50,"2,360",429.15,0,--,"2,353",-62.93,0,--,0,--,0,--,"6,810,451",48.19,"219,118",23.16
2006M07,"941,818",31.48,"155,012",9.48,"5,215,658",44.74,0,--,746,-83.08,"9,157",57.17,"3,210",580.08,0,--,"2,407",-43.46,0,--,0,--,0,--,"6,163,839",42.39,"164,169",11.36
2006M08,"855,010",21.30,"329,643",110.64,"5,853,565",47.84,0,--,"1,355",-7.38,"10,590",62.37,"8,424",-47.55,0,--,"2,245",-34.85,0,--,0,-100.00,0,--,"6,720,599",43.44,"340,233",108.71
2006M09,"900,474",-10.17,"285,440",58.01,"5,826,624",57.11,0,--,"4,432",316.15,"9,063",93.45,"8,398","1,188.04",0,--,"7,547",900.93,0,--,0,--,0,--,"6,747,475",43.15,"294,503",58.90
2006M10,"710,927",-13.10,"208,003",22.87,"5,514,188",36.74,0,--,942,-64.84,"8,315",67.44,"4,578",-90.52,0,--,"1,046",-60.60,0,--,0,--,0,--,"6,231,681",27.06,"216,318",24.14
2006M11,"813,134",-12.02,"331,813",100.78,"6,334,281",54.07,0,--,"1,691",61.66,"11,789",39.38,"6,621","110,250.00",0,--,"8,395",2.79,0,--,0,--,0,--,"7,164,122",42.01,"343,602",97.79
2006M12,"626,854",2.60,"246,997",66.07,"6,304,659",25.94,0,--,735,14.84,"9,518",51.15,"6,537","27,137.50",0,--,"4,158",564.22,0,--,"9,499",--,0,--,"6,952,442",23.75,"256,515",65.47
2007M01,"813,367",-8.18,"639,034",423.49,"6,153,711",52.68,0,--,"2,082",-76.07,"9,526",220.20,"33,534",--,0,--,"3,035",72.74,0,--,0,--,0,--,"7,005,729",42.20,"648,560",418.65
2007M02,"566,406",-47.73,"906,846",704.51,"4,313,923",15.55,0,--,"3,709",811.30,"3,888",-11.13,"3,719",-74.23,0,--,"28,067","1,919.21",0,--,0,--,0,--,"4,915,824",1.71,"910,734",677.77
2007M03,"984,006",-20.63,"1,402,206",596.18,"6,423,127",31.28,0,--,"3,466",-2.99,"7,812",68.36,"14,370","9,111.54",0,--,"6,662",-19.72,0,--,0,--,0,--,"7,431,631",20.95,"1,410,018",584.29
2007M04,"981,100",-1.16,"973,045",376.77,"4,793,839",18.80,0,--,"6,036",20.43,"217,574","5,937.01","10,711","1,971.76",0,--,"15,458",4.86,0,--,0,--,0,--,"5,807,144",15.04,"1,190,619",473.25
2007M05,"1,713,823",33.82,"910,159",234.43,"5,808,833",21.16,0,--,"3,386",-68.77,"235,663","3,718.26","11,549",161.17,0,-100.00,"3,560",-54.29,0,--,0,--,0,--,"7,541,151",23.67,"1,145,822",311.06
2007M06,"1,614,090",31.62,"946,969",347.56,"5,494,503",-1.47,0,--,"2,205",-22.22,"242,932","3,124.48","10,930",363.14,0,--,"14,248",505.52,0,--,0,--,0,--,"7,135,976",4.78,"1,189,901",443.04
2007M07,"1,189,244",26.27,"1,029,709",564.28,"6,242,920",19.70,0,--,"1,203",61.26,"391,293","4,173.16","11,994",273.64,0,--,"36,107","1,400.08",0,--,0,--,0,--,"7,481,468",21.38,"1,421,002",765.57
2007M08,"1,521,775",77.98,"1,687,975",412.06,"6,412,308",9.55,0,--,766,-43.47,"490,041","4,527.39","40,401",379.59,0,--,"31,221","1,290.69",0,--,0,--,0,--,"8,006,471",19.13,"2,178,016",540.15
2007M09,"762,074",-15.37,"1,005,326",252.20,"5,438,541",-6.66,0,--,"1,064",-75.99,"189,850","1,994.78","23,953",185.22,0,--,"23,564",212.23,0,--,0,--,0,--,"6,249,196",-7.38,"1,195,176",305.83
2007M10,"865,514",21.74,"1,538,065",639.44,"6,598,816",19.67,0,--,"2,372",151.80,"248,650","2,890.38","19,421",324.22,0,--,"10,181",873.33,0,--,0,--,0,--,"7,496,304",20.29,"1,786,715",725.97
2007M11,"1,056,266",29.90,"1,966,464",492.64,"6,878,062",8.58,0,--,"2,907",71.91,"341,526","2,796.99","40,804",516.28,0,--,"23,253",176.99,0,--,0,--,0,--,"8,001,292",11.69,"2,307,990",571.70
2007M12,"554,487",-11.54,"884,658",258.17,"5,497,460",-12.80,0,--,898,22.18,"241,625","2,438.61","6,280",-3.93,0,--,"9,096",118.76,0,--,0,-100.00,0,--,"6,068,221",-12.72,"1,126,283",339.07
2008M01,"1,322,166",62.55,"2,212,935",246.29,"6,497,490",5.59,0,--,"2,577",23.78,"400,590","4,105.23","59,553",77.59,0,--,"7,273",139.64,0,--,0,--,0,--,"7,889,059",12.61,"2,613,525",302.97
2008M02,"1,211,803",113.95,"1,417,392",56.30,"5,132,908",18.98,0,--,57,-98.46,"164,429","4,129.14","16,190",335.33,0,--,"7,047",-74.89,0,--,0,--,0,--,"6,368,005",29.54,"1,581,821",73.69
