期間,期貨-長部位_原始值,期貨-長部位_年增率(%),期貨-長部位_原始值,期貨-長部位_年增率(%),期貨-短部位_原始值,期貨-短部位_年增率(%),期貨-短部位_原始值,期貨-短部位_年增率(%),買入選擇權_原始值,買入選擇權_年增率(%),買入選擇權_原始值,買入選擇權_年增率(%),賣出選擇權_原始值,賣出選擇權_年增率(%),賣出選擇權_原始值,賣出選擇權_年增率(%),契約合計_原始值,契約合計_年增率(%),契約合計_原始值,契約合計_年增率(%)
2002M02,0,--,61,--,0,--,61,--,0,--,0,--,0,--,0,--,0,--,122,--
2002M03,0,--,149,473.08,0,--,"1,785",--,0,--,0,--,0,--,0,--,0,--,"1,934","7,338.46"
2002M04,0,--,"2,854","1,608.98",0,--,"4,136","3,839.05",0,--,0,--,0,--,0,--,0,--,"6,990","2,469.85"
2002M05,0,--,701,161.57,0,--,"7,312","1,632.70",0,--,0,--,0,--,0,--,0,--,"8,013","1,061.30"
2002M06,0,--,"6,370","10,011.11",0,--,"4,327",528.01,0,--,0,--,0,--,0,--,0,--,"10,697","1,322.47"
2002M07,0,-100.00,"54,637","53,465.69",0,--,"50,383","46,122.94",0,--,0,--,0,--,0,--,0,-100.00,"105,020","49,672.51"
2002M08,0,-100.00,"55,801","44,186.51",0,-100.00,"48,305","40,492.44",0,--,0,--,0,--,0,--,0,-100.00,"104,106","42,392.24"
2002M09,0,--,"38,125","16,476.09",0,--,"34,001","37,678.89",0,--,0,--,0,--,0,--,0,--,"72,126","22,439.38"
2002M10,0,--,"36,857",207.65,0,--,"41,583",95.53,0,--,0,--,0,--,0,--,0,--,"78,440",135.93
2002M11,0,--,"11,706",97.60,0,--,"8,976",83.56,0,--,0,--,0,--,0,--,0,--,"20,682",91.25
2002M12,0,--,"6,870","24,435.71",0,--,"12,717","45,317.86",0,--,0,--,0,--,0,--,0,--,"19,587","34,876.79"
2003M01,0,--,"22,415",73.22,0,--,"20,506",967.46,0,--,0,--,0,--,0,--,0,--,"42,921",188.82
2003M02,0,--,"27,117","44,354.10",0,--,"8,180","13,309.84",0,--,0,--,0,--,0,--,0,--,"35,297","28,831.97"
2003M03,0,--,"75,146","50,333.56",0,--,"66,435","3,621.85",0,--,0,--,0,--,0,--,0,--,"141,581","7,220.63"
2003M04,0,--,"67,621","2,269.34",0,--,"85,365","1,963.95",0,--,0,--,0,--,0,--,0,--,"152,986","2,088.64"
2003M05,0,--,"62,813","8,860.49",0,--,"46,324",533.53,0,--,0,--,0,--,0,--,0,--,"109,137","1,262.00"
2003M06,0,--,"29,384",361.29,0,--,"47,731","1,003.10",0,--,0,--,0,--,0,--,0,--,"77,115",620.90
2003M07,0,--,"31,477",-42.39,0,--,"47,559",-5.61,0,--,0,--,0,--,0,--,0,--,"79,036",-24.74
2003M08,0,--,"76,834",37.69,0,--,"81,247",68.20,0,--,0,--,0,--,0,--,0,--,"158,081",51.85
2003M09,0,--,"36,271",-4.86,0,--,"38,993",14.68,0,--,0,--,0,--,0,--,0,--,"75,264",4.35
2003M10,0,--,"33,729",-8.49,0,--,"34,099",-18.00,0,--,0,--,0,--,0,--,0,--,"67,828",-13.53
2003M11,0,--,"8,782",-24.98,0,--,"28,245",214.67,0,--,0,--,0,--,0,--,0,--,"37,027",79.03
2003M12,0,--,"31,058",352.08,0,--,"13,032",2.48,0,--,0,--,0,--,0,--,0,--,"44,090",125.10
2004M01,0,--,"19,647",-12.35,0,--,"21,285",3.80,0,--,0,--,0,--,0,--,0,--,"40,932",-4.63
2004M02,15,--,"6,181",-77.21,0,--,"22,868",179.56,0,--,0,--,0,--,0,--,15,--,"29,049",-17.70
2004M03,83,--,"9,303",-87.62,98,--,"27,866",-58.06,0,--,0,--,0,--,0,--,181,--,"37,169",-73.75
2004M04,267,--,"15,028",-77.78,400,--,"11,889",-86.07,0,--,0,--,0,--,0,--,667,--,"26,917",-82.41
