期間,遠期契約_原始值,遠期契約_年增率(%),遠期契約_原始值,遠期契約_年增率(%),換匯_原始值,換匯_年增率(%),換匯_原始值,換匯_年增率(%),換匯換利_原始值,換匯換利_年增率(%),換匯換利_原始值,換匯換利_年增率(%),買入選擇權_原始值,買入選擇權_年增率(%),買入選擇權_原始值,買入選擇權_年增率(%),賣出選擇權_原始值,賣出選擇權_年增率(%),賣出選擇權_原始值,賣出選擇權_年增率(%),契約合計_原始值,契約合計_年增率(%),契約合計_原始值,契約合計_年增率(%)
2010M04,"492,123",-8.44,"452,160",48.11,"2,967,519",57.60,"2,058,220",12.11,"49,021",-14.68,0,-100.00,"79,930",56.80,"528,956",81.97,"84,808",137.91,"524,119",79.19,"3,673,401",43.24,"3,563,455",30.71
2010M05,"545,987",15.65,"456,260",46.90,"3,373,714",69.54,"2,272,741",52.76,"132,599",18.96,0,-100.00,"67,997",-15.62,"515,007",88.55,"74,656",-12.45,"518,677",90.54,"4,194,953",53.14,"3,762,685",60.41
2010M06,"424,322",-9.82,"372,008",29.60,"3,024,064",32.30,"2,537,327",47.51,"38,721",-48.86,968,-52.60,"30,702",-67.05,"423,568",22.40,"30,186",-64.17,"425,684",24.40,"3,547,995",17.90,"3,759,555",39.38
2010M07,"414,097",-12.15,"362,600",17.80,"3,513,032",67.71,"2,554,891",36.10,"56,467",-18.67,0,-100.00,"46,745",13.00,"439,673",5.27,"51,054",45.36,"443,096",7.05,"4,081,395",50.50,"3,800,260",25.90
2010M08,"449,640",4.39,"351,999",2.51,"3,394,331",70.70,"2,622,179",36.38,"27,284",-56.12,0,-100.00,"34,346",-48.32,"580,885",33.38,"28,520",-57.83,"577,823",34.33,"3,934,121",50.42,"4,132,886",31.87
2010M09,"365,040",-25.08,"463,599",25.35,"3,278,920",44.97,"2,635,960",24.48,"35,952",-51.55,"1,566",-56.88,"34,364",-48.98,"600,677",18.47,"33,920",-47.54,"593,864",18.99,"3,748,196",26.83,"4,295,666",22.83
2010M10,"420,402",-5.34,"391,995",-1.49,"2,989,938",22.34,"2,483,882",12.90,"33,019",-39.59,"63,060","2,700.18","32,721",-54.40,"545,949",10.74,"29,598",-56.75,"537,730",6.86,"3,505,678",13.72,"4,022,616",11.85
2010M11,"369,021",-14.61,"322,039",-7.47,"3,140,295",1.54,"2,276,625",9.07,"34,503",-52.17,"51,321","3,941.02","26,067",-54.07,"584,910",19.93,"23,456",-55.24,"576,820",20.21,"3,593,342",-3.04,"3,811,715",11.97
2010M12,"391,255",0.17,"320,266",7.75,"3,485,824",23.44,"2,701,545",5.25,"29,654",-27.44,911,-57.07,"20,318",-58.58,"464,613",28.95,"18,162",-65.95,"454,863",26.39,"3,945,213",17.49,"3,942,198",9.92
2011M01,"355,255",-20.80,"386,096",-6.40,"3,462,849",22.95,"2,358,401",8.91,"42,954",-24.20,"21,005","6,464.06","29,453",-64.65,"559,914",15.64,"29,885",-64.24,"558,289",10.75,"3,920,396",12.38,"3,883,705",8.89
2011M02,"347,472",17.88,"268,094",-5.49,"2,540,655",12.21,"1,722,189",-13.91,"37,353",-25.60,"8,319","6,399.22","23,610",-78.17,"390,864",6.26,"23,474",-80.70,"386,680",2.66,"2,972,564",4.70,"2,776,146",-8.34
2011M03,"362,370",-12.70,"465,282",17.69,"3,538,277",14.68,"2,619,728",1.23,"69,375",-20.20,"30,457","2,634.02","33,245",-66.31,"621,209",30.28,"29,184",-72.22,"604,425",26.61,"4,032,451",6.36,"4,341,101",10.22
2011M04,"359,740",-26.90,"590,016",30.49,"3,059,486",3.10,"2,103,124",2.18,"42,667",-12.96,"7,714",--,"33,029",-58.68,"532,152",0.60,"28,761",-66.09,"528,978",0.93,"3,523,683",-4.08,"3,761,984",5.57
2011M05,"353,094",-35.33,"465,009",1.92,"2,850,246",-15.52,"2,425,224",6.71,"36,548",-72.44,"12,664",--,"34,210",-49.69,"687,150",33.43,"30,061",-59.73,"681,276",31.35,"3,304,159",-21.23,"4,271,323",13.52
2011M06,"338,161",-20.31,"479,424",28.87,"3,319,034",9.75,"2,824,538",11.32,"59,075",52.57,"17,794","1,738.22","30,598",-0.34,"668,965",57.94,"23,251",-22.97,"676,238",58.86,"3,770,119",6.26,"4,666,959",24.14
2011M07,"355,600",-14.13,"691,101",90.60,"2,925,673",-16.72,"2,367,620",-7.33,"42,200",-25.27,"16,735",--,"32,981",-29.44,"727,027",65.36,"23,701",-53.58,"731,399",65.07,"3,380,155",-17.18,"4,533,882",19.30
2011M08,"475,050",5.65,"927,275",163.43,"3,384,439",-0.29,"3,236,694",23.44,"75,309",176.02,"20,626",--,"34,471",0.36,"819,584",41.09,"30,774",7.90,"814,203",40.91,"4,000,043",1.68,"5,818,382",40.78
2011M09,"526,171",44.14,"1,162,693",150.80,"3,891,493",18.68,"3,003,284",13.94,"29,278",-18.56,"17,658","1,027.59","51,564",50.05,"686,954",14.36,"55,408",63.35,"682,732",14.96,"4,553,914",21.50,"5,553,321",29.28
2011M10,"567,507",34.99,"1,039,127",165.09,"3,647,621",22.00,"2,873,248",15.68,"25,221",-23.62,"10,273",-83.71,"26,005",-20.53,"621,109",13.77,"21,715",-26.63,"620,762",15.44,"4,288,069",22.32,"5,164,519",28.39
2011M11,"358,732",-2.79,"889,759",176.29,"3,835,782",22.15,"2,449,841",7.61,"46,765",35.54,"10,228",-80.07,"28,103",7.81,"641,139",9.61,"25,689",9.52,"642,945",11.46,"4,295,071",19.53,"4,633,912",21.57
2011M12,"260,473",-33.43,"679,877",112.29,"3,570,753",2.44,"2,416,580",-10.55,"41,793",40.94,909,-0.22,"53,359",162.62,"441,077",-5.07,"62,601",244.68,"451,846",-0.66,"3,988,979",1.11,"3,990,289",1.22
2012M01,"357,467",0.62,"644,909",67.03,"3,182,034",-8.11,"1,878,206",-20.36,"59,187",37.79,"1,184",-94.36,"41,758",41.78,"586,547",4.76,"36,457",21.99,"597,546",7.03,"3,676,903",-6.21,"3,708,392",-4.51
2012M02,"335,926",-3.32,"760,554",183.69,"3,661,171",44.10,"2,368,662",37.54,"88,495",136.92,309,-96.29,"34,124",44.53,"598,509",53.12,"30,231",28.79,"609,815",57.71,"4,149,947",39.61,"4,337,849",56.25
2012M03,"422,322",16.54,"789,673",69.72,"3,547,879",0.27,"2,470,507",-5.70,"152,558",119.90,"8,652",-71.59,"37,610",13.13,"809,660",30.34,"32,640",11.84,"816,590",35.10,"4,193,009",3.98,"4,895,082",12.76
2012M04,"413,712",15.00,"787,874",33.53,"3,462,561",13.17,"2,329,292",10.75,"106,300",149.14,"1,117",-85.52,"30,095",-8.88,"749,017",40.75,"27,770",-3.45,"746,600",41.14,"4,040,438",14.67,"4,613,900",22.65
2012M05,"454,048",28.59,"876,543",88.50,"4,170,006",46.30,"2,761,875",13.88,"64,423",76.27,981,-92.25,"105,528",208.47,"885,034",28.80,"125,357",317.01,"891,373",30.84,"4,919,362",48.88,"5,415,806",26.79
2012M06,"371,236",9.78,"772,164",61.06,"3,810,212",14.80,"2,334,074",-17.36,"66,498",12.57,"1,885",-89.41,"49,568",62.00,"720,867",7.76,"65,690",182.53,"711,585",5.23,"4,363,204",15.73,"4,540,575",-2.71
2012M07,"414,590",16.59,"997,112",44.28,"4,030,441",37.76,"2,188,739",-7.56,"71,380",69.15,864,-94.84,"27,241",-17.40,"776,331",6.78,"25,234",6.47,"787,422",7.66,"4,568,886",35.17,"4,750,468",4.78
2012M08,"424,900",-10.56,"572,682",-38.24,"4,172,750",23.29,"2,261,955",-30.12,"43,656",-42.03,"1,453",-92.96,"21,979",-36.24,"792,674",-3.28,"19,265",-37.40,"801,735",-1.53,"4,682,550",17.06,"4,430,499",-23.85
2012M09,"354,421",-32.64,"571,877",-50.81,"3,685,322",-5.30,"2,319,374",-22.77,"54,894",87.49,"1,422",-91.95,"31,926",-38.08,"759,745",10.60,"25,351",-54.25,"757,328",10.93,"4,151,914",-8.83,"4,409,746",-20.59
2012M10,"388,154",-31.60,"526,190",-49.36,"3,983,574",9.21,"2,413,943",-15.99,"61,116",142.32,"7,616",-25.86,"29,955",15.19,"851,348",37.07,"30,507",40.49,"858,440",38.29,"4,493,306",4.79,"4,657,537",-9.82
2012M11,"413,386",15.24,"487,631",-45.20,"3,902,184",1.73,"2,213,407",-9.65,"56,947",21.77,"4,210",-58.84,"46,356",64.95,"720,677",12.41,"51,220",99.38,"711,872",10.72,"4,470,093",4.07,"4,137,797",-10.71
2012M12,"368,649",41.53,"432,118",-36.44,"3,601,941",0.87,"1,809,193",-25.13,"57,329",37.17,"2,228",145.10,"18,640",-65.07,"512,921",16.29,"22,239",-64.48,"519,941",15.07,"4,068,798",2.00,"3,276,401",-17.89
2013M01,"513,847",43.75,"623,885",-3.26,"4,399,626",38.26,"2,761,941",47.05,"71,621",21.01,"5,323",349.58,"58,139",39.23,"1,433,977",144.48,"58,399",60.19,"1,447,123",142.18,"5,101,632",38.75,"6,272,249",69.14
2013M02,"305,216",-9.14,"450,372",-40.78,"3,166,142",-13.52,"2,348,966",-0.83,"53,202",-39.88,"1,801",482.85,"28,638",-16.08,"1,032,315",72.48,"28,271",-6.48,"1,044,672",71.31,"3,581,469",-13.70,"4,878,126",12.45
2013M03,"330,163",-21.82,"555,111",-29.70,"3,913,101",10.29,"3,316,716",34.25,"73,199",-52.02,"3,842",-55.59,"40,303",7.16,"1,250,309",54.42,"39,586",21.28,"1,253,985",53.56,"4,396,352",4.85,"6,379,963",30.33
2013M04,"357,573",-13.57,"688,062",-12.67,"3,677,612",6.21,"3,232,986",38.80,"145,802",37.16,"2,175",94.72,"37,547",24.76,"1,283,834",71.40,"36,092",29.97,"1,267,235",69.73,"4,254,626",5.30,"6,474,292",40.32
2013M05,"420,246",-7.44,"841,498",-4.00,"4,195,145",0.60,"4,062,531",47.09,"47,911",-25.63,"4,562",365.04,"39,488",-62.58,"1,755,488",98.35,"42,805",-65.85,"1,782,797",100.01,"4,745,595",-3.53,"8,446,876",55.97
2013M06,"375,737",1.21,"684,033",-11.41,"3,883,049",1.91,"3,370,659",44.41,"64,979",-2.28,"3,576",89.71,"29,507",-40.47,"1,114,205",54.56,"28,901",-56.00,"1,143,398",60.68,"4,382,173",0.43,"6,315,871",39.10
2013M07,"317,676",-23.38,"607,667",-39.06,"3,946,405",-2.09,"4,215,658",92.61,"112,095",57.04,"8,404",872.69,"22,775",-16.39,"1,317,210",69.67,"21,719",-13.93,"1,313,546",66.82,"4,420,670",-3.24,"7,462,485",57.09
2013M08,"249,963",-41.17,"693,581",21.11,"4,000,750",-4.12,"3,800,002",68.00,"71,997",64.92,"3,582",146.52,"28,305",28.78,"1,396,904",76.23,"28,010",45.39,"1,416,666",76.70,"4,379,025",-6.48,"7,310,736",65.01
2013M09,"342,155",-3.46,"598,730",4.70,"3,712,980",0.75,"2,891,337",24.66,"48,162",-12.26,"4,831",239.73,"34,789",8.97,"1,523,685",100.55,"35,030",38.18,"1,536,211",102.85,"4,173,116",0.51,"6,554,794",48.64
2013M10,"338,089",-12.90,"579,525",10.14,"4,352,010",9.25,"2,868,094",18.81,"68,174",11.55,"8,631",13.33,"30,906",3.17,"1,381,130",62.23,"27,867",-8.65,"1,413,135",64.62,"4,817,046",7.20,"6,250,515",34.20
2013M11,"256,216",-38.02,"725,890",48.86,"4,422,327",13.33,"2,922,077",32.02,"87,160",53.05,"6,236",48.12,"22,649",-51.14,"1,130,551",56.87,"17,757",-65.33,"1,150,145",61.57,"4,806,109",7.52,"5,934,899",43.43
2013M12,"232,875",-36.83,"571,243",32.20,"4,727,155",31.24,"2,990,841",65.31,"81,409",42.00,"3,883",74.28,"22,893",22.82,"742,916",44.84,"21,815",-1.91,"767,913",47.69,"5,086,147",25.00,"5,076,796",54.95
2014M01,"338,316",-34.16,"740,610",18.71,"4,674,486",6.25,"3,258,961",18.00,"49,789",-30.48,"8,494",59.57,"56,566",-2.71,"3,459,170",141.23,"52,696",-9.77,"3,667,812",153.46,"5,171,853",1.38,"11,135,047",77.53
2014M02,"285,402",-6.49,"724,085",60.77,"4,346,439",37.28,"3,130,409",33.27,"79,185",48.84,"8,485",371.13,"29,735",3.83,"2,011,300",94.83,"28,323",0.18,"2,138,376",104.69,"4,769,084",33.16,"8,012,655",64.26
2014M03,"286,519",-13.22,"839,324",51.20,"5,005,942",27.93,"4,155,394",25.29,"89,303",22.00,"17,018",342.95,"38,076",-5.53,"1,282,605",2.58,"35,182",-11.13,"1,364,656",8.83,"5,455,022",24.08,"7,658,997",20.05
2014M04,"322,416",-9.83,"781,423",13.57,"5,185,555",41.00,"4,148,359",28.31,"61,739",-57.66,"10,724",393.06,"34,739",-7.48,"1,030,827",-19.71,"32,225",-10.71,"1,071,569",-15.44,"5,636,674",32.48,"7,042,902",8.78
2014M05,"279,501",-33.49,"637,656",-24.22,"4,440,941",5.86,"3,895,235",-4.12,"86,669",80.90,"16,356",258.53,"25,632",-35.09,"600,093",-65.82,"22,941",-46.41,"619,424",-65.26,"4,855,684",2.32,"5,768,764",-31.71
2014M06,"268,657",-28.50,"561,638",-17.89,"4,145,736",6.76,"3,764,603",11.69,"97,488",50.03,"13,875",288.00,"31,337",6.20,"730,973",-34.40,"29,284",1.33,"721,036",-36.94,"4,572,502",4.34,"5,792,125",-8.29
2014M07,"252,987",-20.36,"657,294",8.17,"4,580,519",16.07,"3,650,607",-13.40,"76,452",-31.80,"3,951",-52.99,"29,350",28.87,"1,071,961",-18.62,"26,478",21.91,"1,118,057",-14.88,"4,965,786",12.33,"6,501,870",-12.87
