期間,期貨-長部位_原始值,期貨-長部位_年增率(%),期貨-長部位_原始值,期貨-長部位_年增率(%),期貨-短部位_原始值,期貨-短部位_年增率(%),期貨-短部位_原始值,期貨-短部位_年增率(%),買入選擇權_原始值,買入選擇權_年增率(%),買入選擇權_原始值,買入選擇權_年增率(%),賣出選擇權_原始值,賣出選擇權_年增率(%),賣出選擇權_原始值,賣出選擇權_年增率(%),契約合計_原始值,契約合計_年增率(%),契約合計_原始值,契約合計_年增率(%)
2006M03,0,--,0,--,0,--,0,--,0,--,0,--,0,--,0,--,0,--,0,--
2006M04,0,--,0,--,0,--,0,--,0,--,0,--,0,--,0,--,0,--,0,--
2006M05,0,--,0,--,0,--,0,--,0,--,0,--,0,--,0,--,0,--,0,--
2006M06,0,--,0,--,0,--,0,--,0,--,0,--,0,--,0,--,0,--,0,--
2006M07,0,--,0,--,0,--,0,--,0,--,0,--,0,--,0,--,0,--,0,--
2006M08,0,--,0,--,0,--,0,--,0,--,0,--,0,--,0,--,0,--,0,--
2006M09,0,--,0,--,0,--,0,--,0,--,0,--,0,--,0,--,0,--,0,--
2006M10,0,--,0,--,0,--,0,--,0,--,0,--,0,--,0,--,0,--,0,--
2006M11,0,--,0,--,0,--,0,--,0,--,0,--,0,--,0,--,0,--,0,--
2006M12,0,--,0,--,0,--,0,--,0,--,0,--,0,--,0,--,0,--,0,--
2007M01,0,--,0,--,0,--,0,--,0,--,0,--,0,--,0,--,0,--,0,--
2007M02,0,--,0,--,0,--,0,--,0,--,0,--,0,--,0,--,0,--,0,--
2007M03,0,--,0,--,0,--,0,--,0,--,0,--,0,--,0,--,0,--,0,--
2007M04,0,--,0,--,0,--,0,--,0,--,0,--,0,--,0,--,0,--,0,--
2007M05,0,--,0,--,0,--,0,--,0,--,0,--,0,--,0,--,0,--,0,--
2007M06,0,--,0,--,0,--,0,--,0,--,0,--,0,--,0,--,0,--,0,--
2007M07,0,--,0,--,0,--,0,--,0,--,0,--,0,--,0,--,0,--,0,--
2007M08,0,--,0,--,0,--,0,--,0,--,0,--,0,--,0,--,0,--,0,--
2007M09,0,--,0,--,0,--,0,--,0,--,0,--,0,--,0,--,0,--,0,--
2007M10,0,--,0,--,0,--,0,--,0,--,0,--,0,--,0,--,0,--,0,--
2007M11,0,--,0,--,0,--,0,--,0,--,0,--,0,--,0,--,0,--,0,--
2007M12,0,--,0,--,0,--,0,--,0,--,0,--,0,--,0,--,0,--,0,--
2008M01,0,--,0,--,0,--,0,--,0,--,0,--,0,--,0,--,0,--,0,--
2008M02,0,--,0,--,0,--,0,--,0,--,0,--,0,--,0,--,0,--,0,--
2008M03,0,--,0,--,0,--,0,--,0,--,0,--,0,--,0,--,0,--,0,--
2008M04,0,--,0,--,0,--,0,--,0,--,0,--,0,--,0,--,0,--,0,--
2008M05,0,--,0,--,0,--,0,--,0,--,0,--,0,--,0,--,0,--,0,--
2008M06,0,--,0,--,0,--,0,--,0,--,0,--,0,--,0,--,0,--,0,--
2008M07,0,--,0,--,0,--,0,--,0,--,0,--,0,--,0,--,0,--,0,--
2008M08,0,--,0,--,0,--,0,--,0,--,0,--,0,--,0,--,0,--,0,--
2008M09,0,--,0,--,0,--,0,--,0,--,0,--,0,--,0,--,0,--,0,--
2008M10,0,--,0,--,0,--,0,--,0,--,0,--,0,--,0,--,0,--,0,--
2008M11,0,--,0,--,0,--,0,--,0,--,0,--,0,--,0,--,0,--,0,--
2008M12,0,--,0,--,0,--,0,--,0,--,0,--,0,--,0,--,0,--,0,--
2009M01,0,--,0,--,0,--,0,--,0,--,0,--,0,--,0,--,0,--,0,--
2009M02,0,--,0,--,0,--,0,--,0,--,0,--,0,--,0,--,0,--,0,--
2009M03,0,--,0,--,0,--,0,--,0,--,0,--,0,--,0,--,0,--,0,--
2009M04,0,--,0,--,0,--,0,--,0,--,0,--,0,--,0,--,0,--,0,--
2009M05,0,--,0,--,0,--,0,--,0,--,0,--,0,--,0,--,0,--,0,--
2009M06,0,--,0,--,0,--,0,--,0,--,0,--,0,--,0,--,0,--,0,--
2009M07,0,--,0,--,0,--,0,--,0,--,0,--,0,--,0,--,0,--,0,--
2009M08,0,--,0,--,0,--,0,--,0,--,0,--,0,--,0,--,0,--,0,--
2009M09,0,--,0,--,0,--,0,--,0,--,0,--,0,--,0,--,0,--,0,--
2009M10,0,--,0,--,0,--,0,--,0,--,0,--,0,--,0,--,0,--,0,--
2009M11,0,--,0,--,0,--,0,--,0,--,0,--,0,--,0,--,0,--,0,--
2009M12,0,--,0,--,0,--,0,--,0,--,0,--,0,--,0,--,0,--,0,--
2010M01,0,--,0,--,0,--,0,--,0,--,0,--,0,--,0,--,0,--,0,--
2010M02,0,--,0,--,0,--,0,--,0,--,0,--,0,--,0,--,0,--,0,--
2010M03,0,--,0,--,0,--,0,--,0,--,0,--,0,--,0,--,0,--,0,--
