期間,信用違約交換_原始值,信用違約交換_年增率(%),信用違約交換_原始值,信用違約交換_年增率(%),買入信用違約選擇權_原始值,買入信用違約選擇權_年增率(%),買入信用違約選擇權_原始值,買入信用違約選擇權_年增率(%),賣出信用違約選擇權_原始值,賣出信用違約選擇權_年增率(%),賣出信用違約選擇權_原始值,賣出信用違約選擇權_年增率(%),其他_原始值,其他_年增率(%),其他_原始值,其他_年增率(%),契約合計_原始值,契約合計_年增率(%),契約合計_原始值,契約合計_年增率(%)
2004M01,0,...,450,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,450,...
2004M02,0,...,799,...,0,...,67,...,0,...,0,...,0,...,0,...,0,...,866,...
2004M03,0,...,"1,571",...,0,...,116,...,0,...,0,...,0,...,0,...,0,...,"1,687",...
2004M04,"1,116",...,328,...,0,...,33,...,0,...,0,...,0,...,0,...,"1,116",...,361,...
2004M05,"2,026",...,532,...,0,...,100,...,0,...,0,...,0,...,0,...,"2,026",...,632,...
2004M06,730,...,464,...,"1,100",...,0,...,0,...,0,...,0,...,0,...,"1,830",...,464,...
2004M07,6,...,0,...,"3,200",...,0,...,0,...,0,...,0,...,0,...,"3,206",...,0,...
2004M08,400,...,477,...,"5,700",...,0,...,0,...,0,...,0,...,0,...,"6,100",...,477,...
2004M09,"5,400",...,543,...,0,...,0,...,0,...,0,...,150,...,0,...,"5,550",...,543,...
2004M10,0,...,67,...,0,...,0,...,0,...,0,...,530,...,167,...,530,...,234,...
2004M11,600,...,419,...,0,...,0,...,0,...,0,...,0,...,0,...,600,...,419,...
2004M12,60,...,319,...,0,...,0,...,0,...,0,...,0,...,0,...,60,...,319,...
2005M01,450,--,94,-79.11,0,--,0,--,0,--,0,--,0,--,0,--,195,--,94,-79.11
2005M02,195,--,94,-88.24,0,--,0,-100.00,0,--,0,--,0,--,0,--,195,--,94,-89.15
2005M03,200,--,127,-91.92,0,--,0,-100.00,0,--,0,--,0,--,0,--,200,--,127,-92.47
2005M04,0,-100.00,386,17.68,0,--,0,-100.00,0,--,0,--,0,--,0,--,0,-100.00,386,6.93
2005M05,780,-61.50,628,18.05,0,--,0,-100.00,0,--,0,--,0,--,0,--,780,-61.50,628,-0.63
2005M06,260,-64.38,"6,087","1,211.85",0,-100.00,0,--,0,--,0,--,0,--,0,--,260,-85.79,"6,087","1,211.85"
2005M07,670,"11,066.67","3,587",--,0,-100.00,0,--,0,--,0,--,0,--,0,--,670,-79.10,"3,587",--
2005M08,270,-32.50,"3,176",565.83,0,-100.00,0,--,0,--,0,--,0,--,0,--,270,-95.57,"3,176",565.83
2005M09,423,-92.17,331,-39.04,0,--,0,--,0,--,0,--,0,-100.00,0,--,423,-92.38,331,-39.04
2005M10,"1,295",--,"1,360","1,929.85",0,--,0,--,0,--,0,--,0,-100.00,0,-100.00,"1,295",144.34,"1,360",481.20
2005M11,"7,664","1,177.33",503,20.05,0,--,0,--,0,--,0,--,0,--,0,--,"7,664","1,177.33",503,20.05
2005M12,425,608.33,201,-36.99,0,--,0,--,0,--,0,--,0,--,0,--,425,608.33,201,-36.99
2006M01,"1,517",237.11,240,155.32,0,--,0,--,0,--,0,--,0,--,0,--,"1,517",677.95,240,155.32
2006M02,643,229.74,747,694.68,0,--,0,--,0,--,0,--,0,--,0,--,643,229.74,747,694.68
2006M03,990,395.00,"7,308","5,654.33",0,--,0,--,0,--,0,--,0,--,0,--,990,395.00,"7,308","5,654.33"
2006M04,"7,291",--,"7,451","1,830.31",0,--,0,--,0,--,0,--,0,--,0,--,"7,291",--,"7,451","1,830.31"
2006M05,"4,130",429.49,"3,658",482.48,0,--,0,--,0,--,0,--,0,--,0,--,"4,130",429.49,"3,658",482.48
2006M06,835,221.15,"1,518",-75.06,0,--,0,--,0,--,0,--,0,--,0,--,835,221.15,"1,518",-75.06
2006M07,785,17.16,"1,622",-54.78,0,--,0,--,0,--,0,--,0,--,0,--,785,17.16,"1,622",-54.78
