期間,遠期契約_原始值,遠期契約_年增率(%),遠期契約_原始值,遠期契約_年增率(%),交換_原始值,交換_年增率(%),交換_原始值,交換_年增率(%),選擇權_原始值,選擇權_年增率(%),選擇權_原始值,選擇權_年增率(%),契約合計_原始值,契約合計_年增率(%),契約合計_原始值,契約合計_年增率(%)
2012M01,0,--,0,--,0,--,0,--,0,--,0,--,0,--,0,--
2012M02,0,--,0,--,0,--,0,--,0,--,0,--,0,--,0,--
2012M03,0,--,0,--,0,--,0,--,0,--,0,--,0,--,0,--
2012M04,0,--,0,--,0,--,0,--,0,--,0,--,0,--,0,--
2012M05,0,--,0,--,0,--,0,--,0,--,0,--,0,--,0,--
2012M06,0,--,0,--,0,--,0,--,0,--,0,--,0,--,0,--
2012M07,0,--,0,--,0,--,0,--,0,--,0,--,0,--,0,--
2012M08,0,--,0,--,0,--,0,--,0,--,0,--,0,--,0,--
2012M09,0,--,0,--,0,--,0,--,0,--,0,--,0,--,0,--
2012M10,0,--,0,--,0,--,0,--,0,--,0,--,0,--,0,--
2012M11,0,--,0,--,0,--,0,--,0,--,0,--,0,--,0,--
2012M12,0,--,0,--,0,--,0,--,0,--,0,--,0,--,0,--
2013M01,0,--,0,--,0,--,0,--,0,--,0,--,0,--,0,--
2013M02,0,--,0,--,0,--,0,--,0,--,0,--,0,--,0,--
2013M03,0,--,0,--,0,--,0,--,0,--,0,--,0,--,0,--
2013M04,0,--,0,--,0,--,0,--,0,--,0,--,0,--,0,--
2013M05,0,--,0,--,0,--,0,--,0,--,0,--,0,--,0,--
2013M06,0,--,0,--,0,--,0,--,0,--,0,--,0,--,0,--
2013M07,0,--,0,--,0,--,0,--,0,--,0,--,0,--,0,--
2013M08,0,--,0,--,0,--,0,--,0,--,0,--,0,--,0,--
2013M09,0,--,0,--,0,--,0,--,0,--,0,--,0,--,0,--
2013M10,0,--,0,--,0,--,0,--,0,--,0,--,0,--,0,--
2013M11,0,--,0,--,0,--,0,--,0,--,0,--,0,--,0,--
2013M12,0,--,0,--,0,--,0,--,0,--,0,--,0,--,0,--
2014M01,0,--,0,--,0,--,0,--,0,--,0,--,0,--,0,--
2014M02,0,--,0,--,0,--,0,--,0,--,0,--,0,--,0,--
2014M03,0,--,0,--,0,--,0,--,0,--,0,--,0,--,0,--
2014M04,0,--,0,--,0,--,0,--,0,--,0,--,0,--,0,--
2014M05,0,--,0,--,0,--,0,--,0,--,0,--,0,--,0,--
2014M06,0,--,0,--,0,--,0,--,0,--,0,--,0,--,0,--
2014M07,0,--,0,--,0,--,0,--,0,--,0,--,0,--,0,--
