期間,店頭市場契約-遠期契約_原始值,店頭市場契約-遠期契約_年增率(%),店頭市場契約-交換_原始值,店頭市場契約-交換_年增率(%),店頭市場契約-買入選擇權_原始值,店頭市場契約-買入選擇權_年增率(%),店頭市場契約-賣出選擇權_原始值,店頭市場契約-賣出選擇權_年增率(%),交易所契約-期貨-長部位_原始值,交易所契約-期貨-長部位_年增率(%),交易所契約-期貨-短部位_原始值,交易所契約-期貨-短部位_年增率(%),交易所契約-買入選擇權_原始值,交易所契約-買入選擇權_年增率(%),交易所契約-賣出選擇權_原始值,交易所契約-賣出選擇權_年增率(%),契約合計_原始值,契約合計_年增率(%)
1998Q1,"76,460",...,"155,945",...,"17,120",...,"3,426",...,0,...,"1,707",...,0,...,0,...,"254,658",...
1998Q2,"10,409",...,"245,777",...,"17,083",...,"17,428",...,412,...,69,...,0,...,0,...,"291,178",...
1998Q3,"11,937",...,"342,394",...,"21,881",...,"22,227",...,0,...,196,...,0,...,0,...,"398,635",...
1998Q4,"12,621",...,"330,917",...,"18,802",...,"19,124",...,0,...,0,...,0,...,0,...,"381,464",...
1999Q1,"12,813",-83.24,"343,292",120.14,"20,422",19.29,"20,753",505.75,0,--,0,-100.00,0,--,0,--,"397,280",56.01
1999Q2,"38,812",272.87,"401,133",63.21,"21,239",24.33,"21,561",23.71,0,-100.00,0,-100.00,0,--,0,--,"482,745",65.79
1999Q3,"24,599",106.07,"394,893",15.33,"20,553",-6.07,"20,871",-6.10,0,--,0,-100.00,0,--,0,--,"460,916",15.62
1999Q4,"32,407",156.77,"417,315",26.11,"18,923",0.64,"18,955",-0.88,0,--,0,--,0,--,0,--,"487,600",27.82
2000Q1,"18,990",48.21,"460,306",34.09,"25,905",26.85,"23,444",12.97,0,--,0,--,0,--,0,--,"528,645",33.07
2000Q2,"33,762",-13.01,"455,309",13.51,"33,704",58.69,"23,422",8.63,0,--,0,--,0,--,0,--,"546,197",13.14
2000Q3,"53,582",117.82,"493,570",24.99,"28,940",40.81,"26,497",26.96,0,--,0,--,0,--,0,--,"602,589",30.74
2000Q4,"117,430",262.36,"527,882",26.49,"28,418",50.18,"28,401",49.83,0,--,0,--,330,--,330,--,"702,791",44.13
2001Q1,"78,796",314.93,"570,632",23.97,"30,646",18.30,"30,694",30.92,0,--,0,--,0,--,0,--,"710,768",34.45
2001Q2,"103,319",206.02,"714,858",57.01,"34,332",1.86,"34,232",46.15,0,--,0,--,0,--,0,--,"886,741",62.35
2001Q3,"126,542",136.17,"879,170",78.12,"34,714",19.95,"34,615",30.64,"8,118",--,"7,117",--,0,--,0,--,"1,090,276",80.93
2001Q4,"142,669",21.49,"1,082,632",105.09,"36,799",29.49,"39,090",37.64,0,--,"7,582",--,0,-100.00,0,-100.00,"1,308,772",86.22
