期間,店頭市場契約-遠期契約_原始值,店頭市場契約-遠期契約_年增率(%),店頭市場契約-交換_原始值,店頭市場契約-交換_年增率(%),店頭市場契約-買入選擇權_原始值,店頭市場契約-買入選擇權_年增率(%),店頭市場契約-賣出選擇權_原始值,店頭市場契約-賣出選擇權_年增率(%),交易所契約-期貨-長部位_原始值,交易所契約-期貨-長部位_年增率(%),交易所契約-期貨-短部位_原始值,交易所契約-期貨-短部位_年增率(%),交易所契約-買入選擇權_原始值,交易所契約-買入選擇權_年增率(%),交易所契約-賣出選擇權_原始值,交易所契約-賣出選擇權_年增率(%),契約合計_原始值,契約合計_年增率(%)
2006Q1,"6,437,685",30.93,"3,029,840",-11.11,"626,194",-36.46,"606,644",-38.43,0,--,0,--,0,--,0,--,"10,700,363",3.92
2006Q2,"7,268,491",36.68,"2,998,294",-17.46,"571,970",-23.30,"543,731",-26.62,0,--,0,--,0,--,0,--,"11,382,486",9.06
2006Q3,"7,105,599",30.32,"3,599,272",-7.19,"578,475",-14.81,"548,971",-15.86,0,--,0,--,0,--,0,--,"11,832,317",10.98
2006Q4,"7,637,996",12.78,"3,922,278",38.81,"769,802",27.75,"707,968",21.41,0,--,0,--,0,--,0,--,"13,038,044",20.91
2007Q1,"9,285,405",44.24,"3,623,216",19.58,"786,609",25.62,"726,496",19.76,0,--,0,--,0,--,0,--,"14,421,726",34.78
2007Q2,"9,848,450",35.50,"4,066,175",35.62,"603,546",5.52,"569,015",4.65,0,--,0,--,0,--,0,--,"15,087,186",32.55
2007Q3,"8,975,708",26.32,"4,167,006",15.77,"803,206",38.85,"767,937",39.89,0,--,0,--,0,--,0,--,"14,713,857",24.35
2007Q4,"9,246,182",21.06,"4,559,234",16.24,"814,800",5.85,"785,037",10.89,0,--,0,--,0,--,0,--,"15,405,253",18.16
2008Q1,"10,677,303",14.99,"5,051,566",39.42,"971,560",23.51,"952,862",31.16,0,--,0,--,0,--,0,--,"17,653,291",22.41
2008Q2,"10,393,781",5.54,"5,078,831",24.90,"928,019",53.76,"907,171",59.43,0,--,0,--,0,--,0,--,"17,307,802",14.72
2008Q3,"11,554,477",28.73,"5,538,353",32.91,"800,020",-0.40,"824,982",7.43,0,--,0,--,0,--,0,--,"18,717,832",27.21
2008Q4,"9,636,947",4.23,"5,464,598",19.86,"599,281",-26.45,"600,681",-23.48,0,--,0,--,0,--,0,--,"16,301,507",5.82
2009Q1,"9,886,693",-7.40,"5,492,682",8.73,"625,674",-35.60,"622,819",-34.64,0,--,0,--,0,--,0,--,"16,627,868",-5.81
2009Q2,"10,886,059",4.74,"4,402,149",-13.32,"823,050",-11.31,"836,350",-7.81,0,--,0,--,0,--,0,--,"16,947,608",-2.08
2009Q3,"10,736,985",-7.08,"4,652,123",-16.00,"908,564",13.57,"912,572",10.62,0,--,0,--,0,--,0,--,"17,210,244",-8.05
2009Q4,"10,415,944",8.08,"4,800,516",-12.15,"724,717",20.93,"742,699",23.64,0,--,0,--,0,--,0,--,"16,683,876",2.35
