期間,店頭市場契約-遠期契約_原始值,店頭市場契約-遠期契約_年增率(%),店頭市場契約-交換_原始值,店頭市場契約-交換_年增率(%),店頭市場契約-買入選擇權_原始值,店頭市場契約-買入選擇權_年增率(%),店頭市場契約-賣出選擇權_原始值,店頭市場契約-賣出選擇權_年增率(%),交易所契約-期貨-長部位_原始值,交易所契約-期貨-長部位_年增率(%),交易所契約-期貨-短部位_原始值,交易所契約-期貨-短部位_年增率(%),交易所契約-買入選擇權_原始值,交易所契約-買入選擇權_年增率(%),交易所契約-賣出選擇權_原始值,交易所契約-賣出選擇權_年增率(%),契約合計_原始值,契約合計_年增率(%)
1998Q1,0,...,0,...,41,...,41,...,0,...,0,...,0,...,0,...,82,...
1998Q2,0,...,0,...,51,...,51,...,0,...,0,...,0,...,0,...,102,...
1998Q3,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...
1998Q4,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...
1999Q1,0,--,0,--,0,-100.00,0,-100.00,0,--,0,--,0,--,0,--,0,-100.00
1999Q2,0,--,0,--,0,-100.00,0,-100.00,0,--,0,--,0,--,0,--,0,-100.00
1999Q3,0,--,0,--,0,--,0,--,0,--,0,--,0,--,0,--,0,--
1999Q4,0,--,0,--,0,--,0,--,0,--,0,--,0,--,0,--,0,--
2000Q1,0,--,0,--,0,--,0,--,0,--,0,--,0,--,0,--,0,--
2000Q2,0,--,0,--,0,--,0,--,0,--,0,--,0,--,0,--,0,--
2000Q3,0,--,0,--,0,--,0,--,0,--,0,--,0,--,0,--,0,--
2000Q4,0,--,0,--,0,--,0,--,0,--,0,--,0,--,0,--,0,--
2001Q1,0,--,0,--,535,--,535,--,0,--,0,--,0,--,0,--,"1,070",--
2001Q2,0,--,0,--,"1,558",--,"1,558",--,0,--,0,--,0,--,0,--,"3,116",--
2001Q3,0,--,"1,072",--,"1,689",--,"1,680",--,0,--,0,--,0,--,0,--,"4,441",--
2001Q4,0,--,980,--,"2,026",--,"2,512",--,0,--,0,--,0,--,0,--,"5,518",--
